heure;vitesse;debit;occupation
00:00;70.00;40.84;0.00954
00:06;71.12;38.21;0.00855
00:12;70.86;36.42;0.00827
00:18;71.49;30.37;0.00665
00:24;70.95;32.37;0.00751
00:30;70.40;30.05;0.00716
00:36;70.85;29.45;0.00740
00:42;68.65;24.90;0.00607
00:48;69.56;26.74;0.00682
00:54;64.54;22.50;0.00558
01:00;70.98;22.89;0.00595
01:06;71.36;18.39;0.00529
01:12;71.00;17.78;0.00556
01:18;71.30;18.06;0.00519
01:24;72.07;16.29;0.00521
01:30;72.53;16.24;0.00642
01:36;71.80;18.18;0.00500
01:42;71.89;15.06;0.00471
01:48;70.36;13.71;0.00480
01:54;72.91;12.06;0.00441
02:00;71.05;11.59;0.00468
02:06;71.83;12.56;0.00502
02:12;72.43;10.88;0.00538
02:18;71.97;11.31;0.00446
02:24;71.93;10.75;0.00435
02:30;71.61;10.12;0.00471
02:36;71.48;10.88;0.00489
02:42;70.99;8.81;0.00467
02:48;73.18;9.50;0.00435
02:54;72.62;12.50;0.00508
03:00;70.94;10.06;0.00444
03:06;71.41;11.44;0.00535
03:12;70.59;10.45;0.00457
03:18;69.26;9.75;0.00530
03:24;67.55;10.56;0.00466
03:30;70.23;13.33;0.00567
03:36;69.23;11.40;0.00555
03:42;70.64;11.87;0.00521
03:48;71.71;13.20;0.00585
03:54;71.13;11.33;0.00469
04:00;70.41;11.33;0.00591
04:06;69.00;13.47;0.00594
04:12;70.33;13.93;0.00507
04:18;70.88;16.47;0.00558
04:24;70.83;19.60;0.00609
04:30;70.78;21.33;0.00640
04:36;71.63;28.80;0.00823
04:42;72.21;30.06;0.00811
04:48;72.78;37.38;0.00913
04:54;73.63;35.56;0.00834
05:00;72.94;33.76;0.00915
05:06;71.79;40.00;0.01069
05:12;71.57;48.41;0.01160
05:18;71.65;52.82;0.01324
05:24;72.60;58.24;0.01274
05:30;72.70;60.53;0.01338
05:36;71.89;74.82;0.01555
05:42;72.33;97.82;0.01939
05:48;72.88;94.24;0.01846
05:54;72.80;100.53;0.01903
06:00;72.06;98.18;0.01941
06:06;72.48;109.88;0.02068
06:12;72.08;127.18;0.02432
06:18;72.09;162.12;0.02916
06:24;71.40;192.18;0.03480
06:30;71.36;221.53;0.04027
06:36;70.71;250.18;0.04643
06:42;69.66;321.12;0.05940
06:48;68.28;367.94;0.07172
06:54;68.09;404.17;0.07602
07:00;66.67;414.72;0.08036
07:06;64.79;420.90;0.08784
07:12;64.02;456.25;0.09329
07:18;63.88;445.40;0.09072
07:24;63.81;457.20;0.09279
07:30;63.45;447.55;0.09484
07:36;63.10;449.30;0.09690
07:42;63.36;466.96;0.09329
07:48;60.26;481.09;0.10232
07:54;56.94;453.70;0.10886
08:00;55.89;444.96;0.10718
08:06;52.66;444.74;0.11598
08:12;50.87;417.09;0.11864
08:18;47.20;415.52;0.13349
08:24;46.00;388.52;0.13435
08:30;46.28;405.04;0.13080
08:36;44.68;387.12;0.14230
08:42;46.33;418.72;0.14117
08:48;46.99;410.74;0.13866
08:54;47.28;393.52;0.12982
09:00;53.22;407.73;0.11429
09:06;54.81;391.92;0.10858
09:12;58.65;373.56;0.09772
09:18;61.22;394.96;0.09328
09:24;64.18;370.68;0.08276
09:30;62.36;344.71;0.07417
09:36;62.57;366.24;0.08374
09:42;64.15;353.44;0.08113
09:48;64.63;352.04;0.07758
09:54;64.92;334.44;0.07278
10:00;66.82;327.92;0.06637
10:06;66.99;307.76;0.06412
10:12;67.60;312.08;0.06208
10:18;68.21;313.00;0.06010
10:24;68.57;323.04;0.06074
10:30;68.39;308.56;0.05846
10:36;68.92;322.83;0.06031
10:42;68.72;311.96;0.06121
10:48;69.24;318.64;0.05931
