heure;vitesse;debit;occupation
00:00;76.63;40.92;0.00974
00:06;76.02;37.00;0.00910
00:12;76.93;33.56;0.00873
00:18;76.23;30.00;0.00829
00:24;76.86;31.46;0.00808
00:30;74.62;30.44;0.00784
00:36;77.52;26.72;0.00768
00:42;77.62;25.19;0.00710
00:48;76.56;26.27;0.00737
00:54;77.20;25.88;0.00757
01:00;77.29;21.42;0.00650
01:06;75.33;18.33;0.00690
01:12;73.70;16.61;0.00600
01:18;76.59;17.81;0.00598
01:24;78.45;15.58;0.00563
01:30;77.34;16.88;0.00682
01:36;79.11;16.24;0.00495
01:42;77.20;14.68;0.00572
01:48;77.96;13.20;0.00618
01:54;77.54;12.76;0.00590
02:00;77.22;12.64;0.00506
02:06;78.72;11.96;0.00514
02:12;76.07;12.25;0.00575
02:18;78.98;10.83;0.00516
02:24;78.30;10.33;0.00538
02:30;75.61;11.08;0.00551
02:36;74.94;11.00;0.00571
02:42;76.49;9.29;0.00546
02:48;79.33;10.08;0.00477
02:54;76.51;11.75;0.00614
03:00;77.25;10.76;0.00549
03:06;76.77;11.67;0.00563
03:12;76.68;11.32;0.00531
03:18;76.83;10.17;0.00490
03:24;75.66;11.96;0.00642
03:30;77.21;12.92;0.00545
03:36;77.93;11.62;0.00584
03:42;77.20;14.04;0.00604
03:48;79.25;14.75;0.00587
03:54;75.96;12.92;0.00652
04:00;76.25;13.46;0.00606
04:06;74.06;15.04;0.00570
04:12;76.82;15.25;0.00609
04:18;77.70;17.33;0.00598
04:24;76.75;21.92;0.00688
04:30;76.86;26.50;0.00782
04:36;77.96;31.83;0.00879
04:42;79.00;36.04;0.00985
04:48;79.66;39.00;0.00918
04:54;80.32;41.08;0.00961
05:00;79.78;39.72;0.00959
05:06;79.09;45.40;0.01064
05:12;78.89;53.28;0.01206
05:18;78.44;61.04;0.01366
05:24;79.18;63.88;0.01331
05:30;79.01;65.88;0.01392
05:36;78.11;82.52;0.01697
05:42;78.39;102.44;0.02059
05:48;79.00;103.28;0.02065
05:54;78.80;109.80;0.02204
06:00;78.26;110.08;0.02216
06:06;78.55;118.96;0.02366
06:12;78.05;138.16;0.02800
