heure;vitesse;debit;occupation
00:00;78.89;48.57;0.01414
00:06;79.19;45.00;0.01292
00:12;79.37;41.77;0.01122
00:18;80.00;39.13;0.01117
00:24;78.65;39.77;0.01135
00:30;80.24;36.20;0.01123
00:36;77.03;32.94;0.01137
00:42;77.91;30.38;0.01042
00:48;77.08;29.44;0.01118
00:54;75.66;27.42;0.00983
01:00;74.42;23.68;0.00745
01:06;81.27;22.26;0.00774
01:12;80.99;21.26;0.00711
01:18;83.27;21.00;0.00786
01:24;82.85;21.86;0.00709
01:30;83.78;20.64;0.00710
01:36;78.25;19.00;0.01018
01:42;80.54;19.72;0.00662
01:48;79.87;19.27;0.00648
01:54;79.93;17.24;0.01201
02:00;79.52;16.52;0.00840
02:06;85.24;12.57;0.00612
02:12;83.55;14.75;0.00583
02:18;85.22;16.04;0.00650
02:24;80.30;16.18;0.00605
02:30;78.00;14.14;0.00692
02:36;82.19;15.85;0.00669
02:42;82.35;15.61;0.00679
02:48;83.38;16.68;0.00648
02:54;83.42;17.93;0.00730
03:00;83.12;19.50;0.00754
03:06;77.51;16.76;0.00793
03:12;81.28;16.83;0.00685
03:18;75.42;14.93;0.00647
03:24;79.14;14.52;0.00660
03:30;79.43;16.54;0.00700
03:36;78.78;17.14;0.01029
03:42;82.42;16.76;0.00874
03:48;77.70;18.41;0.00743
03:54;80.93;20.00;0.00807
04:00;78.90;21.07;0.00781
04:06;76.02;19.00;0.00748
04:12;80.75;21.90;0.00796
04:18;76.65;22.70;0.00844
04:24;77.78;26.23;0.00945
04:30;82.65;30.75;0.00856
04:36;83.04;39.34;0.01078
04:42;80.88;44.03;0.01133
04:48;84.16;49.22;0.01233
04:54;84.57;45.22;0.01135
05:00;83.29;46.48;0.01349
05:06;82.01;54.30;0.01344
05:12;82.52;61.41;0.01572
05:18;81.86;77.24;0.01796
05:24;82.67;82.38;0.01808
05:30;85.05;92.03;0.02056
05:36;84.81;118.71;0.02312
05:42;85.31;139.56;0.02454
05:48;85.74;139.53;0.02384
05:54;85.73;141.15;0.02423
06:00;85.18;144.29;0.02445
06:06;84.40;168.65;0.02904
06:12;82.86;202.35;0.03538
06:18;80.90;256.68;0.04413
06:24;80.34;291.21;0.04973
06:30;75.84;331.56;0.05705
06:36;74.35;412.41;0.07468
06:42;69.85;505.12;0.09703
06:48;64.94;544.76;0.11359
06:54;61.00;555.79;0.12651
07:00;56.34;564.00;0.13481
07:06;54.08;539.29;0.13719
07:12;53.97;547.15;0.13818
07:18;53.75;528.24;0.13417
07:24;53.24;530.57;0.13569
07:30;52.13;529.18;0.13697
07:36;53.22;511.86;0.13514
07:42;54.51;544.94;0.13308
07:48;55.16;525.86;0.12903
07:54;56.75;536.20;0.12859
08:00;54.99;513.06;0.12889
08:06;55.01;498.67;0.12758
08:12;54.52;486.78;0.12512
08:18;52.83;493.31;0.13358
08:24;53.01;487.13;0.13063
08:30;51.11;477.37;0.13469
08:36;51.52;469.59;0.13469
08:42;51.01;489.63;0.13950
08:48;51.96;466.33;0.13611
08:54;54.47;471.18;0.12977
09:00;55.96;473.85;0.12884
09:06;57.54;464.45;0.12382
09:12;58.40;464.97;0.12466
09:18;62.58;473.87;0.11048
09:24;64.95;462.92;0.10346
09:30;64.35;439.51;0.10013
09:36;67.03;442.37;0.09778
09:42;67.56;437.89;0.10097
09:48;68.32;424.11;0.09260
09:54;68.91;414.59;0.09297
10:00;70.59;410.76;0.08746
10:06;72.19;389.24;0.08149
10:12;72.10;395.97;0.08236
10:18;71.57;401.94;0.08543
10:24;71.51;413.44;0.08554
10:30;70.56;418.92;0.08775
10:36;70.55;423.69;0.08890
10:42;70.36;415.05;0.08946
10:48;69.33;412.78;0.08468
10:54;71.46;416.97;0.08598
11:00;72.55;417.79;0.08133
11:06;72.90;413.74;0.08044
11:12;73.86;421.58;0.08069
11:18;73.50;422.66;0.08158
11:24;72.88;436.81;0.08442
11:30;72.57;422.21;0.08464
11:36;72.70;429.76;0.08405
11:42;71.36;417.76;0.08725
11:48;71.26;412.82;0.08498
11:54;73.71;422.42;0.08349
12:00;73.62;426.66;0.08385
12:06;74.15;450.03;0.08397
12:12;74.21;457.74;0.08552
12:18;74.81;450.34;0.08343
12:24;76.31;420.63;0.07730
12:30;76.63;394.84;0.07288
12:36;77.40;385.87;0.06990
12:42;77.50;358.63;0.06448
12:48;78.59;361.22;0.06325
12:54;76.69;331.61;0.05998
13:00;78.53;364.00;0.06559
13:06;78.55;372.67;0.06607
13:12;77.44;402.87;0.07151
13:18;75.47;414.10;0.07551
13:24;75.26;408.74;0.07496
13:30;74.32;422.49;0.07921
13:36;72.43;452.36;0.08692
13:42;72.60;458.77;0.08805
13:48;70.60;453.59;0.08673
13:54;73.46;436.10;0.08364
14:00;74.50;433.21;0.08120
14:06;73.72;427.46;0.08055
14:12;72.88;446.90;0.08356
14:18;72.39;457.00;0.08751
14:24;72.99;443.95;0.08352
14:30;72.78;442.82;0.08470
14:36;72.68;441.18;0.08461
14:42;73.21;437.44;0.08320
14:48;73.16;433.64;0.08252
14:54;73.46;444.36;0.08503
15:00;73.17;446.85;0.08575
15:06;72.12;447.46;0.08627
15:12;71.65;473.33;0.09121
15:18;70.23;477.76;0.09468
15:24;70.87;461.56;0.09238
15:30;69.58;469.36;0.09542
15:36;68.60;476.66;0.09586
15:42;68.93;480.67;0.09746
15:48;68.10;501.08;0.10153
15:54;67.96;489.55;0.09765
16:00;68.19;480.62;0.09877
16:06;68.45;520.74;0.10357
16:12;65.66;523.97;0.11010
16:18;62.66;532.54;0.11650
16:24;62.79;512.08;0.11064
16:30;64.89;511.54;0.11189
16:36;66.38;522.62;0.10541
16:42;64.54;511.87;0.10666
16:48;64.61;519.78;0.10843
16:54;63.69;521.92;0.11119
17:00;65.51;518.76;0.10785
17:06;64.29;516.49;0.10886
17:12;61.14;523.11;0.11325
17:18;58.09;501.29;0.11654
17:24;59.41;517.11;0.11623
17:30;59.63;500.59;0.11311
17:36;57.77;507.43;0.11736
17:42;58.58;489.68;0.11217
17:48;57.35;485.64;0.11717
