heure;vitesse;debit;occupation
00:00;81.49;50.00;0.01859
00:06;84.08;46.96;0.01731
00:12;83.61;41.75;0.01685
00:18;81.87;39.85;0.01437
00:24;82.20;41.52;0.01430
00:30;83.60;38.50;0.01402
00:36;77.43;32.33;0.01241
00:42;79.86;30.28;0.01110
00:48;78.47;30.57;0.01088
00:54;78.27;28.82;0.01193
01:00;82.50;25.69;0.01289
01:06;82.32;21.11;0.00920
01:12;83.87;21.85;0.00841
01:18;86.53;21.67;0.00879
01:24;85.98;22.46;0.00856
01:30;84.96;21.88;0.00827
01:36;83.58;19.65;0.00799
01:42;86.02;20.38;0.00769
01:48;86.04;20.80;0.00864
01:54;81.98;17.92;0.01107
02:00;86.74;17.12;0.00845
02:06;88.42;17.21;0.00740
02:12;86.77;14.80;0.00759
02:18;85.30;16.08;0.00684
02:24;84.82;16.46;0.00838
02:30;80.31;14.73;0.00772
02:36;84.17;15.64;0.00759
02:42;78.39;15.62;0.00916
02:48;84.65;16.72;0.00754
02:54;86.53;18.62;0.00931
03:00;87.17;19.48;0.00900
03:06;85.19;20.32;0.00829
03:12;85.03;17.62;0.00747
03:18;85.30;16.60;0.00794
03:24;87.70;16.88;0.00810
03:30;87.62;18.58;0.00894
03:36;86.79;19.33;0.00904
03:42;83.47;18.27;0.00834
03:48;85.73;20.58;0.00866
03:54;82.79;22.28;0.00958
04:00;85.36;23.79;0.01008
04:06;83.16;22.00;0.01051
04:12;85.33;25.54;0.00995
04:18;86.59;27.12;0.01108
04:24;83.00;28.42;0.01088
04:30;84.31;31.27;0.01078
04:36;84.70;41.12;0.01315
04:42;89.35;47.46;0.01541
04:48;89.42;55.63;0.01596
04:54;90.02;51.30;0.01460
05:00;87.76;53.68;0.01635
05:06;84.09;59.90;0.01786
05:12;87.32;69.00;0.02006
05:18;86.92;81.34;0.02422
05:24;87.55;93.66;0.02475
05:30;87.30;100.66;0.02649
05:36;87.03;127.28;0.03210
05:42;88.19;144.97;0.03528
05:48;88.08;146.45;0.03401
05:54;88.32;146.24;0.03292
06:00;87.56;150.24;0.03431
06:06;86.64;171.83;0.03922
06:12;84.57;205.34;0.04741
06:18;82.85;247.45;0.05648
06:24;82.40;283.52;0.06300
06:30;79.88;319.17;0.07205
06:36;76.63;382.93;0.08763
06:42;73.26;442.14;0.10226
06:48;68.16;476.21;0.12039
06:54;62.11;475.55;0.13373
07:00;55.99;474.21;0.14662
07:06;52.70;440.19;0.15186
07:12;51.25;433.26;0.15032
07:18;50.93;439.47;0.15485
07:24;50.84;430.16;0.15235
07:30;50.43;443.00;0.14977
07:36;50.48;408.66;0.15136
07:42;53.03;436.09;0.14004
07:48;54.05;438.52;0.14074
07:54;53.09;436.10;0.14748
08:00;52.22;419.55;0.14359
08:06;53.81;415.32;0.14246
08:12;53.42;407.84;0.13980
08:18;51.66;392.41;0.14148
08:24;53.35;384.38;0.13349
08:30;51.29;370.09;0.13825
08:36;51.40;367.42;0.14269
08:42;48.42;371.29;0.14609
08:48;48.49;348.43;0.14869
08:54;51.45;351.73;0.13359
09:00;54.86;359.89;0.13152
09:06;56.26;351.22;0.12653
09:12;58.33;355.55;0.13172
09:18;61.32;373.16;0.12036
09:24;65.78;369.76;0.10796
09:30;65.03;342.82;0.10518
09:36;67.52;360.46;0.10506
09:42;69.78;361.43;0.10603
09:48;71.19;357.70;0.10218
09:54;71.84;350.81;0.10028
10:00;73.21;346.84;0.09470
10:06;74.66;334.95;0.09179
10:12;74.27;343.78;0.09220
10:18;74.20;344.83;0.09300
10:24;73.23;359.83;0.09837
10:30;73.51;361.17;0.10083
10:36;72.58;364.94;0.10196
10:42;71.77;354.89;0.09914
10:48;72.38;360.31;0.09866
10:54;72.87;362.43;0.09476
11:00;74.33;368.11;0.09153
11:06;75.21;363.86;0.09024
11:12;75.39;372.27;0.09090
11:18;75.74;377.59;0.09338
11:24;76.72;393.61;0.09479
11:30;76.37;388.24;0.09598
11:36;76.49;389.62;0.09507
11:42;75.75;387.73;0.09698
11:48;75.96;397.84;0.09644
11:54;77.30;389.82;0.09410
12:00;76.89;390.21;0.09292
12:06;77.33;407.13;0.09361
12:12;77.47;410.58;0.09292
12:18;77.64;402.42;0.09111
12:24;78.43;380.89;0.08626
12:30;79.31;358.76;0.08109
12:36;79.60;355.79;0.08084
12:42;80.08;348.76;0.07726
12:48;81.45;338.63;0.07491
12:54;81.26;327.08;0.07301
13:00;80.97;338.54;0.07579
13:06;79.81;348.10;0.07781
13:12;79.19;370.44;0.08331
13:18;78.52;382.74;0.08620
13:24;77.77;382.87;0.08890
13:30;76.93;396.59;0.09070
13:36;76.08;404.10;0.09432
13:42;75.61;419.36;0.09646
13:48;75.85;417.38;0.09753
13:54;75.96;390.54;0.09246
14:00;76.76;382.31;0.08832
14:06;76.85;389.00;0.09121
14:12;76.12;404.85;0.09324
14:18;75.07;406.08;0.09514
14:24;76.09;401.23;0.09230
14:30;74.97;389.97;0.09132
14:36;73.96;389.90;0.09568
14:42;73.56;385.54;0.09340
14:48;73.10;386.38;0.09418
14:54;74.73;384.59;0.09106
15:00;74.65;383.56;0.09095
15:06;73.76;388.26;0.09288
15:12;72.51;403.69;0.09580
15:18;71.85;410.53;0.09755
15:24;72.43;402.41;0.09614
15:30;70.60;411.00;0.10467
15:36;69.56;417.16;0.10423
15:42;70.43;416.92;0.10118
15:48;69.85;432.64;0.10672
15:54;69.53;420.42;0.10286
16:00;70.17;414.92;0.10303
16:06;70.05;436.54;0.10720
16:12;67.70;446.59;0.11279
16:18;65.00;460.81;0.11987
16:24;66.31;441.44;0.11265
16:30;67.20;437.67;0.10930
16:36;67.53;433.31;0.10855
16:42;65.04;430.41;0.11031
16:48;64.23;433.26;0.11357
16:54;63.66;428.34;0.11044
17:00;63.77;430.81;0.11120
17:06;63.03;429.73;0.11223
17:12;61.12;440.97;0.11591
17:18;59.69;436.16;0.11885
17:24;59.98;431.76;0.11487
17:30;57.91;407.92;0.11775
17:36;57.71;422.62;0.11990
17:42;58.47;405.92;0.11742
17:48;58.39;408.36;0.12214
17:54;57.05;401.42;0.12332
18:00;58.93;404.19;0.11765
18:06;57.41;386.42;0.11727
18:12;56.31;400.83;0.11734
18:18;54.84;415.83;0.12632
18:24;55.04;412.94;0.12396
18:30;56.11;405.74;0.11991
18:36;57.86;413.77;0.11662
18:42;59.79;409.49;0.11086
18:48;60.41;391.74;0.10900
18:54;61.91;384.57;0.10428
19:00;61.91;366.34;0.09676
19:06;65.92;377.36;0.09565
19:12;65.88;380.97;0.09560
19:18;67.23;372.52;0.09193
19:24;68.63;363.03;0.08753
19:30;70.37;348.03;0.08029
19:36;70.76;347.30;0.07952
19:42;70.85;341.18;0.07792
19:48;70.54;328.85;0.07597
19:54;72.94;306.70;0.06857
20:00;75.33;290.27;0.06237
20:06;73.98;298.61;0.06489
20:12;76.17;279.39;0.05974
20:18;77.14;245.76;0.05138
20:24;78.85;225.06;0.04740
20:30;78.35;204.03;0.04398
20:36;80.25;186.24;0.03976
20:42;80.63;178.62;0.03766
20:48;80.26;164.09;0.03591
20:54;77.09;153.10;0.03633
21:00;78.49;140.50;0.03803
21:06;75.19;137.79;0.03830
21:12;79.87;139.75;0.03763
21:18;76.43;126.76;0.03713
21:24;78.47;130.69;0.03721
21:30;79.75;126.88;0.03655
21:36;79.67;115.97;0.03292
21:42;78.30;112.03;0.03319
21:48;76.07;116.09;0.03855
21:54;76.26;109.97;0.03619
22:00;75.25;108.06;0.03966
22:06;71.10;105.03;0.03871
22:12;69.68;112.75;0.04218
22:18;72.01;101.09;0.04011
22:24;72.37;86.22;0.03569
22:30;74.97;84.35;0.03403
22:36;71.55;91.67;0.03590
22:42;77.78;91.71;0.03366
22:48;70.93;90.73;0.03480
22:54;70.33;84.80;0.03316
23:00;75.74;93.67;0.03578
23:06;73.57;90.54;0.03767
23:12;78.37;83.93;0.03093
23:18;77.95;84.81;0.03322
23:24;76.06;78.67;0.02840
23:30;75.80;73.25;0.03126
23:36;76.13;67.48;0.02800
23:42;78.08;63.43;0.02479
23:48;76.34;56.69;0.02302
23:54;76.60;56.18;0.02294
