heure;vitesse;debit;occupation
00:00;92.02;49.25;0.00908
00:06;91.94;41.85;0.00781
00:12;93.72;39.30;0.00731
00:18;93.43;41.50;0.00735
00:24;93.53;45.05;0.00772
00:30;92.51;36.43;0.00721
00:36;88.27;32.80;0.00621
00:42;91.56;31.90;0.00708
00:48;93.77;30.52;0.00599
00:54;94.07;28.05;0.00626
01:00;95.09;25.24;0.00526
01:06;92.62;21.33;0.00515
01:12;93.95;21.62;0.00501
01:18;87.79;20.00;0.00612
01:24;94.53;21.00;0.00533
01:30;93.96;20.50;0.00495
01:36;93.89;19.00;0.00441
01:42;93.69;20.20;0.00519
01:48;92.98;20.60;0.00503
01:54;93.51;16.20;0.00487
02:00;95.21;15.60;0.00464
02:06;95.02;16.45;0.00459
02:12;95.55;15.05;0.00446
02:18;96.40;16.75;0.00483
02:24;93.37;16.00;0.00454
02:30;91.10;15.30;0.00485
02:36;91.84;15.65;0.00470
02:42;91.84;16.24;0.00520
02:48;94.86;16.05;0.00466
02:54;93.53;18.35;0.00536
03:00;94.03;19.15;0.00477
03:06;91.87;18.70;0.00537
03:12;92.28;15.79;0.00527
03:18;93.79;14.65;0.00450
03:24;93.59;15.55;0.00499
03:30;93.42;18.11;0.00520
03:36;93.84;17.95;0.00536
03:42;95.45;18.95;0.00556
03:48;95.72;21.16;0.00586
03:54;93.90;23.63;0.00601
04:00;93.63;21.47;0.00552
04:06;88.31;20.68;0.00550
04:12;92.32;23.89;0.00648
04:18;93.59;26.47;0.00717
04:24;92.13;31.37;0.00745
04:30;92.70;34.32;0.00802
04:36;94.39;43.05;0.00924
04:42;95.01;48.47;0.00994
04:48;94.02;55.58;0.01155
04:54;94.82;51.68;0.01049
05:00;93.26;55.89;0.01179
05:06;92.60;60.79;0.01288
05:12;92.36;65.45;0.01293
05:18;92.13;81.00;0.01562
05:24;93.22;95.30;0.01700
05:30;92.32;105.95;0.01733
05:36;92.88;131.75;0.02170
05:42;94.56;145.75;0.02307
05:48;93.07;149.20;0.02460
05:54;93.54;148.35;0.02422
06:00;92.04;158.95;0.02613
06:06;91.72;179.45;0.03008
06:12;90.62;230.55;0.03939
06:18;89.88;268.60;0.04548
06:24;88.91;318.15;0.05292
06:30;86.37;361.00;0.06104
06:36;83.42;446.05;0.07815
06:42;79.40;525.15;0.09552
06:48;73.13;583.90;0.11481
06:54;67.92;582.65;0.12399
07:00;62.49;571.85;0.13183
07:06;61.04;534.52;0.12970
07:12;62.21;554.60;0.12861
07:18;60.24;536.30;0.13069
07:24;60.38;539.50;0.13177
07:30;62.08;548.95;0.12773
07:36;61.47;517.90;0.12624
07:42;55.47;520.43;0.13223
07:48;59.75;541.80;0.13451
07:54;60.14;530.35;0.13696
08:00;63.66;530.20;0.12671
08:06;63.15;521.25;0.12613
08:12;59.97;529.40;0.13879
08:18;60.12;513.70;0.13444
08:24;62.40;510.25;0.12989
08:30;59.32;488.27;0.13170
08:36;62.60;500.27;0.12670
08:42;61.58;492.38;0.13011
08:48;57.44;428.00;0.12658
08:54;57.84;419.68;0.12255
09:00;64.10;455.10;0.11992
09:06;64.92;446.38;0.12096
09:12;67.29;433.32;0.10532
09:18;70.73;452.18;0.10880
09:24;75.62;437.50;0.09509
09:30;76.09;394.83;0.08160
09:36;80.18;452.05;0.08649
09:42;78.77;432.76;0.08811
09:48;80.92;435.67;0.08338
09:54;82.59;430.57;0.07978
10:00;84.34;409.24;0.07468
10:06;85.16;405.05;0.07291
10:12;84.66;401.62;0.07203
10:18;84.13;408.29;0.07418
10:24;84.42;408.67;0.07367
10:30;84.21;420.43;0.07612
10:36;84.30;428.38;0.07712
10:42;81.50;408.05;0.08095
10:48;83.25;417.27;0.07683
10:54;84.07;424.41;0.07633
11:00;83.82;417.95;0.07599
11:06;83.80;431.59;0.07775
11:12;84.20;409.17;0.07370
11:18;84.23;425.65;0.07604
11:24;84.19;441.22;0.07778
11:30;83.58;448.30;0.07960
11:36;83.76;444.83;0.07930
11:42;83.72;449.48;0.07952
11:48;84.00;444.13;0.07823
11:54;85.10;428.62;0.07726
12:00;84.76;444.42;0.07794
12:06;84.98;466.62;0.08001
12:12;84.91;463.29;0.07969
12:18;85.04;456.38;0.07870
12:24;85.59;420.83;0.07246
12:30;85.86;407.54;0.07012
12:36;86.17;394.42;0.06783
12:42;86.35;386.21;0.06520
12:48;86.74;373.08;0.06336
12:54;86.83;366.75;0.06246
13:00;86.21;375.62;0.06408
13:06;85.87;392.04;0.06675
13:12;85.39;418.88;0.07136
13:18;85.37;431.08;0.07413
13:24;84.70;437.71;0.07503
13:30;83.91;452.42;0.07867
13:36;83.92;455.58;0.08043
13:42;83.82;477.00;0.08277
13:48;84.42;473.33;0.08152
13:54;84.58;440.12;0.07649
14:00;84.46;426.71;0.07429
14:06;84.28;447.71;0.07762
14:12;83.78;469.33;0.08118
14:18;83.18;465.96;0.08280
14:24;83.60;455.17;0.07951
14:30;83.18;445.79;0.07896
14:36;83.51;442.92;0.07875
14:42;83.67;446.46;0.07824
14:48;83.57;447.67;0.07870
14:54;83.54;440.25;0.07833
15:00;83.37;436.08;0.07727
15:06;82.91;446.17;0.07983
15:12;82.19;470.29;0.08356
15:18;81.94;471.83;0.08492
15:24;81.49;476.21;0.08536
15:30;80.59;484.33;0.08811
15:36;78.88;477.38;0.08939
15:42;78.98;495.75;0.09315
15:48;79.09;509.50;0.09380
15:54;78.74;492.70;0.09078
16:00;78.40;488.54;0.09418
16:06;78.22;529.12;0.09773
16:12;76.29;531.38;0.10240
16:18;76.02;556.38;0.10444
16:24;76.41;546.58;0.10154
16:30;76.46;521.38;0.09788
16:36;75.93;532.54;0.09927
16:42;73.43;520.08;0.10109
16:48;70.74;530.57;0.10867
16:54;70.86;524.96;0.10661
17:00;68.77;523.78;0.10957
17:06;65.10;527.22;0.11863
17:12;60.98;544.91;0.12730
17:18;54.00;498.48;0.13250
17:24;54.04;510.77;0.13326
17:30;54.65;505.14;0.13112
17:36;52.58;486.18;0.13410
17:42;53.39;494.68;0.13183
17:48;52.92;474.32;0.13415
17:54;52.69;476.18;0.13288
18:00;53.96;478.77;0.13080
18:06;57.76;477.36;0.12535
18:12;55.40;488.77;0.12605
18:18;56.02;511.81;0.13135
18:24;56.63;500.71;0.13169
18:30;60.17;499.86;0.12468
18:36;60.28;504.24;0.12157
18:42;61.92;493.90;0.11767
18:48;65.06;469.67;0.10565
18:54;68.05;455.33;0.09804
19:00;70.96;437.33;0.09394
19:06;73.11;440.20;0.08757
19:12;75.42;444.45;0.08204
19:18;75.73;437.25;0.08076
19:24;77.21;427.20;0.07783
19:30;77.67;410.05;0.07535
19:36;79.16;394.55;0.07099
19:42;79.40;374.45;0.06884
19:48;79.73;359.05;0.06270
19:54;83.68;340.20;0.05563
20:00;84.84;316.65;0.05097
20:06;84.99;326.75;0.05194
20:12;86.17;304.95;0.04777
20:18;87.13;263.85;0.04077
20:24;87.96;236.55;0.03638
20:30;88.69;214.15;0.03320
20:36;89.48;195.05;0.02952
20:42;88.71;187.50;0.02870
20:48;88.18;169.05;0.02673
20:54;88.95;155.89;0.02419
21:00;89.67;149.29;0.02305
21:06;85.08;139.71;0.02109
21:12;85.20;137.70;0.02077
21:18;89.60;140.85;0.02150
21:24;89.73;137.40;0.02109
21:30;89.63;128.86;0.01958
21:36;89.64;123.33;0.01883
21:42;89.47;124.55;0.01944
21:48;87.88;111.36;0.01832
21:54;88.26;110.86;0.01801
22:00;89.03;115.10;0.01787
22:06;88.97;120.70;0.01891
22:12;84.80;121.00;0.01855
22:18;87.78;112.95;0.01771
22:24;85.75;97.42;0.01526
22:30;88.90;93.26;0.01505
22:36;87.01;87.19;0.01491
22:42;89.68;90.55;0.01479
22:48;87.94;93.42;0.01520
22:54;89.31;90.84;0.01489
23:00;89.47;92.63;0.01481
23:06;89.81;89.55;0.01510
23:12;86.53;85.30;0.01372
23:18;89.39;82.85;0.01377
23:24;85.85;75.53;0.01228
23:30;89.95;76.74;0.01381
23:36;88.50;70.74;0.01265
23:42;90.37;61.21;0.01061
23:48;86.75;58.74;0.01030
23:54;91.17;63.22;0.01080
