heure;vitesse;debit;occupation
00:00;81.11;27.59;0.00810
00:06;80.22;23.25;0.00774
00:12;80.39;24.75;0.00836
00:18;81.32;22.92;0.00719
00:24;81.32;21.77;0.00727
00:30;80.54;19.48;0.00699
00:36;81.24;18.74;0.00626
00:42;78.52;17.43;0.00648
00:48;79.70;17.04;0.00652
00:54;81.09;16.12;0.00623
01:00;78.64;15.26;0.00726
01:06;79.08;14.15;0.00665
01:12;79.63;14.15;0.00702
01:18;80.69;13.44;0.00626
01:24;81.89;13.76;0.00668
01:30;80.85;14.32;0.00606
01:36;77.91;12.81;0.01590
01:42;78.77;14.08;0.00602
01:48;80.91;13.31;0.00695
01:54;81.22;11.50;0.00633
02:00;81.71;11.44;0.00606
02:06;80.87;9.96;0.00585
02:12;81.10;11.00;0.00667
02:18;81.56;11.88;0.00588
02:24;81.12;12.44;0.00671
02:30;81.37;12.64;0.00652
02:36;81.10;12.08;0.00655
02:42;82.56;13.16;0.00613
02:48;81.75;13.76;0.00644
02:54;81.69;13.76;0.00697
03:00;80.97;15.84;0.00628
03:06;81.27;15.92;0.00678
03:12;80.48;12.43;0.00559
03:18;81.36;12.44;0.00701
03:24;81.33;14.16;0.00731
03:30;81.99;14.62;0.00777
03:36;82.85;14.68;0.00772
03:42;82.01;15.48;0.00723
03:48;78.46;16.68;0.00708
03:54;81.92;19.83;0.00776
04:00;82.46;18.29;0.00747
04:06;81.93;17.79;0.00703
04:12;81.25;19.04;0.00822
04:18;81.98;24.67;0.00942
04:24;81.72;26.62;0.01028
04:30;82.28;29.12;0.01065
04:36;82.42;34.54;0.01178
04:42;82.42;42.44;0.01250
04:48;82.68;44.16;0.01323
04:54;82.75;37.26;0.01296
05:00;82.05;42.25;0.01353
05:06;82.11;49.21;0.01538
05:12;82.14;55.14;0.01656
05:18;82.32;69.03;0.01851
05:24;82.14;73.83;0.01919
05:30;81.63;88.45;0.02145
05:36;80.69;106.21;0.02365
05:42;82.12;112.34;0.02464
05:48;82.00;115.17;0.02516
05:54;79.24;110.90;0.02451
06:00;81.82;124.18;0.02704
06:06;81.58;153.55;0.03359
06:12;80.77;187.28;0.03979
06:18;81.03;231.24;0.04829
06:24;80.73;259.79;0.05382
06:30;79.88;295.52;0.06076
06:36;78.93;362.79;0.07599
06:42;76.58;374.59;0.08034
06:48;74.14;363.07;0.08496
06:54;68.19;353.52;0.09873
07:00;55.39;344.29;0.12672
07:06;42.56;286.94;0.15289
07:12;33.85;262.30;0.18312
07:18;34.97;272.47;0.18589
07:24;35.18;232.35;0.17920
07:30;34.15;226.93;0.18406
07:36;33.14;203.58;0.18780
07:42;32.62;189.66;0.16170
07:48;34.93;173.94;0.15839
07:54;32.12;208.90;0.20123
08:00;32.99;200.39;0.17392
08:06;33.53;197.71;0.16822
08:12;34.93;186.97;0.16703
08:18;32.89;169.94;0.15801
08:24;34.26;141.53;0.14019
08:30;34.46;150.46;0.15293
08:36;34.58;136.06;0.12441
08:42;35.88;153.40;0.14009
08:48;38.83;172.65;0.14176
08:54;42.25;199.84;0.14262
09:00;46.11;213.17;0.12328
09:06;49.59;215.31;0.11383
09:12;55.24;209.63;0.09678
09:18;59.67;226.76;0.09936
09:24;61.89;226.63;0.09129
09:30;65.04;215.77;0.07868
09:36;68.30;244.14;0.07584
09:42;68.85;227.84;0.07623
09:48;68.83;227.08;0.07922
09:54;72.22;230.44;0.07218
10:00;74.09;220.76;0.07158
10:06;74.22;224.08;0.06765
10:12;74.53;227.47;0.06546
10:18;73.55;221.94;0.06605
10:24;73.61;225.43;0.06557
10:30;77.76;232.89;0.06045
10:36;77.53;231.03;0.05922
10:42;74.55;221.06;0.06343
10:48;73.70;223.44;0.06600
10:54;76.28;225.27;0.06095
11:00;75.86;236.22;0.06188
11:06;77.16;220.38;0.05789
11:12;79.01;234.38;0.05823
11:18;75.78;239.32;0.05939
11:24;78.92;252.83;0.05924
11:30;78.87;247.51;0.05821
11:36;79.53;246.32;0.05669
11:42;79.39;249.68;0.05771
11:48;79.88;249.73;0.05676
11:54;80.42;253.82;0.05806
12:00;80.84;251.84;0.05578
12:06;80.24;268.97;0.05855
12:12;80.59;271.79;0.05862
12:18;79.45;261.50;0.05720
12:24;80.48;241.89;0.05259
12:30;80.20;231.13;0.04991
12:36;79.42;230.29;0.05062
12:42;79.59;215.26;0.04619
12:48;81.19;210.84;0.04563
12:54;80.73;207.79;0.04530
13:00;81.16;210.05;0.04579
13:06;79.59;220.64;0.04776
13:12;80.98;228.92;0.04907
13:18;80.62;234.23;0.05153
13:24;80.32;237.28;0.05122
13:30;79.50;245.05;0.05324
13:36;80.38;238.26;0.05213
13:42;79.01;241.08;0.05239
13:48;79.14;234.87;0.05033
13:54;80.03;226.69;0.04970
14:00;78.75;217.44;0.04708
14:06;78.57;224.54;0.05005
14:12;78.07;233.08;0.05074
14:18;78.45;232.28;0.05184
14:24;78.44;234.77;0.05171
14:30;78.99;230.36;0.05106
14:36;79.05;223.51;0.05051
14:42;77.99;229.90;0.05111
14:48;79.02;235.67;0.05286
14:54;77.59;225.38;0.05111
15:00;78.40;224.41;0.05071
15:06;78.44;233.59;0.05272
15:12;78.73;239.28;0.05378
15:18;78.13;243.37;0.05570
15:24;77.92;241.87;0.05556
15:30;77.82;243.13;0.05528
15:36;79.15;253.79;0.05704
15:42;79.06;242.46;0.05560
15:48;77.36;240.33;0.05735
15:54;78.36;225.92;0.05294
16:00;79.44;216.79;0.05324
16:06;77.85;220.00;0.05177
16:12;76.76;169.59;0.04597
16:18;76.26;162.86;0.04337
16:24;74.51;178.63;0.04933
16:30;73.60;212.97;0.05354
16:36;73.93;194.87;0.05653
16:42;72.49;183.72;0.05496
16:48;69.58;179.97;0.06027
16:54;72.48;179.24;0.05543
17:00;73.64;191.97;0.05917
17:06;66.60;155.84;0.05640
17:12;58.75;134.27;0.05824
17:18;57.30;155.86;0.08652
17:24;50.44;159.46;0.09003
17:30;47.25;191.49;0.10587
17:36;47.64;202.03;0.11262
17:42;44.84;161.16;0.10874
17:48;46.05;188.67;0.10842
17:54;42.02;175.89;0.12929
18:00;44.42;204.33;0.11683
18:06;44.39;192.64;0.12626
18:12;46.26;188.86;0.10880
18:18;41.20;174.60;0.11440
18:24;42.43;212.11;0.12282
18:30;42.46;198.77;0.12512
18:36;46.64;197.97;0.10738
18:42;51.78;198.94;0.09457
18:48;57.34;206.06;0.08530
18:54;63.63;202.46;0.07022
19:00;67.43;179.37;0.05503
19:06;71.06;177.76;0.05660
19:12;70.50;181.82;0.05626
19:18;72.16;191.06;0.05343
19:24;73.00;179.79;0.04807
19:30;74.42;187.82;0.05320
19:36;74.91;189.73;0.04678
19:42;75.71;180.21;0.04599
19:48;75.98;178.94;0.04206
19:54;77.17;167.42;0.03944
20:00;79.08;153.27;0.03419
20:06;79.11;146.21;0.03275
20:12;79.46;147.15;0.03229
20:18;79.37;133.30;0.02962
20:24;79.60;121.58;0.02738
20:30;79.82;109.61;0.02474
20:36;80.37;103.94;0.02336
20:42;80.21;104.45;0.02319
20:48;80.36;93.70;0.02141
20:54;80.29;92.91;0.02175
21:00;80.41;82.18;0.01920
21:06;78.04;75.64;0.01790
21:12;79.02;71.78;0.01674
21:18;78.13;74.25;0.01721
21:24;81.04;72.81;0.01708
21:30;80.29;64.61;0.01574
21:36;80.00;61.53;0.01500
21:42;77.23;59.12;0.01784
21:48;79.45;57.62;0.01676
21:54;77.28;53.94;0.01481
22:00;77.08;51.42;0.01494
22:06;74.26;63.26;0.01606
22:12;77.94;74.48;0.01722
22:18;79.52;62.48;0.01537
22:24;79.34;48.87;0.01268
22:30;78.07;51.41;0.01347
22:36;80.73;53.89;0.01324
22:42;79.39;54.32;0.01521
22:48;76.49;49.38;0.01242
22:54;81.03;53.58;0.01288
23:00;81.54;47.65;0.01174
23:06;80.09;48.75;0.01245
23:12;80.60;47.74;0.01192
23:18;81.53;49.69;0.01244
23:24;80.46;43.15;0.01181
23:30;77.17;40.14;0.01237
23:36;79.05;36.75;0.01079
23:42;78.85;33.59;0.00922
23:48;80.48;31.11;0.00983
23:54;80.53;31.21;0.00894
