heure;vitesse;debit;occupation
00:00;81.83;49.63;0.01303
00:06;82.10;46.29;0.01260
00:12;81.90;41.32;0.01167
00:18;81.64;40.35;0.01095
00:24;81.58;39.13;0.01086
00:30;81.50;35.84;0.01023
00:36;78.46;31.42;0.00922
00:42;81.60;27.31;0.00886
00:48;80.97;26.66;0.00809
00:54;80.97;23.84;0.00732
01:00;81.30;21.65;0.00714
01:06;81.65;19.40;0.00622
01:12;81.13;17.77;0.00604
01:18;81.41;16.86;0.00573
01:24;80.86;16.19;0.00571
01:30;81.11;15.04;0.00587
01:36;81.33;13.96;0.00583
01:42;80.81;13.64;0.00555
01:48;80.31;13.61;0.00616
01:54;81.43;12.44;0.00587
02:00;80.67;13.11;0.00589
02:06;80.39;12.04;0.00555
02:12;81.64;10.44;0.00500
02:18;81.27;10.86;0.00707
02:24;82.95;10.71;0.00566
02:30;80.52;9.11;0.00505
02:36;81.55;10.54;0.00594
02:42;80.23;9.79;0.00617
02:48;81.60;10.32;0.00566
02:54;82.42;9.96;0.00540
03:00;80.92;9.78;0.00576
03:06;80.50;9.96;0.00619
03:12;79.76;10.57;0.00592
03:18;80.53;9.41;0.00548
03:24;79.93;9.36;0.00609
03:30;78.02;9.19;0.00615
03:36;79.69;11.69;0.00615
03:42;80.37;16.23;0.00651
03:48;80.08;17.27;0.00749
03:54;80.09;13.23;0.00603
04:00;80.35;12.38;0.00617
04:06;80.92;13.73;0.00688
04:12;80.47;17.46;0.00779
04:18;79.99;17.62;0.00842
04:24;80.25;20.31;0.00846
04:30;80.64;23.69;0.00934
04:36;80.59;27.00;0.01049
04:42;80.06;29.11;0.01275
04:48;81.66;33.30;0.01173
04:54;81.40;30.96;0.01093
05:00;78.44;32.00;0.01121
05:06;80.97;36.00;0.01215
05:12;80.88;47.41;0.01525
05:18;80.67;49.30;0.01574
05:24;80.95;56.37;0.01768
05:30;80.57;71.19;0.02197
05:36;80.96;78.78;0.02426
05:42;80.64;85.33;0.02579
05:48;80.81;87.26;0.02661
05:54;81.39;85.56;0.02589
06:00;81.35;88.96;0.02863
06:06;80.86;103.81;0.03162
06:12;80.93;120.11;0.03728
06:18;80.79;137.00;0.04102
06:24;80.57;154.30;0.04742
06:30;79.64;164.26;0.05142
06:36;79.65;184.78;0.05774
06:42;79.24;204.41;0.06404
06:48;79.61;205.56;0.06399
06:54;78.82;214.85;0.06777
07:00;78.71;226.85;0.06959
07:06;78.20;237.79;0.07590
07:12;77.59;261.46;0.08135
07:18;74.46;255.39;0.07864
07:24;76.77;256.34;0.07880
07:30;75.43;260.79;0.08523
07:36;74.13;268.74;0.09169
07:42;75.15;284.03;0.08875
07:48;76.11;284.29;0.08666
07:54;76.17;285.61;0.08706
08:00;76.34;265.55;0.08261
08:06;74.92;291.27;0.09122
08:12;74.61;284.65;0.08893
08:18;74.67;287.13;0.09058
08:24;75.15;272.44;0.08692
08:30;74.18;280.03;0.08798
08:36;72.95;282.82;0.09521
08:42;71.15;293.12;0.09886
08:48;71.13;277.35;0.09872
08:54;72.64;276.00;0.09190
09:00;74.65;259.64;0.08398
09:06;75.45;244.30;0.08016
09:12;73.90;238.74;0.07747
09:18;76.39;249.58;0.08021
09:24;76.33;241.91;0.08033
09:30;75.32;232.53;0.07350
09:36;78.86;240.81;0.07223
09:42;78.64;239.06;0.07268
09:48;79.10;236.53;0.07174
09:54;79.70;228.13;0.06962
10:00;79.53;222.26;0.06699
10:06;79.44;225.97;0.06848
10:12;79.77;232.17;0.07040
10:18;79.80;245.27;0.07270
10:24;79.73;245.73;0.07280
10:30;79.85;246.03;0.07369
10:36;79.56;247.17;0.07451
10:42;79.90;242.35;0.07269
10:48;79.91;247.48;0.07343
10:54;79.93;247.84;0.07231
11:00;80.01;247.55;0.07240
11:06;80.21;242.26;0.07150
11:12;80.07;253.77;0.07311
11:18;80.19;257.87;0.07435
11:24;80.10;256.71;0.07378
11:30;80.26;252.56;0.07406
11:36;80.29;246.50;0.07086
11:42;80.32;249.47;0.07272
11:48;80.47;260.38;0.07363
11:54;80.36;251.18;0.07199
12:00;80.42;258.88;0.07284
12:06;80.65;266.18;0.07418
12:12;80.18;266.48;0.07415
12:18;80.44;265.88;0.07347
12:24;80.59;263.91;0.07317
12:30;80.85;252.64;0.07050
12:36;81.17;252.24;0.07010
12:42;81.01;247.82;0.06936
12:48;81.22;243.45;0.06738
12:54;81.40;231.26;0.06480
13:00;81.36;237.00;0.06455
13:06;81.24;242.85;0.06747
13:12;80.49;253.71;0.06986
13:18;80.51;260.29;0.07124
13:24;80.50;262.74;0.07169
13:30;79.96;276.94;0.07626
13:36;79.68;281.15;0.07892
13:42;79.70;286.09;0.07889
13:48;79.75;287.53;0.07958
13:54;80.01;277.76;0.07632
14:00;80.12;268.03;0.07399
14:06;79.77;280.18;0.07717
14:12;79.34;278.62;0.07779
14:18;79.01;278.32;0.07743
14:24;79.02;280.91;0.07934
14:30;78.47;274.06;0.07857
14:36;77.84;272.56;0.07944
14:42;77.51;272.62;0.08016
14:48;77.41;264.00;0.07879
14:54;77.85;265.71;0.07856
15:00;77.46;266.79;0.07964
15:06;77.30;275.68;0.08361
15:12;77.11;277.32;0.08304
15:18;77.44;278.30;0.08214
15:24;78.48;283.71;0.08151
15:30;78.84;286.21;0.08083
15:36;78.79;285.52;0.07989
15:42;78.14;266.32;0.07603
15:48;77.53;271.79;0.07633
15:54;77.38;271.38;0.07700
16:00;77.67;267.50;0.07596
16:06;76.91;295.38;0.08287
16:12;76.47;298.91;0.08644
16:18;75.45;315.36;0.08994
16:24;76.57;297.15;0.08470
16:30;75.98;292.68;0.08356
16:36;76.57;289.47;0.08173
16:42;77.02;277.85;0.07652
16:48;77.46;293.64;0.08061
16:54;76.75;288.39;0.08055
17:00;76.91;293.38;0.08100
17:06;76.13;296.28;0.08275
17:12;75.60;302.50;0.08451
17:18;75.91;307.45;0.08735
17:24;75.91;300.69;0.08322
17:30;75.77;293.50;0.08185
17:36;75.42;298.84;0.08191
17:42;75.35;301.34;0.08354
17:48;73.72;284.87;0.08652
17:54;74.06;281.81;0.08155
18:00;73.30;283.39;0.08789
18:06;73.12;284.06;0.08704
18:12;73.02;288.03;0.08679
18:18;72.35;285.23;0.08562
18:24;72.91;275.63;0.07645
18:30;73.50;274.80;0.07608
18:36;73.92;281.93;0.07756
18:42;75.49;266.33;0.07397
18:48;75.47;257.33;0.06987
18:54;73.30;244.90;0.06700
19:00;75.76;250.45;0.06869
19:06;75.88;261.76;0.07082
19:12;75.85;265.31;0.07131
19:18;76.47;263.97;0.07028
19:24;76.11;256.45;0.06798
19:30;77.21;244.34;0.06337
19:36;77.86;242.97;0.06357
19:42;77.58;231.03;0.06087
19:48;77.38;225.17;0.05832
19:54;78.18;214.45;0.05555
20:00;79.30;199.17;0.05061
20:06;80.45;195.45;0.05001
20:12;80.22;200.00;0.05097
20:18;79.88;185.72;0.04779
20:24;80.68;171.59;0.04410
20:30;80.55;159.83;0.04138
20:36;81.04;146.52;0.03794
20:42;80.98;138.39;0.03549
20:48;81.48;123.86;0.03275
20:54;81.46;120.78;0.03215
21:00;81.40;110.90;0.03025
21:06;78.66;115.31;0.03000
21:12;81.37;114.64;0.02983
21:18;78.63;115.76;0.02999
21:24;81.35;114.39;0.02978
21:30;81.49;113.52;0.03029
21:36;81.49;102.87;0.02819
21:42;81.71;101.07;0.02798
21:48;81.60;104.29;0.02869
21:54;81.64;98.97;0.02610
22:00;81.41;96.84;0.02560
22:06;81.56;96.13;0.02547
22:12;81.51;94.00;0.02491
22:18;82.04;87.53;0.02322
22:24;81.84;85.77;0.02325
22:30;81.93;86.17;0.02263
22:36;81.69;80.93;0.02166
22:42;81.74;80.27;0.02094
22:48;81.57;77.77;0.02060
22:54;81.81;77.77;0.02071
23:00;81.69;75.93;0.02051
23:06;81.71;73.20;0.01966
23:12;81.30;74.16;0.02026
23:18;81.99;72.55;0.01922
23:24;81.87;69.88;0.01889
23:30;82.09;69.62;0.01840
23:36;81.94;63.84;0.01713
23:42;82.05;63.62;0.01691
23:48;81.91;59.32;0.01615
23:54;82.10;59.71;0.01577
