heure;vitesse;debit;occupation
00:00;79.37;27.60;0.00718
00:06;81.73;27.50;0.00726
00:12;82.00;26.00;0.00700
00:18;74.64;20.91;0.02743
00:24;73.66;18.64;0.00658
00:30;82.00;18.60;0.00608
00:36;77.30;17.25;0.00697
00:42;74.39;16.55;0.00497
00:48;82.58;16.70;0.00493
00:54;73.12;14.90;0.00501
01:00;82.04;16.56;0.00502
01:06;81.30;13.56;0.00497
01:12;82.08;13.11;0.00496
01:18;81.51;12.25;0.00569
01:24;81.97;12.50;0.00651
01:30;81.06;15.86;0.00623
01:36;80.74;13.75;0.00578
01:42;82.45;15.12;0.00561
01:48;81.81;14.75;0.00554
01:54;81.22;15.25;0.00633
02:00;81.19;10.38;0.00510
02:06;69.72;7.75;0.00399
02:12;80.14;10.50;0.00579
02:18;82.57;10.38;0.00543
02:24;80.75;12.62;0.00632
02:30;80.66;12.62;0.00626
02:36;81.74;11.62;0.00562
02:42;82.37;11.00;0.00496
02:48;80.93;14.88;0.00735
02:54;82.92;15.38;0.00808
03:00;82.68;17.50;0.00604
03:06;82.13;12.75;0.00425
03:12;79.90;17.25;0.00631
03:18;81.80;11.62;0.00415
03:24;82.31;13.38;0.00657
03:30;82.40;14.00;0.00621
03:36;84.31;15.57;0.00675
03:42;82.98;14.12;0.00699
03:48;72.09;15.75;0.00572
03:54;81.45;19.43;0.00715
04:00;83.18;18.86;0.00686
04:06;81.45;17.71;0.00761
04:12;81.56;21.43;0.00729
04:18;82.66;24.00;0.00818
04:24;82.28;26.43;0.00952
04:30;82.61;31.86;0.00977
04:36;82.26;33.00;0.00936
04:42;83.19;42.38;0.01180
04:48;83.30;41.75;0.01104
04:54;73.85;31.89;0.01074
05:00;82.11;42.78;0.01380
05:06;83.88;49.60;0.01476
05:12;82.43;59.80;0.01571
05:18;83.12;70.40;0.01620
05:24;83.03;71.30;0.01670
05:30;82.64;82.00;0.01999
05:36;82.46;116.60;0.02255
05:42;82.89;112.30;0.02224
05:48;82.86;113.10;0.02237
05:54;82.97;102.10;0.02160
06:00;83.00;126.50;0.02454
06:06;82.20;159.40;0.03085
06:12;82.19;189.30;0.03649
06:18;81.90;227.50;0.04273
06:24;82.03;272.60;0.04872
06:30;81.31;315.60;0.05698
06:36;80.47;396.70;0.07291
06:42;79.24;441.60;0.08344
06:48;77.49;492.90;0.09281
06:54;69.44;490.40;0.11353
07:00;63.64;484.70;0.12415
07:06;53.84;408.73;0.14829
07:12;43.74;355.33;0.16212
07:18;32.19;282.83;0.15795
07:24;38.52;285.83;0.16244
07:30;30.62;279.36;0.20030
07:36;33.23;278.00;0.17139
07:42;29.80;261.40;0.17055
07:48;30.83;298.07;0.18708
07:54;31.14;279.14;0.17832
08:00;31.07;281.93;0.19007
08:06;30.74;259.79;0.18565
08:12;35.70;269.79;0.17772
08:18;31.56;265.79;0.18838
08:24;34.40;235.94;0.18693
08:30;36.44;275.25;0.15959
08:36;37.86;246.00;0.19319
08:42;37.26;273.19;0.18205
08:48;37.22;264.33;0.16896
08:54;38.84;272.56;0.20372
09:00;41.05;284.94;0.16146
09:06;51.98;263.06;0.14116
09:12;57.61;273.68;0.10205
09:18;57.99;302.22;0.13468
09:24;62.59;289.21;0.10096
09:30;63.31;280.53;0.10015
09:36;67.87;308.94;0.09606
09:42;71.67;295.00;0.08417
09:48;71.49;281.76;0.08809
09:54;71.96;278.38;0.07519
10:00;71.00;261.94;0.08230
10:06;71.14;259.59;0.07912
10:12;71.81;264.29;0.07024
10:18;73.98;254.38;0.06928
10:24;74.47;284.07;0.07222
10:30;77.57;285.00;0.06818
10:36;77.63;278.80;0.06647
10:42;73.59;252.25;0.07170
10:48;73.43;265.50;0.07692
10:54;74.08;253.59;0.08134
11:00;76.19;277.12;0.06764
11:06;77.70;261.88;0.06199
11:12;78.01;271.59;0.06724
11:18;80.57;278.12;0.05446
11:24;82.05;289.53;0.05553
11:30;81.90;278.11;0.05582
11:36;81.56;282.33;0.05418
11:42;81.89;279.06;0.05522
11:48;82.03;285.78;0.05398
11:54;82.27;272.53;0.05402
12:00;82.48;280.26;0.05207
12:06;81.96;298.11;0.05575
12:12;82.04;298.21;0.05556
12:18;81.88;292.58;0.05485
12:24;82.32;262.95;0.04871
12:30;82.25;259.26;0.04861
12:36;82.34;250.32;0.04749
12:42;82.82;236.05;0.04320
12:48;82.54;233.63;0.04380
12:54;82.67;230.89;0.04421
13:00;82.71;232.26;0.04324
13:06;82.46;242.47;0.04490
13:12;82.11;262.95;0.04880
