heure;vitesse;debit;occupation
00:00;87.04;25.43;0.00631
00:06;84.97;24.61;0.00877
00:12;88.16;24.00;0.00584
00:18;88.38;23.00;0.00615
00:24;88.21;21.11;0.00589
00:30;82.97;18.86;0.00888
00:36;84.88;17.90;0.00504
00:42;83.98;16.00;0.00587
00:48;86.78;16.86;0.00538
00:54;84.96;15.46;0.00498
01:00;88.60;15.67;0.00454
01:06;86.78;15.04;0.00522
01:12;88.15;12.74;0.00487
01:18;86.79;14.00;0.00540
01:24;87.83;13.38;0.00477
01:30;88.51;14.27;0.00513
01:36;87.47;13.12;0.00510
01:42;83.33;13.82;0.00545
01:48;86.56;12.52;0.00544
01:54;86.96;12.04;0.00563
02:00;88.10;10.54;0.00463
02:06;88.50;10.54;0.00526
02:12;89.01;10.92;0.00577
02:18;85.68;10.68;0.00532
02:24;86.53;12.33;0.00525
02:30;87.69;12.04;0.00537
02:36;87.86;12.12;0.00541
02:42;88.90;12.77;0.00515
02:48;88.03;13.46;0.00575
02:54;89.74;14.62;0.00608
03:00;87.55;15.58;0.00543
03:06;87.15;14.31;0.00501
03:12;85.89;12.59;0.00555
03:18;86.10;11.85;0.00580
03:24;85.57;13.35;0.00691
03:30;88.41;14.72;0.00623
03:36;88.74;14.88;0.00670
03:42;89.62;16.42;0.00610
03:48;89.89;17.52;0.00612
03:54;87.42;19.20;0.00625
04:00;87.65;17.68;0.00647
04:06;87.75;17.72;0.00597
04:12;87.00;20.56;0.00709
04:18;86.42;25.12;0.00809
04:24;87.85;25.16;0.00772
04:30;87.54;30.84;0.00975
04:36;88.33;33.69;0.01022
04:42;89.39;43.73;0.01095
04:48;88.82;42.96;0.01065
04:54;89.20;38.67;0.01023
05:00;87.99;43.75;0.01206
05:06;87.80;51.93;0.01313
05:12;87.28;58.07;0.01395
05:18;88.54;69.83;0.01494
05:24;88.66;75.79;0.01610
05:30;88.15;90.76;0.01794
05:36;89.29;106.34;0.01950
05:42;89.97;110.52;0.02010
05:48;90.04;113.86;0.02069
05:54;89.71;113.55;0.02055
06:00;89.18;126.90;0.02257
06:06;88.66;153.76;0.02763
06:12;88.00;194.59;0.03375
06:18;87.88;236.24;0.04021
06:24;87.33;265.79;0.04446
06:30;85.80;308.21;0.05228
06:36;84.01;396.21;0.06835
06:42;81.64;462.14;0.08063
06:48;79.18;494.21;0.08992
06:54;74.55;503.31;0.09895
07:00;67.08;486.90;0.11173
07:06;61.49;450.07;0.12050
07:12;48.17;388.13;0.14716
07:18;42.68;357.53;0.16214
07:24;42.81;341.48;0.16437
07:30;40.15;316.00;0.17185
07:36;38.05;305.32;0.18596
07:42;38.17;300.85;0.16691
07:48;39.05;306.12;0.16838
07:54;38.66;297.21;0.17070
08:00;41.22;296.52;0.16062
08:06;38.94;289.38;0.15934
08:12;39.89;285.53;0.15300
08:18;38.83;281.06;0.16488
08:24;40.66;273.56;0.14847
08:30;41.21;264.03;0.14765
08:36;41.49;257.53;0.13829
08:42;44.90;280.26;0.14323
08:48;42.94;255.65;0.15120
08:54;45.78;241.35;0.11576
09:00;49.56;234.19;0.11736
09:06;56.68;231.81;0.10501
09:12;61.08;239.95;0.09797
09:18;63.66;254.58;0.09538
09:24;64.33;248.24;0.09867
09:30;67.32;242.62;0.08338
09:36;70.18;259.57;0.08405
09:42;77.39;257.57;0.06690
09:48;80.83;257.57;0.06571
09:54;81.58;257.89;0.06285
10:00;82.03;249.24;0.05565
10:06;82.48;253.19;0.05794
10:12;81.60;248.92;0.04996
10:18;84.54;250.77;0.05122
10:24;83.77;257.11;0.05507
10:30;84.28;263.11;0.05270
10:36;84.45;261.89;0.05347
10:42;84.76;246.86;0.05157
10:48;83.92;255.22;0.05305
10:54;83.32;244.78;0.05454
11:00;83.32;256.89;0.05323
11:06;85.07;244.08;0.04707
11:12;86.66;257.59;0.04706
11:18;87.10;262.81;0.04772
11:24;86.99;263.72;0.04733
11:30;86.74;268.03;0.04929
11:36;86.89;264.76;0.04785
11:42;87.03;269.54;0.04933
11:48;87.28;268.03;0.04789
11:54;87.60;259.74;0.04734
12:00;87.92;265.55;0.04635
12:06;87.79;280.11;0.04862
12:12;87.68;282.92;0.04943
12:18;87.77;274.55;0.04805
12:24;87.83;252.84;0.04418
12:30;88.08;243.66;0.04257
12:36;88.15;241.18;0.04288
12:42;88.34;223.58;0.03848
12:48;88.33;220.32;0.03876
12:54;88.36;213.00;0.03876
13:00;88.18;224.13;0.03931
13:06;87.91;234.64;0.04108
13:12;87.68;252.72;0.04429
13:18;87.23;251.72;0.04448
13:24;87.38;256.16;0.04497
13:30;86.92;266.13;0.04679
13:36;86.89;266.16;0.04791
13:42;86.84;267.26;0.04889
13:48;86.94;267.21;0.04704
13:54;87.28;250.56;0.04503
14:00;87.12;245.69;0.04382
14:06;86.62;265.31;0.04723
14:12;86.32;276.18;0.04880
14:18;86.34;269.15;0.04836
14:24;86.01;265.36;0.04796
14:30;86.23;258.69;0.04660
14:36;86.65;259.79;0.04744
14:42;86.44;259.33;0.04695
14:48;86.55;260.36;0.04725
14:54;86.47;252.67;0.04700
15:00;86.45;253.49;0.04634
15:06;86.03;267.36;0.04873
15:12;85.54;274.92;0.05004
15:18;85.72;273.11;0.04996
15:24;85.42;272.08;0.05026
15:30;85.03;277.92;0.05112
15:36;85.46;285.45;0.05160
15:42;85.34;286.31;0.05253
15:48;85.30;286.67;0.05132
15:54;85.39;279.21;0.05011
16:00;85.23;279.33;0.05135
16:06;85.21;297.49;0.05350
16:12;84.68;308.38;0.05563
16:18;84.20;322.57;0.05669
16:24;84.17;310.38;0.05601
16:30;84.59;308.92;0.05418
16:36;84.59;311.74;0.05462
16:42;84.40;313.28;0.05463
16:48;83.86;316.74;0.05539
16:54;82.33;313.58;0.06037
17:00;82.68;317.29;0.05735
17:06;80.59;327.50;0.06211
17:12;77.29;346.13;0.07388
17:18;75.61;353.38;0.07618
17:24;73.17;333.49;0.07950
17:30;70.96;313.84;0.08755
17:36;71.10;313.86;0.08120
17:42;71.19;317.78;0.07742
17:48;70.17;313.28;0.08414
17:54;70.90;317.58;0.07847
18:00;70.67;298.86;0.07755
18:06;68.23;310.03;0.08454
18:12;64.77;307.92;0.09788
18:18;63.35;318.31;0.10602
18:24;63.81;304.34;0.09862
18:30;66.21;297.14;0.08824
18:36;67.84;285.57;0.08451
18:42;69.68;282.37;0.07772
18:48;76.44;258.37;0.06149
18:54;74.93;243.29;0.05846
19:00;78.14;238.94;0.05443
19:06;79.15;246.70;0.05553
19:12;79.34;254.15;0.05699
19:18;79.68;252.12;0.05259
19:24;80.79;238.88;0.04656
19:30;81.85;233.76;0.04234
19:36;82.54;222.58;0.04106
19:42;83.43;216.09;0.03881
19:48;85.40;203.79;0.03423
19:54;85.95;188.18;0.03187
20:00;86.32;178.88;0.03020
20:06;86.88;175.94;0.02944
20:12;87.02;170.97;0.02800
20:18;87.09;154.36;0.02559
20:24;87.54;141.88;0.02372
20:30;87.75;125.48;0.02123
20:36;87.83;118.82;0.02001
20:42;87.30;115.50;0.01958
20:48;87.37;103.66;0.01808
20:54;87.56;100.29;0.01754
21:00;87.57;87.62;0.01587
21:06;84.48;81.44;0.01477
21:12;86.23;79.52;0.01426
21:18;87.51;84.74;0.01528
21:24;86.94;77.78;0.01532
21:30;86.39;67.21;0.01271
21:36;80.76;64.11;0.01276
21:42;85.06;67.12;0.01421
21:48;80.52;58.94;0.01254
21:54;84.87;58.55;0.01268
22:00;83.35;52.71;0.01421
22:06;84.67;69.83;0.01308
