heure;vitesse;debit;occupation
00:00;94.56;24.23;0.00515
00:06;93.94;21.04;0.00459
00:12;93.92;20.65;0.00440
00:18;95.32;19.69;0.00452
00:24;95.36;17.42;0.00420
00:30;95.04;17.00;0.00435
00:36;94.51;15.78;0.00413
00:42;92.01;13.14;0.00365
00:48;94.69;14.44;0.00397
00:54;92.59;12.85;0.00358
01:00;96.63;13.38;0.00361
01:06;95.68;12.12;0.00415
01:12;96.45;11.04;0.00359
01:18;94.80;11.88;0.00395
01:24;95.26;11.60;0.00393
01:30;94.41;11.54;0.00409
01:36;91.52;9.54;0.00355
01:42;94.26;11.38;0.00429
01:48;92.25;9.27;0.00428
01:54;94.43;10.32;0.00438
02:00;95.72;9.00;0.00391
02:06;95.47;9.32;0.00442
02:12;97.78;9.40;0.00388
02:18;96.91;9.84;0.00379
02:24;96.83;11.32;0.00406
02:30;93.39;9.80;0.00382
02:36;94.37;10.64;0.00461
02:42;94.34;10.76;0.00419
02:48;93.71;11.92;0.00451
02:54;98.46;12.68;0.00483
03:00;93.66;13.88;0.00437
03:06;94.19;12.84;0.00424
03:12;93.72;10.38;0.00419
03:18;94.99;8.72;0.00458
03:24;96.65;10.04;0.00417
03:30;95.65;11.21;0.00390
03:36;95.31;10.68;0.00490
03:42;97.81;12.92;0.00402
03:48;98.68;14.29;0.00458
03:54;94.17;14.79;0.00436
04:00;94.62;13.54;0.00441
04:06;95.77;14.83;0.00413
04:12;93.55;16.83;0.00526
04:18;92.88;20.04;0.00574
04:24;93.22;19.83;0.00519
04:30;95.40;24.04;0.00626
04:36;95.55;29.12;0.00705
04:42;95.73;36.52;0.00802
04:48;96.55;32.72;0.00688
04:54;95.86;32.56;0.00734
05:00;93.71;33.81;0.00859
05:06;94.26;40.96;0.00882
05:12;94.15;48.41;0.01008
05:18;95.07;57.64;0.01108
05:24;95.01;65.32;0.01187
05:30;94.21;77.57;0.01332
05:36;95.41;93.04;0.01491
05:42;96.13;96.11;0.01505
05:48;96.11;99.86;0.01541
05:54;95.72;97.25;0.01490
06:00;94.56;110.71;0.01669
06:06;93.99;136.11;0.02070
06:12;93.13;174.46;0.02529
06:18;93.10;210.79;0.03029
06:24;92.71;235.46;0.03305
06:30;90.64;276.61;0.03969
06:36;88.79;355.89;0.05238
06:42;86.13;413.68;0.06144
06:48;83.82;439.21;0.06747
06:54;79.79;443.68;0.07188
07:00;73.27;425.75;0.07723
07:06;66.62;373.53;0.08302
07:12;55.54;338.87;0.10294
07:18;46.21;312.41;0.12480
07:24;43.23;272.67;0.12866
07:30;40.18;258.72;0.14076
07:36;39.06;251.53;0.13445
07:42;37.08;254.56;0.13478
07:48;36.90;253.35;0.13900
07:54;39.34;262.81;0.12908
08:00;39.49;243.61;0.12459
08:06;40.66;257.19;0.12429
08:12;42.96;258.81;0.12422
08:18;42.76;255.28;0.11191
08:24;41.70;242.50;0.12249
08:30;45.15;239.65;0.11392
08:36;46.15;233.61;0.10349
08:42;48.78;249.43;0.10253
08:48;53.03;241.03;0.09148
08:54;57.18;230.81;0.08180
09:00;61.06;231.36;0.07182
09:06;60.79;224.78;0.07774
09:12;64.58;224.11;0.07675
09:18;69.94;249.41;0.06768
09:24;69.76;236.21;0.07189
09:30;70.54;228.00;0.06662
09:36;72.93;241.03;0.06517
09:42;80.05;233.59;0.05214
09:48;83.52;243.51;0.04894
09:54;85.00;234.92;0.04599
10:00;85.95;225.56;0.04113
10:06;86.56;220.51;0.03829
10:12;87.54;225.09;0.03771
10:18;87.87;228.71;0.04037
10:24;87.54;229.62;0.03812
10:30;87.48;233.97;0.04028
10:36;87.79;229.74;0.03743
10:42;88.13;215.49;0.03570
10:48;89.65;224.09;0.03520
10:54;89.69;214.14;0.03430
11:00;89.36;219.56;0.03456
11:06;89.89;209.31;0.03359
11:12;89.72;217.56;0.03380
11:18;89.69;227.28;0.03519
11:24;89.48;228.17;0.03512
11:30;89.43;224.97;0.03562
11:36;89.55;224.78;0.03506
11:42;90.00;226.57;0.03519
11:48;90.17;228.30;0.03502
11:54;90.72;218.13;0.03439
12:00;90.85;223.97;0.03373
12:06;90.78;233.32;0.03512
12:12;90.79;237.97;0.03586
12:18;91.00;228.71;0.03425
12:24;91.14;211.03;0.03153
12:30;91.28;207.55;0.03109
12:36;91.42;204.55;0.03110
12:42;91.82;190.13;0.02773
12:48;91.97;186.68;0.02803
12:54;91.75;187.72;0.02953
13:00;91.67;191.23;0.02829
13:06;91.46;204.46;0.03052
13:12;90.87;218.46;0.03276
13:18;90.76;220.10;0.03286
13:24;90.74;219.03;0.03262
13:30;90.57;228.18;0.03410
