heure;vitesse;debit;occupation
00:00;91.68;32.42;0.00915
00:06;90.35;28.23;0.00850
00:12;90.15;28.03;0.00821
00:18;91.25;26.74;0.00778
00:24;92.45;24.37;0.00734
00:30;92.75;23.00;0.00781
00:36;91.29;22.50;0.00711
00:42;88.88;19.84;0.00646
00:48;91.93;19.38;0.00652
00:54;89.35;17.84;0.00679
01:00;92.51;18.80;0.00601
01:06;91.49;17.37;0.00734
01:12;94.68;15.72;0.00551
01:18;93.28;15.11;0.00629
01:24;93.85;15.88;0.00631
01:30;93.39;15.54;0.00572
01:36;94.16;13.89;0.00552
01:42;87.56;13.86;0.00523
01:48;92.08;13.38;0.00515
01:54;92.57;13.22;0.00564
02:00;95.13;13.00;0.00560
02:06;93.45;12.67;0.00545
02:12;96.99;12.78;0.00510
02:18;94.79;13.14;0.00555
02:24;93.26;14.33;0.00546
02:30;91.46;13.93;0.00579
02:36;93.36;15.52;0.00665
02:42;93.17;14.74;0.00646
02:48;91.80;14.56;0.00743
02:54;94.84;17.81;0.00696
03:00;92.07;17.41;0.00659
03:06;92.16;17.08;0.00645
03:12;92.29;12.95;0.00508
03:18;92.62;11.74;0.00594
03:24;93.58;13.41;0.00558
03:30;93.17;13.69;0.00601
03:36;91.79;14.96;0.00685
03:42;96.90;17.08;0.00626
03:48;95.85;20.42;0.00688
03:54;96.11;21.72;0.00715
04:00;94.82;17.56;0.00660
04:06;94.13;19.44;0.00672
04:12;92.48;21.24;0.00733
04:18;91.54;26.60;0.00908
04:24;92.50;28.52;0.00891
04:30;93.85;35.04;0.01086
04:36;94.75;41.44;0.01179
04:42;94.23;49.04;0.01318
04:48;94.63;46.73;0.01246
04:54;94.96;42.88;0.01199
05:00;93.82;45.04;0.01310
05:06;93.55;51.67;0.01263
05:12;93.35;59.11;0.01404
05:18;94.88;69.25;0.01575
05:24;94.23;77.57;0.01775
05:30;94.51;91.82;0.02043
05:36;94.90;109.21;0.02296
05:42;94.08;119.18;0.02571
05:48;93.91;127.39;0.02745
05:54;94.56;118.68;0.02567
06:00;93.37;132.75;0.02801
06:06;91.78;162.75;0.03539
06:12;90.04;202.64;0.04271
06:18;89.46;234.86;0.05016
06:24;89.57;256.82;0.05242
06:30;86.86;296.39;0.06218
06:36;84.29;360.07;0.07731
06:42;82.00;400.79;0.08596
06:48;80.25;414.25;0.09170
06:54;76.40;420.79;0.09830
07:00;73.41;407.11;0.09913
07:06;70.89;369.37;0.10016
07:12;64.82;366.67;0.11047
07:18;54.85;341.07;0.13493
07:24;51.88;317.40;0.13641
07:30;48.78;318.14;0.14471
07:36;49.24;310.12;0.14117
07:42;48.82;320.41;0.13687
07:48;45.14;314.88;0.15822
07:54;44.92;305.91;0.14851
08:00;47.77;297.23;0.14347
08:06;48.48;295.26;0.13389
08:12;48.82;282.23;0.12657
08:18;47.57;279.66;0.13487
08:24;48.48;279.32;0.13516
08:30;48.57;262.71;0.13529
08:36;49.09;269.31;0.13680
08:42;46.79;281.74;0.14061
08:48;46.17;261.62;0.14559
08:54;47.79;251.54;0.14301
09:00;48.66;255.14;0.13132
09:06;53.85;260.14;0.12519
09:12;56.53;245.59;0.11460
09:18;60.99;274.58;0.11208
09:24;65.19;266.41;0.10377
09:30;64.01;262.05;0.10544
09:36;65.28;274.54;0.10461
09:42;65.92;269.91;0.09649
09:48;68.14;278.80;0.09926
09:54;71.55;271.44;0.08878
10:00;73.66;264.57;0.07936
10:06;73.72;277.35;0.07846
10:12;76.38;282.18;0.07968
10:18;76.51;290.70;0.07802
10:24;78.56;301.70;0.07854
10:30;78.23;309.58;0.08026
10:36;77.79;309.21;0.07892
10:42;78.26;290.24;0.07595
10:48;78.98;306.21;0.07499
10:54;80.02;299.03;0.07290
11:00;80.89;317.29;0.07501
11:06;81.22;300.66;0.07186
11:12;80.00;316.14;0.07558
11:18;80.38;321.91;0.07717
11:24;79.44;327.54;0.07769
11:30;80.03;320.83;0.07704
11:36;80.67;319.92;0.07479
11:42;81.12;323.56;0.07475
11:48;81.18;324.78;0.07400
11:54;81.89;319.35;0.07416
12:00;81.96;321.92;0.07182
12:06;81.09;343.70;0.07641
12:12;80.19;344.65;0.07701
12:18;81.74;331.38;0.07327
12:24;82.40;301.84;0.06747
12:30;83.30;290.38;0.06423
12:36;83.56;293.81;0.06318
12:42;84.78;278.68;0.05811
12:48;85.20;271.73;0.05805
12:54;85.83;273.89;0.05874
13:00;85.70;273.89;0.05727
13:06;84.96;289.78;0.06210
13:12;84.29;308.73;0.06646
13:18;83.85;309.81;0.06626
13:24;83.76;316.03;0.06758
13:30;83.41;324.57;0.06962
13:36;83.08;332.89;0.07223
13:42;81.78;349.89;0.07606
13:48;79.67;338.78;0.07601
13:54;81.37;322.16;0.07253
14:00;81.52;317.24;0.06971
14:06;81.29;338.27;0.07452
14:12;80.51;352.54;0.07851
14:18;79.53;345.05;0.07821
14:24;80.21;331.81;0.07514
14:30;80.13;328.86;0.07559
14:36;79.66;331.97;0.07553
14:42;79.90;333.08;0.07616
14:48;79.74;331.65;0.07636
14:54;80.33;329.51;0.07660
15:00;80.49;321.41;0.07341
15:06;80.05;333.95;0.07546
15:12;79.29;343.70;0.07908
15:18;79.85;344.19;0.07854
15:24;79.29;346.03;0.08018
15:30;79.38;347.73;0.07977
15:36;79.07;357.17;0.08059
15:42;78.28;357.32;0.08314
15:48;79.15;351.00;0.07927
15:54;79.09;353.30;0.07894
16:00;78.93;343.22;0.07763
16:06;78.43;369.78;0.08273
16:12;76.24;385.49;0.08894
16:18;76.16;378.86;0.08747
16:24;75.23;369.65;0.08917
16:30;75.77;364.62;0.08478
16:36;75.34;381.43;0.08698
16:42;72.49;377.95;0.08939
16:48;72.84;380.47;0.08966
16:54;73.12;381.06;0.09096
17:00;73.81;373.08;0.08791
17:06;73.56;374.72;0.08783
17:12;66.33;409.67;0.10594
17:18;60.31;391.23;0.11535
17:24;58.39;363.83;0.11740
17:30;58.30;356.09;0.11640
17:36;60.98;371.86;0.11417
17:42;62.45;378.83;0.10584
17:48;65.26;359.31;0.09967
17:54;66.52;353.03;0.09597
18:00;71.63;346.20;0.08418
18:06;69.04;356.31;0.09299
18:12;67.37;359.83;0.09195
18:18;65.96;364.82;0.09959
18:24;66.76;348.91;0.09449
18:30;69.03;338.50;0.08981
18:36;70.34;339.35;0.08959
18:42;71.25;328.41;0.08517
18:48;73.30;312.53;0.07904
18:54;74.33;300.53;0.07745
19:00;75.66;293.18;0.07191
19:06;75.60;297.32;0.06969
19:12;76.19;296.74;0.06986
19:18;77.51;296.74;0.06825
19:24;78.53;274.65;0.06139
19:30;80.07;266.53;0.05851
19:36;81.69;258.65;0.05455
19:42;82.96;250.15;0.05168
19:48;83.81;239.03;0.04741
19:54;85.93;221.44;0.04278
20:00;86.91;205.38;0.03979
20:06;87.40;196.91;0.03765
20:12;87.95;193.44;0.03629
20:18;88.23;175.41;0.03290
20:24;89.06;164.12;0.03102
20:30;89.43;150.41;0.02777
20:36;90.32;136.74;0.02481
20:42;89.57;129.24;0.02408
20:48;90.16;120.15;0.02307
20:54;89.69;116.38;0.02219
21:00;89.64;103.83;0.02186
21:06;86.48;99.35;0.02154
21:12;90.36;103.00;0.02205
21:18;87.42;99.62;0.02048
21:24;90.49;96.30;0.01981
21:30;89.83;89.35;0.01917
21:36;89.05;83.97;0.02004
21:42;87.64;84.74;0.02098
21:48;85.82;75.83;0.01900
21:54;86.77;77.22;0.02096
22:00;86.42;74.62;0.02098
22:06;85.70;99.44;0.03109
22:12;83.41;95.83;0.03009
22:18;84.65;81.12;0.02574
22:24;85.85;70.45;0.02257
22:30;85.84;64.82;0.01968
22:36;83.29;63.76;0.02053
22:42;86.11;64.52;0.02155
22:48;86.53;61.06;0.02022
22:54;86.21;57.52;0.01845
23:00;87.15;55.62;0.01685
23:06;87.97;56.30;0.01800
23:12;87.44;56.97;0.01730
23:18;87.32;52.55;0.01646
23:24;85.22;46.59;0.01437
23:30;85.58;46.85;0.01466
23:36;88.32;46.16;0.01470
23:42;87.57;39.64;0.01291
23:48;86.88;39.39;0.01273
23:54;89.15;36.25;0.01183
