heure;vitesse;debit;occupation
00:00;99.82;31.22;0.00766
00:06;96.44;26.59;0.00661
00:12;98.89;28.65;0.00677
00:18;100.00;27.00;0.00655
00:24;100.53;23.56;0.00610
00:30;100.91;23.28;0.00598
00:36;99.28;22.64;0.00566
00:42;97.81;18.59;0.00534
00:48;100.18;19.21;0.00547
00:54;98.74;17.30;0.00475
01:00;101.09;17.75;0.00486
01:06;101.26;17.29;0.00523
01:12;100.74;14.26;0.00408
01:18;101.27;14.03;0.00447
01:24;101.53;15.17;0.00567
01:30;101.81;14.47;0.00445
01:36;102.32;13.33;0.00449
01:42;97.18;12.84;0.00455
01:48;98.91;13.13;0.00499
01:54;102.80;12.41;0.00462
02:00;104.81;12.03;0.00455
02:06;103.75;12.34;0.00472
02:12;105.15;12.07;0.00427
02:18;103.73;11.90;0.00443
02:24;102.36;13.57;0.00483
02:30;99.95;13.87;0.00489
02:36;100.07;13.77;0.00570
02:42;102.03;14.27;0.00548
02:48;101.18;13.58;0.00496
02:54;104.36;16.79;0.00541
03:00;101.94;17.73;0.00546
03:06;101.39;15.87;0.00513
03:12;98.58;12.48;0.00404
03:18;101.02;11.57;0.00454
03:24;102.97;12.89;0.00440
03:30;99.28;12.80;0.00467
03:36;103.72;14.43;0.00517
03:42;102.34;16.86;0.00507
03:48;105.28;19.00;0.00564
03:54;103.00;19.86;0.00584
04:00;102.88;16.10;0.00623
04:06;103.69;17.97;0.00574
04:12;103.09;21.21;0.00625
04:18;100.31;24.86;0.00760
04:24;101.68;26.45;0.00752
04:30;104.14;31.90;0.00858
04:36;104.01;38.45;0.00937
04:42;103.47;45.47;0.01046
04:48;103.95;44.50;0.00941
04:54;100.52;39.23;0.00927
05:00;100.50;42.74;0.00970
05:06;102.53;48.65;0.01056
05:12;102.22;54.90;0.01093
05:18;103.93;68.03;0.01159
05:24;100.73;75.69;0.01437
05:30;102.91;90.59;0.01472
05:36;101.53;106.31;0.01667
05:42;103.27;114.31;0.01687
05:48;101.56;122.69;0.01886
05:54;104.01;115.56;0.01642
06:00;99.90;127.19;0.01818
06:06;101.62;158.72;0.02302
06:12;98.70;206.75;0.02930
06:18;98.50;245.59;0.03480
06:24;99.04;266.78;0.03708
06:30;95.53;328.34;0.04692
06:36;92.71;408.06;0.06090
06:42;90.48;454.34;0.06960
06:48;87.54;482.75;0.07578
06:54;83.19;473.12;0.07881
07:00;80.80;458.72;0.07824
07:06;77.73;429.88;0.08111
07:12;73.79;442.03;0.08931
07:18;57.18;381.00;0.10645
07:24;56.10;354.12;0.11133
07:30;51.81;362.84;0.12589
07:36;52.96;344.69;0.12631
07:42;52.21;361.66;0.12278
07:48;50.54;359.09;0.12359
07:54;52.99;358.79;0.12046
08:00;57.62;346.46;0.10918
08:06;55.61;385.53;0.12217
08:12;57.99;359.44;0.11180
08:18;59.76;377.29;0.11252
08:24;58.08;371.42;0.11439
08:30;56.01;354.92;0.11507
08:36;61.03;346.19;0.10507
08:42;57.13;372.97;0.11438
08:48;56.66;363.97;0.11622
08:54;54.92;354.76;0.11938
09:00;59.11;349.38;0.10939
09:06;65.41;350.47;0.10021
09:12;66.32;335.51;0.09345
09:18;72.20;357.62;0.08890
09:24;76.68;354.92;0.08257
09:30;74.93;341.86;0.08278
09:36;77.26;351.06;0.07793
09:42;77.10;329.00;0.08328
09:48;81.79;348.47;0.07361
09:54;83.27;338.29;0.07241
10:00;87.19;324.74;0.06083
10:06;88.63;317.17;0.05651
10:12;88.49;322.71;0.05650
10:18;89.26;323.88;0.05638
10:24;90.13;329.53;0.05560
10:30;89.24;340.24;0.05719
10:36;89.69;331.71;0.05466
10:42;89.92;317.46;0.05190
10:48;91.82;325.83;0.05125
10:54;92.02;309.11;0.04988
11:00;91.60;314.67;0.05025
11:06;92.43;302.06;0.04901
11:12;92.49;323.39;0.05060
11:18;91.77;323.42;0.05076
11:24;92.27;335.74;0.05238
11:30;92.06;326.50;0.05203
11:36;92.36;329.89;0.05152
11:42;92.55;336.25;0.05230
11:48;93.11;337.39;0.05141
11:54;93.40;337.64;0.05183
12:00;93.48;338.53;0.05104
12:06;93.51;362.36;0.05408
12:12;93.29;362.56;0.05436
12:18;93.35;343.89;0.05152
12:24;92.92;313.64;0.04793
12:30;94.43;304.08;0.04551
12:36;94.95;304.47;0.04511
12:42;95.43;286.31;0.04171
12:48;95.45;281.22;0.04180
12:54;95.43;272.00;0.04185
13:00;95.20;280.32;0.04105
13:06;94.80;298.92;0.04427
13:12;93.90;299.59;0.04531
13:18;93.84;305.24;0.04588
13:24;93.92;314.11;0.04685
13:30;93.52;325.11;0.04902
13:36;93.04;342.54;0.05252
13:42;92.45;361.27;0.05438
13:48;92.21;351.03;0.05265
13:54;92.91;329.59;0.05023
14:00;92.36;327.24;0.04978
14:06;92.24;355.97;0.05393
14:12;91.08;360.59;0.05550
14:18;90.87;348.76;0.05378
14:24;90.44;335.76;0.05298
14:30;91.17;329.70;0.05071
14:36;90.90;343.35;0.05398
14:42;90.12;345.22;0.05473
14:48;90.14;340.95;0.05458
14:54;90.68;339.32;0.05448
15:00;90.75;332.43;0.05260
15:06;89.66;350.08;0.05717
15:12;89.78;359.76;0.05728
15:18;90.53;362.50;0.05727
15:24;89.29;362.24;0.05945
15:30;89.47;361.57;0.05792
15:36;89.51;375.97;0.06023
15:42;88.77;378.97;0.06230
15:48;89.78;366.65;0.05822
15:54;89.41;378.03;0.05944
16:00;89.69;363.11;0.05737
16:06;89.00;397.38;0.06265
16:12;87.87;417.54;0.06773
16:18;88.05;424.34;0.06707
16:24;87.22;404.49;0.06700
16:30;87.55;403.73;0.06438
16:36;87.83;423.92;0.06657
16:42;85.16;420.14;0.06864
16:48;84.75;421.39;0.06868
16:54;84.07;419.31;0.06996
17:00;83.42;411.56;0.07047
17:06;83.16;436.44;0.07452
17:12;77.70;473.86;0.08589
17:18;71.14;447.71;0.09465
17:24;64.60;416.57;0.09981
17:30;65.11;397.06;0.09605
17:36;68.71;411.77;0.09421
17:42;72.04;423.91;0.08858
17:48;72.80;401.26;0.08304
17:54;77.01;391.06;0.07625
18:00;80.19;383.49;0.06946
18:06;79.04;397.71;0.07411
18:12;78.72;415.69;0.07548
18:18;73.87;406.59;0.08124
18:24;76.26;392.32;0.07494
18:30;78.57;379.12;0.07147
18:36;77.91;381.71;0.07673
18:42;79.56;364.38;0.06984
18:48;80.90;344.56;0.06908
18:54;82.64;330.82;0.06331
19:00;84.93;320.71;0.05934
19:06;84.60;330.76;0.05875
19:12;84.94;329.41;0.05566
19:18;86.34;325.32;0.05351
19:24;87.81;299.76;0.04790
19:30;89.31;289.71;0.04506
19:36;91.13;281.50;0.04181
19:42;91.73;269.53;0.03971
19:48;93.02;254.32;0.03569
19:54;94.44;237.26;0.03248
20:00;95.37;217.56;0.02950
20:06;96.16;213.94;0.02874
20:12;96.51;204.76;0.02718
20:18;96.69;184.15;0.02453
20:24;96.42;173.29;0.02328
20:30;98.19;155.74;0.02071
20:36;98.85;141.76;0.01862
20:42;98.29;135.03;0.01825
20:48;98.78;122.82;0.01696
20:54;98.57;119.06;0.01654
21:00;97.63;108.20;0.01675
21:06;94.56;98.34;0.01601
21:12;98.53;103.59;0.01684
21:18;97.87;103.79;0.01648
21:24;97.79;96.68;0.01622
21:30;97.33;87.97;0.01517
21:36;96.93;85.60;0.01512
21:42;96.51;83.74;0.01549
21:48;93.98;76.14;0.01499
21:54;94.25;76.06;0.01673
22:00;94.30;75.03;0.01768
22:06;93.56;103.35;0.02608
22:12;92.50;101.03;0.02444
22:18;93.51;80.09;0.01993
22:24;94.23;70.00;0.01739
22:30;94.93;64.46;0.01571
22:36;90.97;62.60;0.01663
22:42;91.15;64.06;0.01684
22:48;88.80;57.64;0.01598
22:54;92.33;56.14;0.01481
23:00;94.57;56.15;0.01384
23:06;95.47;57.91;0.01518
23:12;95.08;56.82;0.01376
23:18;95.26;51.00;0.01293
23:24;92.30;47.33;0.01213
23:30;94.67;48.03;0.01296
23:36;95.38;45.41;0.01217
23:42;94.49;41.06;0.01165
23:48;93.91;39.82;0.01107
23:54;96.33;36.06;0.00997
