heure;vitesse;debit;occupation
00:00;94.61;32.13;0.00794
00:06;94.15;26.87;0.00715
00:12;93.52;27.77;0.00795
00:18;94.34;27.66;0.00759
00:24;96.27;24.48;0.00649
00:30;94.71;23.93;0.00668
00:36;94.73;22.80;0.00615
00:42;91.92;19.42;0.00600
00:48;93.56;20.60;0.00624
00:54;91.95;18.47;0.00569
01:00;95.07;18.45;0.00562
01:06;94.26;17.93;0.00591
01:12;96.80;15.22;0.00496
01:18;94.56;15.26;0.00591
01:24;95.73;16.46;0.00586
01:30;96.33;16.15;0.00518
01:36;96.23;13.89;0.00536
01:42;95.16;14.11;0.00483
01:48;94.02;13.44;0.00554
01:54;94.92;13.96;0.00557
02:00;97.23;12.31;0.00456
02:06;96.92;13.12;0.00520
02:12;97.25;13.92;0.00499
02:18;97.51;13.08;0.00564
02:24;94.92;14.70;0.00594
02:30;93.57;15.31;0.00584
02:36;95.25;14.92;0.00596
02:42;95.12;15.77;0.00688
02:48;96.28;14.50;0.00533
02:54;96.92;18.85;0.00659
03:00;96.01;18.46;0.00631
03:06;94.83;16.35;0.00586
03:12;94.37;13.05;0.00519
03:18;94.17;12.88;0.00557
03:24;89.33;12.39;0.00511
03:30;95.54;14.84;0.00589
03:36;95.80;16.75;0.00637
03:42;98.98;17.88;0.00603
03:48;98.46;20.68;0.00651
03:54;99.44;22.20;0.00671
04:00;97.03;17.56;0.00597
04:06;95.77;18.96;0.00690
04:12;94.15;23.44;0.00797
04:18;93.60;26.96;0.00846
04:24;95.86;28.04;0.00862
04:30;96.55;34.84;0.01090
04:36;96.88;41.36;0.01089
04:42;96.52;48.04;0.01267
04:48;97.31;46.35;0.01115
04:54;96.97;42.85;0.01126
05:00;96.36;44.00;0.01146
05:06;95.39;51.07;0.01185
05:12;95.12;58.48;0.01281
05:18;96.66;69.41;0.01397
05:24;96.51;77.30;0.01555
05:30;96.21;96.07;0.01702
05:36;97.00;109.44;0.01936
05:42;96.81;124.67;0.02126
05:48;97.35;130.56;0.02243
05:54;97.96;122.63;0.02050
06:00;96.02;142.00;0.02385
06:06;95.05;172.96;0.02915
06:12;94.00;217.78;0.03667
06:18;93.70;262.74;0.04334
06:24;93.59;288.59;0.04686
06:30;91.01;343.19;0.05735
06:36;88.08;425.59;0.07370
06:42;85.40;476.11;0.08355
06:48;81.58;505.41;0.09237
06:54;75.90;514.00;0.10085
07:00;73.13;488.22;0.09992
07:06;71.10;455.96;0.09913
07:12;68.24;426.52;0.09992
07:18;61.48;408.11;0.11358
07:24;57.09;373.83;0.12316
07:30;54.78;387.56;0.13188
07:36;51.99;355.03;0.13118
07:42;55.09;373.30;0.12347
07:48;57.44;389.21;0.11655
07:54;56.35;391.93;0.12737
08:00;58.05;365.79;0.11513
08:06;56.43;385.28;0.12860
08:12;56.10;373.07;0.12609
08:18;59.38;384.20;0.11684
08:24;55.43;373.00;0.12773
08:30;56.45;369.38;0.12195
08:36;56.61;351.88;0.12300
08:42;58.66;382.61;0.12281
08:48;55.62;362.31;0.12980
08:54;54.63;345.49;0.12535
09:00;60.19;349.35;0.11417
09:06;60.91;360.91;0.11841
09:12;64.40;334.23;0.10882
09:18;68.16;342.61;0.10285
09:24;73.52;351.17;0.09039
09:30;73.71;346.39;0.08490
09:36;74.04;357.47;0.09189
09:42;76.85;342.03;0.08349
09:48;80.10;355.65;0.08094
09:54;81.89;342.33;0.07420
10:00;84.47;335.03;0.07038
10:06;84.86;325.85;0.06445
10:12;85.07;327.42;0.06319
10:18;85.38;339.59;0.06598
10:24;86.08;345.19;0.06642
10:30;85.72;346.91;0.06694
10:36;86.03;336.88;0.06492
10:42;87.61;317.91;0.05997
10:48;88.15;337.12;0.06151
10:54;87.77;320.03;0.05947
11:00;88.24;328.18;0.06017
11:06;88.34;312.94;0.05721
11:12;88.25;330.15;0.05973
11:18;88.34;335.03;0.06084
11:24;88.00;350.67;0.06325
11:30;88.05;337.82;0.06179
11:36;88.43;338.00;0.06102
11:42;88.64;341.00;0.06181
11:48;88.74;345.29;0.06131
11:54;89.42;341.31;0.06143
12:00;89.45;345.14;0.06016
12:06;89.76;370.49;0.06367
12:12;89.67;365.31;0.06302
12:18;90.03;348.06;0.05970
12:24;90.27;315.29;0.05449
12:30;90.43;309.60;0.05351
12:36;90.85;308.26;0.05279
12:42;91.05;289.66;0.04945
12:48;91.16;284.26;0.04897
12:54;90.99;275.97;0.04929
13:00;91.07;286.11;0.04892
13:06;90.46;306.06;0.05268
13:12;90.04;321.69;0.05609
13:18;89.71;324.86;0.05613
13:24;90.04;328.56;0.05646
13:30;89.55;338.14;0.05842
13:36;89.56;349.11;0.06149
13:42;88.77;366.14;0.06341
13:48;88.96;352.64;0.06102
13:54;89.36;332.72;0.05821
14:00;89.11;329.89;0.05724
14:06;88.68;361.81;0.06275
14:12;88.21;373.78;0.06544
14:18;87.82;358.31;0.06285
14:24;87.74;350.00;0.06221
14:30;87.76;342.00;0.06044
14:36;87.68;348.83;0.06174
14:42;87.93;348.14;0.06169
14:48;87.69;345.97;0.06166
14:54;88.04;344.44;0.06170
15:00;87.89;333.44;0.05942
15:06;87.46;351.56;0.06256
15:12;87.32;361.81;0.06499
15:18;87.33;364.91;0.06538
15:24;86.80;361.61;0.06660
15:30;85.86;365.92;0.06795
15:36;85.83;380.63;0.06971
15:42;85.58;378.22;0.06998
