heure;vitesse;debit;occupation
00:00;97.05;30.97;0.00671
00:06;96.86;28.87;0.00651
00:12;96.29;28.77;0.00639
00:18;97.55;26.29;0.00612
00:24;98.90;23.42;0.00549
00:30;97.95;24.23;0.00572
00:36;97.43;22.44;0.00521
00:42;95.00;19.73;0.00518
00:48;96.58;19.66;0.00567
00:54;98.44;18.55;0.00467
01:00;95.53;18.35;0.00478
01:06;94.57;17.47;0.00511
01:12;97.63;14.73;0.00440
01:18;97.03;14.71;0.00423
01:24;97.87;16.22;0.00491
01:30;98.36;16.00;0.00452
01:36;99.31;13.89;0.00461
01:42;93.31;13.57;0.00430
01:48;96.82;13.63;0.00410
01:54;97.27;13.22;0.00496
02:00;96.03;12.37;0.00452
02:06;97.30;12.69;0.00472
02:12;98.89;13.26;0.00477
02:18;99.57;12.85;0.00481
02:24;97.96;14.61;0.00504
02:30;95.33;14.89;0.00528
02:36;95.90;14.64;0.00587
02:42;96.27;14.93;0.00560
02:48;96.01;14.14;0.00465
02:54;99.14;17.86;0.00557
03:00;97.02;18.37;0.00561
03:06;93.25;14.96;0.00478
03:12;95.55;12.48;0.00427
03:18;94.46;12.82;0.00466
03:24;97.51;13.11;0.00466
03:30;96.42;14.26;0.00496
03:36;98.26;15.85;0.00536
03:42;101.78;18.00;0.00556
03:48;100.84;20.50;0.00591
03:54;100.32;22.15;0.00581
04:00;95.18;16.81;0.00488
04:06;97.37;18.92;0.00585
04:12;96.54;22.69;0.00704
04:18;95.86;27.54;0.00763
04:24;94.76;28.27;0.00802
04:30;96.55;34.88;0.00938
04:36;99.42;40.38;0.00944
04:42;97.62;49.11;0.01090
04:48;100.22;46.41;0.00958
04:54;99.56;43.22;0.00917
05:00;99.53;45.04;0.01070
05:06;98.24;51.61;0.01068
05:12;97.83;59.50;0.01210
05:18;98.59;70.71;0.01304
05:24;95.24;77.25;0.01368
05:30;97.92;96.39;0.01562
05:36;98.21;112.75;0.01763
05:42;99.03;122.64;0.01897
05:48;98.71;128.50;0.01991
05:54;99.28;122.32;0.01870
06:00;97.83;143.61;0.02200
06:06;96.31;175.63;0.02667
06:12;95.38;224.30;0.03354
06:18;94.81;257.36;0.03847
06:24;93.86;284.68;0.04176
06:30;91.63;347.50;0.05203
06:36;84.87;419.61;0.06465
06:42;83.87;481.64;0.07704
06:48;78.25;504.50;0.08729
06:54;69.39;507.71;0.09990
07:00;65.85;479.29;0.10006
07:06;63.96;450.10;0.09980
07:12;63.24;444.21;0.10423
07:18;58.85;433.24;0.10985
07:24;54.58;360.50;0.11193
07:30;54.30;369.10;0.11479
07:36;53.01;353.34;0.11396
07:42;53.48;363.94;0.10926
07:48;55.07;370.34;0.10677
07:54;52.11;367.91;0.11472
08:00;54.05;361.16;0.10919
08:06;54.18;390.23;0.11582
08:12;54.02;369.06;0.11131
08:18;52.76;357.13;0.11292
08:24;54.14;370.00;0.11904
08:30;56.28;359.64;0.10725
08:36;54.83;354.06;0.11832
08:42;59.16;386.94;0.11108
08:48;58.10;359.03;0.11300
08:54;61.24;351.31;0.09918
09:00;63.26;344.09;0.09934
09:06;61.62;337.50;0.09773
09:12;65.76;322.89;0.09018
09:18;68.90;345.97;0.09406
09:24;74.99;346.20;0.08326
09:30;75.55;349.17;0.07439
09:36;78.98;355.09;0.07474
09:42;81.25;346.58;0.07030
09:48;80.36;339.09;0.07196
09:54;84.43;336.44;0.06469
10:00;85.43;324.44;0.06425
10:06;87.14;329.29;0.05695
10:12;86.86;322.35;0.05652
10:18;86.35;334.10;0.06080
10:24;86.65;341.65;0.05957
10:30;86.93;345.58;0.06197
10:36;87.68;332.45;0.05661
10:42;89.86;312.91;0.05321
10:48;89.98;333.00;0.05518
10:54;89.66;319.72;0.05284
11:00;89.88;329.59;0.05423
11:06;86.59;312.12;0.05150
11:12;90.07;324.97;0.05399
11:18;90.41;331.84;0.05369
11:24;89.98;338.84;0.05501
11:30;90.10;330.91;0.05459
11:36;89.90;331.76;0.05422
11:42;88.34;337.30;0.05844
11:48;89.37;337.97;0.05587
11:54;91.27;333.21;0.05354
12:00;91.45;337.97;0.05276
12:06;91.70;362.79;0.05582
12:12;90.86;360.00;0.05592
12:18;91.83;338.06;0.05228
12:24;92.30;313.15;0.04845
12:30;92.50;301.32;0.04650
12:36;92.62;302.76;0.04663
12:42;92.98;283.29;0.04348
12:48;93.30;277.06;0.04260
12:54;93.28;272.37;0.04374
13:00;92.97;280.51;0.04299
13:06;92.28;302.54;0.04679
13:12;91.87;315.60;0.04962
13:18;91.61;318.29;0.04936
13:24;91.72;325.11;0.05022
13:30;91.32;332.49;0.05132
13:36;91.36;343.89;0.05406
13:42;90.40;361.29;0.05601
13:48;91.32;345.20;0.05337
13:54;91.54;327.71;0.05108
14:00;90.92;322.69;0.05006
14:06;90.85;353.60;0.05441
14:12;90.12;364.40;0.05692
14:18;89.90;354.06;0.05509
14:24;89.80;339.69;0.05407
14:30;89.95;338.86;0.05328
14:36;89.71;344.49;0.05437
14:42;90.11;339.77;0.05366
14:48;89.94;339.51;0.05405
14:54;90.38;331.91;0.05316
15:00;90.04;332.43;0.05296
15:06;89.66;340.23;0.05386
15:12;89.49;337.77;0.05432
15:18;89.07;347.06;0.05535
15:24;88.85;343.60;0.05644
15:30;88.79;354.91;0.05692
15:36;88.37;372.71;0.05947
15:42;87.21;373.14;0.06285
15:48;87.93;365.69;0.05910
15:54;87.37;368.77;0.06108
16:00;87.15;358.63;0.06093
16:06;86.69;395.77;0.06487
16:12;85.77;402.26;0.06515
16:18;85.74;425.62;0.06845
16:24;86.19;404.31;0.06695
16:30;85.91;399.46;0.06497
16:36;84.76;418.51;0.06851
16:42;84.31;416.00;0.06788
16:48;84.88;409.85;0.06549
16:54;84.91;410.00;0.06588
17:00;84.17;414.79;0.06645
17:06;81.06;437.94;0.07581
17:12;78.14;476.30;0.08252
17:18;75.23;437.06;0.08094
17:24;72.21;416.58;0.08207
17:30;69.47;389.06;0.08600
17:36;68.25;407.18;0.08742
17:42;67.84;399.36;0.09239
17:48;72.83;395.47;0.07879
17:54;74.20;389.53;0.07945
18:00;74.98;383.12;0.07479
18:06;76.45;400.75;0.07396
18:12;74.23;411.28;0.07823
18:18;72.88;416.39;0.07992
18:24;68.33;383.03;0.08665
18:30;73.31;377.90;0.07777
18:36;73.71;387.03;0.07905
18:42;75.71;355.16;0.07305
18:48;78.82;335.81;0.06536
18:54;76.84;320.71;0.05966
19:00;80.96;325.43;0.06029
19:06;80.51;341.27;0.06009
19:12;81.74;342.17;0.05908
19:18;82.93;332.43;0.05796
19:24;85.75;301.17;0.04856
19:30;88.22;302.43;0.04533
19:36;88.83;291.53;0.04305
19:42;90.26;276.60;0.04006
19:48;91.75;261.50;0.03719
19:54;92.68;242.83;0.03442
20:00;92.12;220.74;0.03148
20:06;93.76;225.40;0.03138
20:12;94.17;214.03;0.02933
20:18;94.57;192.50;0.02660
20:24;95.33;177.53;0.02456
20:30;95.99;163.33;0.02237
20:36;95.78;151.20;0.02068
20:42;95.75;139.14;0.01913
20:48;95.96;127.10;0.01805
20:54;95.96;127.25;0.01799
21:00;95.17;110.13;0.01659
21:06;91.98;104.97;0.01558
21:12;95.94;109.86;0.01595
21:18;93.19;104.90;0.01510
21:24;95.50;101.28;0.01484
21:30;96.41;92.47;0.01360
21:36;94.09;89.39;0.01391
21:42;95.00;90.61;0.01415
21:48;94.52;80.62;0.01422
21:54;93.02;82.41;0.01386
22:00;93.55;78.38;0.01423
22:06;94.15;106.91;0.01780
22:12;91.61;100.28;0.01732
22:18;91.56;80.23;0.01430
22:24;93.94;70.81;0.01257
22:30;92.08;71.27;0.01332
22:36;90.50;65.68;0.01276
22:42;91.08;66.58;0.01293
22:48;93.74;62.06;0.01193
22:54;93.81;58.71;0.01160
23:00;93.33;58.20;0.01098
23:06;94.71;59.03;0.01097
23:12;93.82;57.32;0.01077
23:18;94.45;52.34;0.01030
23:24;94.27;46.19;0.00969
23:30;94.37;47.91;0.01007
