heure;vitesse;debit;occupation
00:00;86.89;9.42;0.00500
00:06;89.94;7.82;0.00471
00:12;88.10;7.18;0.00539
00:18;87.22;6.00;0.00461
00:24;87.15;6.36;0.00395
00:30;86.33;5.66;0.00473
00:36;90.62;4.91;0.00424
00:42;83.78;4.36;0.00376
00:48;91.68;4.31;0.00460
00:54;82.89;3.75;0.00453
01:00;91.89;2.97;0.00429
01:06;88.05;3.73;0.00511
01:12;84.69;2.65;0.00390
01:18;87.63;2.81;0.00407
01:24;91.26;3.18;0.00473
01:30;85.85;2.88;0.00390
01:36;83.21;2.46;0.00501
01:42;91.27;2.90;0.00531
01:48;89.13;3.08;0.00483
01:54;98.88;2.59;0.00458
02:00;88.90;2.59;0.00373
02:06;90.93;2.61;0.00391
02:12;87.44;2.78;0.00600
02:18;86.59;1.96;0.00333
02:24;86.37;2.37;0.00375
02:30;96.25;2.35;0.00545
02:36;87.06;2.00;0.00415
02:42;90.24;2.90;0.00589
02:48;78.01;1.88;0.00538
02:54;79.02;1.88;0.00537
03:00;90.86;2.00;0.00632
03:06;71.08;1.79;0.00464
03:12;89.22;2.24;0.00459
03:18;88.71;2.36;0.00443
03:24;78.71;2.41;0.00657
03:30;82.25;2.18;0.00623
03:36;84.83;3.04;0.00688
03:42;91.07;5.96;0.00562
03:48;92.68;5.07;0.00435
03:54;92.78;5.71;0.00468
04:00;93.45;3.29;0.00403
04:06;94.89;3.00;0.00408
04:12;79.45;2.16;0.00421
04:18;96.96;3.82;0.00474
04:24;88.71;3.69;0.00443
04:30;88.88;4.15;0.00579
04:36;89.86;6.54;0.00587
04:42;89.20;10.24;0.00644
04:48;88.47;11.93;0.00676
04:54;92.43;8.59;0.00576
05:00;93.85;8.41;0.00554
05:06;91.85;8.00;0.00547
05:12;92.14;10.17;0.00563
05:18;90.82;14.97;0.00669
05:24;89.94;20.31;0.00833
05:30;89.90;25.90;0.00995
05:36;90.35;33.53;0.01060
05:42;90.53;34.63;0.01150
05:48;89.79;35.43;0.01201
05:54;90.49;31.50;0.01073
06:00;91.42;24.87;0.00909
06:06;89.90;27.10;0.01073
06:12;90.84;32.90;0.01140
06:18;89.64;34.03;0.01330
06:24;90.87;40.30;0.01344
06:30;90.19;42.80;0.01579
06:36;88.73;55.37;0.01872
06:42;88.76;65.97;0.02246
06:48;90.19;79.10;0.02526
06:54;90.29;72.43;0.02248
07:00;89.03;69.00;0.02110
07:06;88.29;76.39;0.02425
07:12;88.19;91.45;0.02936
07:18;88.01;104.26;0.03246
07:24;87.76;98.19;0.03069
07:30;86.62;105.58;0.03354
07:36;86.48;119.79;0.03871
07:42;85.96;139.74;0.04339
07:48;86.78;147.35;0.04524
07:54;87.09;138.68;0.04229
08:00;87.42;124.15;0.03921
08:06;86.72;136.00;0.04052
08:12;85.95;136.74;0.04213
08:18;84.36;145.33;0.04629
08:24;82.83;141.66;0.04565
08:30;80.82;141.97;0.04553
08:36;76.10;138.94;0.05188
08:42;74.17;146.43;0.05968
08:48;72.23;138.65;0.06464
08:54;74.50;130.68;0.05514
09:00;78.64;121.72;0.04261
09:06;84.01;111.97;0.03543
09:12;82.95;106.62;0.03339
09:18;85.73;107.42;0.03355
09:24;86.24;105.05;0.03274
09:30;83.46;97.39;0.03306
09:36;85.56;102.75;0.03304
09:42;85.21;103.47;0.03310
09:48;85.37;104.47;0.03391
09:54;85.19;99.69;0.03272
10:00;85.85;94.46;0.03193
10:06;84.85;92.32;0.03137
10:12;85.46;94.38;0.03215
10:18;84.96;94.59;0.03221
10:24;85.17;96.15;0.03228
10:30;85.30;95.88;0.03268
10:36;85.12;96.76;0.03212
10:42;85.35;97.31;0.03543
10:48;85.44;101.86;0.03306
10:54;85.66;96.71;0.03143
11:00;85.52;98.94;0.03333
11:06;83.75;91.71;0.03064
11:12;85.69;90.83;0.03054
11:18;85.69;97.97;0.03253
11:24;86.19;94.74;0.03086
11:30;86.48;92.42;0.03068
11:36;87.17;92.06;0.02915
11:42;86.94;92.97;0.03108
11:48;87.38;92.83;0.02958
11:54;87.63;93.62;0.02949
12:00;87.20;88.35;0.02749
12:06;87.79;94.27;0.02919
12:12;87.87;96.84;0.03008
12:18;88.42;92.43;0.02817
12:24;87.41;92.16;0.02825
12:30;87.68;86.54;0.02668
12:36;87.96;84.70;0.02594
12:42;88.22;83.08;0.02577
12:48;88.28;82.14;0.02546
12:54;87.77;77.61;0.02436
13:00;87.86;76.74;0.02332
13:06;87.04;79.47;0.02396
