heure;vitesse;debit;occupation
00:00;91.02;22.13;0.00743
00:06;91.63;20.28;0.00689
00:12;91.81;17.21;0.00598
00:18;90.92;14.70;0.00608
00:24;91.26;14.73;0.00577
00:30;89.32;15.13;0.00585
00:36;92.59;12.52;0.00540
00:42;90.62;10.56;0.00466
00:48;92.10;10.65;0.00490
00:54;89.25;9.42;0.00471
01:00;92.24;8.63;0.00436
01:06;96.40;7.59;0.00406
01:12;90.59;6.86;0.00431
01:18;92.85;6.82;0.00390
01:24;88.81;6.07;0.00441
01:30;91.33;5.54;0.00381
01:36;92.12;6.30;0.00425
01:42;89.08;5.48;0.00510
01:48;92.49;5.73;0.00407
01:54;91.93;6.50;0.00537
02:00;91.00;6.04;0.00431
02:06;91.61;6.00;0.00493
02:12;85.87;4.27;0.00581
02:18;93.94;5.46;0.00470
02:24;88.39;3.70;0.00510
02:30;94.05;3.63;0.00527
02:36;93.10;3.50;0.00406
02:42;93.96;3.15;0.00412
02:48;92.71;3.38;0.00436
02:54;93.10;3.08;0.00453
03:00;89.59;2.44;0.00333
03:06;86.14;3.35;0.00634
03:12;96.04;3.36;0.00413
03:18;93.52;3.81;0.00473
03:24;86.78;2.81;0.00340
03:30;88.98;3.56;0.00447
03:36;90.48;3.08;0.00381
03:42;91.36;4.68;0.00499
03:48;95.64;4.56;0.00437
03:54;90.04;3.84;0.00405
04:00;92.60;4.46;0.00402
04:06;96.94;4.85;0.00593
04:12;92.33;4.65;0.00487
04:18;86.26;5.58;0.00610
04:24;92.44;6.23;0.00477
04:30;93.40;7.58;0.00412
04:36;91.09;7.54;0.00474
04:42;88.92;8.44;0.00439
04:48;90.49;9.19;0.00515
04:54;94.77;11.74;0.00626
05:00;91.20;10.57;0.00571
05:06;91.23;12.71;0.00584
05:12;90.98;13.89;0.00587
05:18;89.81;14.11;0.00624
05:24;89.98;14.93;0.00639
05:30;91.50;17.29;0.00708
05:36;90.80;21.18;0.00767
05:42;90.41;25.36;0.00856
05:48;91.26;28.25;0.00893
05:54;91.13;27.14;0.00868
06:00;88.69;28.29;0.01036
06:06;89.16;32.54;0.01167
06:12;90.03;37.46;0.01195
06:18;89.45;46.04;0.01464
06:24;89.22;53.25;0.01681
06:30;89.05;55.57;0.01708
06:36;87.66;63.43;0.01982
06:42;88.12;72.04;0.02236
06:48;88.22;76.89;0.02299
06:54;87.97;82.21;0.02552
07:00;88.38;90.29;0.02826
07:06;87.78;94.40;0.03078
07:12;87.36;103.57;0.03305
07:18;86.69;111.59;0.03532
07:24;86.38;106.43;0.03412
07:30;85.62;111.93;0.03673
07:36;85.30;111.00;0.03999
07:42;84.67;118.72;0.03958
07:48;85.21;125.81;0.03996
07:54;85.04;129.06;0.04227
08:00;86.01;123.29;0.03909
08:06;86.31;121.52;0.03884
08:12;85.31;129.32;0.04044
08:18;83.88;135.94;0.04487
08:24;84.49;131.56;0.04440
08:30;83.77;131.29;0.04293
08:36;83.92;126.28;0.04314
08:42;82.59;138.46;0.04724
08:48;82.77;130.24;0.04825
08:54;83.41;125.70;0.04567
09:00;84.19;115.14;0.04030
09:06;84.57;109.94;0.04079
09:12;81.43;107.18;0.03893
09:18;83.56;108.62;0.03811
09:24;83.99;102.76;0.03788
09:30;81.17;96.95;0.03696
09:36;83.27;101.08;0.03567
09:42;83.99;96.35;0.03519
09:48;83.59;96.35;0.03497
09:54;83.93;96.39;0.03363
10:00;84.53;91.78;0.03158
10:06;84.60;91.71;0.03147
10:12;84.09;91.69;0.03279
10:18;83.70;95.38;0.03417
10:24;83.57;95.44;0.03280
10:30;83.54;99.76;0.03559
10:36;83.34;99.56;0.03516
10:42;83.03;98.49;0.03598
10:48;84.03;94.43;0.03305
10:54;84.12;96.11;0.03471
11:00;83.90;97.39;0.03386
11:06;82.70;96.56;0.03210
11:12;85.16;100.03;0.03437
11:18;84.79;101.97;0.03508
11:24;84.11;103.50;0.03527
11:30;84.75;99.68;0.03490
11:36;84.46;104.92;0.03553
11:42;85.17;99.59;0.03407
11:48;85.93;105.89;0.03579
11:54;86.24;104.16;0.03573
12:00;86.43;103.92;0.03528
12:06;87.40;107.61;0.03565
12:12;87.33;114.03;0.03809
12:18;86.93;110.61;0.03674
12:24;86.61;111.47;0.03677
12:30;86.65;107.45;0.03592
12:36;86.50;103.47;0.03491
12:42;87.19;101.97;0.03422
12:48;86.40;95.66;0.03255
12:54;86.57;94.18;0.03275
13:00;86.59;91.59;0.03098
13:06;86.71;89.26;0.03007
13:12;86.31;91.00;0.03125
13:18;85.64;98.97;0.03385
13:24;85.19;102.00;0.03429
13:30;85.69;101.85;0.03422
13:36;85.43;104.49;0.03617
13:42;84.85;112.00;0.03816
13:48;85.10;115.51;0.03881
13:54;84.96;117.44;0.04049
14:00;84.89;112.87;0.03857
14:06;84.76;112.31;0.03848
14:12;84.89;118.85;0.04068
14:18;83.87;117.82;0.04088
14:24;83.86;118.31;0.04068
14:30;83.32;119.87;0.04163
14:36;84.06;115.97;0.03995
14:42;84.31;116.10;0.04040
14:48;84.36;115.44;0.03997
14:54;83.99;116.74;0.04108
15:00;84.40;114.44;0.03901
15:06;84.33;116.87;0.03976
15:12;84.62;121.03;0.04131
15:18;84.73;127.45;0.04282
15:24;84.34;126.59;0.04320
15:30;84.28;125.69;0.04291
15:36;84.85;136.76;0.04468
15:42;85.11;137.49;0.04600
15:48;84.80;142.59;0.04769
15:54;85.47;134.97;0.04583
16:00;85.72;138.31;0.04689
16:06;85.89;154.46;0.05047
16:12;86.02;155.72;0.05184
16:18;85.74;169.27;0.05471
16:24;84.92;166.82;0.05617
16:30;84.98;170.13;0.05464
16:36;85.28;163.56;0.05269
16:42;85.09;164.10;0.05255
16:48;85.02;167.71;0.05374
16:54;86.25;169.08;0.05272
17:00;85.23;169.76;0.05397
17:06;85.69;170.97;0.05406
17:12;85.01;178.08;0.05658
17:18;84.59;176.97;0.05611
