heure;vitesse;debit;occupation
00:00;100.96;13.97;0.00598
00:06;106.72;12.40;0.00512
00:12;98.13;9.47;0.00409
00:18;99.56;9.20;0.00398
00:24;100.65;7.03;0.00412
00:30;97.72;7.87;0.00375
00:36;100.78;7.03;0.00391
00:42;99.68;5.50;0.00306
00:48;108.96;5.18;0.00315
00:54;98.03;4.63;0.00343
01:00;99.28;4.65;0.00321
01:06;111.73;4.44;0.00395
01:12;105.45;3.25;0.00363
01:18;99.13;2.76;0.00295
01:24;94.18;2.88;0.00352
01:30;89.05;2.92;0.00307
01:36;93.42;3.63;0.00277
01:42;94.56;3.24;0.00323
01:48;96.76;3.20;0.00391
01:54;98.58;3.39;0.00485
02:00;96.26;2.60;0.00476
02:06;97.20;3.05;0.00296
02:12;89.36;2.27;0.00324
02:18;109.21;2.61;0.00345
02:24;92.77;2.04;0.00460
02:30;101.57;2.29;0.00530
02:36;104.30;2.47;0.00297
02:42;96.91;2.47;0.00350
02:48;89.02;2.36;0.00266
02:54;94.66;1.86;0.00329
03:00;78.09;1.29;0.00260
03:06;92.64;1.86;0.00361
03:12;101.35;2.12;0.00287
03:18;89.36;1.95;0.00306
03:24;81.95;1.50;0.00293
03:30;97.01;1.80;0.00478
03:36;108.16;2.12;0.00328
03:42;92.79;2.57;0.00459
03:48;85.05;2.44;0.00346
03:54;65.53;2.17;0.00287
04:00;96.08;2.35;0.00330
04:06;93.40;2.47;0.00365
04:12;94.78;2.09;0.00394
04:18;94.50;3.14;0.00575
04:24;86.14;2.38;0.00336
04:30;101.64;3.65;0.00368
04:36;86.59;3.78;0.00324
04:42;95.69;4.38;0.00415
04:48;95.40;4.31;0.00341
04:54;103.82;5.46;0.00409
05:00;98.02;4.69;0.00298
05:06;94.53;4.50;0.00391
05:12;96.81;5.59;0.00425
05:18;102.74;5.28;0.00379
05:24;103.90;6.14;0.00391
05:30;97.50;6.64;0.00557
05:36;105.48;9.13;0.00479
05:42;105.47;9.10;0.00415
05:48;99.84;10.47;0.00559
05:54;104.24;10.60;0.00457
