heure;vitesse;debit;occupation
00:00;99.08;22.94;0.00799
00:06;98.17;17.36;0.00706
00:12;99.51;14.19;0.00710
00:18;98.25;13.85;0.00674
00:24;97.99;12.48;0.00602
00:30;96.65;12.03;0.00656
00:36;98.59;10.88;0.00576
00:42;96.78;8.92;0.00587
00:48;98.56;7.88;0.00573
00:54;98.33;7.42;0.00488
01:00;97.91;6.53;0.00502
01:06;99.81;5.97;0.00511
01:12;99.19;5.25;0.00458
01:18;98.62;5.41;0.00566
01:24;97.02;4.87;0.00489
01:30;92.50;3.88;0.00449
01:36;91.38;4.81;0.00500
01:42;94.39;4.63;0.00663
01:48;96.05;4.41;0.00495
01:54;96.33;4.43;0.00723
02:00;95.63;4.40;0.00540
02:06;100.94;4.37;0.00565
02:12;90.64;3.32;0.00586
02:18;96.86;4.03;0.00680
02:24;91.75;3.50;0.00719
02:30;94.59;2.58;0.00509
02:36;101.44;2.97;0.00479
02:42;98.20;2.61;0.00600
02:48;93.79;3.11;0.00537
02:54;93.93;2.16;0.00688
03:00;92.26;2.14;0.00310
03:06;96.73;2.50;0.00742
03:12;92.58;2.76;0.00457
03:18;87.95;2.83;0.00442
03:24;85.78;2.10;0.00476
03:30;94.81;2.81;0.00562
03:36;92.65;2.69;0.00518
03:42;93.35;3.67;0.00528
03:48;92.30;3.37;0.00447
03:54;93.41;3.41;0.00555
04:00;93.28;3.43;0.00519
04:06;98.84;3.73;0.00661
04:12;97.49;3.29;0.00644
04:18;94.51;4.53;0.00693
04:24;93.80;5.12;0.00677
04:30;98.47;6.00;0.00556
04:36;95.01;6.28;0.00496
04:42;96.36;6.79;0.00603
04:48;98.95;7.36;0.00577
04:54;98.14;9.27;0.00626
05:00;96.03;8.97;0.00636
05:06;95.74;8.91;0.00650
05:12;95.56;11.32;0.00659
05:18;94.37;10.67;0.00807
05:24;95.33;11.44;0.00739
05:30;94.33;13.03;0.00757
05:36;95.39;18.09;0.00903
05:42;95.43;19.36;0.00884
05:48;98.43;21.82;0.00933
05:54;98.33;19.85;0.00851
06:00;96.56;21.06;0.00974
06:06;97.21;23.12;0.01073
06:12;96.23;28.85;0.01137
06:18;96.21;34.74;0.01258
06:24;96.02;36.06;0.01310
06:30;96.98;39.53;0.01346
06:36;96.19;42.72;0.01470
06:42;96.54;52.00;0.01677
06:48;98.26;61.03;0.01761
06:54;98.24;59.94;0.01790
07:00;95.67;71.32;0.02128
07:06;97.37;80.69;0.02222
07:12;97.05;92.41;0.02508
07:18;97.53;97.82;0.02666
07:24;97.33;94.37;0.02473
07:30;96.81;98.32;0.02640
07:36;96.18;96.00;0.02818
07:42;95.92;100.00;0.02786
07:48;96.14;104.97;0.02869
07:54;96.91;107.78;0.02816
08:00;96.01;105.72;0.02796
08:06;96.38;107.53;0.02869
08:12;96.37;109.94;0.02828
08:18;95.30;117.69;0.03138
08:24;95.94;115.58;0.03190
08:30;96.58;113.18;0.02977
08:36;97.47;107.21;0.02905
08:42;97.01;115.21;0.02978
08:48;96.53;109.46;0.03119
08:54;97.06;105.56;0.02832
09:00;96.55;100.92;0.02682
09:06;96.52;95.63;0.02610
09:12;93.20;91.51;0.02517
09:18;95.03;88.95;0.02462
09:24;95.76;86.18;0.02379
09:30;92.84;80.95;0.02272
09:36;94.79;78.24;0.02221
09:42;95.22;74.55;0.02202
09:48;94.33;74.58;0.02184
09:54;94.25;71.78;0.02173
10:00;94.39;71.05;0.02169
10:06;93.97;67.54;0.02033
10:12;94.39;71.72;0.02156
10:18;94.15;72.89;0.02157
10:24;94.30;72.81;0.02193
10:30;94.27;73.64;0.02196
10:36;93.98;75.03;0.02282
10:42;93.69;76.28;0.02377
10:48;94.94;74.14;0.02208
10:54;94.34;73.51;0.02197
11:00;94.66;75.32;0.02218
11:06;93.12;76.66;0.02199
11:12;95.79;77.76;0.02219
11:18;96.13;81.05;0.02283
11:24;95.73;82.81;0.02316
11:30;96.31;78.50;0.02225
11:36;96.37;84.47;0.02282
11:42;96.20;81.00;0.02229
11:48;97.24;86.53;0.02350
11:54;97.16;89.84;0.02381
12:00;97.38;86.92;0.02355
12:06;97.52;94.89;0.02477
12:12;98.48;97.03;0.02479
12:18;98.58;94.55;0.02421
12:24;98.70;92.13;0.02359
12:30;98.59;89.47;0.02288
12:36;97.40;86.58;0.02251
12:42;97.82;82.74;0.02165
12:48;97.64;83.05;0.02214
12:54;97.95;78.85;0.02113
13:00;97.85;76.31;0.02008
13:06;97.25;75.33;0.02002
13:12;97.44;75.21;0.02001
13:18;97.07;79.95;0.02129
13:24;97.45;81.00;0.02076
13:30;97.68;84.56;0.02184
13:36;97.42;86.62;0.02297
13:42;96.55;90.08;0.02362
13:48;97.09;94.28;0.02452
13:54;97.55;95.74;0.02457
14:00;97.10;93.77;0.02430
14:06;96.63;93.95;0.02457
14:12;96.84;97.23;0.02538
14:18;96.40;98.95;0.02591
14:24;96.57;98.08;0.02568
14:30;95.68;96.44;0.02585
14:36;96.47;97.64;0.02542
14:42;96.32;94.49;0.02448
14:48;96.69;97.51;0.02553
14:54;96.36;97.79;0.02535
15:00;96.46;97.26;0.02540
15:06;97.02;99.59;0.02570
15:12;96.67;104.74;0.02699
15:18;97.17;108.97;0.02768
15:24;96.81;110.44;0.02886
15:30;97.04;110.82;0.02852
15:36;96.61;118.45;0.03013
15:42;97.52;122.54;0.03173
15:48;96.99;126.79;0.03165
15:54;97.61;124.16;0.03129
16:00;97.83;127.41;0.03273
16:06;97.88;141.79;0.03479
16:12;98.19;147.97;0.03708
16:18;97.49;158.32;0.03876
16:24;97.62;153.18;0.03793
16:30;97.21;158.44;0.03914
16:36;97.38;150.64;0.03722
16:42;96.78;155.95;0.03850
16:48;96.72;159.13;0.03886
16:54;97.26;162.18;0.03932
17:00;96.99;159.87;0.03904
17:06;97.61;164.13;0.03981
17:12;97.10;174.66;0.04186
17:18;96.78;179.57;0.04293
17:24;97.64;171.30;0.04089
17:30;97.73;168.27;0.04040
17:36;97.65;166.24;0.03937
17:42;97.97;167.51;0.03950
17:48;98.17;162.59;0.03922
17:54;97.98;162.35;0.03826
18:00;97.96;155.86;0.03673
18:06;98.16;153.22;0.03659
18:12;97.37;165.24;0.03900
18:18;97.38;166.25;0.03905
18:24;97.34;161.75;0.03766
18:30;96.97;157.03;0.03677
18:36;97.22;154.83;0.03615
18:42;97.17;153.94;0.03612
18:48;96.97;144.64;0.03413
18:54;96.54;147.36;0.03480
19:00;95.89;140.81;0.03336
19:06;96.22;133.89;0.03201
19:12;97.03;141.28;0.03339
19:18;97.08;136.72;0.03192
19:24;97.81;128.58;0.02981
19:30;97.27;122.00;0.02871
19:36;97.03;114.97;0.02709
19:42;97.84;115.19;0.02681
19:48;97.36;105.33;0.02474
19:54;97.66;93.33;0.02201
20:00;97.47;92.36;0.02197
20:06;97.18;80.75;0.01924
20:12;98.17;80.25;0.01900
20:18;99.23;73.89;0.01732
20:24;98.26;69.56;0.01687
20:30;97.68;60.47;0.01520
20:36;97.02;55.06;0.01456
20:42;97.28;49.17;0.01294
20:48;98.05;42.94;0.01203
20:54;97.69;39.32;0.01164
21:00;97.80;37.35;0.01134
21:06;94.22;34.68;0.01100
21:12;97.01;34.50;0.01049
21:18;97.36;35.25;0.01131
21:24;97.36;31.72;0.00986
21:30;96.57;30.51;0.01089
21:36;96.86;29.67;0.01021
21:42;95.99;28.22;0.01126
21:48;97.06;29.51;0.01051
21:54;94.79;30.16;0.00997
22:00;96.15;30.89;0.01129
22:06;96.20;30.29;0.01056
22:12;96.93;29.60;0.00994
22:18;97.01;28.40;0.00946
22:24;96.56;26.58;0.00932
22:30;96.46;25.49;0.00971
22:36;96.25;25.03;0.00924
22:42;96.80;24.26;0.00929
22:48;99.15;25.94;0.00944
22:54;95.98;25.65;0.00961
23:00;97.64;24.79;0.00874
23:06;96.67;23.50;0.00904
23:12;96.82;24.50;0.00933
23:18;96.92;24.82;0.00942
23:24;95.29;22.26;0.00818
23:30;94.09;22.97;0.00837
23:36;97.89;22.81;0.00866
23:42;96.40;22.03;0.00875
23:48;98.12;21.68;0.00824
23:54;98.53;18.94;0.00752
