heure;vitesse;debit;occupation
00:00;98.16;21.30;0.00767
00:06;96.21;17.14;0.00709
00:12;99.09;13.70;0.00620
00:18;96.04;14.19;0.00619
00:24;94.17;11.52;0.01076
00:30;93.43;11.96;0.00919
00:36;94.40;10.64;0.00534
00:42;99.24;8.50;0.00473
00:48;99.33;7.96;0.00484
00:54;95.77;7.64;0.00485
01:00;97.33;6.48;0.00502
01:06;101.21;6.04;0.00422
01:12;96.89;5.69;0.00570
01:18;98.26;5.31;0.00451
01:24;92.12;4.56;0.00576
01:30;95.29;4.08;0.00529
01:36;94.78;5.19;0.00595
01:42;89.92;4.20;0.00600
01:48;95.17;4.42;0.00511
01:54;97.36;4.80;0.00541
02:00;97.64;4.80;0.00582
02:06;99.70;4.60;0.00574
02:12;88.55;3.58;0.00583
02:18;95.61;3.84;0.00549
02:24;89.53;3.23;0.00836
02:30;89.27;2.65;0.00522
02:36;102.67;3.12;0.00533
02:42;93.57;2.88;0.00483
02:48;95.49;3.08;0.00469
02:54;96.44;2.20;0.00409
03:00;85.87;2.33;0.00334
03:06;97.29;2.05;0.00498
03:12;92.77;2.95;0.00491
03:18;91.48;2.62;0.00576
03:24;88.36;2.16;0.00448
03:30;94.27;2.88;0.00542
03:36;95.78;2.87;0.00446
03:42;92.56;3.71;0.00652
03:48;95.12;3.88;0.00490
03:54;89.37;3.36;0.00483
04:00;96.49;3.59;0.00617
04:06;99.44;3.73;0.00645
04:12;91.89;3.50;0.00969
04:18;92.39;4.62;0.00550
04:24;90.77;5.50;0.00651
04:30;98.50;6.65;0.00521
04:36;94.86;6.54;0.00477
04:42;95.02;6.81;0.00589
04:48;96.78;7.81;0.00595
04:54;98.01;9.11;0.00658
05:00;97.67;9.19;0.00655
05:06;97.09;9.81;0.00600
05:12;94.61;11.79;0.00711
05:18;93.50;11.54;0.00752
05:24;94.68;11.96;0.00669
05:30;94.75;14.25;0.00745
05:36;94.82;18.43;0.00865
05:42;95.85;20.93;0.00911
05:48;96.94;21.64;0.00975
05:54;97.56;19.79;0.00915
06:00;96.32;21.61;0.01011
06:06;95.87;23.75;0.01084
06:12;95.46;29.25;0.01154
06:18;94.96;34.43;0.01283
06:24;95.80;36.89;0.01333
06:30;96.35;41.64;0.01415
06:36;95.56;44.36;0.01472
06:42;96.20;56.29;0.01677
06:48;97.05;61.96;0.01743
06:54;96.94;62.00;0.01815
07:00;94.82;71.43;0.02141
07:06;96.60;83.31;0.02356
07:12;96.09;89.80;0.02486
07:18;96.06;98.83;0.02675
07:24;96.63;96.59;0.02535
07:30;96.51;99.64;0.02653
07:36;95.53;101.03;0.02916
07:42;95.90;104.77;0.02782
07:48;95.11;111.72;0.02958
07:54;95.97;111.83;0.02891
08:00;95.83;112.28;0.02948
08:06;96.06;105.69;0.02746
08:12;96.27;116.96;0.02967
08:18;94.57;116.33;0.03100
08:24;94.73;117.26;0.03159
08:30;95.38;115.39;0.03026
08:36;96.40;104.12;0.02731
08:42;96.39;113.16;0.02921
08:48;95.32;108.15;0.02868
08:54;96.08;103.97;0.02760
09:00;95.40;100.41;0.02699
09:06;95.48;92.70;0.02543
09:12;91.26;90.12;0.02542
09:18;94.14;88.65;0.02462
09:24;94.37;84.59;0.02356
09:30;91.46;77.71;0.02283
09:36;93.60;78.88;0.02248
09:42;94.10;75.00;0.02155
09:48;92.67;74.82;0.02240
09:54;92.85;72.38;0.02238
10:00;93.55;70.76;0.02092
10:06;93.13;67.21;0.02070
10:12;93.54;70.85;0.02114
10:18;93.02;71.56;0.02114
10:24;93.41;72.03;0.02133
10:30;93.20;73.19;0.02126
10:36;92.88;76.44;0.02266
10:42;92.19;74.73;0.02481
10:48;93.54;73.21;0.02229
10:54;93.11;72.53;0.02267
11:00;93.57;73.47;0.02206
11:06;91.20;76.59;0.02267
11:12;94.35;78.26;0.02286
11:18;94.82;80.44;0.02275
11:24;94.82;82.94;0.02333
11:30;94.24;79.82;0.02272
11:36;95.45;86.09;0.02352
11:42;94.75;83.00;0.02267
11:48;95.34;86.32;0.02368
11:54;96.06;87.26;0.02326
12:00;96.02;85.94;0.02342
12:06;95.66;92.76;0.02498
12:12;96.82;95.76;0.02503
12:18;96.77;93.74;0.02408
12:24;97.08;91.41;0.02378
12:30;97.35;89.82;0.02298
12:36;96.12;87.59;0.02275
12:42;96.30;80.68;0.02182
12:48;95.59;81.79;0.02233
12:54;96.69;76.86;0.02076
13:00;96.30;76.11;0.02058
13:06;95.88;75.34;0.02100
13:12;95.96;77.60;0.02091
13:18;95.60;77.49;0.02088
13:24;95.97;80.71;0.02093
13:30;95.90;83.86;0.02201
13:36;95.92;84.20;0.02238
13:42;94.89;88.80;0.02365
13:48;95.36;94.00;0.02452
13:54;95.75;96.14;0.02525
14:00;95.09;92.00;0.02487
14:06;95.17;93.94;0.02532
14:12;95.45;96.43;0.02523
14:18;95.31;96.17;0.02543
14:24;95.12;98.00;0.02577
14:30;94.20;95.34;0.02550
14:36;94.34;95.03;0.02537
14:42;95.22;96.03;0.02474
14:48;94.94;96.06;0.02590
14:54;95.18;94.97;0.02505
15:00;94.66;96.43;0.02513
15:06;95.64;96.23;0.02508
15:12;95.40;101.63;0.02661
15:18;95.68;106.47;0.02741
15:24;95.32;107.71;0.02879
15:30;95.06;110.03;0.02861
15:36;94.66;117.24;0.02984
15:42;95.30;119.97;0.03124
15:48;95.51;124.80;0.03128
15:54;95.97;121.71;0.03084
