heure;vitesse;debit;occupation
00:00;91.82;19.35;0.00735
00:06;92.82;16.53;0.00739
00:12;90.94;13.87;0.00568
00:18;93.03;12.75;0.00588
00:24;91.60;11.26;0.00558
00:30;90.84;12.00;0.00568
00:36;90.94;10.70;0.00586
00:42;93.53;8.41;0.00539
00:48;90.80;7.50;0.00492
00:54;91.59;7.62;0.00533
01:00;89.89;5.91;0.00551
01:06;94.06;6.16;0.00544
01:12;93.02;5.67;0.00531
01:18;94.50;5.00;0.00437
01:24;93.66;4.68;0.00409
01:30;90.94;4.41;0.00411
01:36;91.01;5.10;0.00446
01:42;86.92;4.17;0.00494
01:48;91.22;4.76;0.00584
01:54;88.93;4.39;0.00560
02:00;92.88;4.75;0.00477
02:06;91.53;4.21;0.00473
02:12;88.14;3.18;0.00459
02:18;90.58;3.93;0.00646
02:24;89.57;3.60;0.00486
02:30;90.34;2.67;0.00602
02:36;83.78;2.72;0.00543
02:42;86.51;2.83;0.00582
02:48;92.34;2.57;0.00481
02:54;94.26;2.11;0.00393
03:00;83.30;2.44;0.00385
03:06;96.01;2.27;0.00563
03:12;91.65;2.96;0.00477
03:18;86.05;2.93;0.00968
03:24;90.46;2.39;0.00475
03:30;86.06;2.62;0.00490
03:36;89.81;2.88;0.00401
03:42;90.53;3.65;0.00661
03:48;88.67;3.50;0.00565
03:54;84.52;3.46;0.00467
04:00;78.04;3.22;0.00429
04:06;89.98;3.61;0.00609
04:12;85.00;3.54;0.00768
04:18;88.77;4.36;0.00661
04:24;88.19;5.15;0.00576
04:30;94.44;6.04;0.00563
04:36;92.83;6.36;0.00503
04:42;88.96;6.18;0.00553
04:48;91.59;7.28;0.00508
04:54;91.65;9.45;0.00640
05:00;93.62;8.48;0.00555
05:06;92.64;9.33;0.00623
05:12;91.18;11.07;0.00651
05:18;87.23;11.03;0.00648
05:24;89.81;11.73;0.00669
05:30;90.89;14.27;0.00735
05:36;91.39;17.53;0.00836
05:42;90.19;19.83;0.00841
05:48;91.06;21.47;0.00990
05:54;92.41;19.73;0.00855
06:00;91.49;21.33;0.01019
06:06;93.05;24.07;0.01035
06:12;92.32;28.17;0.01066
06:18;91.72;33.33;0.01198
06:24;92.83;36.80;0.01332
06:30;90.07;40.63;0.01341
06:36;93.50;41.73;0.01480
06:42;93.32;54.27;0.01633
06:48;93.91;60.53;0.01686
06:54;93.89;60.90;0.01712
07:00;92.75;68.60;0.01965
07:06;93.93;79.65;0.02134
07:12;93.66;88.97;0.02300
07:18;94.10;96.29;0.02378
07:24;93.01;88.31;0.02239
07:30;93.30;92.16;0.02359
07:36;92.71;95.91;0.02574
07:42;92.65;98.15;0.02534
07:48;92.02;103.85;0.02619
07:54;92.16;105.53;0.02575
08:00;92.61;103.88;0.02574
08:06;92.49;103.21;0.02480
08:12;92.32;107.62;0.02602
08:18;90.07;109.06;0.02862
08:24;90.71;112.80;0.02875
08:30;91.24;110.94;0.02721
08:36;91.09;103.28;0.02659
08:42;91.38;113.57;0.02740
08:48;90.11;103.76;0.02750
08:54;90.63;100.70;0.02546
09:00;90.49;96.92;0.02499
09:06;90.32;94.61;0.02490
09:12;87.43;87.16;0.02292
09:18;89.80;87.42;0.02298
09:24;90.38;82.08;0.02233
09:30;87.03;77.74;0.02223
09:36;88.73;78.22;0.02161
09:42;89.28;75.33;0.02057
09:48;87.75;73.06;0.02142
