heure;vitesse;debit;occupation
00:00;99.58;30.23;0.00623
00:06;98.79;28.71;0.00671
00:12;98.30;27.77;0.00616
00:18;99.93;25.52;0.00589
00:24;99.83;24.29;0.00572
00:30;98.53;22.87;0.00534
00:36;98.51;21.81;0.00529
00:42;96.59;19.33;0.00510
00:48;97.33;19.28;0.00534
00:54;100.20;17.81;0.00476
01:00;99.27;18.68;0.00462
01:06;97.25;16.87;0.00470
01:12;99.33;15.40;0.00480
01:18;97.23;13.89;0.00512
01:24;96.30;16.43;0.00484
01:30;98.13;15.50;0.00470
01:36;96.12;13.72;0.00463
01:42;95.55;13.96;0.00435
01:48;97.24;13.14;0.00446
01:54;97.58;13.33;0.00465
02:00;99.14;12.48;0.00447
02:06;100.87;12.56;0.00432
02:12;99.17;13.21;0.00529
02:18;97.66;12.14;0.00454
02:24;99.36;13.93;0.00469
02:30;98.66;14.63;0.00496
02:36;99.03;14.89;0.00540
02:42;98.53;15.00;0.00523
02:48;99.98;14.56;0.00497
02:54;99.37;17.75;0.00563
03:00;95.82;17.68;0.00494
03:06;98.97;15.41;0.00456
03:12;98.00;11.73;0.00425
03:18;97.58;13.15;0.00571
03:24;100.68;12.93;0.00468
03:30;97.33;14.11;0.00577
03:36;99.62;16.00;0.00514
03:42;101.78;18.38;0.00591
03:48;102.45;20.35;0.00573
03:54;103.95;21.50;0.00602
04:00;98.46;17.65;0.00529
04:06;98.32;19.88;0.00656
04:12;98.48;21.31;0.00705
04:18;98.16;26.62;0.00753
04:24;99.67;30.23;0.00811
04:30;100.85;35.62;0.00918
04:36;101.09;42.04;0.00999
04:42;101.13;48.41;0.01079
04:48;101.77;44.59;0.01005
04:54;100.28;43.19;0.00990
05:00;99.98;44.21;0.01107
05:06;98.14;51.64;0.01173
05:12;98.29;59.24;0.01302
05:18;99.30;72.17;0.01465
05:24;99.70;75.17;0.01464
05:30;98.93;95.97;0.01736
05:36;99.93;112.00;0.01913
05:42;99.18;123.10;0.02068
05:48;99.72;127.31;0.02120
05:54;100.04;122.34;0.02017
06:00;97.93;145.62;0.02383
06:06;97.34;178.38;0.02891
06:12;96.08;225.00;0.03589
06:18;96.02;265.07;0.04189
06:24;95.47;284.17;0.04461
06:30;92.78;368.45;0.05955
06:36;89.71;448.21;0.07358
06:42;86.79;497.24;0.08364
06:48;81.17;512.59;0.09332
06:54;68.27;518.24;0.11719
07:00;55.12;461.66;0.14222
07:06;54.43;453.20;0.14195
07:12;54.36;439.73;0.14215
07:18;51.08;424.87;0.14793
07:24;50.52;379.03;0.13881
07:30;52.66;365.10;0.13339
07:36;52.97;357.06;0.13755
07:42;53.24;361.55;0.13191
07:48;53.89;377.45;0.12982
07:54;52.77;364.45;0.12972
08:00;53.40;346.94;0.12084
08:06;54.10;383.19;0.12378
08:12;52.90;377.47;0.13176
08:18;50.63;369.69;0.14102
08:24;55.01;392.65;0.13323
08:30;53.45;363.88;0.12628
08:36;56.72;363.31;0.12252
08:42;55.23;366.57;0.12674
08:48;60.70;346.57;0.11512
08:54;64.66;341.35;0.10241
09:00;67.08;320.50;0.09276
09:06;69.11;337.78;0.09861
09:12;71.33;325.66;0.08344
09:18;73.50;332.11;0.08755
09:24;75.18;320.55;0.08217
09:30;77.22;332.59;0.07886
09:36;79.50;338.68;0.07720
09:42;82.31;344.43;0.07499
09:48;84.54;341.51;0.07055
09:54;86.05;331.83;0.06667
10:00;88.10;325.51;0.06312
10:06;88.14;323.19;0.06044
10:12;85.83;310.05;0.05789
10:18;87.91;333.26;0.06387
10:24;87.89;337.63;0.06405
10:30;89.15;333.97;0.05959
10:36;90.13;332.00;0.05811
10:42;90.24;314.42;0.05580
10:48;90.56;329.72;0.05766
10:54;90.24;313.51;0.05539
11:00;90.31;321.30;0.05609
11:06;85.85;298.73;0.05202
11:12;90.40;320.43;0.05720
11:18;90.78;327.03;0.05592
11:24;90.32;332.81;0.05783
11:30;90.37;325.78;0.05747
11:36;90.80;326.51;0.05630
11:42;90.85;331.86;0.05767
11:48;91.22;330.97;0.05645
11:54;91.72;325.61;0.05600
12:00;91.50;336.89;0.05639
12:06;91.94;361.50;0.05942
12:12;91.82;352.08;0.05822
