heure;vitesse;debit;occupation
00:00;94.48;33.45;0.00866
00:06;95.93;29.35;0.00740
00:12;94.39;30.23;0.00808
00:18;95.68;24.81;0.00678
00:24;94.76;24.12;0.00695
00:30;95.02;20.97;0.00599
00:36;95.17;21.94;0.00678
00:42;91.79;17.97;0.00587
00:48;96.72;16.53;0.00558
00:54;92.73;14.50;0.00515
01:00;94.22;12.58;0.00482
01:06;95.51;12.53;0.00545
01:12;96.08;10.87;0.00466
01:18;96.12;10.17;0.00417
01:24;95.13;9.70;0.00418
01:30;94.48;8.63;0.00399
01:36;96.37;9.57;0.00575
01:42;93.74;7.64;0.00485
01:48;96.97;8.71;0.00547
01:54;92.24;7.75;0.00460
02:00;97.16;8.30;0.00533
02:06;95.90;7.04;0.00426
02:12;95.04;7.59;0.00496
02:18;96.96;7.04;0.00511
02:24;95.17;6.71;0.00516
02:30;97.17;6.67;0.00449
02:36;98.13;6.81;0.00491
02:42;97.60;7.15;0.00469
02:48;94.67;5.50;0.00664
02:54;96.10;6.57;0.00638
03:00;97.80;5.71;0.00486
03:06;90.97;5.85;0.00497
03:12;96.54;7.55;0.00570
03:18;95.81;5.70;0.00514
03:24;95.86;5.96;0.00476
03:30;93.57;7.35;0.00589
03:36;92.84;7.81;0.00588
03:42;93.17;11.46;0.00552
03:48;95.48;10.88;0.00587
03:54;95.13;10.77;0.00584
04:00;94.62;9.77;0.00652
04:06;91.33;8.42;0.00666
04:12;93.73;10.23;0.00615
04:18;93.87;13.73;0.00815
04:24;91.81;11.42;0.00727
04:30;93.56;15.42;0.00873
04:36;93.83;18.96;0.00841
04:42;92.84;22.04;0.00994
04:48;91.99;21.81;0.00959
04:54;95.78;23.37;0.00958
05:00;94.84;22.54;0.01000
05:06;94.45;25.04;0.01026
05:12;94.02;29.29;0.01097
05:18;92.53;36.86;0.01199
05:24;91.86;42.14;0.01262
05:30;92.85;54.32;0.01463
05:36;93.08;62.82;0.01535
05:42;93.92;68.50;0.01605
05:48;93.80;68.68;0.01627
05:54;93.62;62.57;0.01493
06:00;93.41;56.43;0.01497
06:06;93.04;69.00;0.01710
06:12;93.14;83.11;0.01915
06:18;92.19;95.61;0.02283
06:24;93.41;109.89;0.02491
06:30;92.74;119.29;0.02779
06:36;92.27;141.18;0.03267
06:42;92.17;165.86;0.03918
06:48;91.76;188.57;0.04405
06:54;92.36;185.68;0.04204
07:00;91.40;196.18;0.04427
07:06;90.24;200.50;0.04769
07:12;88.83;243.77;0.05648
07:18;87.78;276.66;0.06252
07:24;87.73;272.53;0.06153
07:30;85.46;282.38;0.06647
07:36;85.21;297.88;0.07151
07:42;84.38;325.78;0.07438
07:48;83.74;329.00;0.07630
07:54;82.41;322.77;0.07727
08:00;84.26;302.52;0.07042
08:06;80.78;306.39;0.07435
08:12;77.62;313.35;0.08341
08:18;77.83;309.00;0.08378
08:24;77.93;308.50;0.08360
08:30;78.83;307.15;0.08018
08:36;77.29;302.92;0.08509
08:42;73.30;315.34;0.08991
08:48;72.31;295.59;0.09243
08:54;78.62;282.70;0.07761
09:00;81.37;260.19;0.06825
09:06;83.77;246.39;0.06628
09:12;82.45;244.84;0.06251
09:18;84.64;240.43;0.06289
09:24;86.03;228.82;inf
09:30;83.40;213.15;0.05589
09:36;85.49;221.35;0.05685
09:42;85.75;210.65;0.05685
09:48;85.70;210.89;0.05501
09:54;85.69;206.56;0.05451
10:00;86.13;197.75;0.05255
10:06;86.41;194.83;0.04986
10:12;87.08;206.77;0.05047
10:18;87.01;210.00;0.04916
10:24;87.79;204.06;0.04737
10:30;87.54;205.91;0.04725
10:36;87.95;209.26;0.04836
10:42;87.86;207.74;0.04977
10:48;87.91;212.20;0.04851
10:54;88.22;209.67;0.04794
11:00;88.70;207.53;0.04759
11:06;86.35;200.03;0.04574
11:12;88.35;207.89;0.04855
11:18;88.31;212.06;0.04767
11:24;89.03;210.22;0.04700
11:30;89.08;204.38;0.04706
11:36;89.18;209.86;0.04656
11:42;89.34;210.24;0.04817
11:48;89.80;210.95;0.04585
11:54;89.88;210.53;0.04709
12:00;89.83;206.97;0.04502
12:06;90.50;221.68;0.04765
12:12;90.64;223.13;0.04745
12:18;90.70;214.13;0.04546
12:24;90.20;218.76;0.04651
12:30;91.12;202.97;0.04372
12:36;90.89;202.68;0.04278
12:42;90.97;201.74;0.04325
12:48;91.25;192.11;0.04039
12:54;90.88;183.41;0.03984
13:00;90.97;184.05;0.03885
13:06;90.28;191.10;0.04071
13:12;90.35;200.64;0.04299
13:18;90.28;211.08;0.04482
13:24;90.00;219.15;0.04620
13:30;89.52;222.90;0.04733
13:36;89.22;228.85;0.04928
13:42;89.35;243.38;0.05184
13:48;89.23;238.85;0.05044
13:54;89.51;242.97;0.05141
14:00;88.98;234.87;0.05019
14:06;88.78;233.92;0.04975
14:12;88.28;240.87;0.05174
14:18;88.16;240.00;0.05174
14:24;87.47;243.90;0.05294
14:30;87.68;241.31;0.05235
14:36;87.79;239.03;0.05211
14:42;88.37;244.38;0.05284
14:48;88.43;239.26;0.05147
14:54;88.50;235.82;0.05039
15:00;88.04;234.46;0.05106
15:06;88.61;243.21;0.05234
15:12;88.11;248.38;0.05406
15:18;88.21;251.87;0.05367
15:24;88.28;243.26;0.05373
15:30;88.32;250.13;0.05515
15:36;87.60;253.53;0.05528
15:42;88.34;249.03;0.05515
15:48;88.67;256.36;0.05435
15:54;88.52;255.18;0.05382
16:00;88.23;253.00;0.05522
16:06;88.93;271.03;0.05625
16:12;88.78;283.28;0.06001
16:18;88.74;293.00;0.06055
16:24;88.63;292.13;0.06172
16:30;87.81;288.85;0.06016
16:36;88.39;288.72;0.06011
16:42;88.49;273.51;0.05627
16:48;88.70;283.63;0.05771
16:54;88.87;283.97;0.05751
17:00;88.50;282.71;0.05759
17:06;88.84;283.16;0.05838
17:12;88.25;289.55;0.05897
17:18;88.59;294.57;0.05968
17:24;89.08;292.00;0.05856
17:30;87.29;289.89;0.06107
17:36;88.62;289.81;0.05818
17:42;88.76;278.41;0.05612
17:48;88.98;271.59;0.05577
17:54;89.16;267.16;0.05387
18:00;88.72;266.51;0.05354
18:06;88.58;264.65;0.05424
18:12;88.34;265.95;0.05368
18:18;88.65;271.83;0.05422
18:24;88.51;275.11;0.05513
18:30;88.58;269.00;0.05361
18:36;88.67;262.36;0.05234
18:42;88.18;257.14;0.05157
18:48;88.99;254.06;0.05046
18:54;88.45;247.39;0.05001
19:00;88.50;226.22;0.04614
19:06;88.62;239.00;0.04778
19:12;88.90;233.23;0.04628
19:18;89.22;223.94;0.04457
19:24;89.63;220.63;0.04409
19:30;90.43;204.26;0.03994
19:36;90.81;197.03;0.03827
19:42;90.79;187.71;0.03674
19:48;91.81;174.54;0.03347
19:54;91.70;166.43;0.03234
20:00;92.50;148.86;0.02857
20:06;93.36;138.66;0.02638
20:12;92.72;139.06;0.02637
20:18;92.20;132.77;0.02565
20:24;92.77;120.94;0.02367
20:30;93.09;110.91;0.02142
20:36;93.57;100.77;0.01938
20:42;93.78;97.09;0.01840
20:48;93.50;85.18;0.01657
20:54;93.15;76.36;0.01527
21:00;93.37;71.14;0.01472
21:06;90.83;71.66;0.01402
21:12;93.45;71.56;0.01437
21:18;93.36;69.56;0.01462
21:24;93.22;73.97;0.01456
21:30;92.86;74.19;0.01481
21:36;93.06;70.86;0.01428
21:42;94.28;63.97;0.01315
21:48;94.76;64.68;0.01325
21:54;94.11;58.50;0.01191
22:00;93.88;58.97;0.01245
22:06;92.90;57.49;0.01198
22:12;94.05;56.30;0.01161
22:18;93.32;56.19;0.01190
22:24;92.64;51.62;0.01153
22:30;93.60;51.32;0.01146
22:36;93.41;52.59;0.01157
22:42;93.10;49.57;0.01116
22:48;92.89;48.92;0.01062
22:54;93.97;46.03;0.01059
23:00;90.80;47.41;0.01002
23:06;94.23;43.06;0.00985
23:12;91.78;46.23;0.01018
23:18;93.02;45.46;0.01091
23:24;94.48;44.14;0.00985
23:30;91.23;42.14;0.00978
23:36;94.30;41.03;0.00972
23:42;95.50;38.85;0.00930
23:48;94.10;39.84;0.00970
23:54;94.48;34.91;0.00882
