heure;vitesse;debit;occupation
00:00;96.87;18.48;0.00609
00:06;92.39;17.94;0.00603
00:12;95.85;16.67;0.00531
00:18;96.78;17.24;0.00591
00:24;96.26;15.27;0.00545
00:30;95.23;15.48;0.00582
00:36;96.41;13.82;0.00492
00:42;91.17;11.89;0.00523
00:48;95.38;13.32;0.00545
00:54;97.05;12.52;0.00506
01:00;96.06;13.36;0.00529
01:06;99.12;12.12;0.00492
01:12;96.33;11.19;0.00556
01:18;95.87;10.19;0.00537
01:24;97.79;11.37;0.00547
01:30;94.12;9.80;0.00451
01:36;98.39;9.81;0.00506
01:42;93.58;10.45;0.00426
01:48;96.64;8.61;0.00482
01:54;93.49;8.50;0.00459
02:00;95.52;9.13;0.00556
02:06;99.82;9.07;0.00496
02:12;98.30;9.90;0.00526
02:18;99.75;10.33;0.00468
02:24;94.14;10.55;0.00545
02:30;96.73;10.27;0.00573
02:36;97.66;11.16;0.00561
02:42;97.91;10.42;0.00576
02:48;96.89;12.13;0.00588
02:54;96.20;15.58;0.00595
03:00;95.25;14.45;0.00583
03:06;94.93;10.80;0.00466
03:12;94.70;8.04;0.00552
03:18;95.69;8.45;0.00602
03:24;99.60;8.71;0.00489
03:30;96.03;9.23;0.00568
03:36;97.04;9.07;0.00494
03:42;99.19;10.47;0.00517
03:48;96.43;12.32;0.00560
03:54;103.87;12.80;0.00537
04:00;93.36;9.73;0.00487
04:06;95.86;12.67;0.00651
04:12;95.58;13.84;0.00663
04:18;97.28;17.16;0.00697
04:24;99.15;18.27;0.00691
04:30;100.22;20.33;0.00738
04:36;99.43;26.80;0.00871
04:42;99.36;29.29;0.01004
04:48;99.65;30.16;0.00942
04:54;97.30;27.45;0.00914
05:00;97.71;26.47;0.01157
05:06;96.40;27.72;0.01034
05:12;96.81;35.33;0.01170
05:18;96.75;40.38;0.01236
05:24;96.65;42.03;0.01245
05:30;94.78;51.97;0.01498
05:36;97.72;61.06;0.01597
05:42;96.98;72.50;0.01935
05:48;97.54;71.24;0.01880
05:54;97.29;71.79;0.01831
06:00;93.43;85.35;0.02187
06:06;95.53;111.35;0.02798
06:12;94.54;133.71;0.03340
06:18;95.33;148.85;0.03668
06:24;95.67;158.76;0.03774
06:30;94.49;190.97;0.04731
06:36;92.67;238.09;0.05746
06:42;90.43;268.59;0.06599
06:48;86.30;304.79;0.08012
06:54;80.91;340.91;0.09259
07:00;75.02;324.24;0.09783
07:06;70.33;283.40;0.10094
07:12;69.31;289.41;0.10159
07:18;74.31;278.15;0.09155
07:24;80.23;245.43;0.07680
07:30;83.24;217.29;0.06764
07:36;79.77;217.19;0.07086
07:42;78.78;226.92;0.07261
07:48;77.26;231.30;0.08233
07:54;78.38;231.78;0.07899
08:00;77.57;229.27;0.07971
08:06;71.09;237.17;0.09687
08:12;67.36;226.58;0.09785
08:18;72.23;224.14;0.09097
08:24;78.63;217.89;0.07920
08:30;76.47;223.79;0.08739
08:36;78.08;221.15;0.07912
08:42;82.83;227.08;0.07229
08:48;78.50;208.36;0.07801
08:54;82.91;196.31;0.07481
09:00;86.16;211.00;0.06409
09:06;85.72;199.55;0.06331
09:12;84.71;208.92;0.06135
09:18;87.72;211.26;0.06349
09:24;87.38;218.90;0.06665
09:30;85.67;212.46;0.06352
09:36;88.79;211.87;0.05964
09:42;89.03;209.34;0.06052
09:48;89.71;214.37;0.05896
09:54;88.81;205.62;0.05750
10:00;89.96;215.97;0.05854
10:06;90.37;204.89;0.05534
10:12;89.83;208.94;0.05735
10:18;89.44;218.53;0.05921
10:24;89.41;218.86;0.05957
10:30;89.61;216.39;0.05834
10:36;89.52;212.06;0.05724
10:42;89.90;203.41;0.05756
10:48;89.71;217.76;0.05907
10:54;89.77;210.05;0.05695
11:00;89.44;218.11;0.05890
11:06;87.23;206.00;0.05498
11:12;89.60;215.26;0.05786
11:18;89.76;223.66;0.05906
11:24;89.33;224.24;0.05998
11:30;89.34;222.82;0.06055
11:36;89.43;222.58;0.05914
11:42;89.64;222.76;0.06040
11:48;90.11;226.87;0.05995
11:54;90.46;225.71;0.05824
12:00;90.33;232.16;0.05947
12:06;90.22;253.45;0.06433
12:12;90.51;243.92;0.06205
12:18;90.90;230.34;0.05824
12:24;91.47;208.55;0.05288
12:30;91.62;201.37;0.05131
12:36;92.37;195.24;0.04832
12:42;91.83;189.32;0.04790
12:48;91.93;185.87;0.04730
12:54;92.10;176.87;0.04557
13:00;91.93;188.82;0.04741
13:06;91.14;203.62;0.05161
13:12;90.95;212.18;0.05413
13:18;91.28;210.05;0.05284
13:24;91.22;219.05;0.05533
13:30;90.92;222.03;0.05592
13:36;90.67;232.05;0.05942
13:42;90.39;236.56;0.05982
13:48;90.63;228.44;0.05832
13:54;90.72;220.97;0.05633
14:00;90.02;221.21;0.05700
14:06;89.67;248.03;0.06260
14:12;89.09;255.77;0.06562
14:18;89.06;237.59;0.06150
14:24;89.48;236.21;0.06111
14:30;89.40;231.46;0.05966
14:36;89.02;237.49;0.06187
14:42;88.75;240.38;0.06334
14:48;89.29;230.51;0.06087
14:54;88.86;235.15;0.06228
15:00;88.43;237.03;0.06291
15:06;88.17;252.03;0.06627
15:12;87.80;254.82;0.06862
15:18;87.29;256.45;0.06830
15:24;87.81;256.97;0.06947
15:30;87.92;255.36;0.06757
15:36;87.47;266.42;0.07062
15:42;87.13;262.92;0.07033
15:48;87.36;262.44;0.06824
15:54;87.37;269.26;0.06990
16:00;87.71;259.74;0.06901
16:06;85.86;290.33;0.07674
16:12;84.53;303.36;0.08302
16:18;85.02;313.19;0.08204
16:24;86.02;282.05;0.07577
16:30;86.21;291.56;0.07542
16:36;84.39;321.72;0.08422
16:42;83.51;304.85;0.08117
16:48;84.12;299.74;0.07868
16:54;83.75;306.42;0.08070
17:00;85.14;305.26;0.07814
17:06;82.06;346.21;0.09222
17:12;80.92;347.66;0.09254
17:18;81.07;326.03;0.08810
17:24;80.32;311.27;0.08649
17:30;82.83;301.89;0.08026
17:36;78.87;317.08;0.09001
17:42;71.88;285.95;0.10494
17:48;76.87;280.68;0.08843
17:54;75.03;262.27;0.08798
18:00;78.74;283.49;0.08300
18:06;77.82;299.57;0.08648
18:12;76.07;293.57;0.09376
18:18;78.08;296.75;0.08276
18:24;78.39;275.81;0.08196
18:30;80.65;270.42;0.07432
18:36;78.39;266.83;0.08008
18:42;82.67;252.75;0.06915
18:48;81.98;230.17;0.06810
18:54;82.75;226.08;0.06695
19:00;83.46;221.81;0.06224
