heure;vitesse;debit;occupation
00:00;108.88;5.75;0.00388
00:06;99.21;4.44;0.00458
00:12;105.42;4.68;0.00366
00:18;98.51;4.26;0.00471
00:24;108.65;3.68;0.00291
00:30;111.16;4.23;0.00415
00:36;105.43;3.65;0.00341
00:42;92.31;3.20;0.00335
00:48;109.44;4.43;0.00416
00:54;85.09;2.73;0.00303
01:00;99.90;3.26;0.00357
01:06;106.06;3.72;0.00368
01:12;98.82;2.35;0.00381
01:18;92.52;2.38;0.00338
01:24;114.15;3.88;0.00469
01:30;99.40;2.89;0.00353
01:36;110.46;3.21;0.00419
01:42;104.36;3.33;0.00378
01:48;103.51;2.39;0.00374
01:54;102.02;3.20;0.00534
02:00;102.32;2.26;0.00477
02:06;95.33;2.87;0.00255
02:12;111.05;3.88;0.00387
02:18;96.72;3.38;0.00431
02:24;94.60;3.25;0.00341
02:30;91.46;4.86;0.00482
02:36;91.54;3.33;0.00391
02:42;82.45;2.48;0.00358
02:48;100.97;4.41;0.00506
02:54;100.88;4.42;0.00414
03:00;108.42;3.86;0.00401
03:06;85.98;3.75;0.00360
03:12;74.23;3.75;0.00463
03:18;93.43;2.31;0.00424
03:24;111.37;2.26;0.00346
03:30;100.02;2.23;0.00502
03:36;97.07;2.79;0.00424
03:42;93.45;3.33;0.00409
03:48;100.21;2.79;0.00404
03:54;101.17;2.88;0.00310
04:00;96.26;2.38;0.00374
04:06;96.17;3.12;0.00465
04:12;96.25;3.19;0.00346
04:18;109.42;4.20;0.00487
04:24;94.37;3.95;0.00270
04:30;117.13;4.23;0.00486
04:36;103.27;5.52;0.00446
04:42;113.67;6.52;0.00399
04:48;100.80;5.28;0.00447
04:54;104.61;5.00;0.00383
05:00;110.13;6.00;0.00549
05:06;108.05;6.72;0.00437
05:12;107.52;9.07;0.00471
05:18;108.20;11.33;0.00550
05:24;107.61;12.52;0.00549
05:30;108.05;17.41;0.00675
05:36;108.04;19.96;0.00712
05:42;106.69;24.04;0.00869
05:48;106.14;22.30;0.00812
05:54;107.36;25.22;0.00921
06:00;105.03;31.52;0.01102
06:06;103.24;43.37;0.01567
06:12;102.66;55.74;0.02031
06:18;103.32;65.41;0.02372
06:24;103.44;76.07;0.02758
06:30;101.72;101.59;0.03783
06:36;99.51;127.81;0.04805
06:42;96.65;152.85;0.06030
06:48;91.91;176.44;0.07351
06:54;85.23;192.78;0.08916
07:00;75.94;183.07;0.10227
07:06;71.25;160.34;0.10797
07:12;74.27;160.34;0.10099
07:18;78.81;150.07;0.08209
07:24;86.68;136.93;0.06657
07:30;92.77;122.22;0.05623
07:36;92.03;121.77;0.05918
07:42;87.38;122.03;0.06136
07:48;87.46;131.59;0.06442
07:54;83.20;128.21;0.08040
08:00;84.93;134.52;0.07312
08:06;80.26;127.79;0.07948
08:12;72.56;131.45;0.09044
08:18;77.56;122.80;0.07783
08:24;84.02;115.22;0.06794
08:30;85.29;119.50;0.06949
08:36;83.24;120.88;0.07055
08:42;87.73;118.42;0.05858
08:48;87.65;110.71;0.05941
08:54;86.20;98.03;0.06573
09:00;88.95;108.24;0.05706
09:06;94.16;102.24;0.04564
09:12;93.10;104.40;0.05190
09:18;91.84;101.53;0.04563
09:24;95.40;104.14;0.04268
09:30;91.63;99.36;0.04460
09:36;96.79;101.03;0.04136
09:42;96.68;103.85;0.04131
09:48;97.34;98.56;0.03961
09:54;98.94;94.82;0.03488
10:00;97.89;98.47;0.03697
10:06;98.15;92.56;0.03460
10:12;97.28;96.52;0.03635
10:18;96.79;99.34;0.03740
10:24;97.04;102.88;0.03932
10:30;97.36;106.47;0.03956
10:36;97.16;99.59;0.03709
10:42;97.48;98.09;0.03827
10:48;97.61;101.64;0.03747
10:54;97.40;93.56;0.03526
11:00;97.34;96.88;0.03728
11:06;94.90;86.85;0.03342
11:12;97.47;100.03;0.03762
11:18;97.89;104.06;0.03804
11:24;97.32;104.85;0.03937
11:30;97.19;102.29;0.03955
11:36;97.08;102.94;0.03835
11:42;96.93;104.15;0.04042
11:48;97.33;108.44;0.03959
11:54;97.55;104.09;0.03812
12:00;97.09;112.11;0.03964
12:06;96.59;121.11;0.04339
12:12;97.10;118.97;0.04209
12:18;97.96;107.60;0.03788
12:24;98.40;95.74;0.03286
12:30;98.89;92.74;0.03233
12:36;99.85;86.09;0.02950
12:42;98.78;86.17;0.02949
12:48;98.98;84.91;0.02943
12:54;99.30;81.33;0.02829
13:00;99.21;86.64;0.02981
13:06;98.29;93.00;0.03223
13:12;98.05;97.31;0.03392
13:18;98.17;98.17;0.03411
13:24;97.86;102.81;0.03580
13:30;97.88;104.11;0.03650
13:36;97.67;108.69;0.03869
13:42;97.45;111.19;0.03931
13:48;97.76;107.31;0.03816
13:54;97.96;105.89;0.03741
14:00;97.21;103.47;0.03691
14:06;95.72;121.58;0.04350
14:12;95.36;124.47;0.04471
14:18;95.66;112.61;0.04108
14:24;96.24;111.94;0.04014
14:30;96.19;109.69;0.03920
14:36;95.88;113.58;0.04143
14:42;95.55;118.67;0.04300
14:48;96.12;110.56;0.04007
14:54;96.15;112.61;0.04082
15:00;95.98;114.97;0.04191
15:06;94.73;119.72;0.04384
15:12;94.79;127.36;0.04758
15:18;94.54;129.71;0.04737
15:24;94.49;125.83;0.04722
15:30;95.35;128.42;0.04701
15:36;94.26;134.83;0.05002
15:42;94.18;127.86;0.04762
15:48;94.50;130.42;0.04799
15:54;94.19;135.78;0.05003
16:00;94.40;132.81;0.05014
16:06;93.38;149.58;0.05567
16:12;90.51;155.81;0.06404
16:18;90.80;167.29;0.06500
16:24;91.99;148.33;0.06032
16:30;92.20;151.11;0.05928
16:36;88.10;170.81;0.07241
16:42;88.84;158.89;0.06555
16:48;89.02;159.09;0.06670
16:54;88.06;157.91;0.06821
17:00;89.37;162.18;0.06668
17:06;84.33;195.97;0.08350
17:12;85.01;192.68;0.08124
17:18;85.33;178.50;0.07603
17:24;84.29;168.76;0.07782
17:30;85.48;164.71;0.07218
17:36;85.87;177.53;0.07427
17:42;75.96;146.21;0.08746
17:48;77.69;151.79;0.08700
17:54;76.68;145.70;0.08352
18:00;79.35;153.03;0.08271
18:06;79.34;170.58;0.08592
18:12;77.13;164.24;0.08394
18:18;78.99;169.03;0.08526
18:24;79.93;148.69;0.07961
18:30;84.93;148.53;0.06787
18:36;82.24;142.50;0.07257
18:42;85.42;134.00;0.06345
18:48;88.54;118.38;0.05143
18:54;88.16;120.28;0.06423
19:00;84.85;111.28;0.05231
19:06;89.19;118.00;0.05430
19:12;89.62;117.55;0.05640
19:18;91.48;109.39;0.04467
19:24;93.10;106.81;0.04369
19:30;94.23;96.52;0.03632
19:36;93.64;97.29;0.03901
19:42;95.09;87.97;0.03325
19:48;96.15;80.81;0.03219
19:54;96.86;71.23;0.02775
20:00;99.26;66.58;0.02107
20:06;99.13;68.32;0.02149
20:12;100.66;60.39;0.01846
20:18;100.64;55.87;0.01699
20:24;101.77;49.19;0.01469
20:30;101.60;44.29;0.01333
20:36;102.17;36.84;0.01089
20:42;101.98;36.47;0.01103
20:48;101.24;34.27;0.01022
20:54;102.67;35.24;0.01055
21:00;103.21;27.81;0.00900
21:06;102.84;26.47;0.00862
21:12;103.04;27.43;0.00819
21:18;100.05;25.55;0.00776
21:24;104.14;24.87;0.00782
21:30;102.58;22.13;0.00716
21:36;101.89;20.00;0.00665
21:42;103.55;19.88;0.00737
21:48;103.49;18.09;0.00691
21:54;101.53;17.24;0.00576
22:00;104.68;18.73;0.00641
22:06;100.02;29.82;0.00910
22:12;101.24;21.21;0.00701
22:18;106.19;15.33;0.00584
22:24;105.26;14.97;0.00552
22:30;104.37;14.75;0.00569
22:36;105.05;13.79;0.00530
22:42;104.80;13.61;0.00552
22:48;101.30;12.53;0.00634
22:54;101.27;12.00;0.00490
23:00;106.63;12.22;0.00509
23:06;100.36;10.62;0.00567
23:12;109.74;12.09;0.00562
23:18;105.36;11.21;0.00520
23:24;103.90;10.59;0.00522
23:30;104.29;10.37;0.00465
23:36;112.60;9.50;0.00479
23:42;104.57;8.17;0.00496
23:48;106.03;8.16;0.00609
23:54;103.02;7.55;0.00442
