heure;vitesse;debit;occupation
00:00;95.70;6.97;0.00521
00:06;97.85;7.79;0.00503
00:12;98.12;7.55;0.00496
00:18;97.59;6.64;0.00399
00:24;97.32;5.12;0.00407
00:30;102.47;5.30;0.00408
00:36;95.87;6.03;0.00441
00:42;93.72;4.88;0.00468
00:48;98.97;4.39;0.00474
00:54;99.89;3.44;0.00448
01:00;90.66;3.41;0.00463
01:06;98.01;3.56;0.00450
01:12;97.83;3.06;0.00488
01:18;99.86;3.43;0.00477
01:24;100.68;4.14;0.00419
01:30;93.32;3.17;0.00523
01:36;92.55;2.89;0.00385
01:42;90.41;3.24;0.00517
01:48;94.07;3.27;0.00469
01:54;94.89;3.10;0.00446
02:00;97.09;2.64;0.00457
02:06;88.74;2.33;0.00461
02:12;92.69;2.11;0.00383
02:18;95.23;2.48;0.00565
02:24;93.54;3.54;0.00530
02:30;90.61;3.29;0.00551
02:36;91.20;3.08;0.00587
02:42;98.06;3.20;0.00512
02:48;99.49;2.73;0.00562
02:54;97.37;2.87;0.00562
03:00;91.56;3.14;0.00467
03:06;99.38;3.69;0.00542
03:12;84.90;2.58;0.00546
03:18;93.70;3.55;0.00407
03:24;97.85;3.43;0.00419
03:30;100.67;4.20;0.00534
03:36;101.51;5.76;0.00522
03:42;101.85;6.80;0.00454
03:48;100.61;5.93;0.00484
03:54;100.90;5.62;0.00491
04:00;95.58;5.10;0.00467
04:06;99.32;5.93;0.00568
04:12;97.12;6.93;0.00554
04:18;97.19;8.24;0.00547
04:24;100.47;8.93;0.00547
04:30;99.39;11.90;0.00571
04:36;100.41;13.70;0.00631
04:42;102.20;15.52;0.00603
04:48;101.80;12.77;0.00537
04:54;100.73;12.39;0.00594
05:00;94.38;14.71;0.00736
05:06;98.52;17.88;0.00782
05:12;101.06;19.88;0.00736
05:18;100.20;25.79;0.00885
05:24;100.72;29.15;0.00930
05:30;100.41;37.76;0.01034
05:36;101.93;43.15;0.01138
05:42;101.93;46.82;0.01238
05:48;104.47;46.53;0.01218
05:54;102.55;46.32;0.01164
06:00;99.57;51.21;0.01349
06:06;99.57;59.21;0.01553
06:12;100.49;77.32;0.01905
06:18;100.28;96.74;0.02283
06:24;97.98;112.79;0.02713
06:30;97.79;153.06;0.03719
06:36;95.29;189.84;0.04685
06:42;91.38;204.03;0.05523
06:48;73.08;219.47;0.08015
06:54;55.76;168.79;0.12557
07:00;54.21;152.38;0.13836
07:06;53.98;128.29;0.12739
07:12;60.19;130.12;0.10116
07:18;69.03;126.94;0.08153
07:24;74.13;130.03;0.06908
07:30;82.23;127.09;0.05080
07:36;80.09;126.24;0.05574
07:42;77.51;130.62;0.07136
07:48;80.66;130.11;0.05780
07:54;78.28;140.54;0.07266
08:00;75.71;135.61;0.07251
08:06;71.44;138.08;0.09065
08:12;69.21;137.83;0.15430
08:18;71.15;136.83;0.08626
08:24;76.55;130.55;0.07139
08:30;78.12;136.13;0.08298
08:36;76.36;135.13;0.08500
08:42;78.88;140.24;0.07538
08:48;78.00;123.77;0.08222
08:54;80.26;129.85;0.07468
09:00;80.37;122.79;0.07481
09:06;83.22;122.61;0.06102
09:12;84.43;122.15;0.04979
09:18;91.14;120.67;0.04104
09:24;93.00;116.08;0.04043
09:30;90.13;117.67;0.04262
09:36;94.39;110.66;0.03485
09:42;94.62;106.71;0.03446
09:48;94.48;112.11;0.03588
09:54;94.80;104.08;0.03089
10:00;94.33;101.51;0.03558
10:06;94.99;97.22;0.02600
10:12;95.76;99.08;0.02611
10:18;96.38;101.28;0.02642
10:24;96.76;96.58;0.02539
10:30;96.35;99.31;0.02597
10:36;96.44;96.69;0.02531
10:42;96.66;92.19;0.02502
10:48;96.61;92.31;0.02380
10:54;96.54;92.95;0.02443
11:00;96.72;89.41;0.02332
11:06;94.12;84.97;0.02256
11:12;96.91;89.34;0.02385
11:18;96.32;90.58;0.02401
11:24;96.63;92.49;0.02402
11:30;97.35;93.11;0.02406
11:36;97.76;90.84;0.02317
11:42;97.57;90.63;0.02340
11:48;98.35;90.16;0.02310
11:54;98.71;90.29;0.02268
12:00;98.02;93.47;0.02362
12:06;98.45;91.50;0.02233
12:12;98.81;89.11;0.02163
12:18;98.30;87.63;0.02213
12:24;98.16;82.21;0.02105
12:30;98.66;81.89;0.02072
12:36;98.43;84.97;0.02125
12:42;98.78;79.26;0.02023
12:48;98.77;75.58;0.01950
12:54;98.09;75.49;0.01983
13:00;97.39;80.33;0.02078
13:06;97.57;83.90;0.02167
13:12;97.23;87.64;0.02242
13:18;97.28;92.54;0.02388
13:24;97.31;93.54;0.02360
13:30;97.51;98.72;0.02485
13:36;97.71;102.49;0.02597
13:42;97.63;104.87;0.02602
13:48;97.45;93.74;0.02357
13:54;97.77;92.23;0.02293
14:00;97.57;90.31;0.02234
14:06;97.59;99.51;0.02475
14:12;97.38;95.13;0.02425
14:18;96.93;91.90;0.02337
14:24;96.93;88.46;0.02262
14:30;96.52;91.36;0.02319
14:36;96.78;90.36;0.02287
14:42;97.19;89.08;0.02258
14:48;97.33;86.85;0.02177
14:54;97.17;85.59;0.02163
15:00;96.49;81.87;0.02134
15:06;96.61;82.54;0.02130
15:12;96.46;87.21;0.02237
15:18;96.91;87.74;0.02257
15:24;96.29;86.54;0.02248
15:30;96.52;91.56;0.02299
15:36;96.39;94.42;0.02358
15:42;96.74;90.92;0.02310
15:48;96.98;91.31;0.02282
15:54;96.81;90.00;0.02215
16:00;96.88;86.49;0.02233
16:06;96.60;98.44;0.02470
16:12;96.23;91.31;0.02378
16:18;96.43;96.30;0.02366
16:24;96.45;94.51;0.02414
16:30;96.44;98.28;0.02426
16:36;96.44;95.49;0.02358
16:42;96.43;98.51;0.02446
16:48;96.93;98.53;0.02384
16:54;97.16;98.45;0.02406
17:00;97.00;102.32;0.02480
17:06;96.12;109.16;0.02691
17:12;96.61;109.18;0.02649
17:18;97.06;109.32;0.02631
17:24;96.90;102.16;0.02490
17:30;96.72;102.14;0.02482
17:36;96.56;104.84;0.02491
17:42;96.63;98.97;0.02368
17:48;97.31;96.24;0.02364
17:54;96.64;95.81;0.02316
18:00;97.24;93.24;0.02210
18:06;96.60;103.38;0.02478
18:12;96.27;100.84;0.02438
18:18;96.76;105.17;0.02523
18:24;97.02;101.50;0.02402
18:30;97.06;99.08;0.02354
18:36;96.71;96.17;0.02281
18:42;97.74;90.22;0.02113
18:48;96.74;86.28;0.02045
18:54;97.72;84.53;0.01998
19:00;97.20;85.78;0.02035
19:06;97.14;84.28;0.02012
19:12;97.97;87.03;0.02040
19:18;97.90;84.25;0.01962
19:24;98.35;78.33;0.01859
19:30;98.25;80.69;0.01892
19:36;98.26;75.42;0.01780
19:42;99.14;71.47;0.01692
19:48;99.31;65.72;0.01545
19:54;99.17;60.81;0.01452
20:00;100.61;60.31;0.01394
20:06;99.72;53.58;0.01281
20:12;99.19;51.53;0.01278
20:18;99.48;47.00;0.01140
20:24;100.01;43.42;0.01135
20:30;99.64;40.53;0.01042
