heure;vitesse;debit;occupation
00:00;95.11;7.04;0.00558
00:06;95.02;7.43;0.00527
00:12;93.55;7.43;0.00504
00:18;95.13;5.78;0.00493
00:24;93.16;4.96;0.00418
00:30;97.37;5.37;0.00409
00:36;90.87;6.14;0.00505
00:42;93.78;5.19;0.00680
00:48;96.15;4.32;0.00440
00:54;98.50;3.48;0.00484
01:00;92.41;3.48;0.00462
01:06;92.85;3.44;0.00697
01:12;92.73;3.19;0.00551
01:18;92.51;3.50;0.00461
01:24;94.03;3.92;0.00493
01:30;93.88;3.56;0.00628
01:36;94.16;2.84;0.00466
01:42;83.83;3.12;0.00511
01:48;91.46;2.88;0.00535
01:54;95.48;2.96;0.00626
02:00;93.65;2.62;0.00524
02:06;93.37;2.79;0.00493
02:12;89.12;2.00;0.00398
02:18;93.09;2.38;0.00551
02:24;85.30;3.04;0.00580
02:30;87.66;3.04;0.00555
02:36;92.17;3.17;0.01049
02:42;98.52;3.24;0.00506
02:48;94.58;2.79;0.00468
02:54;93.76;2.67;0.00402
03:00;94.83;3.42;0.00423
03:06;93.80;3.75;0.00581
03:12;90.77;3.11;0.00486
03:18;88.04;3.56;0.00489
03:24;94.24;3.32;0.00481
03:30;98.87;4.72;0.00495
03:36;100.63;5.52;0.00568
03:42;100.20;6.88;0.00510
03:48;97.45;6.17;0.00512
03:54;98.97;5.96;0.00609
04:00;96.90;5.50;0.00554
04:06;96.24;5.92;0.00655
04:12;95.80;7.56;0.00695
04:18;94.89;8.72;0.00597
04:24;96.64;8.96;0.00611
04:30;97.03;12.24;0.00607
04:36;97.43;14.68;0.00687
04:42;99.10;15.77;0.00763
04:48;98.17;12.08;0.00646
04:54;96.97;13.65;0.00653
05:00;95.91;16.04;0.00751
05:06;96.36;18.56;0.00749
05:12;97.92;20.22;0.00823
05:18;97.96;26.86;0.01022
05:24;97.13;31.50;0.01028
05:30;96.37;40.68;0.01208
05:36;98.91;44.21;0.01256
05:42;99.30;49.18;0.01348
05:48;102.08;45.96;0.01281
05:54;99.05;47.14;0.01308
06:00;97.08;52.71;0.01462
06:06;97.41;62.61;0.01617
06:12;97.13;82.00;0.02058
06:18;97.46;97.39;0.02350
06:24;95.58;122.54;0.02978
06:30;94.93;161.96;0.03934
06:36;92.79;200.21;0.04934
06:42;91.07;229.32;0.05766
06:48;86.78;227.39;0.06134
06:54;82.27;190.50;0.05602
07:00;80.65;157.57;0.05661
07:06;85.19;132.76;0.04460
07:12;87.93;130.37;0.03815
07:18;92.13;131.93;0.03426
07:24;93.45;133.21;0.03268
07:30;92.08;131.82;0.03717
07:36;93.24;133.27;0.03577
07:42;95.46;138.03;0.03372
07:48;95.04;146.14;0.03593
07:54;94.56;153.66;0.03774
08:00;90.66;152.38;0.04143
08:06;90.84;146.59;0.04295
08:12;89.04;157.32;0.04516
08:18;90.79;143.07;0.04298
08:24;90.90;134.77;0.04331
08:30;91.28;144.77;0.04228
08:36;91.76;140.88;0.03795
08:42;93.19;139.09;0.03564
08:48;92.63;133.73;0.03803
08:54;90.45;128.61;0.03719
09:00;93.05;124.47;0.03249
09:06;93.97;119.97;0.03156
09:12;91.52;118.29;0.03019
09:18;95.01;117.18;0.02947
09:24;94.93;115.29;0.02954
09:30;91.42;114.29;0.03041
09:36;93.90;109.85;0.02852
09:42;93.81;107.71;0.02860
09:48;93.63;111.94;0.02901
09:54;93.92;103.91;0.02715
10:00;93.44;103.62;0.02776
10:06;93.00;98.59;0.02655
10:12;92.94;97.45;0.02617
10:18;93.70;103.25;0.02716
10:24;94.29;98.03;0.02599
10:30;93.27;99.72;0.02644
10:36;94.01;99.78;0.02617
10:42;93.96;93.91;0.02544
10:48;94.20;92.61;0.02431
10:54;93.65;92.74;0.02504
11:00;93.75;89.47;0.02434
11:06;91.14;83.41;0.02244
11:12;94.08;91.50;0.02532
11:18;93.71;90.21;0.02446
11:24;93.83;95.12;0.02518
11:30;94.21;95.15;0.02460
11:36;94.46;93.62;0.02467
11:42;94.46;92.24;0.02383
11:48;95.48;91.26;0.02340
11:54;95.72;90.65;0.02323
12:00;95.13;93.65;0.02411
12:06;95.31;92.21;0.02305
12:12;95.77;87.88;0.02190
12:18;95.12;86.53;0.02287
12:24;95.44;81.53;0.02072
12:30;95.55;83.26;0.02145
12:36;95.59;84.18;0.02158
12:42;96.02;79.00;0.02086
12:48;96.05;75.97;0.02012
12:54;95.27;74.26;0.02026
13:00;95.31;81.00;0.02122
13:06;95.09;83.43;0.02218
13:12;94.64;88.60;0.02278
13:18;94.56;92.34;0.02403
13:24;94.85;93.71;0.02405
13:30;94.37;99.09;0.02553
13:36;94.97;101.06;0.02610
13:42;94.72;103.89;0.02640
13:48;95.01;92.46;0.02331
13:54;95.13;93.83;0.02362
14:00;94.87;90.23;0.02290
14:06;94.62;96.91;0.02474
14:12;94.59;95.51;0.02446
14:18;94.28;90.83;0.02349
14:24;94.24;86.60;0.02291
14:30;94.07;91.60;0.02357
14:36;94.24;89.29;0.02301
14:42;94.53;86.49;0.02250
14:48;94.96;87.09;0.02241
14:54;94.65;84.11;0.02167
15:00;94.22;80.17;0.02123
15:06;94.08;81.77;0.02124
15:12;94.10;85.23;0.02223
15:18;94.10;86.71;0.02284
15:24;93.31;86.29;0.02283
15:30;93.70;89.29;0.02347
15:36;93.69;93.21;0.02378
15:42;93.72;90.83;0.02351
15:48;93.87;92.20;0.02335
15:54;93.42;89.26;0.02269
16:00;93.17;85.36;0.02433
16:06;93.33;96.33;0.02459
16:12;93.36;91.42;0.02419
16:18;93.33;95.29;0.02417
16:24;93.21;93.17;0.02423
16:30;93.80;96.75;0.02453
16:36;93.50;94.39;0.02393
16:42;93.30;97.03;0.02474
16:48;93.86;95.66;0.02358
16:54;93.86;96.43;0.02439
17:00;93.61;99.50;0.02520
17:06;92.77;106.65;0.02695
17:12;93.22;108.88;0.02721
17:18;94.01;103.03;0.02627
17:24;93.86;101.82;0.02557
17:30;93.92;100.79;0.02548
17:36;94.09;101.91;0.02473
17:42;93.96;98.29;0.02388
17:48;94.29;95.39;0.02384
17:54;94.34;96.64;0.02334
18:00;94.82;96.03;0.02309
18:06;93.43;102.30;0.02516
18:12;93.25;101.21;0.02471
18:18;94.11;107.66;0.02614
18:24;94.45;103.34;0.02472
18:30;94.16;99.31;0.02392
18:36;93.89;97.66;0.02357
18:42;95.46;93.50;0.02248
18:48;94.38;86.41;0.02080
18:54;94.94;86.56;0.02066
19:00;91.74;83.44;0.02025
19:06;94.71;86.90;0.02087
19:12;95.02;90.93;0.02155
19:18;95.36;87.33;0.02092
19:24;95.95;80.80;0.01916
19:30;95.29;84.40;0.02032
19:36;95.92;77.80;0.01856
19:42;95.97;74.57;0.01834
19:48;96.44;67.93;0.01669
19:54;95.82;63.40;0.01561
20:00;97.47;61.03;0.01436
20:06;96.45;55.27;0.01356
20:12;96.32;51.70;0.01314
20:18;97.15;48.83;0.01258
20:24;96.10;46.27;0.01229
20:30;97.39;41.37;0.01160
20:36;96.38;38.93;0.01119
20:42;96.45;34.45;0.01099
20:48;96.68;31.45;0.00984
20:54;96.44;28.57;0.00941
21:00;96.41;25.55;0.00878
21:06;97.03;28.45;0.00956
21:12;96.03;28.79;0.00959
21:18;92.78;25.03;0.00856
21:24;95.24;24.48;0.00872
21:30;95.78;22.10;0.00772
21:36;95.26;21.55;0.00792
21:42;95.73;19.90;0.00766
21:48;96.47;22.47;0.00817
21:54;94.18;16.45;0.00840
22:00;92.05;22.39;0.00794
22:06;94.23;24.93;0.00887
22:12;94.47;21.57;0.00816
22:18;94.31;17.83;0.00717
22:24;93.48;17.90;0.00683
22:30;95.26;17.34;0.00692
22:36;94.78;15.83;0.00696
22:42;93.58;14.17;0.00649
22:48;94.87;15.23;0.00750
22:54;95.72;13.03;0.00591
23:00;93.87;14.40;0.00708
23:06;95.39;13.13;0.00577
23:12;93.93;11.77;0.00592
23:18;95.90;11.00;0.00532
23:24;94.94;10.84;0.00573
23:30;88.36;10.94;0.00511
23:36;94.97;8.80;0.00527
23:42;95.14;10.70;0.00568
23:48;97.35;8.77;0.00472
23:54;94.30;6.80;0.00479
