heure;vitesse;debit;occupation
00:00;90.96;7.12;0.00530
00:06;89.76;7.69;0.00513
00:12;89.16;7.61;0.00471
00:18;93.28;5.81;0.00470
00:24;90.05;4.84;0.00429
00:30;94.04;5.34;0.00380
00:36;87.16;6.06;0.00560
00:42;91.43;4.58;0.00507
00:48;92.98;4.15;0.00492
00:54;94.86;3.43;0.00480
01:00;92.26;3.10;0.00512
01:06;88.94;3.57;0.00434
01:12;91.29;3.00;0.00500
01:18;91.10;3.54;0.00482
01:24;93.37;3.82;0.00554
01:30;78.55;3.29;0.00514
01:36;93.01;2.93;0.00516
01:42;86.12;2.85;0.00629
01:48;87.14;3.00;0.00546
01:54;90.88;3.11;0.00564
02:00;87.07;2.19;0.00403
02:06;86.02;2.30;0.00989
02:12;82.09;1.96;0.00654
02:18;89.47;2.38;0.00525
02:24;83.39;3.03;0.00442
02:30;74.71;2.82;0.00601
02:36;85.13;2.85;0.00642
02:42;93.12;3.28;0.00545
02:48;87.77;2.68;0.00717
02:54;88.62;2.79;0.00608
03:00;86.60;3.00;0.00486
03:06;84.87;3.21;0.00621
03:12;88.86;2.95;0.00536
03:18;82.58;3.83;0.00523
03:24;89.68;3.18;0.00423
03:30;97.80;4.46;0.00424
03:36;95.11;5.81;0.00562
03:42;96.82;6.48;0.00441
03:48;89.76;5.44;0.00519
03:54;93.86;5.96;0.00586
04:00;89.12;5.04;0.00459
04:06;92.31;5.67;0.00751
04:12;89.60;7.22;0.00723
04:18;90.21;7.67;0.00752
04:24;89.65;8.89;0.00638
04:30;93.52;12.07;0.00625
04:36;93.69;13.85;0.00689
04:42;95.37;15.22;0.00811
04:48;93.84;11.29;0.00641
04:54;92.66;12.71;0.00608
05:00;92.34;15.59;0.00736
05:06;91.35;18.10;0.00750
05:12;93.06;20.00;0.00816
05:18;90.33;26.40;0.01074
05:24;93.46;30.50;0.01060
05:30;92.00;40.57;0.01238
05:36;93.97;43.47;0.01303
05:42;94.78;47.43;0.01329
05:48;97.29;45.27;0.01338
05:54;94.98;46.70;0.01360
06:00;92.49;52.30;0.01439
06:06;93.29;61.93;0.01638
06:12;93.73;80.83;0.01934
06:18;95.06;95.40;0.02220
06:24;91.62;121.73;0.02859
06:30;88.07;159.67;0.03752
06:36;90.43;197.07;0.04632
06:42;90.34;226.80;0.05308
06:48;89.02;221.93;0.05325
06:54;90.77;184.73;0.04268
07:00;92.48;152.10;0.03516
07:06;93.46;126.84;0.03009
07:12;93.95;128.48;0.02972
07:18;94.56;123.65;0.02857
07:24;95.02;122.12;0.02814
07:30;94.99;120.35;0.02938
07:36;95.53;123.65;0.02980
07:42;96.63;126.59;0.02902
07:48;95.73;133.38;0.03077
07:54;95.78;140.59;0.03208
08:00;94.06;136.18;0.03156
08:06;94.76;139.24;0.03199
08:12;94.22;137.88;0.03232
08:18;95.28;129.67;0.03089
08:24;95.26;123.06;0.02938
08:30;95.89;131.40;0.03085
08:36;95.94;134.69;0.03191
08:42;95.77;133.97;0.03080
08:48;95.79;125.22;0.03083
08:54;95.98;121.57;0.02853
09:00;94.76;117.78;0.02832
09:06;94.38;116.36;0.02835
09:12;91.48;111.68;0.02671
09:18;93.73;115.03;0.02757
09:24;93.65;111.30;0.02777
09:30;90.88;111.66;0.02805
09:36;92.64;106.67;0.02615
09:42;92.86;109.72;0.02711
09:48;92.13;108.17;0.02655
09:54;91.92;99.17;0.02500
10:00;91.28;98.31;0.02595
10:06;91.72;97.18;0.02440
10:12;91.14;94.97;0.02442
10:18;91.74;99.26;0.02484
10:24;92.43;96.50;0.02446
10:30;92.07;99.82;0.02487
10:36;92.10;96.71;0.02439
10:42;92.00;90.63;0.02393
10:48;91.98;90.14;0.02231
10:54;91.52;91.66;0.02349
11:00;91.33;86.60;0.02245
11:06;88.85;83.11;0.02224
11:12;91.19;89.51;0.02318
11:18;90.70;89.60;0.02334
11:24;91.30;92.06;0.02364
11:30;91.56;90.22;0.02305
11:36;91.77;89.69;0.02240
11:42;92.23;87.56;0.02215
11:48;92.40;88.31;0.02232
11:54;93.02;87.46;0.02201
12:00;92.15;92.78;0.02295
12:06;92.02;89.78;0.02176
12:12;91.94;85.32;0.02098
12:18;92.05;85.95;0.02175
12:24;92.00;80.59;0.02045
12:30;92.32;81.00;0.02043
12:36;91.88;82.03;0.02063
12:42;92.96;75.86;0.01945
12:48;92.93;74.51;0.01932
12:54;91.94;72.05;0.01954
13:00;92.22;79.84;0.02072
13:06;91.37;83.37;0.02144
13:12;91.04;87.16;0.02237
13:18;91.37;89.68;0.02290
13:24;91.47;93.42;0.02299
13:30;91.11;98.05;0.02436
13:36;91.43;99.42;0.02482
13:42;91.20;103.08;0.02537
13:48;92.06;91.37;0.02241
13:54;91.73;90.34;0.02234
14:00;90.67;88.89;0.02234
14:06;90.78;96.21;0.02369
14:12;91.07;93.45;0.02323
14:18;90.39;90.03;0.02259
14:24;90.48;86.05;0.02204
14:30;90.27;90.08;0.02271
14:36;90.70;88.24;0.02178
14:42;91.22;85.53;0.02148
14:48;90.53;84.76;0.02154
14:54;91.23;81.71;0.02064
15:00;90.29;80.24;0.02100
15:06;89.91;81.08;0.02076
15:12;90.21;87.21;0.02234
15:18;90.59;85.03;0.02184
15:24;90.18;84.89;0.02180
15:30;89.72;87.76;0.02230
15:36;90.12;91.92;0.02268
15:42;90.87;87.58;0.02201
15:48;90.55;90.37;0.02252
15:54;90.31;87.65;0.02193
16:00;90.37;83.68;0.02168
16:06;89.59;93.97;0.02414
16:12;90.27;87.82;0.02234
16:18;90.85;92.84;0.02256
16:24;90.50;91.74;0.02271
16:30;90.72;95.45;0.02374
16:36;90.44;92.47;0.02247
16:42;89.50;94.61;0.02319
16:48;91.00;94.59;0.02252
16:54;90.79;94.24;0.02251
17:00;90.54;98.39;0.02377
17:06;89.14;104.47;0.02545
17:12;90.51;106.72;0.02543
17:18;90.78;101.75;0.02506
17:24;91.40;98.42;0.02366
17:30;92.09;97.44;0.02318
17:36;92.02;101.72;0.02339
17:42;91.89;96.22;0.02243
17:48;92.88;92.11;0.02172
17:54;92.78;95.20;0.02171
18:00;92.99;93.31;0.02138
18:06;91.05;102.11;0.02402
18:12;91.04;98.00;0.02282
18:18;92.37;102.82;0.02354
18:24;92.79;99.94;0.02255
18:30;92.35;95.35;0.02183
18:36;92.07;93.76;0.02136
18:42;93.35;87.50;0.02000
18:48;92.44;84.24;0.01958
18:54;90.51;79.26;0.01790
19:00;92.17;84.09;0.01966
19:06;92.40;84.03;0.01924
19:12;92.25;86.62;0.02001
19:18;93.01;83.00;0.01877
19:24;93.63;78.75;0.01813
19:30;92.31;80.59;0.01811
19:36;92.66;75.03;0.01733
19:42;93.10;70.94;0.01686
19:48;94.64;65.47;0.01513
19:54;93.94;61.59;0.01450
20:00;94.00;60.09;0.01418
20:06;93.29;53.66;0.01303
20:12;93.06;49.56;0.01277
20:18;94.30;45.81;0.01217
20:24;92.71;44.38;0.01142
20:30;94.30;39.03;0.01113
20:36;92.75;37.72;0.01117
20:42;92.68;33.94;0.01021
20:48;92.60;29.94;0.01003
20:54;92.34;27.67;0.00947
21:00;91.77;24.00;0.00867
21:06;89.05;27.16;0.00883
21:12;91.03;27.29;0.00944
21:18;87.98;24.53;0.00877
21:24;90.27;24.13;0.00858
21:30;90.64;21.72;0.00768
21:36;89.28;20.85;0.00824
21:42;91.91;20.71;0.00769
21:48;91.98;21.88;0.00829
21:54;91.71;17.62;0.00677
22:00;89.78;24.09;0.00859
22:06;86.38;23.33;0.00973
22:12;90.30;20.28;0.00825
22:18;89.75;16.90;0.00688
22:24;86.74;16.64;0.00780
22:30;90.77;17.53;0.00713
22:36;90.26;15.23;0.00692
22:42;90.11;14.26;0.00620
22:48;90.48;14.29;0.00689
22:54;90.36;12.74;0.00577
23:00;91.24;14.23;0.00634
23:06;90.23;12.87;0.00645
23:12;88.98;11.10;0.00607
23:18;91.05;11.44;0.00584
23:24;89.16;11.03;0.00589
23:30;91.10;10.34;0.00595
23:36;90.32;8.94;0.00550
23:42;92.36;10.56;0.00552
23:48;89.79;8.45;0.00518
23:54;85.73;6.68;0.00466
