heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;100.06;22.38;10.725;2.185;21
00:06;91.30;24.00;0.000;0.000;1
00:12;95.40;22.96;4.100;1.000;2
00:18;105.68;21.18;21.399;4.195;10
00:24;103.52;21.61;17.912;3.525;18
00:30;99.36;22.43;15.466;3.661;22
00:36;100.91;22.07;15.552;3.615;27
00:42;102.87;21.58;14.137;3.231;39
00:48;104.18;21.31;14.379;3.183;42
00:54;102.86;21.58;13.753;3.037;41
01:00;104.21;21.31;15.538;3.234;37
01:06;107.04;20.76;16.292;2.941;29
01:12;106.94;20.84;16.263;2.923;29
01:18;108.69;20.59;16.829;2.965;24
01:24;107.00;20.97;17.440;3.074;21
01:30;106.28;21.09;17.515;3.134;20
01:36;111.23;20.10;18.542;3.307;18
01:42;112.90;19.79;18.241;3.273;17
01:48;109.11;20.44;23.317;5.628;14
01:54;101.49;21.77;25.953;6.827;11
02:00;106.92;20.65;23.621;5.146;13
02:06;101.77;21.73;24.422;5.292;14
02:12;95.02;23.30;18.441;4.400;13
02:18;98.40;22.46;19.801;4.616;15
02:24;100.44;22.11;20.265;4.711;15
02:30;103.74;21.48;19.476;3.964;17
02:36;99.56;22.39;16.785;3.606;15
02:42;99.50;22.40;21.260;6.647;13
02:48;99.72;22.33;22.826;7.203;11
02:54;99.67;22.33;22.839;7.203;11
03:00;92.91;23.94;21.127;7.041;11
03:06;92.81;24.02;23.139;7.791;9
03:12;86.92;25.57;19.670;8.163;7
03:18;93.62;23.73;9.926;2.608;7
03:24;95.50;23.21;8.930;2.382;9
03:30;97.83;22.76;21.647;5.319;11
03:36;99.11;22.42;20.612;4.944;11
03:42;99.44;22.35;21.702;5.209;9
03:48;106.16;20.90;23.411;5.558;10
03:54;113.92;19.46;22.528;5.331;12
04:00;108.52;20.49;23.848;5.662;15
04:06;109.91;20.24;21.929;4.670;12
04:12;102.50;21.58;22.265;5.771;12
04:18;99.34;22.31;21.020;5.575;13
04:24;93.53;23.78;17.668;5.101;13
04:30;91.51;24.40;14.586;4.580;14
04:36;94.89;23.49;16.649;5.001;13
04:42;109.53;20.44;20.780;4.922;25
04:48;107.61;20.81;16.351;3.402;30
04:54;112.25;19.90;20.556;3.915;37
05:00;113.52;19.67;18.734;3.475;44
05:06;113.97;19.65;16.077;2.863;50
05:12;110.67;20.22;15.314;2.752;58
05:18;110.47;20.22;14.801;2.802;60
05:24;107.91;20.64;15.788;3.151;69
05:30;104.57;21.30;14.294;3.260;74
05:36;103.72;21.47;13.968;3.183;81
05:42;103.25;21.51;15.915;3.484;85
05:48;106.32;20.92;14.519;2.918;95
05:54;107.61;20.67;14.176;2.788;100
06:00;106.45;20.94;14.815;3.158;112
06:06;105.29;21.15;14.904;3.255;117
06:12;101.24;22.01;12.804;2.892;115
06:18;99.50;22.39;9.344;2.372;175
06:24;96.83;23.04;8.265;1.993;190
06:30;92.04;24.23;5.665;1.522;283
06:36;85.49;26.08;9.881;4.253;328
06:42;69.91;31.90;17.528;13.760;357
06:48;34.96;63.82;15.684;28.459;376
06:54;20.11;110.88;4.907;23.167;323
07:00;17.19;129.68;3.631;33.168;263
07:06;15.46;144.23;4.259;38.803;269
07:12;13.94;159.75;3.445;41.545;275
07:18;14.31;155.72;4.773;50.747;314
07:24;17.03;130.89;14.082;72.335;330
07:30;17.85;125.09;18.082;92.013;325
07:36;19.72;113.30;17.997;73.460;331
07:42;23.63;94.38;21.362;105.710;301
07:48;30.76;72.42;30.256;100.965;333
07:54;33.93;65.62;30.374;88.627;352
08:00;37.28;59.64;32.552;115.822;333
08:06;35.57;62.76;30.129;103.630;333
08:12;35.72;62.26;34.140;93.372;366
08:18;33.80;65.82;31.127;93.230;379
08:24;38.62;57.64;34.756;99.577;399
08:30;40.15;55.51;35.806;95.312;378
08:36;40.96;54.54;33.256;97.341;362
08:42;44.63;49.97;34.235;106.031;374
08:48;48.42;45.98;36.287;109.115;382
08:54;50.32;44.34;36.101;125.141;382
09:00;53.84;41.25;35.219;100.477;329
09:06;58.65;37.90;37.251;117.444;304
09:12;60.45;36.96;36.570;100.426;323
09:18;65.72;33.97;34.070;97.535;351
09:24;71.39;31.25;33.318;95.378;343
09:30;73.87;30.16;29.109;78.405;329
09:36;77.26;28.81;27.675;115.734;355
09:42;79.63;27.97;25.478;119.725;352
09:48;82.22;27.04;24.143;101.119;326
09:54;83.57;26.67;21.516;93.020;304
10:00;85.89;25.95;19.849;89.416;279
10:06;85.67;26.02;19.211;35.175;294
10:12;86.02;25.89;18.004;40.501;314
10:18;85.45;26.08;17.898;34.053;324
10:24;86.08;25.79;17.747;42.207;291
10:30;88.27;25.27;14.472;19.214;306
10:36;87.64;25.41;11.484;8.590;282
10:42;88.40;25.23;10.882;4.842;277
10:48;90.99;24.53;8.359;3.136;277
10:54;90.63;24.59;8.533;2.354;253
11:00;91.26;24.36;11.452;2.767;281
11:06;90.67;24.59;7.633;2.037;266
11:12;92.64;24.10;7.971;2.025;213
11:18;91.58;24.38;9.440;2.572;237
11:24;90.61;24.58;7.966;2.363;228
11:30;90.51;24.62;9.263;2.479;245
11:36;90.30;24.61;8.575;2.608;231
11:42;90.44;24.65;6.739;1.927;271
11:48;91.34;24.43;7.243;1.863;245
11:54;92.49;24.04;8.114;2.059;225
12:00;93.86;23.76;8.036;1.912;244
12:06;94.64;23.54;7.762;1.889;225
12:12;93.78;23.73;6.758;1.740;214
12:18;95.61;23.33;9.656;2.205;235
12:24;93.93;23.73;10.479;2.476;217
12:30;95.79;23.20;11.901;3.014;221
12:36;93.24;23.88;10.271;2.816;190
12:42;94.83;23.49;9.254;3.253;208
12:48;96.63;23.11;9.650;2.146;188
12:54;96.42;23.14;9.972;2.309;174
13:00;96.18;23.22;10.343;2.347;204
13:06;94.43;23.63;7.886;1.985;197
13:12;92.60;24.00;8.697;2.193;209
13:18;92.54;24.06;9.139;2.400;210
13:24;92.94;23.98;10.105;2.635;215
13:30;94.33;23.63;8.941;2.273;238
13:36;92.36;24.09;7.007;1.809;239
13:42;91.53;24.32;9.051;2.667;221
13:48;91.86;24.29;8.832;2.374;254
13:54;94.16;23.68;6.591;1.567;250
14:00;94.68;23.51;9.113;2.582;262
14:06;93.31;23.87;8.317;2.124;279
14:12;91.20;24.48;6.425;1.817;223
14:18;92.39;24.11;9.376;2.410;257
14:24;93.41;23.89;6.867;1.909;243
14:30;91.45;24.42;7.485;2.083;246
14:36;90.72;24.58;7.391;2.055;238
14:42;91.80;24.23;9.673;2.564;243
14:48;93.90;23.69;9.004;2.198;217
14:54;92.97;23.97;8.530;2.382;213
15:00;91.48;24.31;8.224;2.746;223
15:06;92.41;24.09;7.044;1.898;221
15:12;91.66;24.23;7.800;2.189;241
15:18;91.96;24.21;9.129;2.414;219
15:24;93.50;23.82;10.274;2.736;218
15:30;91.32;24.42;8.714;2.397;241
15:36;91.26;24.44;7.295;2.135;230
15:42;92.40;24.15;8.781;2.384;242
15:48;92.50;24.11;7.390;2.267;233
15:54;91.17;24.43;9.760;2.951;215
16:00;92.85;24.01;8.433;2.215;218
16:06;92.30;24.14;7.521;2.013;230
16:12;91.58;24.30;9.574;2.631;231
16:18;89.37;24.90;8.599;2.997;214
16:24;90.79;24.52;9.222;2.549;212
16:30;90.57;24.56;8.978;2.649;226
16:36;90.43;24.61;11.024;3.317;212
16:42;90.34;24.62;11.387;3.447;206
16:48;90.94;24.56;8.396;2.310;227
16:54;91.24;24.51;8.326;2.383;232
17:00;91.39;24.44;9.349;2.324;213
17:06;89.96;24.82;8.747;2.887;243
17:12;90.22;24.75;12.371;6.676;210
17:18;89.44;24.90;11.106;8.270;201
17:24;88.43;25.18;12.626;13.462;235
17:30;90.69;24.52;9.398;2.741;225
17:36;90.25;24.73;10.601;3.060;201
17:42;89.15;25.05;10.227;3.640;222
17:48;90.22;24.68;10.199;4.764;237
17:54;90.54;24.60;12.193;3.360;211
18:00;91.42;24.36;12.015;4.582;234
18:06;86.39;25.78;15.300;10.489;226
18:12;84.83;26.25;16.985;27.262;217
18:18;84.80;26.23;19.227;52.163;223
18:24;83.01;26.86;20.019;33.384;254
18:30;83.96;26.55;21.219;43.005;236
18:36;85.76;25.97;23.287;46.725;246
18:42;83.07;26.90;24.656;48.484;245
