heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;77.94;25.73;11.479;4.860;18
00:12;86.97;22.97;1.694;0.816;4
00:18;85.51;23.59;8.814;2.713;10
00:24;86.86;23.16;13.604;3.255;13
00:30;87.11;23.10;15.078;4.230;16
00:36;85.89;23.40;13.240;3.697;22
00:42;85.66;23.43;13.216;3.719;25
00:48;86.96;23.12;13.531;3.760;27
00:54;86.84;23.11;13.446;3.670;25
01:00;85.40;23.46;11.898;3.535;23
01:06;89.55;22.38;10.042;2.652;23
01:12;89.94;22.36;10.963;2.864;15
01:18;91.45;22.03;10.243;2.452;11
01:24;86.18;23.29;9.672;2.426;11
01:30;88.45;22.77;9.263;2.280;10
01:36;89.22;22.51;10.345;2.622;11
01:42;88.00;22.71;9.756;2.550;8
01:48;86.77;23.04;9.846;2.582;9
01:54;83.70;23.90;13.111;4.521;10
02:00;87.47;22.93;14.847;5.006;9
02:06;87.05;23.05;15.698;5.268;8
02:12;85.82;23.39;14.634;5.068;8
02:18;84.77;23.65;14.563;5.000;8
02:24;83.67;24.02;15.323;5.416;6
02:30;93.16;21.46;11.343;2.786;5
02:36;86.05;23.10;15.747;4.950;4
02:42;91.52;21.86;17.834;5.036;5
02:48;90.22;22.26;17.792;4.956;5
02:54;92.25;21.87;19.367;5.523;4
03:00;92.25;21.87;19.367;5.523;4
03:06;88.66;22.70;17.007;4.841;5
03:12;95.18;21.16;12.219;2.693;4
03:18;85.10;23.68;11.447;3.763;5
03:24;81.47;24.54;13.480;4.497;3
03:30;81.47;24.54;13.480;4.497;3
03:36;81.47;24.54;13.480;4.497;3
03:42;79.63;25.03;12.014;4.110;3
03:48;81.27;24.68;12.135;4.190;3
03:54;89.25;22.40;5.450;1.500;2
04:00;89.25;22.40;5.450;1.500;2
04:06;89.25;22.40;5.450;1.500;2
04:12;92.47;21.54;6.364;1.700;3
04:18;88.13;22.78;7.661;2.160;3
04:24;88.33;22.78;7.553;2.160;3
04:30;92.48;21.70;9.708;2.550;4
04:36;89.22;22.55;11.965;3.317;4
04:42;96.78;20.75;11.444;2.759;13
04:48;102.20;19.72;16.028;3.359;27
04:54;104.95;19.18;17.512;3.492;31
05:00;106.23;18.94;16.512;3.126;30
05:06;105.69;19.02;16.098;3.074;30
05:12;104.72;19.19;16.262;3.096;32
05:18;100.55;19.96;16.411;3.109;32
05:24;84.91;23.55;12.173;2.519;47
05:30;84.14;23.75;7.626;1.863;51
05:36;86.09;23.23;9.569;2.214;61
05:42;88.08;22.75;9.245;2.096;66
05:48;89.25;22.45;10.331;2.329;66
05:54;90.32;22.16;12.183;2.699;69
06:00;92.50;21.66;13.497;2.839;55
06:06;97.55;20.55;15.839;3.229;53
06:12;96.76;20.73;15.867;3.226;49
06:18;96.95;20.64;14.777;3.067;45
06:24;96.11;20.84;12.992;2.608;50
06:30;95.45;21.03;10.822;2.294;64
06:36;96.24;20.84;10.571;2.211;65
06:42;93.99;21.35;8.955;1.872;67
06:48;91.39;21.92;11.113;2.571;73
06:54;88.53;22.62;12.358;3.129;94
07:00;87.55;22.92;11.430;2.966;91
07:06;86.17;23.26;12.869;3.509;97
07:12;85.03;23.56;13.255;3.606;89
07:18;83.66;23.97;10.162;2.935;104
07:24;84.54;23.71;10.237;2.712;112
07:30;81.93;24.48;9.700;2.555;115
07:36;80.08;25.04;7.877;2.464;124
07:42;79.19;25.35;8.620;2.912;136
07:48;79.09;25.33;8.265;2.750;146
07:54;77.74;25.83;5.394;1.892;158
08:00;76.15;26.36;8.246;5.324;146
08:06;76.00;26.43;8.476;4.995;160
08:12;75.40;26.56;7.646;2.923;163
08:18;75.61;26.60;7.731;2.982;159
08:24;73.32;27.35;7.971;3.470;168
08:30;71.40;28.10;6.526;3.138;168
08:36;69.39;28.99;10.602;9.246;146
08:42;65.76;30.48;11.647;10.084;147
08:48;59.41;33.77;13.517;11.691;157
08:54;59.13;33.90;12.117;9.502;187
09:00;57.41;34.93;13.921;11.922;175
09:06;63.87;31.40;15.674;12.266;150
09:12;67.01;29.93;11.373;6.474;144
09:18;72.25;27.80;9.982;5.245;154
09:24;74.86;26.83;10.416;5.142;160
09:30;78.45;25.58;9.031;2.838;166
09:36;80.92;24.85;12.067;8.498;147
09:42;77.27;25.99;8.979;4.748;143
09:48;79.13;25.32;11.111;5.091;152
09:54;79.75;25.16;7.121;2.357;159
10:00;80.39;24.97;7.147;2.366;147
10:06;80.87;24.82;7.668;2.539;161
10:12;80.92;24.78;7.069;2.170;165
10:18;77.82;25.73;9.317;3.646;149
10:24;78.75;25.49;7.494;2.566;148
10:30;81.96;24.45;8.307;2.555;141
10:36;82.18;24.44;5.370;1.633;155
10:42;78.91;25.55;8.472;4.237;156
10:48;80.50;24.92;8.023;2.575;153
10:54;82.42;24.26;8.286;2.461;163
11:00;78.27;25.62;9.420;7.279;150
11:06;80.00;25.03;7.087;2.701;155
11:12;79.30;25.23;7.445;2.872;184
11:18;80.02;25.09;8.012;2.730;170
11:24;81.43;24.61;5.890;1.813;175
11:30;80.06;25.02;9.100;5.903;166
