heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;75.68;22.37;9.539;3.166;13
00:12;82.08;20.56;14.213;3.832;5
00:18;74.50;22.61;23.631;24.345;11
00:24;75.33;22.43;20.525;21.374;14
00:30;78.74;21.35;19.770;20.132;16
00:36;75.64;22.21;18.009;17.316;21
00:42;77.20;21.79;18.658;16.649;23
00:48;77.76;21.61;18.129;16.316;23
00:54;81.09;20.69;12.852;3.548;22
01:00;78.82;21.25;13.454;3.689;17
01:06;81.81;20.46;15.323;3.966;19
01:12;85.42;19.63;15.133;3.750;14
01:18;84.59;19.75;14.822;3.583;11
01:24;79.66;21.02;18.003;5.449;12
01:30;80.69;20.77;17.215;4.729;10
01:36;81.57;20.59;15.740;4.335;11
01:42;76.22;22.32;11.599;3.789;8
01:48;78.61;21.64;14.757;4.338;7
01:54;78.62;21.56;13.804;4.085;8
02:00;83.56;20.19;11.674;2.770;7
02:06;85.05;19.78;11.975;2.794;6
02:12;85.80;19.56;12.988;3.033;5
02:18;81.28;20.48;15.767;3.868;5
02:24;77.97;21.18;11.606;3.300;3
02:30;82.07;20.06;13.203;3.771;3
02:36;77.20;21.27;13.800;4.000;2
02:42;82.43;20.06;13.481;3.771;3
02:48;80.55;20.51;12.122;3.317;4
02:54;86.27;19.16;8.075;1.886;3
03:00;86.27;19.16;8.075;1.886;3
03:06;79.20;21.03;9.909;2.494;3
03:12;73.70;22.58;12.821;3.961;4
03:18;66.62;25.01;18.221;9.024;5
03:24;55.10;30.34;12.945;8.498;3
03:30;55.10;30.34;12.945;8.498;3
03:36;55.10;30.34;12.945;8.498;3
03:42;53.63;31.36;11.347;7.874;3
03:48;51.85;32.69;13.550;9.000;2
03:54;65.40;26.00;0.000;0.000;1
04:00;65.40;26.00;0.000;0.000;1
04:06;65.40;26.00;0.000;0.000;1
04:12;73.50;23.23;8.100;2.500;2
04:18;73.50;23.23;8.100;2.500;2
04:24;79.20;21.49;2.400;0.500;2
04:30;79.20;21.49;2.400;0.500;2
04:36;72.30;23.52;9.953;3.559;3
04:42;77.86;21.61;9.566;3.162;8
04:48;85.79;19.51;14.082;3.566;25
04:54;84.89;19.74;13.664;3.484;31
05:00;86.00;19.47;12.897;3.130;30
05:06;85.61;19.55;13.234;3.209;30
05:12;84.97;19.71;13.821;3.444;31
05:18;82.65;20.28;15.101;4.000;32
05:24;69.51;24.27;11.650;3.801;40
05:30;67.54;24.94;10.643;3.928;49
05:36;70.76;23.81;12.780;4.364;55
05:42;73.46;22.89;13.034;4.220;65
05:48;73.44;22.90;14.311;4.780;67
05:54;73.77;22.81;14.087;4.778;69
06:00;76.38;22.00;13.957;4.455;58
06:06;81.46;20.58;15.358;4.284;52
06:12;80.69;20.80;15.322;4.333;49
06:18;81.81;20.55;14.811;4.017;43
06:24;81.54;20.59;13.786;3.801;48
06:30;78.85;21.29;10.896;3.269;62
06:36;77.93;21.55;9.712;2.948;65
06:42;76.95;21.80;10.635;3.826;67
06:48;77.99;21.51;14.847;3.959;77
06:54;72.30;23.27;15.335;5.190;84
07:00;68.20;24.66;14.504;5.669;90
07:06;67.72;24.84;12.036;4.841;94
07:12;67.71;24.79;13.329;5.248;86
07:18;66.49;25.19;13.230;5.237;91
07:24;65.70;25.54;14.352;6.604;108
07:30;60.29;27.83;13.946;7.498;114
07:36;59.55;28.22;15.609;7.328;130
07:42;52.59;31.97;16.591;13.013;125
07:48;37.88;44.28;14.773;21.522;140
07:54;27.41;61.28;12.618;33.494;148
08:00;18.98;88.44;9.356;47.101;158
08:06;18.73;89.70;10.177;51.332;162
08:12;21.65;77.67;13.605;52.665;172
08:18;23.85;70.43;16.426;56.358;173
08:24;19.99;84.24;13.437;76.892;170
08:30;13.39;125.53;9.317;64.902;184
08:36;10.43;161.31;8.053;56.949;171
08:42;9.99;168.47;7.802;50.452;166
08:48;9.54;176.50;7.480;42.958;169
08:54;9.50;177.32;7.522;43.431;177
09:00;9.35;180.24;8.264;47.063;191
09:06;8.98;187.52;6.278;38.656;198
09:12;9.48;177.33;4.712;36.873;186
09:18;14.32;117.59;10.748;59.684;185
09:24;25.24;66.47;19.212;60.710;169
09:30;42.81;39.17;21.271;54.374;164
09:36;54.42;30.87;23.517;40.609;152
