heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;87.67;37.07;16.448;7.337;53
00:06;102.30;31.57;12.705;3.559;3
00:12;100.85;32.32;17.804;6.101;8
00:18;93.38;34.80;22.578;12.908;51
00:24;95.54;33.99;18.431;6.876;68
00:30;93.20;34.93;16.016;6.233;81
00:36;93.35;34.86;14.421;5.698;87
00:42;91.39;35.66;15.481;6.137;84
00:48;92.56;35.17;17.552;6.612;84
00:54;93.31;34.88;18.233;7.532;80
01:00;93.63;34.72;18.254;7.247;74
01:06;92.56;35.12;18.934;7.438;70
01:12;92.98;35.01;20.307;10.192;64
01:18;93.45;34.78;16.628;8.236;67
01:24;92.68;35.07;18.354;9.390;60
01:30;93.06;34.90;16.883;7.513;60
01:36;92.00;35.31;18.714;9.189;55
01:42;92.82;34.98;18.757;8.372;55
01:48;90.69;35.85;17.811;8.535;58
01:54;91.71;35.44;16.719;7.382;53
02:00;91.79;35.32;16.383;7.169;55
02:06;93.17;34.79;16.074;6.672;52
02:12;91.47;35.41;15.284;6.398;51
02:18;95.21;34.05;18.796;6.904;44
02:24;93.56;34.66;18.763;6.946;37
02:30;91.91;35.30;16.627;6.476;38
02:36;91.04;35.73;19.394;8.420;34
02:42;95.18;34.17;17.204;6.611;30
02:48;93.55;34.78;16.518;6.227;27
02:54;93.50;34.75;16.732;6.391;23
03:00;92.94;34.94;16.628;6.321;23
03:06;96.46;33.74;18.208;6.313;24
03:12;95.10;34.22;18.601;6.386;22
03:18;93.69;34.72;19.597;6.677;19
03:24;97.07;33.50;16.943;5.289;23
03:30;94.85;34.35;15.519;5.357;22
03:36;96.11;33.92;16.375;5.684;22
03:42;97.47;33.30;13.621;5.041;17
03:48;94.07;34.49;13.823;5.233;20
03:54;91.85;35.32;14.443;5.778;24
04:00;92.56;35.03;13.330;5.316;26
04:06;92.72;34.97;12.967;5.221;28
04:12;93.97;34.52;13.498;5.353;33
04:18;96.84;33.50;11.863;4.116;43
04:24;95.58;33.94;11.754;4.265;43
04:30;92.31;35.15;13.673;5.864;50
04:36;93.95;34.54;12.537;5.184;59
04:42;94.68;34.19;14.104;5.601;58
04:48;95.20;34.04;14.033;5.282;57
04:54;96.78;33.50;14.423;5.238;65
05:00;97.28;33.32;12.688;4.522;81
05:06;96.26;33.71;12.697;4.479;84
05:12;93.45;34.72;14.241;5.380;84
05:18;90.48;35.88;12.009;4.854;93
05:24;91.57;35.51;13.770;4.895;94
05:30;90.42;35.91;11.827;4.738;94
05:36;89.22;36.44;14.929;7.867;94
05:42;90.83;35.79;14.291;7.323;99
05:48;94.27;34.53;15.917;7.654;95
05:54;95.48;34.06;16.318;8.881;92
06:00;95.43;34.03;16.665;9.498;87
06:06;93.97;34.52;11.493;4.282;111
06:12;92.25;35.24;11.107;4.550;137
06:18;88.97;36.57;9.280;3.966;155
06:24;91.41;35.54;11.463;4.601;180
06:30;90.41;35.94;12.494;5.230;161
06:36;91.34;35.53;10.564;4.359;181
06:42;93.26;34.74;9.617;3.664;241
06:48;89.82;36.15;8.234;3.387;302
06:54;90.88;35.82;7.589;2.796;307
07:00;89.61;36.28;7.797;3.036;269
07:06;87.57;37.15;7.946;3.241;277
07:12;83.89;38.71;6.839;3.654;360
07:18;84.58;38.41;6.029;2.958;405
07:24;84.48;38.43;6.831;3.261;387
07:30;83.02;39.10;6.812;3.447;446
07:36;81.58;39.81;5.799;3.142;454
07:42;79.74;40.75;5.910;3.210;444
07:48;80.89;40.15;6.637;3.536;417
