heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;94.04;38.25;10.231;4.267;27
00:06;86.45;41.49;0.950;0.500;2
00:12;90.00;40.09;6.157;2.487;4
00:18;88.44;40.57;7.467;3.388;26
00:24;92.82;38.77;9.019;3.904;44
00:30;94.04;38.18;11.624;4.684;53
00:36;96.37;37.25;14.379;5.475;59
00:42;98.57;36.40;14.252;5.072;62
00:48;96.77;37.13;13.730;5.359;67
00:54;96.95;37.06;14.570;5.669;66
01:00;94.15;38.19;13.813;5.467;60
01:06;93.49;38.51;13.992;5.623;57
01:12;93.14;38.67;13.665;5.500;53
01:18;93.03;38.70;11.890;4.870;48
01:24;98.21;36.62;16.214;5.778;41
01:30;99.08;36.32;14.883;5.235;43
01:36;99.28;36.29;15.707;5.431;39
01:42;96.61;37.29;13.134;4.585;32
01:48;94.15;38.27;15.670;5.533;34
01:54;94.89;37.93;15.755;5.548;33
02:00;92.67;38.80;15.467;5.578;34
02:06;91.53;39.25;15.840;5.798;31
02:12;91.23;39.35;18.625;10.480;31
02:18;92.36;38.84;19.009;10.662;28
02:24;90.22;39.73;14.681;10.467;24
02:30;89.31;40.29;16.184;11.042;24
02:36;90.21;39.88;17.763;11.333;22
02:42;89.95;39.95;15.996;10.436;29
02:48;92.27;38.95;15.027;5.992;24
02:54;91.99;39.10;14.330;5.694;28
03:00;91.17;39.44;13.628;5.414;31
03:06;90.99;39.62;15.120;6.380;33
03:12;91.35;39.38;11.881;5.294;39
03:18;91.01;39.59;13.191;5.373;41
03:24;94.03;38.29;13.593;4.592;40
03:30;94.33;38.13;14.127;4.876;38
03:36;99.19;36.31;18.055;6.389;39
03:42;99.17;36.31;18.706;6.557;33
03:48;98.94;36.38;17.768;6.316;35
03:54;99.32;36.25;16.977;6.216;34
04:00;100.51;35.85;19.316;7.202;38
04:06;99.17;36.31;19.861;7.414;36
04:12;99.26;36.27;18.615;7.738;32
04:18;98.61;36.51;17.332;7.265;36
04:24;103.29;34.80;17.130;5.685;38
04:30;99.62;36.12;14.837;5.231;56
04:36;99.92;35.98;18.102;6.594;68
04:42;104.05;34.52;18.344;6.908;77
04:48;102.80;34.94;17.315;6.279;91
04:54;103.80;34.60;15.174;5.383;95
05:00;107.30;33.53;15.092;5.071;97
05:06;104.98;34.27;15.605;5.436;108
05:12;100.17;35.92;16.091;5.703;100
05:18;98.78;36.39;14.689;5.249;109
05:24;99.79;36.03;13.261;4.648;123
05:30;96.45;37.22;12.037;4.371;122
05:36;95.95;37.39;11.173;4.247;138
05:42;97.24;36.97;11.672;4.636;135
05:48;97.99;36.74;11.962;4.184;133
05:54;96.50;37.25;10.311;3.943;147
06:00;100.10;35.91;9.301;3.433;150
06:06;97.26;36.97;10.229;4.062;173
06:12;93.30;38.53;9.120;3.779;180
06:18;95.58;37.66;10.047;4.057;207
06:24;92.91;38.66;6.507;2.787;313
06:30;91.77;39.26;6.135;2.849;473
06:36;90.12;39.95;5.358;2.525;558
06:42;85.40;42.12;4.800;2.462;647
06:48;79.35;45.30;5.682;3.723;831
06:54;70.54;51.03;9.965;11.943;909
07:00;56.66;63.43;12.306;17.049;802
07:06;47.15;76.27;10.492;23.565;673
07:12;45.63;78.83;9.562;30.933;596
07:18;44.60;80.64;7.713;20.882;588
07:24;41.13;87.44;9.532;27.805;564
07:30;41.45;86.88;8.894;27.867;534
07:36;37.20;96.68;8.952;34.182;552
07:42;37.03;97.12;9.141;33.471;630
07:48;35.37;101.65;10.994;40.454;610
07:54;35.59;101.00;9.880;36.169;650
08:00;33.46;107.53;10.257;44.011;603
08:06;34.97;102.76;11.815;64.147;625
08:12;37.65;95.62;10.703;52.583;676
08:18;35.74;100.62;12.069;75.980;691
08:24;38.43;93.58;11.187;49.763;694
08:30;34.96;102.92;12.043;42.310;718
08:36;34.05;105.57;13.094;55.002;791
08:42;33.11;108.57;13.955;62.846;771
08:48;34.36;104.61;15.219;61.765;788
08:54;37.50;95.92;15.279;51.016;820
09:00;40.99;87.72;16.639;42.751;861
09:06;41.96;85.68;18.978;51.137;845
09:12;46.86;76.71;22.519;63.393;795
09:18;48.81;73.72;24.623;63.516;871
09:24;54.53;65.90;23.759;52.764;878
09:30;60.02;59.93;23.322;47.706;887
09:36;65.73;54.76;22.679;51.518;927
09:42;69.37;51.90;22.109;70.309;941
09:48;70.21;51.29;22.413;45.669;947
09:54;73.22;49.16;20.964;41.914;915
10:00;77.80;46.25;19.229;40.055;901
10:06;79.05;45.56;16.164;39.687;838
10:12;78.26;45.96;16.602;55.438;814
10:18;81.53;44.15;11.487;20.516;849
10:24;82.30;43.74;9.467;9.913;896
10:30;84.00;42.83;6.078;3.984;887
10:36;84.04;42.83;4.992;2.862;871
10:42;83.47;43.14;4.580;2.477;843
10:48;84.30;42.70;5.464;3.115;793
10:54;85.16;42.30;5.011;2.551;831
11:00;85.11;42.22;5.637;2.797;773
11:06;84.80;42.34;3.681;1.863;801
11:12;85.40;42.06;5.428;3.026;760
11:18;85.75;41.94;4.848;2.398;682
11:24;84.54;42.52;5.207;2.837;713
11:30;85.52;42.03;5.035;2.764;695
11:36;84.33;42.69;4.402;2.242;744
11:42;83.99;42.85;3.980;2.121;743
11:48;85.12;42.28;4.481;2.303;787
11:54;85.47;42.11;6.222;3.916;754
12:00;85.15;42.29;4.859;2.544;757
12:06;85.27;42.20;4.813;2.462;739
12:12;84.81;42.41;8.113;8.658;722
12:18;85.88;41.89;5.945;3.052;650
12:24;86.23;41.69;4.468;2.162;686
12:30;86.36;41.65;5.276;2.848;624
12:36;88.05;40.83;5.124;2.416;619
12:42;87.17;41.32;4.525;2.182;552
12:48;88.14;40.84;5.179;2.485;604
12:54;87.59;41.07;4.734;2.278;590
13:00;88.12;40.82;6.487;3.108;569
13:06;88.90;40.47;4.823;2.261;611
13:12;87.36;41.21;3.612;1.667;596
13:18;87.04;41.35;4.608;2.381;633
13:24;86.27;41.65;4.855;2.572;639
13:30;86.02;41.91;3.598;1.800;737
13:36;85.57;42.02;4.549;2.334;767
13:42;84.74;42.42;4.734;2.550;804
13:48;84.08;42.82;6.832;5.971;788
13:54;84.38;42.63;8.605;13.953;855
14:00;85.08;42.26;10.020;24.570;783
14:06;84.15;42.73;10.309;40.962;756
14:12;84.49;42.49;10.420;30.096;814
14:18;85.36;42.20;10.288;25.841;832
14:24;84.06;42.78;10.280;29.658;785
14:30;83.85;42.89;9.973;27.247;759
14:36;83.81;42.94;9.524;18.105;746
14:42;84.83;42.42;6.038;3.950;772
14:48;84.76;42.33;7.875;6.638;728
14:54;83.92;42.89;8.048;7.315;708
15:00;86.07;41.76;5.456;2.717;726
15:06;85.85;41.90;4.835;2.459;704
15:12;84.25;42.70;4.476;2.359;658
15:18;84.73;42.51;4.436;2.309;717
15:24;83.19;43.24;4.805;2.536;727
15:30;84.59;42.59;4.253;2.152;715
15:36;84.08;42.76;6.530;4.409;720
15:42;82.88;43.45;6.819;4.333;706
15:48;83.58;43.00;5.269;2.938;647
15:54;83.70;42.98;4.793;2.606;693
16:00;82.31;43.68;5.102;3.029;697
16:06;82.11;43.86;6.884;5.395;642
16:12;78.56;45.81;11.562;15.501;671
16:18;76.39;47.08;13.178;19.121;641
16:24;74.32;48.39;16.371;22.323;681
16:30;70.32;51.14;18.819;27.282;626
16:36;66.32;54.24;21.130;29.096;620
16:42;64.03;56.07;22.276;34.681;613
16:48;62.42;57.67;22.109;33.407;604
16:54;61.58;58.42;21.670;33.468;649
17:00;61.06;58.83;21.442;35.411;646
17:06;57.87;62.15;22.650;40.285;586
17:12;56.90;63.27;22.119;37.094;584
17:18;55.70;64.52;21.618;44.518;574
17:24;52.26;68.82;20.298;44.252;560
17:30;49.08;73.29;20.137;39.322;602
17:36;46.84;76.77;21.027;48.919;611
17:42;50.45;71.30;21.938;42.954;598
17:48;52.09;68.99;20.021;47.007;588
17:54;54.14;66.44;20.082;47.858;566
18:00;57.26;62.68;22.083;49.036;595
18:06;57.86;62.25;22.519;53.584;630
18:12;60.00;59.99;21.410;45.366;585
18:18;59.58;60.34;21.664;47.821;562
18:24;59.38;60.51;21.838;44.649;607
18:30;60.85;59.05;21.314;46.443;575
18:36;60.63;59.33;21.892;43.527;545
18:42;63.79;56.38;21.740;35.754;548
18:48;64.79;55.43;22.626;48.683;547
18:54;66.48;54.16;23.741;57.152;571
19:00;69.85;51.55;24.484;57.547;561
19:06;73.27;49.16;20.444;49.434;581
19:12;73.46;49.04;20.638;53.287;562
19:18;75.90;47.42;21.717;50.329;575
19:24;76.37;47.06;21.471;45.399;548
19:30;78.02;46.06;20.438;47.381;502
19:36;77.16;46.62;20.153;60.079;511
19:42;78.34;45.89;21.226;67.388;481
19:48;79.90;45.00;20.857;79.480;480
19:54;81.66;44.04;18.951;70.944;413
20:00;85.19;42.22;17.641;63.915;398
20:06;84.85;42.37;17.206;63.402;419
20:12;85.12;42.25;17.056;61.657;353
20:18;86.08;41.83;16.783;54.551;365
20:24;87.70;41.04;17.077;47.774;332
20:30;90.82;39.64;16.640;40.440;303
20:36;89.66;40.15;13.799;20.524;305
20:42;91.08;39.45;10.561;5.896;294
20:48;94.34;38.16;10.035;5.302;244
20:54;93.72;38.38;8.958;3.461;208
21:00;94.64;38.04;10.052;3.913;160
21:06;92.66;38.79;10.069;4.494;165
21:12;93.80;38.41;8.005;3.212;163
21:18;93.35;38.53;10.598;4.623;150
21:24;91.79;39.21;12.644;9.353;148
21:30;96.49;37.22;13.170;4.813;132
21:36;92.17;38.98;12.380;5.029;130
21:42;89.56;40.16;10.629;4.763;131
21:48;91.37;39.31;8.696;3.698;129
21:54;94.15;38.25;12.904;5.287;145
22:00;95.93;37.54;12.847;4.994;126
22:06;96.05;37.47;14.772;5.319;108
22:12;91.90;39.21;12.626;4.882;130
22:18;89.84;40.05;9.517;4.169;157
22:24;89.63;40.15;10.347;4.393;143
22:30;92.97;38.69;10.797;4.291;133
22:36;94.18;38.16;11.194;4.411;118
22:42;91.50;39.26;10.314;4.507;126
22:48;91.41;39.33;10.722;4.703;105
22:54;93.73;38.38;10.700;4.292;96
23:00;92.00;39.19;9.709;3.892;101
23:06;90.25;39.86;10.474;4.250;98
23:12;90.30;39.90;10.653;4.571;97
23:18;91.94;39.20;9.226;4.056;104
23:24;91.55;39.27;9.403;4.032;99
23:30;93.53;38.44;11.687;4.619;86
23:36;95.73;37.55;13.833;5.292;89
23:42;92.58;38.89;12.465;5.155;89
23:48;95.16;37.77;13.085;4.852;81
23:54;94.15;38.17;11.108;4.398;90
