heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;92.66;16.69;12.346;2.301;24
00:06;86.30;18.00;1.100;0.000;2
00:12;92.83;16.57;9.272;1.639;4
00:18;83.46;18.60;11.699;3.344;19
00:24;89.50;17.34;12.161;2.911;35
00:30;88.37;17.49;14.373;3.464;44
00:36;88.88;17.37;16.810;3.869;52
00:42;90.43;17.03;17.740;4.052;54
00:48;92.00;16.78;16.122;3.529;53
00:54;91.67;16.86;16.538;3.525;53
01:00;90.87;17.01;16.545;3.108;48
01:06;90.92;16.98;15.246;2.906;44
01:12;91.59;16.85;14.328;2.731;42
01:18;92.00;16.76;15.681;2.910;37
01:24;93.69;16.46;15.455;2.553;35
01:30;96.25;16.07;15.783;2.532;39
01:36;97.13;15.97;15.889;2.544;36
01:42;95.85;16.20;16.228;2.622;29
01:48;93.74;16.52;15.685;2.627;31
01:54;92.95;16.68;13.077;2.220;29
02:00;91.87;16.89;13.393;2.309;29
02:06;88.64;17.56;9.776;1.905;23
02:12;88.43;17.57;13.943;4.423;27
02:18;89.25;17.43;13.754;4.462;27
02:24;89.91;17.30;13.544;4.532;24
02:30;88.98;17.51;16.450;5.057;21
02:36;90.53;17.09;18.502;5.236;23
02:42;90.06;17.18;16.412;4.775;27
02:48;91.96;16.77;13.433;2.535;23
02:54;94.31;16.28;14.857;2.669;26
03:00;92.32;16.61;14.621;2.631;29
03:06;93.73;16.37;14.797;2.540;31
03:12;91.09;16.92;12.830;2.462;34
03:18;92.08;16.73;13.580;2.504;38
03:24;93.98;16.41;13.426;2.279;38
03:30;92.61;16.74;12.815;2.176;37
03:36;95.33;16.23;14.521;2.382;37
03:42;95.60;16.23;14.198;2.331;34
03:48;95.49;16.29;13.408;2.089;33
03:54;95.57;16.27;13.160;2.090;33
04:00;97.38;15.97;13.849;2.211;32
04:06;95.93;16.18;13.332;2.121;33
04:12;97.31;15.99;12.831;1.993;30
04:18;97.24;16.02;12.779;2.004;34
04:24;98.79;15.78;12.296;1.949;37
04:30;97.20;16.02;15.576;3.194;55
04:36;98.94;15.64;14.907;2.334;59
04:42;101.31;15.25;14.022;2.152;72
