heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;92.09;38.97;10.713;4.888;25
00:06;82.90;43.00;0.000;0.000;1
00:12;84.55;42.35;13.443;7.089;5
00:18;86.19;41.74;13.461;6.692;32
00:24;88.27;40.72;12.660;6.103;45
00:30;91.95;39.07;13.211;5.776;52
00:36;92.14;39.03;14.998;6.442;56
00:42;93.79;38.31;15.647;6.572;61
00:48;93.47;38.51;14.394;5.745;67
00:54;91.40;39.37;14.531;6.564;66
01:00;87.14;41.28;16.091;14.306;63
01:06;88.91;40.49;19.544;21.184;58
01:12;87.76;41.01;18.329;21.167;55
01:18;89.00;40.38;18.623;21.763;49
01:24;89.76;40.03;20.236;22.962;42
01:30;94.04;38.18;21.984;23.330;42
01:36;95.46;37.59;22.886;24.346;40
01:42;95.33;37.58;17.816;6.807;33
01:48;91.81;39.10;16.591;6.862;37
01:54;90.19;39.85;15.645;6.480;32
02:00;88.81;40.46;14.873;6.546;33
02:06;88.63;40.58;15.955;6.894;31
02:12;86.90;41.40;16.859;9.946;32
02:18;87.49;41.12;16.880;10.018;29
02:24;86.18;41.75;15.756;9.830;27
02:30;84.86;42.36;17.293;10.428;25
02:36;88.80;40.42;19.347;11.085;24
02:42;88.92;40.28;18.130;10.562;27
02:48;87.66;40.94;16.469;9.967;24
02:54;89.31;40.19;14.121;6.297;28
03:00;88.46;40.64;13.737;6.161;30
03:06;90.20;39.89;12.830;5.276;34
03:12;89.67;40.20;11.435;4.689;40
03:18;88.27;40.79;12.611;4.900;40
03:24;89.61;40.17;16.196;6.029;39
03:30;92.58;38.92;16.978;6.222;36
03:36;98.59;36.38;20.937;7.761;38
03:42;101.25;35.40;21.735;7.889;34
03:48;98.86;36.25;21.036;8.680;37
03:54;98.38;36.42;20.218;8.761;33
04:00;96.65;37.10;20.983;9.152;33
04:06;98.14;36.56;21.898;9.365;34
04:12;98.17;36.64;18.549;7.038;31
04:18;97.11;37.02;16.528;6.158;32
04:24;99.55;36.01;16.574;6.320;40
04:30;99.05;36.33;15.871;5.777;53
04:36;97.44;36.87;17.212;6.536;63
04:42;104.30;34.48;18.798;6.602;73
04:48;101.48;35.45;19.194;7.429;94
04:54;102.17;35.15;16.258;5.627;88
05:00;104.89;34.28;16.334;6.016;91
05:06;102.70;34.96;19.177;6.987;101
05:12;98.45;36.47;17.628;7.012;100
