heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;70.14;65.48;12.283;20.907;45
00:06;75.75;60.93;2.250;2.000;3
00:12;76.25;60.33;5.666;4.497;8
00:18;73.05;62.93;13.065;14.784;34
00:24;74.57;61.67;15.482;18.150;45
00:30;74.39;61.74;14.159;16.445;59
00:36;76.08;60.40;13.050;13.388;73
00:42;75.77;60.64;12.514;13.273;78
00:48;75.88;60.59;11.405;12.345;76
00:54;73.09;62.88;12.088;13.288;74
01:00;72.96;62.99;11.317;10.106;72
01:06;74.76;61.48;12.490;10.415;67
01:12;73.22;62.81;13.565;14.456;65
01:18;73.30;62.76;15.061;39.138;59
01:24;73.27;62.87;16.310;42.166;57
01:30;77.16;59.60;18.048;43.702;53
01:36;79.56;57.88;18.413;44.424;48
01:42;79.42;57.97;19.539;46.203;41
01:48;81.21;56.72;16.079;10.293;37
01:54;81.13;56.74;16.191;10.412;37
02:00;80.25;57.30;17.048;11.108;37
02:06;77.61;59.37;14.584;10.214;34
02:12;76.31;60.23;17.338;11.282;31
02:18;74.57;61.62;15.131;15.577;27
02:24;72.14;63.68;12.089;15.214;25
02:30;71.54;64.23;12.870;15.305;27
02:36;68.19;67.35;18.941;88.064;23
02:42;69.47;66.06;18.575;84.630;25
02:48;67.54;67.95;17.121;82.491;27
02:54;68.80;66.72;15.261;77.606;30
03:00;69.64;65.98;14.555;72.780;35
03:06;72.66;63.29;14.940;74.386;36
03:12;73.89;62.23;11.339;10.106;37
03:18;74.54;61.68;10.782;9.359;40
03:24;75.70;60.74;17.854;12.944;39
03:30;78.86;58.29;20.368;12.848;38
03:36;80.18;57.31;21.173;14.108;43
03:42;77.31;59.45;19.781;15.886;36
03:48;78.58;58.54;18.589;15.237;38
03:54;75.54;60.87;14.403;14.323;39
04:00;75.02;61.24;13.952;14.170;39
04:06;74.93;61.32;13.475;14.228;38
04:12;74.13;62.01;12.181;12.722;35
04:18;73.48;62.55;11.103;11.913;35
04:24;74.92;61.33;11.076;11.683;36
04:30;76.06;60.40;10.949;10.681;55
04:36;76.99;59.69;9.964;9.909;69
04:42;77.77;59.16;11.558;10.233;81
04:48;78.45;58.65;8.702;6.682;102
04:54;77.87;59.06;9.057;6.637;112
05:00;80.10;57.40;10.241;7.039;118
05:06;79.77;57.68;12.798;9.021;110
05:12;77.92;58.97;12.347;10.531;118
05:18;77.31;59.47;13.851;11.552;117
05:24;79.26;57.99;11.163;8.364;135
05:30;77.40;59.37;10.469;8.389;145
05:36;74.69;61.50;10.990;12.144;142
05:42;76.30;60.23;11.359;12.171;144
05:48;78.22;58.73;11.989;13.561;142
05:54;78.21;58.78;11.955;12.847;170
06:00;78.44;58.66;8.571;6.208;179
06:06;76.32;60.12;8.257;6.665;200
06:12;77.09;59.60;7.064;5.476;220
06:18;77.04;59.64;8.791;6.479;219
06:24;78.76;58.29;8.395;6.093;253
06:30;76.11;60.35;6.674;5.208;336
06:36;75.50;60.85;5.570;4.492;544
06:42;74.90;61.39;5.607;6.181;531
06:48;72.89;63.06;3.597;3.314;705
06:54;68.59;67.02;4.888;6.380;836
07:00;67.73;67.80;2.966;3.005;856
07:06;66.15;69.42;3.266;3.773;713
07:12;64.62;71.11;4.447;6.192;656
07:18;62.88;73.12;5.030;6.879;650
07:24;62.12;73.91;6.160;9.158;656
07:30;63.32;72.58;7.786;23.251;572
07:36;60.42;76.06;10.864;30.145;499
07:42;56.13;81.93;13.234;40.876;535
07:48;52.71;87.18;15.549;50.717;615
07:54;49.93;92.04;16.752;62.892;643
08:00;46.29;99.28;17.439;69.067;671
08:06;43.02;106.87;16.964;68.345;675
08:12;40.03;114.75;18.905;77.815;684
08:18;36.73;125.08;20.131;91.084;696
08:24;31.40;146.38;20.157;125.498;708
08:30;30.43;150.92;19.701;146.148;721
08:36;31.30;146.94;19.557;118.366;762
08:42;33.31;138.01;19.140;90.657;829
08:48;33.29;137.87;18.580;88.759;808
08:54;34.11;134.87;19.711;114.947;855
09:00;36.03;127.62;20.745;115.191;860
09:06;37.64;122.19;20.442;97.627;885
09:12;39.63;115.97;20.289;87.867;873
09:18;43.55;105.52;20.636;102.627;846
09:24;47.99;95.78;19.584;118.073;904
09:30;52.09;88.26;19.467;77.596;930
09:36;54.38;84.46;18.808;76.308;919
09:42;58.21;79.01;18.105;79.606;933
09:48;61.30;74.96;17.271;86.894;949
09:54;62.85;73.11;14.620;45.419;909
10:00;65.98;69.69;12.512;36.342;883
10:06;68.02;67.56;9.797;22.648;846
10:12;68.19;67.35;8.001;17.405;811
10:18;68.14;67.49;7.764;13.695;810
10:24;69.10;66.53;6.627;11.907;871
10:30;68.14;67.48;6.125;8.935;908
10:36;69.13;66.51;4.591;4.750;880
10:42;68.86;66.73;5.024;5.526;828
10:48;69.28;66.40;4.463;4.658;789
10:54;69.78;65.87;3.278;3.431;840
11:00;70.05;65.64;3.877;3.660;778
11:06;70.28;65.38;4.505;4.950;789
11:12;70.49;65.22;3.966;3.639;779
11:18;70.52;65.17;3.900;3.903;709
11:24;70.17;65.52;4.775;4.742;708
11:30;69.30;66.28;5.286;5.873;719
11:36;69.70;66.05;4.892;5.561;724
11:42;70.09;65.53;4.791;4.785;721
11:48;68.71;66.81;5.231;5.458;757
