heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;75.62;67.67;10.340;10.298;49
00:06;81.25;63.00;0.050;0.000;2
00:12;82.07;62.20;3.466;2.925;7
00:18;80.96;63.10;14.827;8.957;31
00:24;80.36;63.62;14.568;10.005;44
00:30;78.63;64.96;11.118;11.078;53
00:36;80.38;63.66;11.828;10.798;68
00:42;79.79;64.12;11.870;10.837;73
00:48;79.74;64.13;11.593;10.628;70
00:54;78.96;64.73;13.139;12.329;68
01:00;80.04;63.86;16.698;15.474;66
01:06;81.19;63.00;16.519;13.951;61
01:12;77.13;66.38;14.804;13.918;55
01:18;78.09;65.55;15.448;14.661;52
01:24;79.40;64.51;15.193;13.536;55
01:30;81.35;62.88;16.504;13.978;49
01:36;81.91;62.41;18.938;16.064;46
01:42;80.91;63.19;16.211;13.969;41
01:48;82.08;62.25;13.931;10.388;38
01:54;80.32;63.61;15.043;11.560;35
02:00;79.77;63.98;14.677;11.951;35
02:06;77.48;65.92;11.692;11.754;31
02:12;76.47;66.84;12.039;12.915;32
02:18;74.24;68.79;14.159;22.517;30
02:24;72.98;69.98;13.248;22.391;25
02:30;72.13;70.85;13.390;23.028;23
02:36;71.96;71.15;14.912;24.748;22
02:42;74.76;68.46;13.690;22.859;20
02:48;73.25;69.78;13.039;22.062;22
02:54;73.74;69.34;9.241;8.358;23
03:00;73.45;69.63;7.405;7.606;28
03:06;75.62;67.57;7.647;6.909;29
03:12;75.18;68.00;9.600;8.167;32
03:18;77.24;66.25;10.676;8.711;32
03:24;76.91;66.49;11.380;9.885;34
03:30;77.83;65.74;11.919;10.357;35
03:36;78.46;65.16;11.417;9.750;41
03:42;78.90;64.74;11.808;10.346;40
03:48;82.54;61.93;15.373;10.293;41
03:54;80.62;63.33;15.230;10.363;37
04:00;78.50;65.03;16.710;16.493;36
04:06;77.96;65.50;9.933;8.389;33
04:12;78.16;65.33;10.450;9.087;31
04:18;76.19;67.07;9.593;8.311;29
04:24;76.13;67.13;10.215;9.143;31
04:30;77.33;66.14;8.698;7.911;51
04:36;79.67;64.19;10.252;8.530;67
04:42;80.90;63.19;9.028;7.362;71
04:48;85.03;60.13;9.699;6.792;87
04:54;84.35;60.64;9.687;6.828;103
05:00;83.15;61.53;11.897;8.614;108
05:06;82.77;61.86;11.464;8.306;103
05:12;82.62;61.96;10.780;8.408;109
05:18;81.94;62.39;11.740;9.285;103
05:24;82.24;62.15;11.496;8.294;111
05:30;81.37;62.80;11.556;9.156;125
05:36;80.70;63.29;11.879;8.577;123
05:42;81.56;62.71;10.255;6.779;139
05:48;81.23;62.98;8.590;6.752;128
05:54;81.34;62.93;9.227;6.917;162
06:00;83.29;61.45;12.075;8.061;168
06:06;80.00;63.97;6.563;5.461;187
06:12;81.09;63.05;6.744;5.236;194
06:18;80.12;63.84;9.079;7.414;192
06:24;82.03;62.33;7.571;5.934;216
06:30;81.34;62.89;5.338;4.205;276
06:36;80.09;63.89;4.607;3.733;484
06:42;78.88;64.80;5.461;4.523;491
06:48;76.14;67.18;4.736;4.328;613
06:54;73.69;69.45;4.405;4.094;739
07:00;71.23;71.79;3.228;3.277;800
07:06;70.17;72.90;3.777;3.984;669
07:12;67.79;75.52;5.192;6.393;637
07:18;65.88;77.69;6.493;9.217;599
07:24;63.95;80.00;8.788;22.665;616
07:30;62.01;82.48;10.487;26.040;610
07:36;58.01;88.18;13.474;34.359;509
07:42;53.64;95.37;15.617;50.515;491
07:48;51.65;99.01;17.420;56.672;578
07:54;49.04;104.31;16.503;48.432;624
08:00;44.66;114.55;17.403;60.457;624
08:06;42.44;120.53;16.907;59.244;626
08:12;38.68;132.16;16.452;66.465;622
08:18;35.43;144.42;19.215;103.666;646
08:24;34.59;147.94;20.302;135.203;630
08:30;35.41;144.55;19.851;114.027;650
08:36;36.97;138.40;19.041;86.834;718
08:42;37.25;137.32;17.563;75.418;715
08:48;36.85;138.87;18.388;94.489;739
08:54;36.95;138.41;17.762;85.999;783
09:00;38.65;132.31;18.423;92.488;810
09:06;42.25;121.03;19.997;70.682;828
09:12;42.97;119.09;19.793;87.532;848
09:18;45.92;111.42;19.547;76.693;826
09:24;48.95;104.48;19.334;80.535;859
09:30;51.84;98.65;20.425;64.095;880
09:36;53.99;94.73;20.992;65.071;903
09:42;57.46;88.96;19.545;54.529;918
09:48;63.00;81.17;17.012;41.190;904
09:54;65.15;78.53;14.909;40.860;911
10:00;66.44;77.03;13.563;34.140;839
10:06;70.24;72.88;11.821;27.616;783
10:12;70.49;72.59;7.852;12.645;734
10:18;70.66;72.45;9.184;17.677;730
10:24;71.47;71.58;7.708;13.818;797
10:30;72.47;70.58;6.097;8.153;831
10:36;72.58;70.51;4.620;4.940;822
10:42;73.29;69.86;3.748;3.639;797
10:48;72.69;70.45;5.252;5.410;744
10:54;72.95;70.11;3.845;3.804;783
11:00;73.66;69.46;3.809;3.686;718
11:06;73.63;69.50;4.135;3.866;717
11:12;73.98;69.12;3.523;3.249;739
11:18;74.78;68.45;6.486;5.153;654
11:24;74.66;68.55;4.636;4.150;632
11:30;72.79;70.34;5.761;7.789;661
11:36;73.45;69.60;4.897;5.281;662
11:42;73.73;69.38;5.119;5.313;687
11:48;72.95;70.08;6.816;9.222;699
11:54;73.33;69.71;5.162;6.276;723
12:00;74.54;68.59;5.000;5.248;679
12:06;74.49;68.66;3.535;3.439;652
12:12;74.48;68.68;4.260;4.128;663
12:18;74.31;68.86;6.062;7.357;652
12:24;74.17;69.01;5.845;6.708;636
12:30;74.12;69.03;7.022;9.359;648
12:36;74.50;68.64;9.261;18.233;599
12:42;75.18;68.03;7.034;10.529;562
12:48;75.00;68.23;5.496;6.470;534
12:54;75.41;67.87;5.371;5.030;539
13:00;76.37;66.98;5.985;7.054;533
13:06;76.70;66.72;4.155;3.713;515
13:12;76.22;67.10;5.370;5.069;544
13:18;75.38;67.91;5.348;4.845;539
13:24;75.53;67.78;4.838;4.486;586
13:30;74.42;68.71;4.669;4.597;549
13:36;73.23;69.81;4.721;4.927;659
13:42;73.14;69.91;4.975;5.202;730
13:48;73.31;69.83;6.476;8.933;704
13:54;71.92;71.09;7.975;13.222;722
14:00;72.58;70.53;10.157;53.625;801
14:06;72.24;70.78;10.399;40.878;717
14:12;72.90;70.14;8.319;27.980;719
14:18;73.84;69.29;8.158;28.873;743
14:24;74.04;69.13;7.410;16.381;739
14:30;73.68;69.49;4.942;4.778;703
14:36;73.60;69.49;5.162;5.177;703
14:42;73.20;69.90;5.855;8.230;686
14:48;74.56;68.62;4.135;3.748;671
14:54;74.46;68.64;4.982;4.709;627
15:00;74.13;69.01;3.988;3.677;598
15:06;73.55;69.51;5.078;5.105;631
15:12;72.92;70.11;6.230;7.812;612
15:18;74.65;68.48;4.185;3.812;626
15:24;74.36;68.81;3.991;3.875;662
15:30;73.11;69.91;4.111;3.957;602
15:36;73.30;69.80;4.682;4.830;642
15:42;74.14;68.98;3.396;3.200;650
15:48;73.34;69.76;4.455;4.305;607
15:54;73.63;69.48;4.452;4.403;599
16:00;73.22;69.91;4.318;4.570;608
16:06;72.64;70.46;4.997;6.431;620
16:12;74.23;68.90;5.376;5.077;564
16:18;71.00;72.08;5.969;7.994;567
16:24;72.20;70.85;4.545;4.817;561
16:30;73.31;69.91;3.965;3.865;564
16:36;71.57;71.53;4.463;4.754;544
16:42;71.14;71.90;6.725;10.468;527
16:48;70.66;72.34;9.396;26.262;481
16:54;70.21;72.84;10.456;25.689;491
17:00;69.55;73.57;11.231;43.044;564
17:06;68.42;74.77;14.076;85.677;525
17:12;67.05;76.30;12.469;37.510;496
17:18;67.59;75.71;12.584;50.009;476
17:24;67.43;75.81;12.631;58.708;496
17:30;68.56;74.65;13.634;73.823;444
17:36;68.24;74.94;13.880;98.055;495
17:42;68.48;74.68;12.694;89.870;516
17:48;68.20;74.98;13.593;73.532;505
17:54;68.04;75.18;14.279;105.902;505
18:00;67.59;75.65;14.554;97.559;504
18:06;68.10;75.19;14.814;86.570;518
18:12;66.65;76.81;14.648;87.596;531
18:18;66.70;76.69;15.711;85.364;486
18:24;65.46;78.19;16.028;110.708;504
18:30;65.66;77.87;15.446;126.554;538
18:36;66.93;76.44;15.622;101.997;492
18:42;66.84;76.61;15.926;119.749;460
18:48;68.18;75.02;15.349;106.405;519
18:54;67.54;75.73;16.056;98.864;519
19:00;67.71;75.57;16.253;78.424;558
19:06;68.67;74.52;15.780;61.796;506
19:12;69.61;73.39;13.386;57.808;530
19:18;70.90;72.16;12.246;61.860;545
19:24;70.64;72.43;12.922;90.937;519
19:30;71.31;71.76;13.829;77.695;470
19:36;71.94;71.03;13.588;85.979;454
19:42;72.02;71.00;13.699;86.906;468
19:48;72.33;70.79;12.187;62.531;418
19:54;72.27;70.72;12.696;94.289;399
20:00;72.34;70.80;13.232;120.075;355
20:06;74.25;68.79;13.977;101.855;367
20:12;74.68;68.49;14.688;111.621;366
20:18;74.97;68.21;13.190;69.070;339
20:24;74.64;68.49;13.256;78.244;346
20:30;78.29;65.30;14.851;91.185;314
20:36;79.27;64.51;13.491;76.305;306
20:42;77.11;66.29;13.717;53.796;272
20:48;74.72;68.45;13.961;40.702;250
20:54;78.49;65.17;12.526;14.179;210
21:00;81.39;62.89;7.910;5.758;190
21:06;81.68;62.52;8.692;7.128;172
21:12;80.49;63.55;9.250;8.362;175
21:18;78.83;64.92;9.532;8.883;160
21:24;79.11;64.65;8.631;8.287;162
21:30;79.13;64.62;9.424;8.308;141
21:36;78.67;64.98;9.248;8.237;151
21:42;76.93;66.49;8.257;8.008;147
21:48;78.04;65.61;9.460;8.253;143
21:54;79.94;64.02;9.343;7.341;151
22:00;79.37;64.43;10.039;8.005;148
22:06;79.40;64.41;11.709;8.677;136
22:12;79.24;64.47;11.697;9.608;134
22:18;76.89;66.51;9.111;8.911;147
22:24;75.30;67.90;8.249;7.765;155
22:30;76.05;67.24;9.368;9.466;158
22:36;76.74;66.66;9.117;8.001;137
22:42;77.80;65.75;8.642;7.129;129
22:48;77.90;65.68;7.431;6.177;138
22:54;77.61;65.92;8.181;6.772;127
23:00;77.97;65.57;8.059;6.887;118
23:06;79.51;64.32;10.297;8.662;118
23:12;78.64;65.08;9.508;8.699;109
23:18;76.61;66.72;11.997;11.200;115
23:24;78.41;65.23;11.209;9.694;114
23:30;81.37;62.85;12.456;9.938;117
23:36;79.57;64.24;11.419;9.428;106
23:42;80.98;63.12;14.392;10.263;107
23:48;78.24;65.36;11.328;9.219;113
23:54;80.33;63.63;14.289;11.016;101
