heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;50.38;44.92;14.525;18.122;57
00:06;64.10;35.00;0.000;0.000;1
00:12;50.70;44.58;20.018;17.868;6
00:18;62.75;36.01;16.601;12.140;33
00:24;64.41;35.10;19.869;11.684;46
00:30;65.02;34.75;17.200;9.160;53
00:36;67.40;33.62;21.961;10.572;64
00:42;65.23;34.80;19.188;10.220;75
00:48;62.96;36.00;19.806;54.454;77
00:54;63.11;35.93;19.703;10.397;73
01:00;65.43;34.65;23.072;11.409;70
01:06;65.30;34.66;21.967;11.999;67
01:12;59.96;37.67;16.948;12.177;61
01:18;63.01;35.82;16.761;11.600;54
01:24;65.19;34.71;22.272;13.579;52
01:30;68.23;33.13;22.803;11.674;48
01:36;65.90;34.36;19.063;12.634;43
01:42;65.17;34.72;15.788;9.762;37
01:48;63.55;35.55;15.599;12.489;36
01:54;62.50;36.21;16.608;12.997;40
02:00;63.08;35.84;16.367;13.456;43
02:06;59.98;37.77;15.246;13.897;34
02:12;62.89;36.02;22.081;15.314;33
02:18;59.39;38.09;23.087;51.577;34
02:24;58.41;38.76;22.197;13.776;30
02:30;58.23;38.80;20.784;13.982;24
02:36;59.99;37.71;20.834;14.119;23
02:42;58.58;38.64;14.047;10.086;23
02:48;59.46;38.12;10.644;8.227;23
02:54;73.41;31.05;25.258;10.087;22
03:00;71.59;31.81;22.786;8.725;27
03:06;68.54;33.21;22.328;8.488;29
03:12;68.71;33.00;23.505;9.795;30
03:18;73.47;30.78;27.009;10.648;33
03:24;72.73;31.21;28.611;13.282;33
03:30;63.41;35.78;22.488;13.252;35
03:36;61.62;36.79;19.243;12.902;34
03:42;62.57;36.21;19.625;13.253;31
03:48;64.11;35.26;26.503;16.724;29
03:54;52.20;43.38;18.355;17.420;28
04:00;52.16;43.28;13.985;16.743;25
04:06;48.36;46.63;15.252;20.057;18
04:12;48.93;46.07;16.312;21.332;17
04:18;51.92;43.42;16.270;18.209;21
04:24;54.42;41.52;14.240;16.206;23
04:30;60.50;37.34;18.440;34.462;38
04:36;61.20;36.91;15.157;11.645;56
04:42;62.00;36.49;14.937;9.714;71
04:48;62.26;36.39;12.799;8.826;88
04:54;62.51;36.26;12.556;9.413;102
05:00;64.38;35.18;16.102;7.963;119
05:06;62.92;36.02;18.048;11.564;119
05:12;63.80;35.50;16.947;11.625;122
05:18;61.54;36.90;16.943;11.350;130
05:24;63.29;35.75;18.112;12.688;131
05:30;62.38;36.26;14.667;16.396;130
05:36;61.30;36.92;14.155;16.627;151
05:42;65.02;34.83;16.280;16.044;160
05:48;61.77;36.70;12.471;14.239;156
05:54;60.61;37.34;13.319;13.035;164
06:00;60.50;37.44;12.463;13.597;179
06:06;60.85;37.23;13.640;8.415;188
06:12;59.24;38.17;10.458;7.010;207
06:18;61.91;36.60;9.966;7.145;221
06:24;60.41;37.49;11.865;9.259;243
06:30;61.10;37.13;11.113;14.198;279
06:36;60.37;37.43;7.843;5.125;418
06:42;59.89;37.79;9.032;7.267;453
06:48;56.25;40.21;8.539;6.608;541
06:54;55.44;40.84;7.316;6.661;615
07:00;52.14;43.47;6.650;6.461;674
07:06;47.80;47.34;10.168;16.981;608
07:12;46.75;48.46;9.096;12.573;602
07:18;44.17;51.19;11.460;20.550;590
07:24;42.98;52.68;10.223;18.241;599
07:30;40.39;56.00;9.927;18.556;592
07:36;34.07;66.43;13.531;39.087;547
07:42;34.20;66.19;12.984;36.182;568
07:48;33.41;67.72;11.705;32.488;575
07:54;30.71;73.75;10.801;31.781;588
08:00;30.11;75.14;11.019;35.121;600
08:06;29.35;77.21;11.272;38.307;596
08:12;26.24;86.34;10.760;43.884;546
08:18;27.45;82.46;9.899;31.925;596
08:24;26.94;83.97;11.631;45.105;590
08:30;27.10;83.54;10.137;37.131;562
08:36;26.93;84.09;10.401;34.736;639
08:42;26.38;85.86;10.155;41.268;665
08:48;27.57;82.14;10.169;32.109;653
08:54;28.94;78.21;12.104;28.923;655
09:00;28.12;80.55;10.716;31.835;674
09:06;28.20;80.34;10.420;34.041;729
09:12;29.01;78.00;10.483;28.584;782
09:18;29.65;76.41;11.122;30.569;758
09:24;31.80;71.18;11.464;27.503;847
09:30;32.66;69.33;12.639;26.895;810
09:36;35.36;64.03;13.535;31.232;826
09:42;36.98;61.22;13.252;29.325;832
09:48;39.52;57.29;13.034;25.960;826
