heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;63.20;65.01;11.384;15.352;83
00:06;49.35;82.95;1.250;2.000;4
00:12;57.56;71.34;14.781;14.460;15
00:18;58.22;70.57;17.457;34.428;46
00:24;61.57;66.72;16.976;30.695;67
00:30;59.31;69.27;15.035;24.345;89
00:36;60.20;68.24;14.054;20.822;91
00:42;59.03;69.57;15.030;26.262;97
00:48;59.60;68.98;13.715;20.825;104
00:54;62.30;65.95;16.698;18.696;95
01:00;63.25;64.95;17.742;19.047;99
01:06;62.38;65.82;15.856;19.450;79
01:12;65.63;62.55;17.573;20.541;67
01:18;67.82;60.56;17.799;19.012;56
01:24;69.07;59.49;19.265;19.605;56
01:30;67.18;61.14;17.479;19.474;53
01:36;65.72;62.45;18.405;29.270;49
01:42;65.03;63.16;17.843;29.278;42
01:48;63.98;64.23;17.785;28.954;45
01:54;59.99;68.49;18.556;33.004;39
02:00;58.34;70.46;17.954;32.824;40
02:06;58.53;70.22;18.516;33.765;38
02:12;60.40;68.06;17.047;22.321;42
02:18;60.24;68.28;14.608;19.964;41
02:24;60.02;68.51;12.599;17.676;41
02:30;64.48;63.83;14.338;12.791;37
02:36;66.20;62.17;13.314;10.996;40
02:42;69.90;58.80;16.445;12.569;37
02:48;66.93;61.40;17.310;16.481;35
02:54;67.78;60.61;16.712;17.162;24
03:00;69.20;59.38;16.891;17.741;24
03:06;69.19;59.29;14.642;17.951;21
03:12;63.54;64.53;26.862;28.149;22
03:18;59.74;68.64;18.154;25.711;23
03:24;59.92;68.59;16.490;23.556;22
03:30;62.15;66.20;19.001;24.447;19
03:36;59.37;69.27;17.855;24.495;23
03:42;60.10;68.45;17.432;23.629;26
03:48;66.17;62.10;15.899;17.442;28
03:54;68.34;60.15;17.588;19.709;35
04:00;67.09;61.16;17.591;22.757;41
04:06;66.96;61.22;17.834;23.070;43
04:12;63.86;64.23;16.041;22.057;48
04:18;64.08;64.13;18.317;22.927;47
04:24;65.82;62.47;20.166;24.210;44
04:30;69.99;58.78;21.597;21.086;45
04:36;69.20;59.42;17.769;16.788;48
04:42;70.24;58.59;16.976;14.144;49
04:48;72.08;57.09;14.174;12.180;62
04:54;73.28;56.08;14.490;13.684;75
05:00;72.28;56.86;14.654;13.803;83
05:06;69.40;59.19;14.604;15.876;99
05:12;68.27;60.18;13.870;15.098;105
05:18;70.68;58.16;15.231;15.955;104
05:24;69.54;59.10;15.132;16.450;109
05:30;67.23;61.11;14.453;14.877;115
05:36;67.25;61.07;14.197;14.047;110
05:42;68.81;59.77;16.726;15.896;112
05:48;69.05;59.53;14.355;14.793;121
05:54;69.09;59.48;14.868;15.521;142
06:00;71.13;57.84;12.329;11.135;166
06:06;69.14;59.49;12.978;13.028;171
06:12;68.73;59.84;14.434;13.556;170
06:18;66.33;61.96;14.690;17.436;173
06:24;67.12;61.18;13.556;13.836;184
06:30;66.67;61.65;11.755;11.452;239
06:36;61.13;67.26;9.280;12.918;303
06:42;61.29;67.00;9.618;13.327;328
06:48;62.00;66.25;8.309;9.135;340
06:54;63.37;64.87;9.116;9.524;330
07:00;60.49;67.96;7.850;9.023;375
07:06;58.54;70.16;8.625;10.437;439
07:12;55.38;74.20;6.023;8.217;461
07:18;51.47;79.80;10.146;27.946;530
07:24;48.34;84.98;10.365;58.234;563
07:30;43.45;94.58;10.637;45.473;638
07:36;39.70;103.56;10.255;77.469;617
07:42;38.42;106.87;10.751;37.762;602
07:48;34.75;118.21;11.165;38.189;629
07:54;34.55;118.99;10.332;34.408;759
08:00;34.59;118.85;10.755;40.552;807
08:06;34.29;119.79;12.111;54.449;764
08:12;33.45;122.85;10.855;53.209;669
08:18;31.95;128.69;11.031;67.247;720
08:24;31.25;131.44;10.920;80.692;802
08:30;30.94;132.86;9.867;106.274;844
08:36;30.24;135.93;10.178;106.211;841
08:42;28.98;141.77;8.583;115.724;868
08:48;28.87;142.32;9.079;61.922;897
08:54;28.93;141.91;9.234;98.132;934
09:00;30.13;136.24;10.305;57.092;978
09:06;32.63;126.01;12.654;54.177;1006
09:12;31.55;130.31;9.842;45.980;988
09:18;33.07;124.37;11.658;42.571;1046
09:24;32.79;125.30;12.083;51.928;1106
09:30;33.21;123.79;12.936;67.436;1114
09:36;35.75;115.04;12.280;47.284;1100
09:42;35.40;116.15;12.007;61.899;1153
09:48;37.79;108.81;12.956;50.452;1074
09:54;39.39;104.29;13.140;67.190;998
10:00;42.49;96.78;14.238;76.278;928
10:06;43.41;94.70;14.314;72.709;944
10:12;45.64;90.02;14.076;76.416;962
10:18;45.93;89.50;13.237;84.085;988
10:24;46.06;89.21;13.831;80.482;936
10:30;47.11;87.22;13.251;133.146;902
10:36;45.75;89.76;12.857;146.013;923
10:42;46.07;89.21;12.556;94.245;918
10:48;47.18;87.10;12.447;68.243;894
10:54;47.67;86.23;12.221;49.328;869
11:00;47.39;86.74;12.235;44.704;809
11:06;49.40;83.15;13.027;49.712;811
11:12;48.88;84.02;11.894;42.680;856
11:18;49.53;82.96;11.962;45.157;847
11:24;51.33;80.06;12.415;46.985;802
11:30;50.48;81.37;12.202;75.606;833
11:36;51.62;79.64;10.908;87.330;830
11:42;49.44;83.06;10.667;100.003;839
11:48;48.92;83.95;9.475;70.979;866
11:54;49.58;82.88;9.360;78.122;820
12:00;49.87;82.34;10.260;105.575;920
12:06;49.57;82.87;9.585;92.433;939
12:12;49.80;82.52;9.817;126.759;931
12:18;48.30;85.07;10.011;119.154;960
12:24;47.53;86.55;11.179;127.570;903
