heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;97.24;36.32;14.634;6.526;55
00:06;96.80;36.00;0.000;0.000;3
00:12;106.30;33.32;18.771;7.615;10
00:18;104.26;33.84;14.975;5.618;44
00:24;103.40;34.18;14.375;5.150;57
00:30;101.52;34.79;18.240;7.618;64
00:36;100.53;35.11;18.164;7.884;72
00:42;101.56;34.78;17.294;6.545;72
00:48;100.67;35.09;17.829;6.833;74
00:54;100.04;35.23;19.990;7.521;70
01:00;101.53;34.71;20.087;7.561;64
01:06;103.30;34.11;20.574;7.628;63
01:12;104.28;33.78;20.024;7.326;51
01:18;107.46;32.81;20.544;7.529;48
01:24;109.52;32.18;22.575;13.744;48
01:30;109.53;32.21;22.703;14.903;38
01:36;109.92;32.13;24.621;50.784;36
01:42;109.82;32.18;20.688;7.628;38
01:48;108.64;32.54;20.521;7.603;37
01:54;106.45;33.11;19.353;7.478;34
02:00;105.13;33.53;18.764;7.399;35
02:06;102.77;34.26;18.009;7.139;35
02:12;103.35;34.06;17.574;6.666;32
02:18;102.12;34.57;14.620;5.456;34
02:24;99.54;35.43;15.621;6.108;33
02:30;94.70;37.24;15.971;6.423;28
02:36;96.30;36.69;14.698;6.035;25
02:42;96.90;36.45;14.179;5.824;25
02:48;98.57;35.76;15.958;6.147;25
02:54;102.01;34.56;14.652;5.027;20
03:00;103.81;33.85;9.954;3.707;18
03:06;102.44;34.32;11.633;4.773;19
03:12;104.91;33.44;14.948;5.577;17
03:18;102.85;34.20;15.763;5.754;19
03:24;103.24;34.08;15.320;5.567;20
03:30;99.39;35.41;16.624;6.580;20
03:36;97.09;36.28;16.384;6.537;22
03:42;97.44;36.20;17.929;6.970;20
03:48;100.11;35.24;18.501;7.075;22
03:54;103.92;33.95;20.388;7.559;25
04:00;104.70;33.75;22.059;8.399;24
04:06;103.53;34.13;20.711;8.075;26
04:12;106.90;33.03;18.909;6.901;26
04:18;107.64;32.88;17.162;5.801;31
04:24;108.87;32.52;17.211;5.704;32
04:30;107.83;32.83;17.257;5.437;35
04:36;103.69;34.13;19.000;7.398;47
04:42;105.87;33.41;20.234;6.875;61
04:48;104.13;33.93;20.675;7.675;79
04:54;104.68;33.74;20.407;7.632;80
05:00;104.07;33.92;19.925;7.439;80
05:06;100.38;35.17;21.184;9.487;87
05:12;98.25;36.01;22.079;11.507;93
05:18;103.51;34.16;21.340;9.778;109
05:24;102.26;34.51;19.331;8.242;118
05:30;102.33;34.47;17.575;8.255;130
05:36;101.79;34.68;16.274;7.830;137
05:42;101.18;34.96;17.013;8.167;150
05:48;104.74;33.71;15.076;5.482;155
05:54;102.49;34.45;16.700;6.375;140
06:00;100.65;35.06;15.595;6.723;135
06:06;98.40;35.77;16.833;7.531;146
06:12;97.40;36.27;16.973;7.139;198
06:18;89.83;39.33;13.349;7.329;221
06:24;94.79;37.23;12.170;6.083;286
06:30;96.15;36.68;12.161;5.297;289
06:36;95.97;36.70;12.995;5.783;275
06:42;96.10;36.70;12.031;5.168;264
06:48;94.24;37.41;10.105;4.620;303
06:54;90.53;39.00;9.433;4.672;327
07:00;89.56;39.39;8.172;3.699;360
07:06;87.16;40.47;9.357;4.994;366
07:12;87.58;40.26;8.573;4.612;409
07:18;87.45;40.42;7.833;3.809;448
07:24;85.93;41.06;8.515;4.627;491
07:30;85.14;41.51;13.149;17.230;499
07:36;83.97;42.11;11.757;13.840;504
07:42;83.58;42.14;12.939;22.799;540
07:48;82.45;42.80;13.647;26.590;549
07:54;77.73;45.38;17.324;30.376;545
08:00;71.75;49.19;20.532;35.575;518
08:06;65.05;54.20;22.582;33.719;563
08:12;62.72;56.33;23.309;36.298;595
08:18;59.20;59.61;25.528;43.504;613
08:24;60.12;58.72;25.058;54.996;613
08:30;59.84;58.97;23.104;46.723;607
08:36;59.35;59.49;23.770;48.989;673
08:42;61.95;56.87;24.116;50.026;659
08:48;61.43;57.43;25.476;73.071;666
08:54;63.36;55.65;23.789;56.033;671
09:00;66.12;53.43;24.407;71.711;665
09:06;69.80;50.59;24.906;64.478;696
09:12;76.59;46.07;22.164;29.848;736
