heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;113.22;50.09;12.971;6.151;34
00:06;105.90;54.00;0.000;0.000;1
00:12;107.16;52.90;18.179;10.222;11
00:18;117.17;48.48;20.383;9.632;29
00:24;111.40;51.01;18.208;8.606;47
00:30;109.91;51.69;16.314;8.106;60
00:36;115.00;49.34;16.706;8.010;65
00:42;113.33;50.03;16.368;7.949;71
00:48;111.77;50.74;17.103;8.649;72
00:54;114.18;49.63;16.109;7.516;66
01:00;115.11;49.24;15.950;7.356;65
01:06;112.66;50.31;17.127;8.291;59
01:12;111.72;50.72;17.275;8.380;57
01:18;113.17;50.11;16.728;7.755;59
01:24;113.10;50.11;17.366;8.093;54
01:30;111.51;50.81;17.419;8.215;51
01:36;110.94;51.07;18.181;8.549;58
01:42;111.68;50.71;18.005;8.404;55
01:48;110.30;51.38;17.694;8.419;57
01:54;106.17;53.33;21.552;17.333;54
02:00;107.97;52.48;21.616;17.723;54
02:06;108.45;52.27;22.280;17.607;56
02:12;109.83;51.62;23.066;18.767;49
02:18;106.57;53.23;22.782;18.942;45
02:24;109.74;51.73;22.302;18.810;43
02:30;109.85;51.69;20.059;19.009;43
02:36;108.70;52.24;17.765;8.722;44
02:42;106.52;53.29;16.990;8.410;37
02:48;104.51;54.31;13.695;7.331;46
02:54;105.84;53.61;9.720;5.674;53
03:00;107.01;53.04;9.813;5.675;55
03:06;109.25;51.94;9.057;4.942;60
03:12;109.53;51.82;9.211;4.616;59
03:18;109.55;51.79;10.324;5.318;58
03:24;109.03;51.95;12.819;6.543;50
03:30;109.94;51.49;14.750;7.241;42
03:36;110.78;51.08;16.925;8.440;34
03:42;111.50;50.85;19.227;9.287;34
03:48;109.62;51.72;17.560;8.690;34
03:54;108.14;52.49;16.337;7.909;35
04:00;104.86;54.13;15.663;8.661;46
04:06;102.17;55.55;14.279;8.194;68
04:12;104.25;54.43;15.943;8.675;75
04:18;119.10;47.62;18.150;9.011;83
04:24;119.35;47.54;14.911;6.472;76
04:30;120.76;47.01;13.592;5.555;82
04:36;117.97;48.06;13.786;6.304;81
04:42;121.01;46.85;12.189;4.936;90
04:48;119.32;47.51;14.197;6.762;99
04:54;121.03;46.87;14.954;6.839;103
05:00;120.18;47.22;17.176;7.760;103
05:06;120.85;46.95;15.368;7.028;111
05:12;120.82;46.90;14.301;6.205;111
05:18;120.37;47.11;12.283;5.464;111
05:24;121.29;46.73;11.972;5.203;121
05:30;116.76;48.59;10.976;4.784;122
05:36;117.31;48.37;12.699;5.883;131
05:42;116.48;48.63;10.020;4.663;173
05:48;116.00;48.91;11.946;5.471;182
05:54;117.80;48.15;12.364;5.926;182
06:00;117.93;48.09;10.770;4.596;199
06:06;119.91;47.30;8.535;3.490;262
06:12;118.46;47.92;9.427;3.924;293
06:18;113.78;49.92;10.649;5.014;252
06:24;114.74;49.46;7.606;3.345;279
06:30;110.79;51.21;8.424;3.893;381
06:36;107.82;52.67;8.766;4.612;396
06:42;106.89;53.03;6.282;3.240;507
06:48;104.09;54.51;8.311;4.813;544
06:54;102.68;55.28;5.741;3.150;679
07:00;99.98;56.69;5.997;3.546;687
07:06;99.11;57.28;5.897;3.458;696
07:12;94.80;59.81;7.877;5.654;806
07:18;86.20;65.80;13.972;16.920;910
07:24;71.50;79.46;17.526;30.292;933
07:30;57.60;98.44;17.413;34.971;986
07:36;47.42;119.66;16.115;43.481;1034
07:42;42.88;132.37;15.607;45.779;1064
07:48;41.01;138.34;13.694;45.933;1013
07:54;41.69;136.09;13.378;38.722;1043
08:00;39.12;145.02;12.580;44.398;1019
