heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;106.12;33.23;15.048;5.038;34
00:06;127.40;28.00;0.000;0.000;1
00:12;100.33;35.30;11.481;3.961;12
00:18;116.37;30.45;17.054;4.782;32
00:24;111.50;31.81;19.070;5.822;45
00:30;109.15;32.48;16.793;5.178;64
00:36;108.22;32.73;16.786;5.025;71
00:42;107.81;32.81;17.629;5.695;73
00:48;108.99;32.41;15.886;4.886;74
00:54;108.98;32.41;17.208;5.461;70
01:00;108.08;32.64;15.952;5.137;69
01:06;108.59;32.53;16.557;5.340;71
01:12;106.29;33.20;18.507;6.022;60
01:18;106.34;33.20;18.760;6.212;61
01:24;107.50;32.85;18.391;5.920;58
01:30;109.85;32.16;21.770;8.283;51
01:36;109.54;32.27;21.223;7.863;56
01:42;109.61;32.23;22.528;8.318;62
01:48;106.50;33.14;21.704;8.225;61
01:54;107.10;33.01;20.607;6.658;53
02:00;107.75;32.80;19.729;6.367;53
02:06;107.27;32.95;20.482;6.957;55
02:12;105.72;33.49;19.890;6.777;55
02:18;103.99;34.06;19.258;6.801;50
02:24;104.56;33.91;19.897;6.889;48
02:30;104.49;33.89;18.963;6.621;40
02:36;99.77;35.45;17.567;6.859;43
02:42;96.33;36.78;15.843;6.453;38
02:48;99.60;35.49;14.222;5.474;48
02:54;102.47;34.54;12.069;4.788;54
03:00;104.91;33.75;13.516;5.122;60
03:06;105.89;33.43;13.211;4.987;61
03:12;105.80;33.46;13.109;4.607;64
03:18;105.15;33.66;13.847;4.916;63
03:24;103.73;34.09;15.539;6.008;57
03:30;106.45;33.20;17.650;6.017;46
03:36;106.42;33.20;17.679;5.829;40
03:42;106.32;33.22;18.588;6.045;41
03:48;107.93;32.75;17.607;5.660;40
03:54;107.60;32.86;19.082;5.969;43
04:00;107.11;32.98;18.758;6.141;52
04:06;107.90;32.77;16.683;5.123;52
04:12;105.92;33.33;18.343;5.956;64
04:18;110.41;32.03;15.058;4.833;78
04:24;109.58;32.26;13.677;4.579;76
04:30;111.90;31.62;13.939;4.374;77
04:36;114.67;30.87;15.363;4.666;84
04:42;115.03;30.80;16.383;5.574;88
04:48;114.96;30.78;16.934;5.882;94
04:54;118.05;29.94;14.898;4.110;103
05:00;116.36;30.36;16.193;4.737;106
05:06;113.60;31.07;16.370;4.864;110
05:12;113.23;31.22;14.023;3.879;109
05:18;110.90;31.87;14.447;4.201;114
05:24;108.88;32.46;13.190;4.089;112
05:30;108.09;32.71;14.346;4.958;127
05:36;110.30;32.00;13.526;4.391;123
05:42;111.83;31.59;11.514;3.540;150
05:48;108.87;32.49;10.810;3.456;172
05:54;109.27;32.37;12.441;4.026;162
06:00;110.14;32.10;10.559;3.149;179
06:06;108.33;32.70;11.670;3.753;265
06:12;110.51;31.98;9.271;2.748;340
06:18;107.12;32.97;7.392;2.324;281
06:24;106.68;33.13;8.299;2.846;306
06:30;107.30;32.96;7.096;2.273;348
06:36;103.72;34.04;7.657;2.536;340
06:42;99.54;35.50;5.648;2.051;458
06:48;95.66;37.03;8.117;3.698;513
06:54;91.70;38.58;7.731;3.374;581
07:00;83.20;42.51;8.594;5.048;658
07:06;74.51;47.47;14.994;12.817;649
07:12;60.21;58.68;14.611;14.242;661
07:18;52.66;67.21;10.128;11.413;740
07:24;48.70;72.54;6.126;8.104;752
07:30;46.94;75.26;5.892;8.396;790
07:36;45.88;77.04;5.175;9.818;751
07:42;44.58;79.30;4.416;8.751;770
07:48;44.82;78.86;3.450;6.190;807
07:54;44.76;78.95;4.563;12.545;769
08:00;44.30;79.75;4.689;11.922;823
08:06;44.18;80.04;4.452;14.786;816
08:12;44.06;80.32;5.991;22.819;799
08:18;43.41;81.43;6.024;28.483;837
08:24;42.82;82.67;7.870;45.465;839
08:30;43.35;81.53;8.888;43.470;898
08:36;43.56;81.14;12.870;65.786;902
08:42;42.93;82.36;11.532;60.103;895
08:48;43.71;80.91;12.940;64.369;941
08:54;43.86;80.59;11.140;68.498;991
09:00;44.68;79.09;12.509;64.882;936
09:06;46.10;76.75;12.610;75.222;984
09:12;46.86;75.50;14.972;67.699;1064
