heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;104.56;34.37;16.463;5.624;33
00:06;106.00;33.97;18.600;6.000;2
00:12;98.17;36.61;20.535;7.690;9
00:18;103.43;34.75;13.858;4.698;35
00:24;103.55;34.58;13.932;4.596;38
00:30;100.18;35.79;13.948;4.958;46
00:36;101.44;35.38;14.371;5.007;51
00:42;102.41;35.06;13.518;4.925;52
00:48;102.99;34.89;13.707;4.911;57
00:54;100.76;35.60;14.136;5.312;57
01:00;101.53;35.37;14.617;5.131;55
01:06;102.83;34.87;14.164;5.010;57
01:12;103.86;34.54;15.254;5.362;52
01:18;103.35;34.74;15.447;5.399;48
01:24;102.53;35.02;15.319;5.297;47
01:30;103.90;34.54;15.807;5.475;34
01:36;103.07;34.88;16.304;5.721;34
01:42;102.11;35.15;15.881;5.840;30
01:48;102.31;35.08;16.391;6.030;30
01:54;98.34;36.51;15.578;6.038;31
02:00;95.79;37.48;13.005;5.333;34
02:06;97.74;36.67;11.716;4.321;37
02:12;100.56;35.65;13.339;4.778;36
02:18;99.11;36.21;13.099;4.700;38
02:24;97.90;36.66;11.941;4.296;40
02:30;97.85;36.59;13.338;4.748;38
02:36;103.30;34.69;15.801;5.252;34
02:42;104.24;34.38;16.214;5.775;39
02:48;104.01;34.49;17.494;6.251;42
02:54;99.86;35.91;14.619;5.501;45
03:00;100.76;35.65;11.059;3.826;58
03:06;100.75;35.73;12.781;4.362;58
03:12;100.60;35.74;15.516;5.464;59
03:18;101.29;35.50;16.025;5.586;56
03:24;100.88;35.64;15.906;5.552;56
03:30;99.84;35.98;16.756;6.101;59
03:36;100.96;35.51;17.918;6.507;42
03:42;101.57;35.23;18.372;6.578;29
03:48;97.29;36.76;19.224;9.753;28
03:54;95.04;37.69;11.910;4.425;33
04:00;94.06;38.06;11.988;4.567;35
04:06;96.60;37.15;12.024;4.536;38
04:12;97.05;36.97;10.573;4.037;42
04:18;96.20;37.31;13.369;5.516;54
04:24;97.27;36.91;12.077;4.559;53
04:30;96.12;37.27;13.031;5.192;53
04:36;95.32;37.69;12.570;4.975;72
04:42;93.02;38.57;13.280;5.921;75
04:48;91.85;39.06;11.685;5.498;74
04:54;94.95;37.80;14.092;6.019;80
05:00;96.57;37.17;15.318;6.177;76
05:06;96.63;37.15;15.372;6.112;75
05:12;97.81;36.73;16.351;6.770;73
05:18;98.90;36.34;15.274;4.910;69
05:24;99.60;36.15;18.155;7.046;74
05:30;98.46;36.46;17.142;7.965;86
05:36;98.75;36.29;15.059;6.881;93
05:42;100.11;35.85;13.874;5.321;95
05:48;102.46;35.03;14.373;5.312;91
05:54;104.68;34.26;14.896;5.398;87
06:00;104.81;34.21;13.202;4.348;85
06:06;102.09;35.12;13.962;4.983;85
06:12;109.81;32.65;11.842;3.605;150
06:18;106.47;33.67;15.774;5.524;141
06:24;102.44;35.01;11.703;3.965;131
06:30;98.72;36.32;13.388;5.471;151
06:36;99.23;36.21;11.729;5.051;168
06:42;95.52;37.54;8.849;3.760;189
06:48;94.91;37.77;7.264;2.978;229
06:54;92.66;38.82;9.054;4.092;243
07:00;90.23;39.77;13.580;31.190;229
07:06;85.72;41.86;13.528;89.709;223
07:12;76.26;47.06;17.172;97.814;257
07:18;59.83;60.00;17.158;96.000;237
07:24;50.46;71.05;20.832;105.411;251
07:30;42.95;83.59;21.253;129.815;311
07:36;43.45;82.60;20.824;131.109;305
07:42;40.86;87.75;21.059;136.568;301
07:48;35.65;100.77;18.520;135.805;278
07:54;35.09;102.24;20.659;130.865;327
08:00;36.29;98.91;20.517;127.806;317
08:06;36.30;98.86;20.806;116.497;322
08:12;34.31;104.45;21.108;88.823;364
08:18;32.93;109.00;20.007;96.602;368
08:24;31.40;114.38;19.261;105.533;399
08:30;31.01;115.73;18.751;96.807;433
08:36;28.80;124.56;20.347;90.329;445
08:42;27.96;128.25;18.891;104.803;475
08:48;26.36;136.08;14.339;99.257;464
08:54;27.11;132.41;17.214;100.267;449
09:00;31.39;114.42;22.494;137.115;473
