heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;76.10;63.72;9.206;7.906;40
00:06;103.70;47.00;0.000;0.000;1
00:12;72.63;66.72;10.305;9.092;5
00:18;75.11;64.59;13.064;13.375;39
00:24;73.83;65.72;11.841;11.908;49
00:30;73.58;65.93;10.626;11.368;61
00:36;73.80;65.72;9.921;10.717;72
00:42;74.90;64.75;10.379;10.989;69
00:48;74.62;65.01;9.292;8.516;66
00:54;76.40;63.45;10.867;9.351;60
01:00;74.99;64.68;10.732;9.417;58
01:06;75.68;64.01;10.888;9.489;53
01:12;74.23;65.26;10.526;9.205;53
01:18;73.91;65.60;11.050;9.597;44
01:24;75.26;64.43;11.959;9.093;46
01:30;75.44;64.34;12.099;9.213;51
01:36;72.57;66.87;9.481;7.548;45
01:42;71.88;67.53;7.819;7.370;48
01:48;72.22;67.20;8.920;7.998;41
01:54;72.66;66.78;8.619;7.518;38
02:00;74.86;64.85;10.268;8.519;35
02:06;74.74;64.91;9.912;8.301;34
02:12;73.72;65.84;10.009;8.418;36
02:18;74.01;65.56;9.718;8.230;37
02:24;71.27;68.09;8.947;9.154;32
02:30;72.80;66.68;9.016;9.274;31
02:36;72.50;66.87;8.371;8.606;29
02:42;73.43;66.10;9.024;8.975;28
02:48;75.11;64.66;10.707;10.002;27
02:54;75.06;64.70;10.362;9.730;27
03:00;75.70;64.18;9.901;8.194;22
03:06;77.24;62.84;12.417;9.703;21
03:12;81.22;59.76;14.021;11.048;23
03:18;81.74;59.37;12.425;8.918;23
03:24;82.34;59.00;11.909;8.033;20
03:30;80.27;60.54;11.213;7.761;21
03:36;80.38;60.38;11.542;8.001;26
03:42;78.39;61.91;9.159;6.695;28
03:48;75.41;64.32;8.157;7.042;29
03:54;74.93;64.79;8.042;6.652;35
04:00;74.18;65.41;7.302;5.975;32
04:06;73.42;66.09;7.964;6.799;28
04:12;74.03;65.58;7.512;6.476;26
04:18;77.78;62.38;11.018;7.812;29
04:24;79.37;61.16;11.406;8.059;33
04:30;78.54;61.75;10.368;7.416;38
04:36;77.63;62.53;10.015;7.369;47
04:42;78.31;61.99;8.805;6.186;65
04:48;79.99;60.65;7.624;5.921;72
04:54;80.30;60.45;6.923;5.360;76
05:00;81.19;59.79;7.357;5.897;77
05:06;83.45;58.10;8.316;6.265;87
05:12;85.67;56.62;7.700;5.338;86
05:18;85.75;56.57;8.855;5.990;92
05:24;83.29;58.24;8.895;6.382;87
05:30;80.45;60.29;10.319;7.856;88
05:36;77.12;62.95;8.307;6.873;88
05:42;78.42;61.88;10.516;7.907;82
05:48;79.89;60.75;10.228;7.613;89
05:54;79.18;61.32;9.984;7.281;94
06:00;78.81;61.60;10.166;8.239;100
06:06;80.10;60.60;9.686;7.271;95
06:12;79.53;61.00;10.007;7.627;99
06:18;83.73;57.91;8.089;5.684;162
06:24;75.80;64.04;7.006;5.738;164
06:30;74.45;65.24;7.948;7.134;201
