heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;76.56;93.91;9.539;11.344;26
00:06;87.30;82.00;0.000;0.000;1
00:12;74.70;96.11;9.241;11.842;6
00:18;80.10;89.76;14.081;17.357;18
00:24;79.56;90.29;14.393;17.379;26
00:30;78.47;91.50;13.944;16.595;29
00:36;75.48;95.20;12.890;16.227;31
00:42;77.68;92.56;11.384;14.497;38
00:48;78.96;91.01;9.956;11.550;39
00:54;81.97;87.70;11.631;13.929;32
01:00;82.33;87.27;11.419;12.983;28
01:06;79.98;89.89;14.603;33.996;31
01:12;80.74;88.98;10.197;12.430;29
01:18;80.60;89.11;10.399;12.548;24
01:24;78.70;91.26;18.258;103.299;25
01:30;83.15;86.34;11.056;12.256;27
01:36;81.38;88.13;11.569;14.030;24
01:42;76.68;93.58;16.652;63.057;25
01:48;79.89;89.82;13.211;14.716;23
01:54;77.76;92.22;15.491;21.437;21
02:00;79.68;90.09;15.271;16.742;21
02:06;78.68;91.26;15.020;16.413;20
02:12;76.84;93.53;16.770;19.708;19
02:18;78.27;91.84;16.694;19.439;17
02:24;76.70;93.75;18.938;26.402;15
02:30;79.05;90.90;17.105;20.407;15
02:36;73.73;97.54;13.707;17.534;13
02:42;74.22;96.93;13.542;17.409;13
02:48;78.17;92.06;14.435;16.441;13
02:54;76.99;93.35;9.437;10.161;11
03:00;73.88;97.35;9.511;12.136;10
03:06;73.99;97.14;9.521;12.182;10
03:12;78.76;91.34;12.604;15.164;9
03:18;73.97;97.18;11.392;14.326;9
03:24;74.66;96.27;10.444;13.156;11
03:30;75.59;95.05;10.273;13.037;12
03:36;74.92;95.98;11.624;17.118;11
03:42;74.16;96.96;10.875;15.817;13
03:48;76.45;94.06;13.731;17.207;15
03:54;77.27;93.04;13.833;17.433;12
04:00;72.47;99.18;18.503;35.408;12
04:06;75.18;95.54;15.848;20.288;10
04:12;71.89;100.01;13.735;15.937;11
04:18;77.21;93.21;20.724;24.938;11
04:24;75.39;95.41;16.288;19.956;14
04:30;79.03;91.02;13.992;14.694;19
04:36;79.83;90.09;13.197;12.848;23
04:42;79.22;90.80;13.249;14.497;31
04:48;80.21;89.61;14.170;15.721;31
04:54;78.54;91.51;12.135;15.888;33
05:00;81.08;88.68;11.677;13.307;36
05:06;75.81;94.87;15.696;73.274;48
05:12;80.32;89.51;12.523;15.008;49
05:18;78.82;91.16;13.446;16.829;48
05:24;79.75;90.11;12.368;14.708;50
05:30;78.18;91.94;13.894;18.755;49
05:36;78.75;91.25;11.447;15.871;47
05:42;79.92;89.91;12.471;15.548;56
05:48;80.65;89.09;12.542;16.544;57
05:54;81.50;88.19;14.104;18.081;64
06:00;80.31;89.55;14.965;33.043;68
06:06;79.90;89.99;15.964;33.211;68
06:12;79.85;90.06;15.497;33.718;71
06:18;85.03;84.63;9.840;10.714;106
06:24;77.93;92.24;10.405;13.054;118
06:30;73.60;97.69;9.278;13.656;112
06:36;74.80;96.13;14.469;16.771;125
06:42;71.83;100.08;11.023;16.569;132
06:48;77.07;93.28;10.849;18.259;156
06:54;77.08;93.23;12.437;20.332;169
07:00;74.37;96.73;11.833;20.356;168
07:06;76.66;93.72;12.422;16.990;162
07:12;75.67;94.98;11.324;14.015;164
07:18;73.26;98.10;11.373;16.935;189
07:24;71.81;100.09;10.849;18.159;161
07:30;72.60;99.03;12.087;25.902;183
07:36;69.95;102.75;8.899;13.515;195
07:42;67.47;106.49;10.566;35.040;202
07:48;67.77;106.07;13.710;50.647;221
07:54;64.68;111.16;16.328;74.979;205
08:00;62.07;115.72;15.785;103.257;209
08:06;63.28;113.54;16.321;59.463;191
08:12;64.32;111.75;19.098;108.927;197
08:18;63.56;113.14;16.367;77.552;197
08:24;63.11;113.81;17.228;92.185;198
08:30;64.03;112.23;14.190;69.159;205
08:36;65.77;109.23;14.953;43.400;217
08:42;63.91;112.40;9.737;22.259;244
08:48;63.53;113.06;10.998;24.422;274
08:54;60.44;118.93;12.551;36.088;246
09:00;61.80;116.33;13.767;38.718;254
09:06;64.37;111.65;10.228;22.489;219
09:12;66.05;108.78;12.194;28.838;242
09:18;65.45;109.80;11.201;26.680;272
09:24;66.85;107.45;10.048;21.615;255
09:30;67.03;107.26;10.868;31.701;300
09:36;64.66;111.03;11.394;43.057;316
09:42;67.45;106.50;13.700;77.809;291
09:48;67.80;106.02;12.475;46.615;346
09:54;64.04;112.24;12.392;79.552;273
10:00;63.76;112.74;15.182;126.578;268
10:06;67.28;106.79;13.641;148.146;278
10:12;67.70;106.18;14.159;151.258;263
10:18;67.80;106.07;13.760;226.262;245
10:24;67.92;105.72;13.689;204.061;253
10:30;67.05;107.22;12.381;70.164;262
10:36;65.60;109.49;13.400;95.338;237
10:42;67.08;107.17;17.044;98.971;266
10:48;68.26;105.29;15.496;91.535;266
10:54;65.77;109.28;18.498;108.935;219
11:00;66.51;108.03;18.758;98.026;234
11:06;67.49;106.51;17.069;46.876;213
11:12;68.14;105.48;13.858;48.425;204
11:18;67.89;105.92;10.488;23.263;203
11:24;65.99;108.88;12.744;35.261;208
11:30;70.80;101.57;12.855;29.790;184
11:36;71.81;100.14;11.338;23.144;212
11:42;70.94;101.26;11.260;23.711;201
11:48;70.08;102.56;13.062;54.229;200
11:54;68.72;104.60;14.033;68.249;200
12:00;69.43;103.47;13.855;122.644;202
12:06;68.45;104.94;13.587;121.192;210
12:12;68.67;104.73;13.763;113.430;211
12:18;69.16;103.91;13.981;107.324;236
12:24;68.44;105.00;14.871;107.595;206
12:30;70.42;102.02;16.461;117.249;216
12:36;70.08;102.54;14.342;138.070;199
12:42;69.67;103.11;12.979;83.980;200
12:48;70.70;101.60;13.531;65.515;191
12:54;69.59;103.31;15.722;117.553;199
13:00;70.63;101.78;11.783;44.180;178
13:06;72.23;99.49;13.977;62.647;193
13:12;70.99;101.20;13.518;105.942;203
13:18;70.64;101.76;13.034;119.271;192
13:24;70.45;101.98;13.119;150.951;174
13:30;69.72;103.05;12.529;128.817;184
13:36;71.31;100.77;11.843;60.640;195
13:42;69.19;103.92;10.139;54.391;222
13:48;68.94;104.22;10.604;20.932;211
13:54;69.24;103.84;10.534;20.147;205
14:00;70.34;102.22;9.098;13.719;210
14:06;71.86;99.99;9.283;12.509;212
14:12;69.93;102.78;7.602;12.536;217
14:18;71.68;100.30;11.302;17.068;200
14:24;70.65;101.66;9.311;13.832;206
14:30;72.12;99.65;9.576;14.258;217
14:36;70.11;102.51;10.429;18.415;206
14:42;69.71;103.07;11.041;28.395;201
14:48;70.61;101.81;12.615;47.364;204
14:54;70.97;101.28;12.000;104.361;233
15:00;70.63;101.75;12.851;171.408;213
15:06;72.19;99.68;11.672;69.164;205
15:12;72.06;99.71;13.170;124.541;196
15:18;70.70;101.73;13.900;141.940;192
15:24;71.24;100.85;13.783;118.297;186
15:30;71.28;100.84;12.303;121.792;216
15:36;71.14;100.99;11.392;115.003;218
15:42;69.85;102.91;11.311;97.145;188
15:48;69.30;103.72;12.207;92.119;185
15:54;69.01;104.19;12.943;86.432;196
16:00;69.48;103.45;14.491;63.401;192
16:06;72.04;99.75;13.312;32.615;167
16:12;68.44;104.97;14.748;39.054;188
16:18;67.09;107.15;13.501;35.269;188
16:24;65.05;110.50;13.571;36.719;184
16:30;68.36;105.16;17.273;47.682;197
16:36;67.18;106.95;15.887;38.692;198
16:42;66.89;107.40;17.491;70.511;213
16:48;59.96;119.85;17.955;70.789;221
16:54;56.63;126.88;18.810;113.947;232
17:00;58.99;121.79;21.658;147.127;217
17:06;53.73;133.77;21.697;156.783;218
17:12;50.73;141.74;20.535;140.388;218
17:18;47.34;151.82;21.570;155.621;221
17:24;45.52;157.87;23.638;195.112;213
17:30;47.77;150.47;26.932;220.476;203
17:36;46.27;155.18;25.196;148.672;208
17:42;42.78;167.94;24.070;160.385;222
17:48;40.21;178.60;25.379;209.872;243
17:54;37.78;190.28;24.477;232.174;254
18:00;37.90;189.71;23.806;209.307;242
18:06;39.45;182.15;25.460;212.855;245
18:12;39.18;183.36;23.771;204.491;251
18:18;40.73;176.37;24.176;196.773;265
18:24;39.71;180.84;23.546;198.031;277
18:30;39.55;181.64;25.497;255.985;275
18:36;40.53;177.25;25.417;230.762;267
18:42;41.23;174.36;27.216;241.967;261
18:48;41.89;171.65;24.164;195.679;273
18:54;41.74;172.22;26.073;249.750;282
19:00;43.46;165.46;24.802;253.719;302
19:06;43.87;163.74;25.762;301.493;292
19:12;45.69;157.40;25.524;274.746;276
19:18;46.35;155.10;24.249;243.387;267
19:24;50.17;143.15;26.768;298.444;253
19:30;51.28;140.16;25.890;211.039;241
19:36;52.63;136.59;23.145;211.658;199
19:42;55.54;129.44;22.601;169.361;190
19:48;60.99;117.83;20.625;126.298;176
19:54;64.84;110.83;21.741;138.773;173
20:00;66.52;108.09;20.029;129.884;169
20:06;70.45;102.06;17.015;162.183;173
20:12;71.29;100.83;15.042;100.434;186
20:18;73.45;97.77;15.586;118.599;183
20:24;70.66;101.71;14.644;83.052;171
20:30;72.59;98.99;14.789;83.437;137
20:36;76.45;94.03;14.022;112.969;141
20:42;75.92;94.62;15.427;54.481;146
20:48;72.53;99.05;13.630;40.321;136
20:54;76.11;94.46;10.737;14.852;132
21:00;76.22;94.26;11.451;14.825;132
21:06;75.31;95.33;12.099;15.531;115
21:12;75.30;95.42;11.926;17.422;113
21:18;73.75;97.43;9.392;13.303;106
21:24;73.97;97.11;10.314;14.625;112
21:30;74.30;96.68;10.546;16.180;99
21:36;74.91;95.92;10.242;15.409;99
21:42;74.82;96.07;10.683;15.007;90
21:48;74.47;96.52;11.028;15.547;83
21:54;75.39;95.31;12.130;15.271;80
22:00;74.18;96.93;13.885;17.957;81
22:06;74.58;96.34;14.196;19.989;75
22:12;75.27;95.44;14.310;20.704;80
22:18;75.51;95.20;18.970;239.804;77
22:24;73.63;97.63;19.080;175.271;79
22:30;74.18;96.89;19.083;177.166;84
22:36;77.38;92.94;18.543;175.519;77
22:42;75.49;95.28;18.345;178.922;73
22:48;74.95;95.91;17.399;178.832;70
22:54;76.92;93.52;17.024;177.274;72
23:00;77.94;92.30;12.944;15.503;67
23:06;76.75;93.65;12.629;16.615;72
23:12;75.83;94.75;13.424;20.915;70
23:18;79.22;90.64;15.033;24.893;63
23:24;77.85;92.26;11.801;22.788;65
23:30;78.43;91.53;14.569;24.938;68
23:36;77.59;92.59;11.981;14.748;62
23:42;78.14;92.05;13.118;18.162;70
23:48;79.96;89.86;11.292;13.886;61
23:54;79.32;90.63;10.790;13.023;55
