heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;92.29;82.18;10.398;9.273;59
00:06;87.80;86.00;0.000;0.000;1
00:12;103.70;72.99;19.658;14.337;3
00:18;86.59;87.53;20.449;24.964;30
00:24;83.52;90.87;19.614;33.596;38
00:30;83.74;90.70;17.146;21.349;53
00:36;86.49;87.76;16.857;20.556;61
00:42;85.34;88.94;17.145;21.348;69
00:48;88.15;86.06;14.453;14.591;76
00:54;89.12;85.11;15.982;16.312;70
01:00;88.01;86.22;18.434;19.804;72
01:06;89.63;84.62;16.799;16.720;65
01:12;88.38;85.83;17.213;16.977;56
01:18;88.99;85.24;18.098;17.762;50
01:24;86.85;87.39;18.619;18.719;46
01:30;86.94;87.27;19.165;20.660;45
01:36;88.65;85.57;18.187;19.538;43
01:42;85.79;88.45;17.475;20.400;37
01:48;85.76;88.47;19.058;22.025;32
01:54;85.01;89.25;16.199;18.932;31
02:00;86.50;87.69;16.573;18.228;29
02:06;84.51;89.86;14.675;17.600;28
02:12;86.28;87.95;17.635;19.876;25
02:18;87.01;87.36;15.663;17.030;22
02:24;88.65;85.64;14.858;15.649;20
02:30;88.82;85.51;15.834;16.025;21
02:36;89.44;84.72;15.872;14.685;21
02:42;89.26;84.97;16.378;16.738;21
02:48;88.23;85.94;15.586;16.299;20
02:54;88.45;85.70;16.573;17.598;24
03:00;94.88;79.90;16.887;16.432;27
03:06;92.16;82.31;13.970;13.381;30
03:12;89.07;85.20;14.474;15.185;31
03:18;87.28;86.93;15.118;16.412;34
03:24;87.20;86.97;15.521;16.804;31
03:30;85.41;88.76;14.896;16.489;30
03:36;81.23;93.35;11.804;14.613;31
03:42;77.77;97.43;14.746;19.751;25
03:48;80.88;93.85;14.788;19.081;25
03:54;84.27;89.99;16.309;19.940;32
04:00;83.82;90.46;18.208;24.724;41
04:06;82.19;92.25;17.841;24.151;52
04:12;82.05;92.44;19.782;28.192;52
04:18;82.94;91.47;20.945;31.373;49
04:24;83.87;90.45;20.796;30.356;48
04:30;85.87;88.41;18.010;24.728;48
04:36;86.15;88.10;20.162;27.672;34
04:42;90.47;83.81;24.229;41.904;40
04:48;93.64;81.02;20.872;18.333;37
04:54;92.80;81.71;19.699;16.745;51
05:00;91.11;83.17;19.140;17.137;60
05:06;87.90;86.23;18.681;20.315;69
05:12;86.65;87.52;15.529;18.393;90
05:18;86.28;87.85;14.349;17.305;95
05:24;84.85;89.33;12.553;16.424;106
05:30;86.77;87.41;14.409;18.050;97
05:36;85.43;88.72;14.909;19.563;99
05:42;87.56;86.63;17.073;21.119;90
05:48;87.11;87.01;14.965;18.668;84
05:54;90.27;83.96;14.084;13.538;80
06:00;91.72;82.63;15.025;13.790;93
06:06;91.85;82.48;13.916;12.989;89
06:12;92.40;82.00;14.546;12.983;100
06:18;94.90;79.89;14.999;12.492;97
06:24;94.65;80.15;13.080;10.587;111
06:30;90.58;83.72;14.188;16.406;138
06:36;89.10;85.10;11.877;14.798;144
06:42;87.22;86.96;11.349;13.071;166
06:48;84.02;90.22;11.732;12.855;169
06:54;83.24;91.09;11.060;12.456;178
07:00;83.59;90.69;9.929;11.495;201
07:06;82.82;91.60;11.823;13.530;203
07:12;81.35;93.20;11.600;26.456;220
07:18;80.69;93.96;14.098;58.269;223
07:24;81.44;93.13;14.113;99.430;212
07:30;78.24;96.94;15.319;160.985;212
07:36;77.39;97.99;15.681;114.998;213
07:42;75.42;100.51;16.554;190.231;208
07:48;72.33;104.78;19.214;306.932;215
07:54;72.34;104.94;21.068;306.605;216
08:00;70.46;107.55;22.068;394.634;222
08:06;71.86;105.49;23.335;333.105;221
08:12;70.01;108.33;23.278;318.608;220
08:18;71.30;106.40;23.502;261.054;223
08:24;69.82;108.73;22.481;224.600;223
08:30;69.51;109.13;22.597;167.647;229
08:36;71.25;106.47;22.946;158.374;250
08:42;69.60;109.01;22.451;199.604;230
08:48;69.10;109.72;23.078;244.903;240
08:54;70.24;108.04;22.766;276.250;256
09:00;71.46;106.09;23.506;287.107;251
09:06;72.84;104.14;22.693;313.146;245
09:12;75.80;100.07;21.228;299.457;243
09:18;78.00;97.31;20.364;299.094;247
09:24;78.02;97.24;19.168;338.249;232
09:30;78.73;96.29;16.883;247.506;246
09:36;78.93;96.01;15.289;213.200;216
09:42;77.75;97.57;18.063;230.127;230
09:48;75.70;100.24;17.488;245.924;252
09:54;77.95;97.28;16.525;155.615;247
10:00;78.75;96.29;15.508;78.491;241
10:06;78.90;96.12;16.347;82.922;229
10:12;79.14;95.87;13.800;86.288;235
10:18;81.01;93.64;13.957;90.215;239
10:24;79.35;95.54;14.778;65.136;236
10:30;79.88;95.01;14.708;93.726;224
10:36;80.19;94.56;13.301;24.144;221
10:42;79.99;94.89;9.659;12.407;218
10:48;80.79;93.86;10.115;11.454;234
10:54;80.85;93.85;7.641;9.405;220
11:00;81.75;92.79;9.517;10.892;230
11:06;80.01;94.77;11.388;23.937;250
11:12;77.77;97.50;10.375;16.480;242
11:18;79.84;94.95;12.879;46.819;233
11:24;80.59;94.19;11.232;16.158;244
11:30;79.67;95.19;10.098;12.761;261
11:36;79.87;94.94;9.278;13.228;276
11:42;82.16;92.31;9.800;12.010;279
11:48;81.39;93.15;7.598;8.988;280
11:54;82.13;92.41;9.618;12.698;274
12:00;82.06;92.43;11.648;14.077;292
12:06;83.69;90.63;9.144;9.874;268
12:12;82.47;91.92;9.540;11.337;285
12:18;79.68;95.17;9.194;12.141;273
12:24;79.18;95.75;10.249;13.965;264
12:30;81.52;93.02;10.037;12.763;255
12:36;83.51;90.81;10.171;11.812;264
12:42;81.19;93.40;10.405;12.030;229
12:48;82.58;91.80;9.241;10.830;233
12:54;79.90;94.93;11.054;14.882;224
13:00;81.30;93.31;10.825;13.435;229
13:06;81.25;93.36;12.531;16.210;223
13:12;82.17;92.39;11.354;13.821;219
13:18;82.77;91.61;10.180;12.079;240
13:24;81.53;92.98;9.188;11.767;224
13:30;80.90;93.68;10.474;13.172;223
13:36;80.63;94.03;11.705;15.230;238
13:42;82.21;92.30;10.140;12.800;245
13:48;80.40;94.37;12.384;16.567;220
13:54;80.21;94.59;11.407;22.331;224
14:00;79.92;94.93;11.971;20.819;260
14:06;80.37;94.47;13.350;23.442;251
14:12;80.92;93.68;10.896;16.518;246
14:18;81.76;92.73;10.204;12.677;249
14:24;82.95;91.46;9.839;11.279;256
14:30;79.86;94.96;10.675;14.708;266
14:36;79.72;95.15;9.770;11.301;287
14:42;81.42;93.12;10.006;11.635;292
14:48;81.65;92.89;10.029;12.097;290
14:54;82.97;91.36;7.945;8.564;264
15:00;80.78;93.87;9.085;10.745;293
15:06;81.15;93.46;8.787;10.641;265
15:12;83.25;91.06;10.215;10.652;279
15:18;79.90;94.92;8.352;9.791;276
15:24;78.94;96.06;10.280;23.195;294
15:30;80.04;94.76;11.913;28.243;274
15:36;77.89;97.40;12.654;147.416;275
15:42;77.05;98.41;11.783;181.821;312
15:48;78.33;96.86;12.392;182.031;322
15:54;78.01;97.21;13.527;267.733;274
16:00;76.28;99.35;12.786;267.552;287
16:06;78.62;96.43;14.854;240.801;268
16:12;78.36;96.76;9.943;13.371;295
16:18;79.85;95.01;8.976;11.763;293
16:24;79.46;95.49;12.082;21.429;277
16:30;78.81;96.28;15.458;66.133;273
16:36;76.70;98.84;14.201;45.968;291
16:42;74.03;102.47;16.210;75.237;284
16:48;72.97;103.89;18.445;112.776;313
16:54;69.46;109.23;18.860;115.253;306
17:00;67.84;111.82;21.172;160.187;294
17:06;65.88;115.00;23.954;218.998;281
17:12;64.04;118.42;24.669;292.505;268
17:18;59.87;126.66;25.231;288.566;310
17:24;57.82;131.14;26.482;317.332;303
17:30;56.92;133.29;26.086;358.025;302
17:36;57.60;131.65;27.286;393.230;325
17:42;57.44;132.04;27.656;396.416;313
17:48;59.13;128.17;28.407;315.198;318
17:54;58.90;128.74;28.758;309.433;308
18:00;57.34;132.27;26.579;307.804;295
18:06;58.42;129.71;27.512;271.165;285
18:12;59.08;128.33;26.393;265.191;302
18:18;59.77;126.83;27.177;288.259;286
18:24;62.27;121.76;26.084;254.235;278
18:30;62.80;120.69;24.853;202.073;285
18:36;63.56;119.31;24.434;146.168;271
18:42;70.05;108.35;22.312;122.775;286
18:48;71.81;105.54;21.088;116.379;267
18:54;76.19;99.58;18.194;58.073;272
19:00;79.57;95.37;13.607;27.821;251
19:06;79.89;94.98;10.131;11.966;228
19:12;79.87;94.95;11.429;14.907;242
19:18;81.21;93.36;10.569;12.115;219
19:24;81.43;93.17;12.589;16.675;233
19:30;80.25;94.43;10.833;14.255;220
19:36;80.95;93.71;10.842;13.170;217
19:42;81.70;92.91;8.868;11.785;226
19:48;80.88;93.77;11.880;16.512;208
19:54;80.93;93.74;11.242;13.301;178
20:00;81.92;92.60;12.399;13.719;188
20:06;86.34;87.91;13.414;13.353;170
20:12;86.76;87.48;12.165;13.184;176
20:18;88.38;85.87;14.165;14.847;180
20:24;87.77;86.48;14.856;15.318;187
20:30;86.58;87.54;15.354;19.698;180
20:36;85.72;88.47;13.080;14.208;156
20:42;84.85;89.34;13.508;14.918;158
