heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;94.35;47.95;14.862;7.820;51
00:06;86.50;52.32;10.100;6.000;2
00:12;78.22;57.51;19.655;23.197;11
00:18;85.86;52.58;16.107;9.083;45
00:24;87.39;51.64;13.040;8.029;59
00:30;84.80;53.23;12.833;8.675;70
00:36;84.25;53.57;13.167;8.916;75
00:42;82.92;54.44;13.736;9.559;83
00:48;83.35;54.19;12.470;8.554;86
00:54;86.09;52.45;13.891;8.337;73
01:00;85.72;52.69;16.038;10.414;70
01:06;86.77;52.02;14.798;9.128;72
01:12;86.38;52.25;14.207;8.778;69
01:18;87.57;51.50;16.147;9.756;67
01:24;84.07;53.61;14.164;9.611;69
01:30;83.42;54.09;12.828;8.826;66
01:36;83.72;53.87;13.038;8.785;66
01:42;87.50;51.52;17.195;10.308;57
01:48;87.32;51.65;18.087;11.459;52
01:54;87.05;51.83;18.404;11.237;49
02:00;90.39;49.94;19.543;11.697;42
02:06;91.24;49.47;21.691;12.752;38
02:12;93.24;48.38;22.278;12.749;39
02:18;91.23;49.44;19.231;10.604;31
02:24;91.32;49.43;17.995;10.192;31
02:30;92.45;48.77;17.675;9.715;36
02:36;93.13;48.46;16.913;9.256;32
02:42;90.81;49.58;15.512;8.946;35
02:48;88.15;51.14;15.661;9.375;35
02:54;90.47;49.82;15.413;8.598;33
03:00;91.13;49.47;15.962;8.879;37
03:06;90.84;49.66;17.469;9.424;42
03:12;87.92;51.32;17.271;9.478;46
03:18;87.11;51.83;17.673;10.742;53
03:24;88.69;50.90;16.579;10.401;55
03:30;90.17;50.09;15.719;8.593;54
03:36;89.30;50.57;16.090;8.464;55
03:42;85.90;52.60;14.795;11.041;52
03:48;88.21;51.17;16.187;11.617;49
03:54;90.13;50.11;15.006;10.903;50
04:00;92.65;48.74;16.157;11.106;60
04:06;91.54;49.35;15.372;10.608;67
04:12;94.56;47.75;15.537;8.799;69
04:18;95.16;47.46;15.476;8.678;70
04:24;94.84;47.59;16.803;9.594;67
04:30;94.03;48.02;18.248;10.662;66
04:36;89.07;50.74;14.766;8.881;67
04:42;91.74;49.20;15.645;9.004;73
04:48;89.35;50.51;17.489;16.755;86
04:54;91.86;49.22;15.959;8.865;88
05:00;91.11;49.57;15.474;8.413;92
05:06;91.06;49.60;14.243;8.023;97
05:12;90.25;50.05;14.935;9.140;103
05:18;91.81;49.16;12.417;6.880;103
05:24;91.81;49.16;13.229;7.418;123
05:30;91.72;49.23;12.948;7.018;121
05:36;91.95;49.11;15.057;11.290;128
05:42;91.46;49.39;18.196;15.317;123
05:48;91.55;49.32;13.126;7.510;130
05:54;94.86;47.55;15.739;8.400;136
06:00;93.82;48.10;14.598;8.596;145
06:06;87.44;51.68;12.649;7.953;161
06:12;84.83;53.17;11.194;6.959;175
06:18;86.06;52.36;9.198;5.289;190
06:24;86.84;51.93;8.748;5.291;190
06:30;86.70;52.04;8.026;4.882;234
06:36;85.51;52.84;8.241;5.089;266
06:42;83.95;53.82;6.828;4.194;264
06:48;80.81;55.94;6.917;5.081;243
06:54;80.54;56.05;8.165;7.066;257
07:00;78.37;57.59;10.390;30.060;269
07:06;77.00;58.60;11.414;84.029;265
07:12;71.09;63.47;12.239;83.404;310
07:18;68.22;66.19;16.320;120.984;328
07:24;61.35;73.51;20.674;185.139;300
07:30;55.92;80.68;24.069;212.259;321
07:36;48.67;92.73;25.023;157.354;289
07:42;43.18;104.46;24.552;201.119;299
07:48;41.06;109.82;25.020;246.685;290
07:54;39.16;115.34;26.362;249.494;315
08:00;41.08;109.72;27.395;251.487;320
08:06;44.41;101.48;27.410;194.232;320
08:12;47.73;94.50;28.126;165.599;311
08:18;49.37;91.41;28.456;194.050;314
08:24;51.03;88.49;29.184;207.667;356
08:30;53.73;84.02;30.002;232.580;369
08:36;55.10;81.98;29.441;235.342;382
08:42;57.60;78.31;27.470;163.566;338
08:48;59.26;76.22;28.378;189.088;312
08:54;63.23;71.30;27.672;194.524;328
09:00;66.63;67.78;28.999;164.970;358
09:06;68.65;65.84;28.399;181.878;378
09:12;70.82;63.73;26.063;181.023;332
09:18;72.38;62.38;22.613;160.796;293
09:24;74.05;60.89;22.667;122.448;324
09:30;73.94;61.02;20.297;99.616;350
09:36;75.82;59.49;19.915;106.066;334
09:42;77.31;58.38;19.723;125.518;324
09:48;77.40;58.29;19.554;184.097;316
09:54;78.54;57.53;16.084;204.981;361
10:00;80.69;55.97;14.511;179.742;325
10:06;81.49;55.35;15.539;190.001;312
10:12;80.50;56.04;13.347;138.442;327
10:18;79.30;56.88;12.775;162.409;335
10:24;78.44;57.47;13.529;162.865;352
10:30;78.54;57.55;12.701;46.390;328
10:36;82.13;54.92;10.993;12.410;316
10:42;78.74;57.37;12.397;17.015;327
10:48;78.86;57.23;10.455;40.306;332
10:54;80.94;55.78;12.077;66.004;303
11:00;78.64;57.45;15.083;92.532;296
11:06;77.75;58.03;15.119;103.520;338
11:12;80.62;55.96;14.733;128.614;355
11:18;81.33;55.54;12.607;41.154;330
11:24;80.18;56.24;9.861;14.147;346
11:30;80.50;56.05;9.863;9.128;371
11:36;82.88;54.44;8.448;5.545;378
11:42;81.03;55.68;7.813;5.562;393
11:48;81.80;55.20;6.895;4.623;392
11:54;81.12;55.67;6.580;4.294;394
12:00;82.05;54.94;8.419;5.923;382
12:06;81.60;55.32;8.467;5.434;370
12:12;82.05;55.01;7.722;5.111;375
12:18;80.00;56.43;11.096;9.957;338
12:24;80.44;56.13;8.559;6.313;310
12:30;81.63;55.33;7.699;5.272;374
12:36;81.74;55.20;7.544;5.233;351
12:42;80.13;56.34;7.393;5.223;306
12:48;80.92;55.82;10.736;20.987;315
12:54;81.47;55.37;8.748;6.402;291
13:00;81.94;55.09;7.997;5.201;304
13:06;83.32;54.16;9.126;6.126;300
13:12;81.32;55.50;8.793;6.572;330
13:18;81.31;55.47;8.108;5.301;319
13:24;84.03;53.73;7.784;5.060;284
13:30;81.93;54.99;8.886;5.511;303
13:36;82.06;55.04;7.495;5.073;296
13:42;81.55;55.39;6.735;4.637;304
13:48;80.38;56.10;7.455;5.044;290
13:54;82.89;54.50;7.854;5.160;330
14:00;81.85;55.13;9.952;6.022;332
14:06;80.80;55.88;8.983;6.950;323
14:12;81.46;55.35;7.503;5.622;337
14:18;81.55;55.32;6.760;4.528;338
14:24;79.72;56.60;6.768;4.901;369
14:30;81.13;55.66;6.575;4.533;375
14:36;79.36;56.84;5.959;4.311;399
14:42;80.81;55.82;5.870;3.968;389
14:48;80.37;56.14;6.409;4.453;406
14:54;81.02;55.72;7.735;5.293;371
15:00;79.57;56.75;6.078;4.449;396
15:06;81.22;55.58;7.622;5.211;355
15:12;80.27;56.22;7.046;4.746;385
15:18;81.04;55.63;7.233;4.859;386
15:24;81.45;55.37;7.609;5.588;399
15:30;80.63;56.01;8.966;9.660;378
15:36;80.89;55.86;9.118;10.301;379
15:42;79.63;56.69;9.179;9.738;433
15:48;80.34;56.12;10.237;12.993;417
15:54;79.03;57.08;6.266;4.392;394
16:00;78.61;57.48;7.129;6.221;380
16:06;74.32;60.70;11.577;30.019;386
16:12;74.97;60.17;14.696;51.433;373
16:18;72.53;62.31;15.059;58.923;404
16:24;69.68;64.72;17.375;48.916;367
16:30;67.46;66.86;20.129;64.954;395
16:36;65.72;68.64;22.785;93.338;401
16:42;62.40;72.31;24.632;114.903;374
16:48;60.80;74.19;25.709;149.117;406
16:54;56.38;80.02;26.584;200.457;387
17:00;52.56;85.85;27.779;213.868;364
17:06;46.88;96.30;26.637;233.037;409
17:12;44.24;101.99;28.148;270.195;424
17:18;41.52;108.72;27.354;207.449;404
17:24;36.70;122.89;25.588;224.410;410
17:30;34.70;130.20;25.285;259.296;397
17:36;34.98;128.94;24.640;206.004;415
17:42;39.36;114.56;26.404;168.284;436
17:48;39.58;114.00;27.314;176.352;441
