heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;84.43;43.36;20.964;52.375;62
00:06;77.35;47.25;9.150;6.000;2
00:12;71.91;50.93;30.966;476.250;10
00:18;77.72;47.09;19.487;233.072;52
00:24;77.25;47.26;19.258;214.868;66
00:30;76.58;47.68;17.633;202.545;77
00:36;78.12;46.81;17.547;194.227;89
00:42;76.88;47.57;17.067;72.623;92
00:48;77.37;47.24;15.628;11.940;93
00:54;79.11;46.23;13.775;7.795;92
01:00;78.55;46.56;15.004;8.272;82
01:06;79.65;45.89;15.327;8.402;78
01:12;80.73;45.26;14.287;7.884;72
01:18;80.19;45.54;14.857;8.313;78
01:24;79.56;45.91;12.508;7.476;76
01:30;78.98;46.27;12.726;7.817;67
01:36;78.84;46.37;13.222;7.998;65
01:42;82.60;44.18;19.347;9.852;60
01:48;82.10;44.48;20.076;10.377;52
01:54;81.46;44.83;19.691;10.019;53
02:00;82.93;44.11;20.894;10.172;52
02:06;81.96;44.60;21.618;10.927;47
02:12;82.46;44.33;23.475;11.540;46
02:18;82.85;44.32;22.150;10.578;39
02:24;82.55;44.34;21.065;9.864;39
02:30;84.49;43.25;22.249;10.090;42
02:36;85.31;42.79;21.917;10.188;41
02:42;81.93;44.52;16.978;8.644;41
02:48;80.64;45.23;17.303;9.096;48
02:54;80.79;45.09;17.497;8.989;44
03:00;82.57;44.15;17.898;9.445;42
03:06;81.58;44.81;14.772;8.453;47
03:12;77.35;47.26;16.325;14.058;55
03:18;78.82;46.41;14.496;8.358;69
03:24;81.89;44.59;14.981;8.375;67
03:30;82.04;44.49;15.521;8.545;69
03:36;82.93;43.99;15.844;8.497;62
03:42;78.62;46.36;14.542;9.403;65
03:48;81.98;44.52;15.309;9.899;76
03:54;83.48;43.74;15.651;10.493;73
04:00;81.06;45.09;14.348;9.859;85
04:06;81.41;44.92;12.620;7.861;77
04:12;82.82;44.11;13.188;6.652;97
04:18;82.62;44.12;12.915;6.745;98
04:24;85.71;42.56;14.726;7.284;86
04:30;85.01;42.95;15.363;7.522;89
04:36;83.39;43.76;13.748;7.253;92
04:42;84.14;43.47;13.390;7.120;102
04:48;84.16;43.43;13.411;6.986;115
04:54;83.37;43.86;12.827;6.454;128
05:00;80.39;45.50;11.677;7.050;120
05:06;80.76;45.24;8.539;4.934;133
05:12;84.56;43.19;11.348;5.636;139
05:18;84.00;43.53;9.635;4.988;146
05:24;85.59;42.65;10.344;5.330;150
05:30;83.42;43.81;11.088;5.913;156
05:36;81.32;45.00;9.517;5.227;167
05:42;82.50;44.34;12.535;7.108;164
05:48;86.30;42.38;9.826;4.980;177
05:54;87.28;41.82;12.642;6.666;171
06:00;87.24;41.88;10.998;5.615;181
06:06;83.33;43.85;8.776;4.687;229
06:12;78.42;46.60;8.215;5.337;233
06:18;77.57;47.20;6.879;4.055;242
06:24;78.49;46.55;8.698;5.128;267
06:30;78.16;46.77;7.667;5.761;331
06:36;76.02;48.13;7.199;4.564;389
06:42;75.68;48.34;5.958;3.634;379
06:48;72.48;50.36;5.335;4.000;368
06:54;70.20;52.10;8.428;18.811;417
07:00;67.72;53.96;10.319;44.901;414
07:06;62.78;58.21;13.619;46.059;427
07:12;56.32;64.96;15.791;79.126;498
07:18;51.14;71.41;18.970;86.866;517
07:24;46.79;78.15;19.933;114.206;455
07:30;41.80;87.40;20.816;96.662;441
07:36;36.70;99.64;18.918;104.927;455
07:42;34.91;104.81;17.586;99.456;477
07:48;33.54;109.00;17.007;97.311;456
07:54;34.35;106.55;18.134;87.111;445
08:00;36.08;101.37;19.662;96.652;435
08:06;38.99;93.75;20.116;102.702;485
08:12;41.90;87.25;21.660;114.782;496
08:18;42.79;85.40;22.008;126.555;447
08:24;44.27;82.58;22.851;141.834;484
08:30;45.19;80.81;22.850;118.371;491
08:36;46.36;78.86;22.051;73.944;547
08:42;47.72;76.57;21.951;85.419;504
08:48;50.87;71.80;21.896;132.167;448
08:54;53.23;68.58;21.847;114.896;484
09:00;56.68;64.43;22.588;124.129;525
09:06;60.40;60.48;23.176;124.980;511
09:12;61.87;59.10;21.247;96.947;488
09:18;61.86;59.11;18.426;40.960;455
09:24;64.40;56.79;15.535;44.024;518
09:30;65.09;56.08;15.565;43.337;522
09:36;66.37;55.09;14.674;86.427;495
09:42;67.85;53.82;15.127;92.132;453
09:48;68.74;53.21;13.305;126.117;487
09:54;70.77;51.69;11.074;92.478;521
10:00;71.32;51.26;10.964;107.323;501
10:06;70.94;51.56;11.326;130.599;483
10:12;69.68;52.50;10.696;100.141;487
10:18;70.37;51.90;11.144;89.449;490
10:24;69.89;52.27;11.021;70.898;501
10:30;72.21;50.62;8.618;8.840;471
10:36;71.46;51.19;8.784;10.585;490
10:42;70.73;51.66;11.576;55.484;485
10:48;70.89;51.56;10.544;81.882;494
10:54;69.93;52.23;12.393;134.375;499
11:00;70.11;52.16;11.479;118.015;452
11:06;70.65;51.73;10.759;100.834;480
11:12;72.38;50.46;10.862;66.270;507
11:18;71.04;51.43;8.269;8.493;505
11:24;70.53;51.82;6.313;5.401;530
11:30;70.91;51.55;7.247;5.262;546
11:36;72.05;50.71;7.269;6.200;574
11:42;71.80;50.90;6.794;5.250;569
11:48;71.74;50.93;5.428;3.742;587
11:54;71.87;50.83;5.288;3.613;609
12:00;71.86;50.93;5.911;4.353;584
12:06;70.43;51.91;5.730;4.102;578
12:12;71.35;51.22;6.934;5.110;559
12:18;71.17;51.38;6.803;5.038;508
12:24;71.63;51.01;5.935;4.315;475
12:30;71.82;50.90;5.681;3.964;523
12:36;71.48;51.07;6.360;4.714;530
12:42;70.77;51.70;7.794;6.277;460
12:48;71.91;50.80;6.812;4.922;480
12:54;71.44;51.17;5.538;3.859;463
13:00;72.31;50.47;6.048;4.308;443
13:06;72.64;50.43;7.097;5.747;418
13:12;72.29;50.54;6.084;4.491;446
13:18;73.32;49.83;6.174;4.046;463
13:24;71.97;50.74;7.459;5.407;435
13:30;72.11;50.66;6.569;4.737;443
13:36;71.65;50.93;7.299;5.405;424
13:42;71.30;51.30;5.590;3.900;434
13:48;71.68;50.99;6.628;5.044;450
13:54;73.04;50.03;8.771;10.966;479
14:00;70.62;51.78;9.006;12.152;483
14:06;69.91;52.27;9.684;21.195;474
14:12;71.13;51.33;8.560;17.912;491
14:18;71.07;51.39;5.934;4.295;504
14:24;70.14;52.15;7.515;8.660;546
14:30;71.29;51.26;7.278;7.836;548
14:36;70.42;51.93;6.395;4.929;555
14:42;70.26;51.99;6.353;4.661;574
14:48;71.12;51.38;6.128;4.387;587
14:54;70.66;51.75;5.576;4.376;560
15:00;70.91;51.52;4.714;3.477;559
15:06;71.81;50.95;5.290;4.011;527
15:12;70.73;51.67;5.443;4.329;553
15:18;70.62;51.75;5.536;4.722;558
15:24;70.46;51.84;7.628;12.316;603
15:30;69.38;52.66;9.061;28.571;581
15:36;69.58;52.47;7.805;18.290;589
15:42;69.86;52.29;9.269;22.103;624
15:48;69.54;52.60;10.329;20.104;633
15:54;68.01;53.74;9.862;35.820;628
16:00;67.04;54.55;9.676;33.008;567
16:06;66.09;55.32;9.575;24.626;551
16:12;63.68;57.36;11.505;33.283;530
16:18;61.30;59.54;12.782;29.958;558
16:24;57.93;63.15;13.386;30.642;564
16:30;56.33;64.87;15.746;63.210;602
16:36;54.18;67.49;17.890;60.931;566
16:42;51.50;71.00;19.480;117.441;538
16:48;48.56;75.24;19.003;136.551;560
16:54;46.53;78.63;20.559;159.513;581
17:00;42.88;85.22;19.016;127.475;551
17:06;39.47;92.59;20.028;122.904;570
17:12;37.61;97.27;17.487;123.840;529
17:18;35.48;102.97;18.036;96.667;522
17:24;32.96;110.97;16.230;116.767;553
17:30;33.16;110.28;15.433;109.411;542
17:36;33.15;110.36;15.585;88.383;533
17:42;34.75;105.08;17.609;90.623;578
17:48;37.12;98.46;17.568;74.364;589
17:54;37.45;97.71;18.484;73.575;514
18:00;39.20;93.35;19.816;76.062;490
18:06;43.07;84.81;20.678;73.002;479
18:12;44.73;81.72;22.866;77.161;475
18:18;44.84;81.55;22.961;76.765;504
18:24;46.21;79.11;23.228;76.627;467
18:30;45.94;79.59;21.968;62.026;457
18:36;47.16;77.49;20.807;70.477;492
18:42;52.64;69.40;21.213;57.201;460
18:48;57.00;64.04;20.100;45.948;430
18:54;60.28;60.66;18.746;42.178;415
19:00;63.19;57.85;17.112;41.728;418
19:06;67.42;54.22;13.908;27.529;408
19:12;71.29;51.29;9.587;11.058;370
19:18;71.88;50.88;8.997;8.020;394
19:24;73.06;50.00;7.126;5.535;366
19:30;73.43;49.75;6.990;4.433;396
19:36;72.60;50.39;5.991;4.155;377
19:42;73.72;49.56;6.351;4.206;363
19:48;72.64;50.26;8.818;8.824;359
19:54;72.17;50.72;5.089;3.519;300
20:00;75.30;48.52;6.464;4.121;305
20:06;76.28;47.97;7.163;4.463;270
20:12;76.58;47.77;9.223;5.656;276
20:18;77.58;47.18;8.485;5.575;253
20:24;78.08;46.84;7.850;4.487;248
20:30;77.50;47.12;7.730;4.713;225
20:36;78.32;46.67;9.572;5.620;225
20:42;77.56;47.17;11.028;7.080;209
20:48;78.32;46.64;9.582;6.292;204
