heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;102.26;46.03;14.527;6.602;53
00:06;92.03;51.03;7.006;4.028;4
00:12;90.66;51.86;6.172;3.343;15
00:18;97.65;48.27;9.760;4.663;71
00:24;99.61;47.26;13.220;5.861;92
00:30;102.08;46.09;13.531;5.905;90
00:36;101.05;46.51;14.558;6.921;90
00:42;100.90;46.63;14.199;6.961;104
00:48;100.75;46.70;13.395;6.170;107
00:54;99.48;47.27;15.806;8.608;101
01:00;100.21;46.95;16.316;7.877;91
01:06;101.64;46.29;15.323;7.065;90
01:12;98.43;47.75;13.823;7.007;80
01:18;100.82;46.55;14.508;6.902;74
01:24;101.49;46.27;14.609;6.741;76
01:30;101.97;46.02;17.523;8.057;72
01:36;99.67;47.09;16.597;7.872;70
01:42;101.37;46.33;17.040;8.308;72
01:48;100.35;46.86;15.686;7.274;68
01:54;101.44;46.30;15.098;6.593;66
02:00;101.03;46.49;14.664;6.280;64
02:06;103.08;45.58;15.717;6.826;63
02:12;100.55;46.78;15.491;6.841;60
02:18;100.20;46.97;15.379;6.762;52
02:24;101.14;46.49;14.720;6.440;54
02:30;99.42;47.28;13.494;6.365;49
02:36;99.68;47.21;14.555;6.890;45
02:42;96.28;48.92;14.940;7.217;39
02:48;97.87;48.13;15.450;7.641;40
02:54;97.76;48.17;15.491;7.835;38
03:00;101.22;46.51;16.431;8.031;42
03:06;97.43;48.34;14.682;7.526;52
03:12;95.61;49.23;12.274;6.338;56
03:18;101.49;46.39;14.227;6.772;63
03:24;99.04;47.56;14.220;6.884;67
03:30;99.05;47.53;14.287;6.995;67
03:36;100.23;46.98;15.869;7.415;63
03:42;100.86;46.74;15.526;7.310;65
03:48;101.16;46.53;14.680;6.812;77
03:54;100.59;46.75;13.853;7.208;81
04:00;100.24;46.98;15.823;8.081;75
04:06;97.61;48.21;13.657;7.346;86
04:12;97.31;48.28;10.204;5.103;93
04:18;98.21;47.83;11.802;5.560;94
04:24;99.34;47.29;11.038;5.357;81
04:30;99.55;47.23;12.464;5.877;89
04:36;98.36;47.82;12.124;6.000;97
04:42;96.33;48.81;11.851;6.328;105
04:48;99.63;47.20;14.030;6.303;114
04:54;102.46;45.80;14.318;6.128;120
05:00;103.14;45.60;14.985;6.079;120
05:06;101.41;46.40;11.888;5.187;129
05:12;99.98;47.05;11.901;5.503;133
05:18;99.08;47.44;11.959;5.925;138
05:24;95.55;49.16;10.082;5.026;158
05:30;96.91;48.54;10.915;5.143;152
05:36;97.78;48.05;12.131;6.067;145
05:42;97.40;48.17;9.725;4.876;153
05:48;100.19;46.88;10.748;4.950;161
05:54;99.11;47.39;9.561;4.953;173
06:00;99.78;47.05;11.100;5.265;184
06:06;97.82;48.00;8.342;4.178;221
06:12;94.03;49.92;6.807;3.702;249
06:18;94.84;49.55;7.153;3.721;239
