heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;113.83;44.13;12.909;4.996;32
00:06;101.40;49.92;4.400;2.000;2
00:12;112.25;45.00;19.041;7.174;8
00:18;115.73;43.50;13.578;5.077;22
00:24;113.44;44.33;13.273;5.112;46
00:30;112.31;44.76;16.029;10.223;46
00:36;110.48;45.54;14.282;9.428;49
00:42;110.59;45.53;15.079;9.604;53
00:48;111.21;45.30;15.336;9.513;56
00:54;110.24;45.68;17.282;10.293;53
01:00;110.12;45.77;14.988;9.463;51
01:06;110.54;45.66;12.057;4.821;48
01:12;113.25;44.53;11.368;4.194;50
01:18;111.52;45.20;12.240;5.128;46
01:24;110.25;45.71;12.186;5.123;44
01:30;109.35;46.12;10.864;4.457;36
01:36;110.28;45.78;12.282;5.089;34
01:42;112.75;44.75;14.297;5.696;32
01:48;111.82;45.11;15.694;6.491;32
01:54;111.51;45.20;16.075;6.858;34
02:00;110.06;45.79;14.518;6.396;31
02:06;110.41;45.61;14.190;6.457;30
02:12;111.64;45.07;14.400;6.180;32
02:18;109.95;45.74;13.583;6.015;31
02:24;112.24;44.80;13.266;5.315;32
02:30;111.67;45.01;11.838;4.633;33
02:36;116.03;43.38;12.500;4.742;31
02:42;116.94;43.02;12.003;4.527;29
02:48;113.53;44.28;15.254;6.643;29
02:54;110.98;45.29;19.323;11.958;31
03:00;109.17;46.10;17.259;10.899;34
03:06;109.20;46.07;18.416;11.219;33
03:12;108.21;46.51;17.738;10.620;40
03:18;107.94;46.57;16.050;9.817;46
03:24;107.68;46.78;14.971;9.304;48
03:30;109.34;46.03;12.691;5.796;51
03:36;109.97;45.73;12.699;5.828;48
03:42;108.56;46.31;11.707;5.563;49
03:48;109.67;45.85;10.796;5.057;46
03:54;110.11;45.72;11.285;5.260;46
04:00;107.39;46.91;11.292;5.615;47
04:06;105.28;47.91;12.147;6.465;46
04:12;104.52;48.26;18.525;21.097;51
04:18;109.04;46.20;14.057;6.790;48
04:24;114.19;44.17;16.564;7.394;47
04:30;110.06;45.72;20.322;12.547;52
04:36;111.59;45.02;19.739;12.224;54
04:42;112.51;44.68;16.470;9.918;65
04:48;112.19;44.90;16.100;9.580;82
04:54;114.53;44.00;11.789;4.817;95
05:00;112.07;44.83;9.850;4.002;110
