heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;63.11;117.01;15.506;47.692;27
00:12;57.10;129.07;3.200;7.500;2
00:18;51.60;143.31;20.098;235.499;12
00:24;54.37;135.88;19.821;212.671;15
00:30;59.36;124.45;20.337;183.257;23
00:36;57.23;129.09;19.807;182.139;28
00:42;56.78;130.14;19.162;177.771;29
00:48;55.05;134.28;19.858;177.899;27
00:54;62.64;117.94;15.334;39.209;24
01:00;61.79;119.45;15.497;39.838;22
01:06;59.98;123.08;8.618;18.466;17
01:12;60.61;121.82;13.211;42.993;14
01:18;63.67;115.90;13.546;45.117;12
01:24;65.68;112.29;14.775;46.374;11
01:30;63.99;115.39;17.703;61.886;13
01:36;64.05;115.28;18.006;66.209;11
01:42;65.42;112.83;17.998;64.502;12
01:48;70.05;105.37;14.342;49.878;13
01:54;62.08;119.01;21.026;174.489;14
02:00;60.69;121.72;22.393;166.961;16
02:06;61.77;119.54;19.781;71.695;13
02:12;62.78;117.65;18.654;67.496;15
02:18;62.75;117.71;19.358;69.814;14
02:24;57.98;127.41;19.310;73.111;12
02:30;62.79;117.70;19.387;64.714;11
02:36;64.83;114.04;16.252;39.767;8
02:42;73.30;100.93;7.707;10.488;7
02:48;75.23;98.47;8.003;9.811;4
02:54;63.68;116.16;21.084;173.842;9
03:00;61.05;121.00;21.313;172.401;10
03:06;54.06;136.50;24.008;168.631;13
03:12;60.12;122.77;24.581;156.879;16
03:18;62.37;118.38;22.839;139.250;21
03:24;65.58;112.48;23.531;132.175;24
03:30;65.07;113.36;20.944;85.043;28
03:36;65.74;112.21;21.006;85.017;28
03:42;68.67;107.44;17.238;53.221;26
03:48;64.95;113.64;16.770;55.601;31
03:54;63.08;117.10;16.480;55.754;30
04:00;60.90;121.31;14.561;54.363;29
04:06;65.02;113.60;14.117;39.467;27
04:12;66.82;110.60;13.251;36.815;26
04:18;64.61;114.37;15.307;51.770;28
04:24;71.63;103.17;9.528;16.507;27
04:30;73.96;99.87;8.471;12.959;29
04:36;75.14;98.30;7.809;11.087;29
04:42;73.38;100.69;9.176;14.892;31
04:48;70.89;104.19;9.851;17.462;38
04:54;68.20;108.28;14.367;62.195;45
05:00;71.30;103.54;15.120;59.018;64
05:06;69.94;105.51;14.165;58.744;65
05:12;70.05;105.38;13.883;56.885;77
05:18;65.86;112.14;17.999;73.134;81
05:24;63.98;115.47;19.404;74.703;81
05:30;66.55;111.01;19.880;99.856;86
05:36;63.11;117.01;19.255;77.931;81
05:42;63.97;115.43;16.849;51.257;101
05:48;63.82;115.68;14.222;40.875;120
05:54;63.35;116.58;11.887;34.411;129
06:00;63.66;115.94;13.059;53.923;148
06:06;61.72;119.62;13.279;51.865;171
06:12;62.21;118.68;11.868;24.657;148
06:18;58.88;125.50;13.405;57.793;180
06:24;57.49;128.46;12.181;70.096;197
06:30;59.65;123.83;8.329;18.057;178
06:36;57.44;128.55;7.478;17.153;209
06:42;52.96;139.43;7.536;22.179;231
06:48;51.39;143.71;7.025;21.211;277
06:54;47.87;154.30;7.491;23.661;303
07:00;43.17;171.11;7.784;34.521;327
07:06;39.98;184.73;8.079;51.858;293
07:12;36.20;204.10;8.195;57.619;325
07:18;31.27;236.15;8.442;68.547;336
07:24;25.92;284.94;7.711;82.736;365
07:30;24.24;304.74;5.706;82.001;419
07:36;23.96;308.20;5.532;91.320;448
07:42;23.88;309.32;7.517;110.649;429
07:48;23.07;320.27;7.285;128.758;417
07:54;23.97;308.05;7.688;105.311;393
08:00;23.74;311.08;8.115;111.673;399
08:06;23.39;315.76;7.495;136.571;406
08:12;22.46;328.91;7.443;157.934;433
08:18;22.52;328.12;7.090;165.876;480
08:24;21.43;344.71;6.080;149.416;479
08:30;19.46;379.48;5.691;170.471;481
08:36;22.19;332.93;9.333;161.512;456
08:42;23.32;316.75;9.470;138.474;466
08:48;23.88;309.29;8.904;136.138;464
08:54;23.79;310.39;8.278;140.509;441
09:00;26.21;281.70;10.244;139.608;389
09:06;28.22;261.68;11.563;135.198;424
09:12;32.15;229.70;12.472;127.975;387
09:18;35.48;208.17;12.053;104.709;387
09:24;39.23;188.28;10.512;90.855;387
09:30;38.89;189.91;9.349;64.337;391
09:36;40.52;182.24;10.780;69.868;343
09:42;43.25;170.72;9.390;50.354;351
09:48;43.78;168.63;8.314;41.904;361
