heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;79.08;34.03;18.276;93.308;50
00:06;79.75;34.14;8.050;3.500;6
00:12;64.24;42.13;23.792;62.898;14
00:18;78.66;34.24;14.226;24.844;50
00:24;79.41;33.84;9.895;4.124;64
00:30;80.44;33.47;9.608;3.962;65
00:36;79.71;33.79;9.728;4.247;68
00:42;81.53;33.03;11.168;4.489;76
00:48;83.51;32.21;10.886;4.560;82
00:54;84.18;31.95;15.074;6.783;65
01:00;86.23;31.22;14.617;5.836;58
01:06;85.44;31.47;13.261;5.719;53
01:12;85.71;31.44;11.847;4.996;46
01:18;85.14;31.63;10.559;4.444;46
01:24;82.76;32.51;11.550;4.837;44
01:30;81.41;33.09;14.512;7.926;39
01:36;81.60;32.98;13.770;5.439;37
01:42;80.64;33.42;15.040;6.510;36
01:48;78.96;34.07;15.587;7.961;36
01:54;80.27;33.62;16.390;8.107;34
02:00;81.11;33.20;15.094;7.839;31
02:06;81.65;33.01;14.295;7.414;32
02:12;86.19;31.26;13.915;5.256;35
02:18;86.47;31.12;14.322;5.385;37
02:24;86.10;31.25;15.897;5.625;30
02:30;83.51;32.16;17.001;6.106;29
02:36;81.20;33.16;17.402;7.031;30
02:42;82.77;32.45;20.484;8.958;29
02:48;78.94;33.95;22.294;10.620;21
02:54;75.36;35.68;17.706;8.713;24
03:00;75.69;35.55;17.986;8.852;22
03:06;75.99;35.37;19.533;9.398;20
03:12;71.44;37.66;19.816;9.234;15
03:18;67.74;39.78;14.805;8.372;13
03:24;68.99;39.10;14.966;8.433;14
03:30;72.21;37.34;19.105;10.402;10
03:36;72.62;37.19;21.329;11.565;8
03:42;66.98;40.37;18.439;11.747;9
03:48;76.44;35.36;20.137;11.639;13
03:54;84.02;32.14;19.063;9.610;12
04:00;80.63;33.46;15.838;8.287;13
04:06;81.32;33.06;15.532;8.331;13
04:12;86.82;30.98;18.657;7.992;18
04:18;88.72;30.30;11.714;4.003;19
04:24;85.17;31.60;12.372;4.437;22
04:30;83.40;32.26;13.181;4.711;24
04:36;82.17;32.76;13.018;4.793;30
04:42;81.35;33.10;14.890;6.093;37
04:48;80.74;33.40;13.887;5.760;39
04:54;86.99;30.98;15.168;5.788;52
05:00;88.62;30.37;14.846;5.660;67
05:06;88.29;30.48;15.205;5.647;67
05:12;83.23;32.38;13.507;5.770;76
05:18;85.06;31.72;15.050;5.133;77
05:24;79.22;33.98;13.351;6.052;85
05:30;80.77;33.33;12.737;5.656;92
05:36;79.53;33.82;12.166;5.624;102
05:42;77.01;34.96;11.040;4.860;112
