heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;87.79;33.82;15.039;5.888;43
00:12;79.25;37.46;6.680;3.345;4
00:18;84.45;35.26;17.613;5.574;22
00:24;82.32;36.11;10.332;4.631;32
00:30;85.54;34.66;16.823;6.797;45
00:36;84.06;35.25;15.870;7.353;54
00:42;85.05;34.88;16.400;7.652;57
00:48;84.99;34.89;16.650;7.709;58
00:54;86.02;34.53;15.565;6.463;60
01:00;86.04;34.52;16.010;6.674;61
01:06;85.67;34.70;15.979;6.424;50
01:12;88.59;33.57;15.808;6.055;37
01:18;90.07;33.06;16.027;5.836;36
01:24;87.03;34.21;17.569;7.734;37
01:30;89.32;33.20;16.869;7.277;39
01:36;89.86;33.03;17.319;7.301;32
01:42;86.33;34.44;15.776;8.859;37
01:48;86.94;34.21;16.333;9.061;36
01:54;84.41;35.22;16.861;9.516;36
02:00;88.10;33.72;13.704;5.447;34
02:06;86.83;34.26;14.427;5.809;36
02:12;84.64;35.19;11.848;4.986;35
02:18;87.48;33.99;13.465;5.097;31
02:24;88.33;33.67;13.291;4.961;30
02:30;89.06;33.33;16.444;5.798;29
02:36;87.64;33.87;16.856;5.944;28
02:42;86.81;34.15;17.584;6.208;23
02:48;89.84;32.99;17.784;6.496;20
02:54;90.22;32.88;15.539;5.959;22
03:00;89.54;33.09;14.444;5.425;23
03:06;89.99;32.97;15.551;5.545;27
03:12;89.94;32.97;15.640;5.444;29
03:18;91.04;32.58;13.769;4.538;39
03:24;92.98;31.87;14.968;4.638;35
03:30;89.51;33.12;18.110;6.690;41
03:36;88.48;33.47;18.629;6.935;45
03:42;85.36;34.66;20.919;9.391;45
03:48;74.93;39.51;20.053;10.846;56
03:54;72.03;41.19;18.334;9.909;58
04:00;77.64;38.18;18.169;9.592;69
04:06;81.76;36.26;18.050;9.218;67
04:12;84.38;35.16;17.987;8.734;78
04:18;81.98;36.23;16.664;8.150;81
04:24;90.04;32.96;14.450;6.437;82
04:30;93.76;31.68;13.272;5.461;92
04:36;92.11;32.25;14.251;6.589;84
04:42;93.88;31.64;12.331;4.746;86
04:48;95.42;31.09;10.730;3.753;87
04:54;95.50;31.04;11.160;3.974;87
05:00;94.81;31.29;10.868;3.898;106
05:06;96.98;30.68;15.011;5.722;101
05:12;96.36;30.87;13.215;4.938;110
05:18;95.88;31.05;14.291;5.227;102
05:24;94.60;31.39;13.099;5.113;111
05:30;98.22;30.25;11.406;4.135;127
05:36;95.46;31.12;8.649;2.818;151
05:42;96.53;30.78;7.461;2.462;206
05:48;96.95;30.64;8.301;2.673;208
05:54;94.49;31.52;8.232;3.262;209
06:00;96.16;30.90;7.157;2.398;271
06:06;95.22;31.25;7.830;2.686;272
06:12;93.39;31.79;7.378;2.627;315
06:18;92.31;32.16;5.583;1.919;379
06:24;90.84;32.72;5.102;1.880;505
06:30;90.16;32.92;4.385;1.596;536
06:36;87.21;34.05;5.009;1.993;598
06:42;81.94;36.30;4.980;2.226;662
06:48;78.30;37.90;6.164;3.008;823
06:54;73.08;40.63;6.544;3.966;885
07:00;62.56;47.45;14.570;18.085;929
07:06;55.09;53.97;16.527;23.564;879
07:12;48.19;61.70;17.850;40.261;800
07:18;38.93;76.31;15.661;47.500;821
07:24;32.26;92.11;12.776;36.759;783
07:30;29.62;100.30;11.541;45.608;831
07:36;27.94;106.41;11.052;64.971;844
07:42;26.45;112.39;10.735;61.505;800
07:48;25.87;114.82;9.465;49.752;737
07:54;24.21;122.78;10.159;50.437;716
08:00;23.89;124.32;9.534;60.943;737
08:06;20.87;142.27;7.712;54.534;739
08:12;22.10;134.53;8.589;65.191;826
08:18;20.67;143.79;6.934;59.406;874
08:24;21.28;139.56;8.218;57.887;839
08:30;20.90;142.14;8.615;77.699;838
08:36;23.54;126.12;11.046;70.879;811
08:42;27.65;107.59;14.344;56.551;859
08:48;26.08;113.74;15.714;72.907;787
08:54;25.56;116.23;15.766;79.384;776
09:00;27.43;108.20;16.944;62.697;773
09:06;30.62;96.95;18.727;66.711;750
09:12;33.26;89.37;20.963;53.940;811
09:18;38.88;76.52;22.388;56.487;799
09:24;46.67;63.69;22.767;45.408;868
09:30;52.39;56.72;24.434;52.883;874
09:36;58.14;51.07;23.180;48.626;809
09:42;61.20;48.55;22.777;37.945;803
09:48;64.94;45.70;22.560;42.506;788
09:54;65.31;45.45;21.723;34.622;752
10:00;68.38;43.47;19.534;29.064;738
10:06;70.74;41.97;17.823;26.422;670
10:12;71.51;41.49;16.567;23.566;694
10:18;73.10;40.68;15.413;38.864;675
10:24;75.88;39.16;12.016;34.967;651
10:30;76.63;38.77;11.188;22.052;700
10:36;76.44;38.88;10.307;14.441;653
10:42;77.05;38.61;9.278;13.282;700
10:48;76.94;38.59;8.217;11.645;705
10:54;77.73;38.18;6.122;3.975;627
11:00;79.19;37.50;4.486;2.209;644
11:06;78.57;37.80;4.656;2.306;654
11:12;78.63;37.77;4.880;2.284;603
11:18;78.96;37.63;4.426;2.241;672
11:24;78.95;37.61;4.139;1.929;672
11:30;79.12;37.44;5.331;3.017;635
11:36;78.38;37.89;6.639;3.600;631
11:42;78.11;38.07;6.476;3.725;608
11:48;79.20;37.48;5.244;2.700;644
11:54;79.67;37.31;6.067;2.728;601
12:00;80.18;37.05;5.256;2.390;611
12:06;80.58;36.85;4.592;2.275;551
12:12;80.99;36.64;5.032;2.363;590
12:18;79.88;37.22;5.235;2.510;596
12:24;82.41;35.99;6.070;2.746;522
12:30;81.82;36.35;5.034;2.227;507
12:36;81.95;36.24;5.778;2.692;499
12:42;81.14;36.61;6.980;3.387;514
12:48;82.40;36.06;6.250;2.880;504
12:54;81.54;36.43;6.035;3.042;451
13:00;81.36;36.52;4.413;2.042;459
13:06;82.49;36.02;6.237;3.048;415
13:12;82.46;36.01;5.746;2.663;462
13:18;80.44;36.89;6.864;4.066;495
13:24;81.87;36.29;5.730;2.752;503
13:30;81.20;36.55;4.663;2.191;527
13:36;79.89;37.17;4.633;2.158;546
13:42;79.60;37.34;5.029;2.506;597
13:48;78.61;37.80;4.930;2.446;614
13:54;79.44;37.42;4.951;2.332;606
14:00;81.84;36.27;4.184;1.877;628
14:06;81.36;36.49;4.593;2.143;608
14:12;80.22;37.05;4.495;2.218;564
14:18;80.95;36.68;5.310;2.583;590
14:24;79.84;37.19;5.791;2.893;618
14:30;79.58;37.31;4.518;2.167;638
14:36;80.06;37.03;4.011;1.922;640
14:42;79.80;37.26;4.719;2.173;656
14:48;80.91;36.75;4.408;2.023;652
14:54;80.64;36.89;4.867;2.348;641
15:00;80.27;36.99;4.021;1.869;611
15:06;80.27;37.04;6.077;2.890;606
15:12;81.03;36.72;5.359;2.547;598
15:18;80.38;36.91;5.279;2.389;593
15:24;80.17;37.10;4.483;2.041;595
15:30;79.32;37.45;4.718;2.189;669
15:36;80.12;37.08;4.825;2.282;604
15:42;79.05;37.55;4.460;2.234;650
15:48;77.97;38.06;5.963;3.354;622
15:54;78.69;37.74;4.762;2.289;607
16:00;79.15;37.56;4.363;2.100;612
16:06;78.03;38.07;4.528;2.549;607
16:12;77.85;38.18;4.576;2.347;658
16:18;77.27;38.41;5.434;2.931;604
16:24;76.85;38.65;5.001;2.880;652
16:30;76.86;38.66;7.192;5.222;663
16:36;74.47;39.92;9.903;14.852;656
16:42;73.12;40.61;12.982;25.995;668
16:48;72.58;40.91;14.266;22.737;692
16:54;70.47;42.11;15.744;25.819;670
17:00;67.63;43.92;18.098;35.975;663
17:06;67.27;44.20;19.826;39.777;715
17:12;66.27;44.84;19.909;47.123;687
17:18;64.15;46.26;22.439;50.055;647
17:24;61.46;48.32;24.603;59.313;637
17:30;61.41;48.42;25.390;79.659;681
17:36;61.16;48.62;25.522;66.368;673
17:42;61.46;48.27;24.081;49.673;647
17:48;62.40;47.61;25.167;57.263;590
17:54;61.90;47.94;25.193;61.193;639
18:00;62.85;47.21;24.100;55.356;668
18:06;63.68;46.58;25.453;54.075;635
18:12;62.10;47.89;24.683;63.709;656
18:18;62.54;47.51;24.157;57.462;633
18:24;63.85;46.44;24.533;66.599;631
18:30;66.83;44.45;23.949;77.633;605
18:36;68.15;43.51;22.648;59.617;579
18:42;70.76;42.03;20.667;42.957;568
18:48;73.02;40.71;17.709;43.991;584
18:54;74.37;39.91;16.698;37.028;593
19:00;75.42;39.35;16.197;50.950;537
19:06;77.63;38.29;13.974;54.399;558
19:12;79.14;37.60;12.705;33.021;517
19:18;78.85;37.68;11.734;19.952;520
19:24;81.51;36.39;10.518;8.855;491
19:30;81.71;36.31;11.576;16.949;477
19:36;82.11;36.12;10.595;8.998;413
19:42;81.47;36.43;10.049;8.392;401
19:48;82.75;35.83;9.350;11.634;380
19:54;84.77;35.06;8.932;5.666;379
20:00;83.54;35.55;7.076;3.105;357
20:06;83.15;35.74;7.591;3.760;299
20:12;85.03;34.94;11.533;3.813;273
20:18;87.09;34.11;6.787;2.723;289
20:24;87.69;33.85;8.078;3.126;276
20:30;88.61;33.52;8.978;3.316;238
20:36;86.15;34.47;8.219;3.477;215
20:42;86.22;34.48;8.233;3.549;202
20:48;86.77;34.22;12.628;5.925;162
20:54;87.02;34.14;12.237;5.561;153
21:00;89.79;33.14;9.524;3.468;168
21:06;89.00;33.40;9.399;3.425;172
21:12;89.14;33.32;11.822;4.852;154
21:18;90.03;33.04;12.856;5.229;151
21:24;88.38;33.64;10.193;4.143;145
21:30;86.20;34.45;11.430;4.870;138
21:36;86.77;34.23;11.283;5.027;133
21:42;84.77;35.06;12.514;6.417;138
21:48;85.03;34.95;12.944;6.111;122
21:54;86.20;34.48;14.292;6.413;126
22:00;86.77;34.23;14.033;7.427;114
22:06;87.71;33.85;14.673;7.474;119
22:12;87.10;34.08;15.216;7.987;112
22:18;85.43;34.74;14.247;7.973;138
22:24;84.74;35.01;12.999;5.493;129
22:30;86.47;34.36;12.185;5.214;133
22:36;86.42;34.36;10.852;4.395;118
22:42;85.99;34.56;13.578;5.786;117
22:48;84.25;35.28;13.026;5.333;119
22:54;87.24;34.02;13.330;5.192;115
23:00;85.61;34.70;13.062;5.184;110
23:06;86.70;34.26;11.611;4.891;115
23:12;86.65;34.27;12.217;5.390;119
23:18;87.20;33.98;13.021;5.412;130
23:24;88.27;33.67;13.108;5.488;129
23:30;88.87;33.48;14.193;5.709;112
23:36;88.69;33.60;13.987;5.511;109
23:42;87.50;34.00;14.642;6.648;119
23:48;87.50;34.00;14.047;5.861;118
23:54;88.19;33.65;12.646;5.484;110
