heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;95.47;47.78;17.951;26.906;37
00:12;89.28;50.90;6.751;3.816;5
00:18;92.39;49.52;17.312;8.208;19
00:24;92.07;49.61;14.875;7.415;32
00:30;96.35;47.29;15.464;7.275;42
00:36;94.44;48.19;14.759;7.512;48
00:42;95.86;47.49;14.497;7.099;49
00:48;96.48;47.16;17.139;8.538;49
00:54;97.93;46.46;16.672;7.758;51
01:00;97.08;46.93;17.698;8.798;50
01:06;97.25;46.85;17.195;8.139;40
01:12;100.38;45.44;16.401;7.746;31
01:18;101.58;44.92;16.635;7.842;31
01:24;99.90;45.67;16.844;8.173;30
01:30;98.56;46.26;16.304;8.143;32
01:36;99.74;45.66;16.765;8.000;25
01:42;97.05;47.00;15.439;7.548;29
01:48;96.80;47.10;15.180;7.395;30
01:54;93.44;48.75;14.178;6.991;27
02:00;95.37;47.82;15.300;7.000;28
02:06;96.59;47.18;15.869;8.102;32
02:12;93.60;48.66;13.878;7.894;31
02:18;96.28;47.26;14.226;8.224;25
02:24;97.03;46.89;15.345;8.777;24
02:30;97.05;46.86;18.270;9.779;23
02:36;94.95;47.87;16.219;9.042;24
02:42;94.31;48.28;14.668;7.235;21
02:48;92.20;49.40;14.258;6.380;14
02:54;94.06;48.48;13.925;6.461;17
03:00;94.69;48.16;14.525;6.836;18
03:06;95.73;47.56;12.228;6.118;20
03:12;95.92;47.49;12.333;6.206;21
03:18;96.42;47.25;10.860;5.494;29
03:24;99.04;45.88;11.761;5.492;28
03:30;98.83;46.01;13.181;6.335;30
03:36;96.94;46.91;13.668;7.213;39
03:42;94.17;48.35;16.132;9.219;36
03:48;86.43;52.74;18.963;12.374;47
03:54;82.40;55.29;17.582;11.037;47
04:00;84.00;54.25;16.259;9.995;50
04:06;86.14;52.94;17.134;10.151;50
04:12;90.79;50.17;19.010;10.702;56
04:18;89.53;50.88;17.810;10.058;60
04:24;105.16;43.35;17.838;8.854;70
04:30;108.01;42.24;16.255;7.554;93
04:36;107.89;42.25;15.703;7.313;90
04:42;106.07;42.99;15.855;7.260;88
04:48;104.83;43.48;14.489;6.563;91
04:54;106.78;42.65;14.266;6.161;88
05:00;105.26;43.27;15.040;8.996;105
05:06;108.92;41.85;17.805;9.471;109
05:12;107.29;42.46;13.191;5.674;119
05:18;105.57;43.13;15.304;6.922;104
05:24;106.39;42.84;13.902;6.057;105
05:30;108.38;42.05;12.238;5.135;125
05:36;109.07;41.79;9.397;3.677;161
05:42;108.21;42.07;9.006;3.506;218
05:48;106.89;42.59;10.855;4.908;209
05:54;107.44;42.32;9.680;3.848;203
06:00;107.57;42.34;8.986;3.548;267
06:06;107.03;42.54;9.291;3.658;274
06:12;104.43;43.65;8.635;3.889;297
06:18;105.04;43.36;8.523;3.876;366
06:24;102.11;44.63;6.959;3.272;488
06:30;102.07;44.69;6.791;3.181;550
06:36;97.81;46.57;6.474;3.214;566
06:42;93.33;48.85;5.653;3.021;655
06:48;88.61;51.32;6.999;4.318;793
06:54;82.72;55.17;11.064;9.425;839
07:00;70.32;64.78;18.728;27.596;864
07:06;62.42;72.85;19.475;39.463;855
07:12;54.43;83.67;18.907;55.278;765
07:18;43.64;104.41;16.401;49.896;764
07:24;39.06;116.66;12.754;46.790;710
07:30;37.89;120.25;13.784;56.647;730
07:36;36.00;126.45;14.653;74.507;738
07:42;35.35;128.83;13.570;63.537;724
07:48;33.31;136.80;13.220;65.503;671
07:54;31.67;143.68;13.064;70.357;658
08:00;28.94;157.44;11.643;72.280;647
08:06;27.38;166.35;11.490;79.478;662
08:12;27.25;167.08;11.413;98.114;717
08:18;25.30;180.09;10.404;110.164;783
08:24;24.41;186.74;10.336;109.047;791
08:30;25.41;179.37;12.385;104.925;796
08:36;29.15;156.41;14.534;110.876;771
08:42;31.09;146.47;16.468;96.669;807
08:48;28.49;159.98;16.866;109.016;740
08:54;27.55;165.51;15.514;97.504;738
09:00;30.52;149.38;17.903;98.276;745
09:06;31.17;146.23;20.243;90.733;700
09:12;35.71;127.43;23.302;82.430;704
09:18;44.07;103.45;23.856;72.931;761
09:24;48.32;94.39;25.529;73.631;802
09:30;53.79;84.75;25.462;71.605;883
09:36;60.08;75.75;27.892;68.566;797
09:42;66.03;68.98;27.018;57.680;756
09:48;69.15;65.87;26.945;58.928;715
09:54;72.81;62.59;26.074;52.236;694
10:00;74.86;60.75;26.412;50.052;686
10:06;77.11;59.09;23.980;63.918;636
10:12;81.19;56.07;21.108;70.877;629
10:18;82.55;55.20;20.127;85.227;617
10:24;84.27;54.11;16.394;84.791;610
10:30;86.92;52.43;13.740;29.467;619
10:36;88.26;51.65;12.454;21.090;571
10:42;88.42;51.53;12.084;21.228;621
10:48;86.91;52.39;10.525;13.079;625
10:54;89.42;50.90;7.667;4.744;558
11:00;90.50;50.34;6.967;4.088;559
11:06;91.18;49.97;5.136;2.820;538
11:12;90.65;50.27;6.125;3.600;522
11:18;91.92;49.58;5.160;2.901;560
11:24;90.20;50.51;4.695;2.585;586
11:30;89.84;50.73;4.966;2.874;564
11:36;90.59;50.21;6.577;3.958;549
11:42;89.83;50.74;7.360;4.482;522
11:48;91.08;49.96;5.331;2.965;561
11:54;91.96;49.53;5.144;2.927;528
12:00;91.46;49.88;5.775;3.504;528
12:06;91.15;49.97;6.113;3.593;495
12:12;93.49;48.75;4.982;2.616;521
12:18;92.80;49.11;6.365;3.408;532
12:24;94.63;48.24;7.287;3.999;473
12:30;92.59;49.27;7.062;3.909;420
12:36;92.93;48.98;7.104;3.828;444
12:42;92.87;49.04;7.649;4.474;455
12:48;93.67;48.58;6.565;3.664;441
12:54;93.98;48.49;8.263;4.505;394
13:00;93.32;48.78;6.728;3.691;394
13:06;94.79;48.07;6.332;3.304;369
13:12;94.22;48.35;6.119;3.315;417
13:18;93.74;48.60;6.055;3.429;426
13:24;94.29;48.32;6.947;3.735;444
13:30;94.35;48.27;5.624;2.987;428
13:36;92.81;49.13;5.581;3.161;448
13:42;91.91;49.55;6.604;3.722;489
13:48;90.77;50.15;6.473;3.804;492
13:54;91.43;49.86;7.295;4.322;500
14:00;93.00;49.02;5.030;2.826;535
14:06;92.79;49.08;5.395;3.016;529
14:12;92.11;49.49;6.128;4.059;501
14:18;92.98;48.99;5.492;2.908;494
14:24;91.78;49.58;6.815;3.953;523
14:30;91.38;49.84;7.048;3.938;539
14:36;91.86;49.56;5.850;3.548;548
14:42;91.53;49.78;5.001;2.811;563
14:48;92.40;49.29;5.237;2.861;568
14:54;92.23;49.40;4.529;2.448;559
15:00;90.44;50.37;5.319;3.088;537
15:06;92.14;49.44;6.311;3.550;546
15:12;93.24;48.82;5.988;3.218;525
15:18;91.96;49.53;4.526;2.437;539
15:24;91.29;49.82;4.957;2.747;537
15:30;90.42;50.39;5.752;3.309;572
15:36;89.46;50.93;5.934;3.460;552
15:42;91.66;49.71;6.111;3.316;570
15:48;88.93;51.19;6.447;3.872;567
15:54;89.20;51.04;6.482;4.220;518
16:00;89.60;50.83;6.732;4.158;521
16:06;89.27;51.07;8.989;7.430;531
16:12;88.35;51.56;9.765;12.063;592
16:18;87.08;52.29;10.825;14.361;560
16:24;84.02;54.30;12.848;19.067;560
16:30;84.88;53.72;15.020;30.166;606
16:36;83.30;54.66;16.611;36.876;605
16:42;81.36;56.00;18.411;42.940;607
16:48;77.49;58.76;21.680;45.094;631
16:54;72.56;62.73;25.905;62.714;573
17:00;71.60;63.67;27.772;66.666;608
17:06;70.90;64.19;27.854;76.230;666
17:12;69.49;65.50;28.519;78.287;625
