poste,heure,vitesse,debit,occupation
M3u,00:00,87.04,25.43,0.00631
M3u,00:06,84.97,24.61,0.00877
M3u,00:12,88.16,24.00,0.00584
M3u,00:18,88.38,23.00,0.00615
M3u,00:24,88.21,21.11,0.00589
M3u,00:30,82.97,18.86,0.00888
M3u,00:36,84.88,17.90,0.00504
M3u,00:42,83.98,16.00,0.00587
M3u,00:48,86.78,16.86,0.00538
M3u,00:54,84.96,15.46,0.00498
M3u,01:00,88.60,15.67,0.00454
M3u,01:06,86.78,15.04,0.00522
M3u,01:12,88.15,12.74,0.00487
M3u,01:18,86.79,14.00,0.00540
M3u,01:24,87.83,13.38,0.00477
M3u,01:30,88.51,14.27,0.00513
M3u,01:36,87.47,13.12,0.00510
M3u,01:42,83.33,13.82,0.00545
M3u,01:48,86.56,12.52,0.00544
M3u,01:54,86.96,12.04,0.00563
M3u,02:00,88.10,10.54,0.00463
M3u,02:06,88.50,10.54,0.00526
M3u,02:12,89.01,10.92,0.00577
M3u,02:18,85.68,10.68,0.00532
M3u,02:24,86.53,12.33,0.00525
M3u,02:30,87.69,12.04,0.00537
M3u,02:36,87.86,12.12,0.00541
M3u,02:42,88.90,12.77,0.00515
M3u,02:48,88.03,13.46,0.00575
M3u,02:54,89.74,14.62,0.00608
M3u,03:00,87.55,15.58,0.00543
M3u,03:06,87.15,14.31,0.00501
M3u,03:12,85.89,12.59,0.00555
M3u,03:18,86.10,11.85,0.00580
M3u,03:24,85.57,13.35,0.00691
M3u,03:30,88.41,14.72,0.00623
M3u,03:36,88.74,14.88,0.00670
M3u,03:42,89.62,16.42,0.00610
M3u,03:48,89.89,17.52,0.00612
M3u,03:54,87.42,19.20,0.00625
M3u,04:00,87.65,17.68,0.00647
M3u,04:06,87.75,17.72,0.00597
M3u,04:12,87.00,20.56,0.00709
M3u,04:18,86.42,25.12,0.00809
M3u,04:24,87.85,25.16,0.00772
M3u,04:30,87.54,30.84,0.00975
M3u,04:36,88.33,33.69,0.01022
M3u,04:42,89.39,43.73,0.01095
M3u,04:48,88.82,42.96,0.01065
M3u,04:54,89.20,38.67,0.01023
M3u,05:00,87.99,43.75,0.01206
M3u,05:06,87.80,51.93,0.01313
M3u,05:12,87.28,58.07,0.01395
M3u,05:18,88.54,69.83,0.01494
M3u,05:24,88.66,75.79,0.01610
M3u,05:30,88.15,90.76,0.01794
M3u,05:36,89.29,106.34,0.01950
M3u,05:42,89.97,110.52,0.02010
M3u,05:48,90.04,113.86,0.02069
M3u,05:54,89.71,113.55,0.02055
M3u,06:00,89.18,126.90,0.02257
M3u,06:06,88.66,153.76,0.02763
M3u,06:12,88.00,194.59,0.03375
M3u,06:18,87.88,236.24,0.04021
M3u,06:24,87.33,265.79,0.04446
M3u,06:30,85.80,308.21,0.05228
M3u,06:36,84.01,396.21,0.06835
M3u,06:42,81.64,462.14,0.08063
M3u,06:48,79.18,494.21,0.08992
M3u,06:54,74.55,503.31,0.09895
M3u,07:00,67.08,486.90,0.11173
M3u,07:06,61.49,450.07,0.12050
M3u,07:12,48.17,388.13,0.14716
M3u,07:18,42.68,357.53,0.16214
M3u,07:24,42.81,341.48,0.16437
M3u,07:30,40.15,316.00,0.17185
M3u,07:36,38.05,305.32,0.18596
M3u,07:42,38.17,300.85,0.16691
M3u,07:48,39.05,306.12,0.16838
M3u,07:54,38.66,297.21,0.17070
M3u,08:00,41.22,296.52,0.16062
M3u,08:06,38.94,289.38,0.15934
M3u,08:12,39.89,285.53,0.15300
M3u,08:18,38.83,281.06,0.16488
M3u,08:24,40.66,273.56,0.14847
M3u,08:30,41.21,264.03,0.14765
M3u,08:36,41.49,257.53,0.13829
M3u,08:42,44.90,280.26,0.14323
M3u,08:48,42.94,255.65,0.15120
M3u,08:54,45.78,241.35,0.11576
M3u,09:00,49.56,234.19,0.11736
M3u,09:06,56.68,231.81,0.10501
M3u,09:12,61.08,239.95,0.09797
M3u,09:18,63.66,254.58,0.09538
M3u,09:24,64.33,248.24,0.09867
M3u,09:30,67.32,242.62,0.08338
M3u,09:36,70.18,259.57,0.08405
M3u,09:42,77.39,257.57,0.06690
M3u,09:48,80.83,257.57,0.06571
M3u,09:54,81.58,257.89,0.06285
M3u,10:00,82.03,249.24,0.05565
M3u,10:06,82.48,253.19,0.05794
M3u,10:12,81.60,248.92,0.04996
M3u,10:18,84.54,250.77,0.05122
M3u,10:24,83.77,257.11,0.05507
M3u,10:30,84.28,263.11,0.05270
M3u,10:36,84.45,261.89,0.05347
M3u,10:42,84.76,246.86,0.05157
M3u,10:48,83.92,255.22,0.05305
M3u,10:54,83.32,244.78,0.05454
M3u,11:00,83.32,256.89,0.05323
M3u,11:06,85.07,244.08,0.04707
M3u,11:12,86.66,257.59,0.04706
M3u,11:18,87.10,262.81,0.04772
M3u,11:24,86.99,263.72,0.04733
M3u,11:30,86.74,268.03,0.04929
M3u,11:36,86.89,264.76,0.04785
M3u,11:42,87.03,269.54,0.04933
M3u,11:48,87.28,268.03,0.04789
M3u,11:54,87.60,259.74,0.04734
M3u,12:00,87.92,265.55,0.04635
M3u,12:06,87.79,280.11,0.04862
M3u,12:12,87.68,282.92,0.04943
M3u,12:18,87.77,274.55,0.04805
M3u,12:24,87.83,252.84,0.04418
M3u,12:30,88.08,243.66,0.04257
M3u,12:36,88.15,241.18,0.04288
M3u,12:42,88.34,223.58,0.03848
M3u,12:48,88.33,220.32,0.03876
M3u,12:54,88.36,213.00,0.03876
M3u,13:00,88.18,224.13,0.03931
M3u,13:06,87.91,234.64,0.04108
M3u,13:12,87.68,252.72,0.04429
M3u,13:18,87.23,251.72,0.04448
M3u,13:24,87.38,256.16,0.04497
M3u,13:30,86.92,266.13,0.04679
M3u,13:36,86.89,266.16,0.04791
M3u,13:42,86.84,267.26,0.04889
M3u,13:48,86.94,267.21,0.04704
M3u,13:54,87.28,250.56,0.04503
M3u,14:00,87.12,245.69,0.04382
M3u,14:06,86.62,265.31,0.04723
M3u,14:12,86.32,276.18,0.04880
M3u,14:18,86.34,269.15,0.04836
M3u,14:24,86.01,265.36,0.04796
M3u,14:30,86.23,258.69,0.04660
M3u,14:36,86.65,259.79,0.04744
M3u,14:42,86.44,259.33,0.04695
M3u,14:48,86.55,260.36,0.04725
M3u,14:54,86.47,252.67,0.04700
M3u,15:00,86.45,253.49,0.04634
M3u,15:06,86.03,267.36,0.04873
M3u,15:12,85.54,274.92,0.05004
M3u,15:18,85.72,273.11,0.04996
M3u,15:24,85.42,272.08,0.05026
M3u,15:30,85.03,277.92,0.05112
M3u,15:36,85.46,285.45,0.05160
M3u,15:42,85.34,286.31,0.05253
M3u,15:48,85.30,286.67,0.05132
M3u,15:54,85.39,279.21,0.05011
M3u,16:00,85.23,279.33,0.05135
M3u,16:06,85.21,297.49,0.05350
M3u,16:12,84.68,308.38,0.05563
M3u,16:18,84.20,322.57,0.05669
M3u,16:24,84.17,310.38,0.05601
M3u,16:30,84.59,308.92,0.05418
M3u,16:36,84.59,311.74,0.05462
M3u,16:42,84.40,313.28,0.05463
M3u,16:48,83.86,316.74,0.05539
M3u,16:54,82.33,313.58,0.06037
M3u,17:00,82.68,317.29,0.05735
M3u,17:06,80.59,327.50,0.06211
M3u,17:12,77.29,346.13,0.07388
M3u,17:18,75.61,353.38,0.07618
M3u,17:24,73.17,333.49,0.07950
M3u,17:30,70.96,313.84,0.08755
M3u,17:36,71.10,313.86,0.08120
M3u,17:42,71.19,317.78,0.07742
