POSTE,HEURE,VITESSE,DEBIT (VEH/6min)
2,00:00,67.99,6
2,00:06,67.61,7.17
2,00:12,70.53,5.33
2,00:18,68.08,5.83
2,00:24,68.26,5
2,00:30,68.43,6.5
2,00:36,74.76,6.33
2,00:42,67.75,4.33
2,00:48,63.29,5.33
2,00:54,66.14,5.33
2,01:00,71.39,5.33
2,01:06,70.71,4.33
2,01:12,69.63,5.17
2,01:18,65.83,1.5
2,01:24,69.34,4.83
2,01:30,67.71,4.83
2,01:36,69.94,6.83
2,01:42,65.67,6.33
2,01:48,72.04,5.5
2,01:54,66.42,4.33
2,02:00,65.1,5.17
2,02:06,64.82,4.67
2,02:12,65,5.83
2,02:18,67.53,5.67
2,02:24,68.24,6.33
2,02:30,66.18,5.5
2,02:36,68.97,6.17
2,02:42,68.96,8.67
2,02:48,71.25,4.83
2,02:54,70.28,3.5
2,03:00,69.4,5
2,03:06,73.93,5.17
2,03:12,67.29,4.67
2,03:18,70.49,9.5
2,03:24,70.33,7.33
2,03:30,72.66,9.67
2,03:36,74.06,7.83
2,03:42,72.61,7.33
2,03:48,75.78,12.83
2,03:54,72.43,8.17
2,04:00,69.56,12.17
2,04:06,72.68,16.33
2,04:12,71.37,20.83
2,04:18,69.86,19.33
2,04:24,68.97,16.67
2,04:30,74.1,15.83
2,04:36,68.76,17.33
2,04:42,68.83,19.67
2,04:48,68.77,21.83
2,04:54,70.54,21.33
2,05:00,70.01,28.17
2,05:06,70.42,30.33
2,05:12,69.17,32.33
2,05:18,68.97,30
2,05:24,67.81,34.67
2,05:30,67.27,43.5
2,05:36,70.29,52.83
2,05:42,70.93,51.5
2,05:48,70.54,58.17
2,05:54,67.08,63.17
2,06:00,68.44,61.33
2,06:06,68.31,69.33
2,06:12,65.62,80.67
2,06:18,65.34,109
2,06:24,64.65,128.17
2,06:30,63.72,139.17
2,06:36,55.57,183.33
2,06:42,53.91,198.5
2,06:48,35.34,237.33
2,06:54,39.09,231.17
2,07:00,34.01,223.5
2,07:06,33.18,223.33
2,07:12,29.98,242.67
2,07:18,31.26,230.17
2,07:24,27.44,218.83
2,07:30,26.62,206.17
2,07:36,31.09,211.33
2,07:42,23.2,168
2,07:48,17.02,132.83
2,07:54,21.67,165.67
2,08:00,17.15,96.67
2,08:06,18.22,167.5
2,08:12,26.77,191.5
2,08:18,26.27,171.83
2,08:24,28.29,190.33
2,08:30,19.41,102.5
2,08:36,25.21,176.67
2,08:42,35.28,180.83
2,08:48,29.15,139.67
2,08:54,35.38,138
2,09:00,48.14,161.17
2,09:06,54.14,132.33
2,09:12,56.57,121.83
2,09:18,59.88,116.67
