Lien_no,Nom_long,Nom_court,NUM_ROUTE,SENS,Nstart,Nend,VITESSE,FFT,VOIES,Capacity,longueur,Postes_comptage,SIREDO,tps_moyen,tps_std
1,A501d_1_0,A501b1,A501,O,18,175,90,10.77,2.00,1.10,269.2,,,,
2,A501d_2.5_1,A501a,A501,O,19,18,90,64.48,2.00,1.10,1612.1,,M4l&M4m&M4n&M4o,75.05,70.40
102,A50_S1,A50_S1,D8N,E,2,25,50,14.40,,0.80,200,46,,,
3,A502c_0.6_1.1,A502b,A502,E,21,22,90,22.87,2.00,1.10,571.7,,,20.48,28.85
4,A502c_0_0.6,A502a,A502,E,20,21,90,22.29,2.00,1.10,557.3,,,3.90,24.09
104,A50_S3,A50_S3,D8N,O,3,28,50,14.40,,0.80,200,50,,,
5,A502c_1.1_1.6,A502c,A502,E,22,23,90,18.67,2.00,1.10,466.8,,,32.71,34.90
6,A50c_0.8_2,A50cb,A50,E,3,4,90,43.28,3.00,1.65,1082.1,,M3B&M3C&M3D,53.31,55.44
7,A50c_0_0.8,A50ca,A50,E,1,3,90,38.36,2.00,1.10,958.9,,M3A,29.27,57.21
8,A50c_2.9_4,A50cc,A50,E,5,7,90,43.96,3.00,1.65,1098.9,,M3H,49.18,59.74
9,A50c_2_2.9,A50cd,A50,E,4,5,90,36.10,3.00,1.65,902.4,,,56.02,52.47
105,A50_S4,A50_S4,D2,O,6,30,50,14.40,,0.80,200,52,,,
114,A50_S11,A50_S11,D2,O,6,45,50,14.40,,0.80,200,166,,,
10,A50c_4_5,A50ce,A50,E,7,8,90,40.36,3.00,1.65,1008.9,,M3I,25.06,44.79
11,A50d_0.7_0.1,A50dp,A50,O,2,1,90,25.16,2.00,1.10,629,,,24.17,47.72
12,A50d_10_9,A50de,A50,O,14,13,90,40.01,3.00,1.65,1000.2,,M3s&M3v,65.90,56.91
13,A50d_11_10,A50dd,A50,O,15,14,90,39.62,3.00,1.65,990.5,,M3w&M3x,42.37,50.22
14,A50d_12_11,A50dc,A50,O,16,15,90,40.22,3.00,1.65,1005.6,,M3y&M3z,33.35,48.79
15,A50d_13.3_12,A50db,A50,O,17,16,90,50.15,3.00,1.65,1253.7,,M4a&M4b,45.44,58.71
16,A50d_15_13.3,A50da,A50,O,20,17,90,81.41,2.00,1.10,2035.3,,M4c&M4d&M4e&M4f,58.51,86.44
17,A50d_2_0.7,A50dn,A50,O,4,2,90,56.84,3.00,1.65,1421.1,,M3a&M3b&M3c&M3d,41.02,75.96
18,A50d_3.2_2,A50dm,A50,O,6,4,90,51.07,3.00,1.65,1276.8,,M3e,43.85,73.82
19,A50d_4_3.2,A50dl,A50,O,7,6,90,28.71,3.00,1.65,717.8,,M3h,17.63,39.22
20,A50d_5_4,A50dk,A50,O,8,7,90,39.94,3.00,1.65,998.6,,M3i&M3j,24.68,51.61
