heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;68.66;50.31;15.056;15.753;88
00:06;87.87;39.57;17.366;7.257;3
00:12;85.18;40.57;23.970;12.396;11
00:18;81.40;42.40;21.527;16.719;55
00:24;80.44;42.88;23.004;17.021;85
00:30;81.28;42.46;21.507;15.893;103
00:36;80.87;42.66;20.721;14.186;111
00:42;80.05;43.12;21.209;14.574;117
00:48;78.39;44.04;19.760;13.818;121
00:54;78.78;43.87;15.937;9.726;122
01:00;79.07;43.67;16.779;10.015;107
01:06;79.79;43.32;17.948;10.272;104
01:12;77.94;44.33;18.806;11.834;97
01:18;79.45;43.50;20.512;13.182;95
01:24;77.71;44.43;21.038;14.091;87
01:30;77.07;44.76;21.972;29.709;86
01:36;78.18;44.18;21.833;31.738;70
01:42;78.04;44.20;24.587;55.250;71
01:48;78.85;43.82;27.771;36.093;71
01:54;78.07;44.17;23.786;21.085;66
02:00;80.32;42.95;24.571;23.981;74
02:06;81.55;42.27;25.569;24.163;65
02:12;79.35;43.43;25.245;22.318;57
02:18;81.80;42.13;30.573;25.451;58
02:24;79.74;43.18;26.059;18.416;48
02:30;77.93;44.25;25.458;18.912;44
02:36;81.64;42.28;26.374;16.306;43
02:42;84.61;40.82;24.927;12.888;40
02:48;84.84;40.69;25.283;13.150;41
02:54;86.21;40.04;23.966;13.080;36
03:00;86.28;40.05;23.121;13.310;39
03:06;85.81;40.24;22.566;13.452;39
03:12;89.32;38.66;25.105;15.627;34
03:18;87.79;39.27;25.072;16.575;26
03:24;88.91;38.79;24.364;13.369;31
03:30;81.16;42.47;24.639;16.263;32
03:36;81.91;42.00;25.421;18.937;32
03:42;79.05;43.51;27.980;25.835;31
03:48;79.87;43.06;29.474;25.398;36
03:54;80.58;42.73;26.736;19.824;39
04:00;79.29;43.46;25.531;19.885;36
04:06;79.03;43.60;24.974;18.612;35
04:12;83.33;41.36;23.678;14.510;47
04:18;85.35;40.34;23.571;14.382;51
04:24;82.57;41.73;19.783;12.610;52
04:30;85.67;40.16;21.584;10.223;60
04:36;81.88;42.11;17.706;11.718;73
04:42;83.88;41.23;17.923;9.729;83
04:48;85.72;40.25;20.796;10.636;79
04:54;85.81;40.19;21.060;25.064;91
05:00;86.59;39.90;20.519;24.703;96
05:06;85.76;40.22;18.949;23.367;101
05:12;80.09;43.09;16.992;18.000;111
05:18;77.38;44.63;15.588;17.035;126
05:24;78.44;44.05;16.286;20.859;125
05:30;80.64;42.78;16.474;11.222;131
05:36;80.46;42.89;14.292;9.044;149
05:42;79.77;43.28;14.406;8.639;145
05:48;82.35;41.86;14.272;7.203;142
05:54;82.13;41.99;18.518;15.390;133
06:00;74.34;46.45;20.918;24.208;140
06:06;75.00;46.04;12.903;10.566;178
06:12;78.33;44.09;11.981;7.062;210
06:18;75.39;45.84;11.087;7.578;246
06:24;75.33;45.83;11.138;7.375;276
06:30;76.00;45.45;11.116;6.909;262
06:36;74.82;46.10;9.782;6.137;279
06:42;77.31;44.69;10.611;6.034;353
06:48;75.28;45.90;9.139;5.578;421
06:54;69.93;49.38;9.846;7.967;448
07:00;69.40;49.78;10.996;10.798;456
07:06;68.25;50.54;9.881;9.115;492
07:12;64.00;53.97;7.040;7.005;564
07:18;67.35;51.19;7.939;6.390;617
07:24;64.19;53.85;9.508;9.394;624
07:30;65.27;52.88;8.387;7.339;739
07:36;64.05;53.88;8.356;8.533;748
07:42;60.34;57.08;8.419;8.251;749
07:48;61.46;56.12;8.484;9.101;747
07:54;62.13;55.60;7.827;7.951;796
08:00;63.36;54.50;6.507;5.891;911
08:06;62.72;55.09;6.968;6.726;888
08:12;62.06;55.61;8.930;10.572;907
08:18;64.40;53.53;7.498;7.032;888
08:24;64.25;53.73;8.467;8.027;857
08:30;60.60;56.98;8.597;11.581;952
08:36;61.15;56.42;11.197;23.200;971
08:42;60.26;57.25;10.868;26.982;983
08:48;61.16;56.46;10.639;24.744;993
08:54;61.37;56.22;10.512;16.885;1023
09:00;60.60;56.99;10.292;21.482;1058
09:06;61.93;55.77;9.977;22.803;1032
09:12;63.60;54.18;10.147;26.370;995
09:18;61.19;56.41;9.618;16.883;1002
09:24;61.57;56.05;9.470;9.104;913
09:30;61.34;56.23;9.003;8.130;1039
09:36;58.83;58.68;8.591;9.894;1003
09:42;59.41;58.11;8.037;8.565;1017
09:48;60.13;57.45;8.650;9.481;970
09:54;61.11;56.50;8.504;8.266;969
10:00;61.07;56.51;8.630;10.048;940
10:06;59.60;57.90;9.238;9.938;898
10:12;61.04;56.48;8.651;9.293;852
10:18;60.27;57.35;8.697;9.669;865
10:24;61.31;56.29;8.330;8.431;944
10:30;59.78;57.77;7.541;8.674;904
10:36;61.25;56.41;7.585;7.350;851
10:42;62.28;55.46;7.788;6.960;918
10:48;62.37;55.30;8.550;8.401;903
10:54;62.95;54.78;7.061;6.751;925
11:00;62.76;54.99;7.828;7.580;893
11:06;60.69;56.88;7.298;7.789;857
11:12;61.06;56.60;9.157;8.929;850
11:18;62.13;55.54;7.750;7.735;913
11:24;63.72;54.17;7.708;7.097;917
11:30;63.17;54.68;6.629;6.198;852
11:36;62.68;55.13;6.906;5.954;924
11:42;64.86;53.20;7.168;6.268;913
11:48;63.83;54.10;6.763;6.164;944
11:54;62.22;55.52;7.816;8.012;922
12:00;63.18;54.57;7.515;7.653;954
12:06;63.51;54.34;6.294;5.431;922
12:12;64.69;53.33;8.307;7.338;916
12:18;63.74;54.16;8.376;7.782;910
12:24;63.81;54.14;7.583;6.490;883
12:30;63.59;54.36;8.510;11.418;857
12:36;64.44;53.54;8.641;9.443;803
12:42;64.07;53.86;7.506;7.139;774
12:48;64.94;53.16;8.163;7.767;759
12:54;66.45;51.94;6.840;6.068;755
13:00;64.51;53.54;8.177;7.210;710
13:06;64.61;53.43;7.949;6.940;748
13:12;63.81;54.08;9.329;7.838;803
13:18;64.74;53.29;9.774;8.263;713
13:24;64.05;53.93;8.831;7.958;750
13:30;61.66;55.98;10.130;22.964;760
13:36;61.69;55.93;9.608;29.364;764
13:42;60.31;57.17;10.563;39.891;811
13:48;59.78;57.71;10.943;57.646;844
13:54;60.63;56.94;10.148;47.560;925
14:00;61.14;56.46;11.898;43.826;887
14:06;61.55;56.12;12.209;32.109;869
14:12;61.93;55.74;9.896;21.447;968
14:18;62.10;55.59;9.763;22.225;908
14:24;60.46;57.08;11.365;27.472;896
14:30;62.79;54.97;9.759;13.048;908
14:36;63.53;54.31;9.983;12.255;884
14:42;61.86;55.75;10.501;12.653;956
14:48;62.89;54.95;7.557;7.121;936
14:54;62.41;55.28;7.163;6.758;934
15:00;61.88;55.78;7.557;7.046;961
15:06;63.68;54.26;8.954;8.431;880
15:12;61.23;56.42;7.173;8.505;854
15:18;62.97;54.85;7.726;6.932;872
15:24;62.30;55.38;7.498;6.917;924
15:30;62.46;55.22;7.392;7.419;923
15:36;61.34;56.19;6.921;7.379;941
15:42;62.30;55.40;7.318;7.546;940
15:48;59.84;57.67;8.483;9.048;928
15:54;61.07;56.54;7.081;7.144;973
16:00;60.45;57.07;8.106;8.092;935
16:06;61.19;56.43;8.238;7.666;906
16:12;61.45;56.20;6.968;6.648;908
16:18;60.89;56.64;8.859;9.933;913
16:24;61.32;56.36;8.385;9.370;891
16:30;59.89;57.60;9.260;10.634;888
16:36;59.98;57.61;9.151;12.312;842
16:42;57.84;59.68;11.068;14.066;843
16:48;53.57;64.37;11.774;24.639;836
16:54;52.18;66.12;13.041;27.028;809
17:00;47.59;72.59;12.640;26.645;803
17:06;47.02;73.36;14.730;29.782;826
17:12;44.05;78.38;15.096;35.976;758
17:18;44.35;77.74;15.015;39.598;783
17:24;41.71;82.73;17.192;49.517;781
17:30;40.21;85.91;16.746;51.421;796
17:36;39.86;86.69;16.513;50.779;751
17:42;39.45;87.58;17.005;60.756;734
17:48;40.43;85.48;18.176;68.824;697
17:54;42.40;81.45;17.553;68.580;702
18:00;43.40;79.60;17.174;63.158;689
18:06;45.10;76.55;18.037;91.010;741
18:12;47.99;71.90;17.089;79.153;723
18:18;46.38;74.49;16.987;90.209;714
18:24;48.00;71.87;17.481;95.051;680
18:30;49.93;69.16;17.657;80.832;715
18:36;51.68;66.77;17.390;79.494;687
18:42;53.35;64.75;17.045;85.994;630
18:48;55.27;62.39;16.552;78.445;672
18:54;57.30;60.23;15.388;92.770;688
19:00;57.60;59.92;15.412;76.648;678
19:06;59.83;57.70;13.752;60.181;669
19:12;59.41;58.10;15.198;45.746;705
19:18;59.12;58.37;12.872;28.336;674
19:24;60.49;57.09;12.859;40.533;680
19:30;63.48;54.37;12.500;37.275;659
19:36;63.02;54.74;11.650;26.061;653
19:42;64.30;53.68;12.326;30.328;631
19:48;65.58;52.62;11.670;19.760;576
19:54;68.36;50.46;9.577;9.988;562
20:00;67.53;51.07;8.824;8.924;558
20:06;67.67;51.04;9.015;7.771;522
20:12;67.57;51.08;9.158;7.367;469
20:18;68.57;50.31;9.937;8.678;466
20:24;67.71;50.99;10.349;11.898;425
20:30;69.51;49.69;8.111;6.374;409
20:36;71.13;48.48;11.490;11.471;359
20:42;71.23;48.42;11.199;8.359;373
20:48;72.25;47.82;11.404;8.066;336
20:54;71.97;47.94;12.253;9.432;308
21:00;70.99;48.61;13.317;10.328;309
21:06;70.20;49.08;13.450;11.801;320
21:12;71.78;48.10;15.026;13.019;272
21:18;71.80;48.11;13.698;10.547;287
21:24;72.44;47.63;12.582;9.987;280
21:30;71.89;48.02;13.432;12.988;285
21:36;73.56;46.87;14.969;14.195;255
21:42;75.69;45.63;10.811;7.813;260
21:48;71.10;48.54;14.156;13.872;261
21:54;72.90;47.37;13.253;13.358;276
22:00;69.94;49.38;13.373;20.067;282
22:06;70.01;49.31;12.959;11.163;279
22:12;70.77;48.73;12.038;9.611;260
22:18;70.01;49.37;11.623;10.103;265
22:24;69.63;49.60;11.560;13.738;255
22:30;69.26;49.83;12.998;16.474;240
22:36;73.95;46.62;14.978;15.393;258
22:42;75.56;45.67;13.795;11.911;270
22:48;74.99;46.01;14.161;12.027;249
22:54;74.45;46.44;14.500;13.405;262
23:00;74.18;46.52;14.135;11.739;247
23:06;74.05;46.62;16.429;12.610;238
23:12;73.12;47.18;17.861;19.318;232
23:18;73.52;46.95;15.401;11.429;221
23:24;70.60;48.87;14.210;11.542;229
23:30;68.05;50.81;15.881;20.651;225
23:36;69.76;49.50;13.317;11.830;217
23:42;68.88;50.07;16.402;19.169;223
23:48;69.02;49.97;17.263;20.253;236
23:54;71.20;48.40;17.064;18.114;232
