heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;89.84;43.35;12.271;5.659;42
00:06;107.03;36.38;9.642;3.300;3
00:12;101.51;38.47;11.768;4.598;7
00:18;95.51;40.81;16.822;7.265;50
00:24;96.22;40.50;15.226;6.634;71
00:30;95.72;40.66;13.610;6.621;74
00:36;96.04;40.50;14.765;6.881;73
00:42;95.90;40.58;15.507;7.166;67
00:48;98.66;39.44;16.140;7.213;72
00:54;98.72;39.44;15.302;6.745;68
01:00;98.10;39.65;14.231;6.257;69
01:06;97.18;40.11;14.678;6.423;64
01:12;96.11;40.52;16.912;8.346;65
01:18;96.68;40.29;15.004;7.197;62
01:24;93.95;41.45;17.872;8.795;57
01:30;93.23;41.73;17.609;9.112;56
01:36;94.38;41.16;17.644;9.433;46
01:42;96.55;40.31;19.383;9.480;50
01:48;96.69;40.28;18.525;8.553;51
01:54;96.49;40.36;18.667;9.011;52
02:00;97.55;39.94;17.944;7.873;57
02:06;97.93;39.82;17.710;7.341;53
02:12;94.39;41.28;15.985;7.200;50
02:18;96.97;40.13;18.690;7.853;45
02:24;95.78;40.57;19.070;8.003;39
02:30;94.23;41.22;18.202;7.777;34
02:36;94.39;41.21;16.081;6.397;33
02:42;97.68;39.81;15.719;6.063;30
02:48;97.30;39.91;15.698;6.467;28
02:54;95.85;40.61;15.323;6.630;24
03:00;94.55;41.17;15.931;6.990;25
03:06;97.77;39.84;17.078;7.502;24
03:12;96.87;40.17;17.354;7.638;22
03:18;96.48;40.34;18.439;8.290;19
03:24;99.67;39.08;14.599;5.608;22
03:30;97.74;39.81;12.647;5.534;21
03:36;100.21;38.83;12.333;4.982;21
03:42;99.08;39.28;11.084;4.400;17
03:48;99.17;39.24;18.470;8.223;20
03:54;100.68;38.72;15.421;5.578;24
04:00;102.63;37.94;15.737;5.575;25
04:06;103.17;37.75;15.050;5.246;25
04:12;101.77;38.25;14.702;5.507;31
04:18;101.94;38.24;14.552;5.897;36
04:24;95.65;40.81;15.785;8.587;40
04:30;94.17;41.39;16.208;8.409;46
04:36;93.62;41.60;13.174;6.242;55
04:42;96.76;40.23;15.771;6.747;58
04:48;98.51;39.58;16.967;6.744;58
04:54;97.96;39.82;13.842;5.468;67
05:00;97.48;39.96;12.435;4.827;78
05:06;97.34;39.99;11.421;4.479;77
05:12;93.59;41.65;11.334;5.045;80
05:18;91.73;42.49;10.889;4.905;81
05:24;94.31;41.33;11.938;4.970;81
05:30;93.72;41.53;13.668;6.192;80
05:36;94.77;41.09;12.417;5.688;84
05:42;93.57;41.67;14.516;7.635;80
05:48;95.62;40.80;17.912;12.950;76
05:54;97.38;40.05;17.416;13.095;78
06:00;96.64;40.33;16.930;12.400;81
06:06;92.85;41.95;15.797;13.250;102
06:12;94.40;41.22;10.745;4.923;124
06:18;93.05;41.85;10.002;5.024;151
06:24;94.73;41.08;11.256;5.179;172
06:30;92.48;42.12;11.410;5.329;148
06:36;96.93;40.18;11.546;4.611;176
06:42;97.45;39.94;9.844;4.319;232
06:48;94.28;41.34;8.208;3.556;296
06:54;93.17;41.76;7.019;3.111;288
07:00;91.82;42.43;7.492;3.290;260
07:06;88.99;43.78;9.817;6.510;272
07:12;86.64;44.94;5.787;3.015;350
07:18;88.18;44.11;6.168;3.187;378
07:24;87.73;44.38;8.159;4.382;380
07:30;87.33;44.62;5.962;3.173;440
07:36;86.14;45.21;5.489;2.992;441
07:42;85.58;45.47;5.684;3.125;432
07:48;86.23;45.16;6.010;3.169;401
07:54;84.68;46.01;6.109;3.384;436
08:00;85.53;45.55;5.497;3.186;502
08:06;85.85;45.36;4.587;2.576;525
08:12;84.22;46.26;4.970;2.745;554
08:18;84.19;46.28;6.845;4.093;539
08:24;82.53;47.16;15.115;32.527;527
08:30;80.84;48.24;17.731;69.586;542
08:36;80.17;48.65;17.708;57.341;589
08:42;77.53;50.25;18.183;65.690;609
08:48;77.55;50.31;17.665;56.999;613
08:54;79.11;49.20;17.407;64.700;558
09:00;78.86;49.32;17.187;52.867;565
09:06;81.84;47.59;15.096;51.901;548
09:12;85.21;45.67;10.341;29.560;508
09:18;85.84;45.45;10.900;41.162;492
09:24;85.94;45.32;9.333;12.942;449
09:30;84.60;46.12;9.028;12.216;502
09:36;85.08;45.82;5.953;3.250;463
09:42;85.12;45.69;5.127;2.893;484
09:48;86.23;45.15;4.585;2.397;493
09:54;85.38;45.65;4.812;2.787;487
10:00;86.50;45.00;4.574;2.511;534
10:06;85.92;45.34;5.582;2.950;499
10:12;85.93;45.36;4.760;2.576;508
10:18;85.45;45.56;4.287;2.326;521
10:24;85.41;45.54;5.789;3.236;543
10:30;85.37;45.65;5.094;2.803;499
10:36;85.71;45.39;5.843;3.323;495
10:42;86.63;44.96;5.466;2.939;550
10:48;85.55;45.51;5.500;3.180;581
10:54;85.66;45.50;5.159;2.615;553
11:00;85.73;45.41;4.437;2.347;591
11:06;85.54;45.62;5.178;2.852;526
11:12;84.80;45.87;5.652;3.276;542
11:18;85.19;45.73;4.462;2.388;600
11:24;85.98;45.32;4.684;2.461;604
11:30;86.24;45.18;5.382;3.044;558
11:36;86.01;45.29;3.850;2.158;596
11:42;84.67;46.01;5.062;2.785;606
11:48;84.16;46.32;5.460;3.640;668
11:54;85.24;45.73;4.651;2.568;601
12:00;84.26;46.23;5.292;3.014;611
12:06;85.30;45.67;5.471;3.051;594
12:12;85.33;45.67;5.676;3.087;613
12:18;84.41;46.16;5.391;3.399;590
12:24;85.00;45.77;6.800;5.020;597
12:30;84.60;45.99;6.570;4.391;564
12:36;85.75;45.40;5.593;3.255;536
12:42;88.29;44.05;5.452;2.791;505
12:48;88.37;44.09;4.949;2.478;492
12:54;87.32;44.61;6.007;3.413;494
13:00;87.17;44.77;5.289;2.717;459
13:06;88.06;44.22;5.497;2.797;476
13:12;86.17;45.21;5.580;3.124;489
13:18;86.12;45.24;9.035;12.257;452
13:24;86.80;44.88;11.164;50.028;457
13:30;85.54;45.51;12.030;81.468;444
13:36;85.69;45.50;11.582;86.085;456
13:42;85.77;45.39;11.542;103.724;477
13:48;84.31;46.26;11.531;142.413;501
13:54;84.60;46.03;11.289;114.225;584
14:00;85.03;45.81;11.835;72.590;572
14:06;84.63;46.03;14.260;49.547;560
14:12;84.78;45.94;12.060;32.315;645
14:18;84.20;46.28;10.758;40.688;598
14:24;83.30;46.76;12.365;30.802;580
14:30;83.13;46.81;12.477;31.094;571
14:36;82.26;47.38;12.857;35.637;608
14:42;83.33;46.73;12.598;33.782;632
14:48;83.11;46.91;11.257;19.064;646
14:54;84.31;46.20;9.030;9.566;614
15:00;84.47;46.03;4.612;2.661;628
15:06;84.87;45.87;5.051;2.759;595
15:12;84.12;46.24;4.464;2.554;585
15:18;84.03;46.33;4.267;2.381;609
15:24;84.69;46.01;4.524;2.488;646
15:30;84.15;46.27;4.027;2.330;602
15:36;83.95;46.41;3.985;2.277;668
15:42;83.62;46.57;5.391;3.520;653
15:48;83.60;46.62;3.760;2.074;651
15:54;83.29;46.83;4.869;2.902;674
16:00;81.90;47.57;6.883;5.528;636
16:06;82.20;47.42;9.135;12.100;636
16:12;81.49;47.81;6.817;6.720;661
16:18;80.81;48.19;8.150;10.532;652
16:24;77.78;50.16;11.553;19.169;618
16:30;75.37;51.71;14.893;24.352;579
16:36;71.53;54.51;18.506;34.128;592
16:42;66.81;58.40;20.925;44.454;562
16:48;59.21;65.70;23.650;52.589;587
16:54;51.37;75.79;26.210;63.529;615
17:00;47.39;82.16;25.513;62.514;593
17:06;43.86;88.87;26.225;68.764;580
17:12;41.59;93.61;24.523;69.929;544
17:18;39.37;98.88;24.027;68.258;576
17:24;35.31;110.19;22.754;74.322;566
17:30;34.18;113.75;22.277;72.084;582
17:36;33.74;115.41;23.605;80.211;565
17:42;35.15;110.82;24.431;100.753;555
17:48;37.00;105.33;24.870;112.460;522
17:54;35.89;108.42;25.481;98.817;520
18:00;36.70;106.16;24.496;134.492;549
18:06;41.65;93.61;25.699;153.618;574
18:12;43.78;89.08;27.861;156.241;531
18:18;46.05;84.54;27.917;164.459;521
18:24;47.08;82.66;28.013;159.566;484
18:30;49.36;79.04;28.725;140.379;541
18:36;51.65;75.43;28.512;171.992;554
18:42;55.63;70.00;28.574;193.936;526
18:48;59.01;66.00;27.761;167.121;513
18:54;64.12;60.78;26.837;158.055;514
19:00;67.15;57.89;25.651;123.206;490
19:06;69.22;56.29;24.016;124.438;490
19:12;72.36;53.78;22.388;84.741;526
19:18;74.78;52.05;21.345;74.510;488
19:24;77.15;50.50;20.831;95.400;493
19:30;78.90;49.34;18.767;62.006;472
19:36;82.25;47.40;15.697;43.773;445
19:42;81.50;47.81;16.057;39.770;412
19:48;82.51;47.24;14.270;35.684;378
19:54;84.79;45.94;12.349;18.411;380
20:00;86.94;44.82;9.816;11.835;368
20:06;88.25;44.17;6.413;3.255;324
20:12;86.40;45.12;8.139;4.464;294
20:18;89.07;43.76;7.796;3.803;286
20:24;89.75;43.37;7.679;3.825;275
20:30;89.07;43.69;7.519;3.837;262
20:36;91.39;42.71;8.642;4.180;216
20:42;91.98;42.36;9.924;5.341;200
20:48;93.50;41.68;8.533;3.955;206
20:54;93.08;41.82;10.717;5.581;179
21:00;91.91;42.41;9.674;4.744;176
21:06;91.12;42.75;10.947;5.805;169
21:12;92.91;41.96;9.254;4.151;172
21:18;93.92;41.43;12.011;5.367;184
21:24;90.81;42.85;10.230;4.787;170
21:30;90.86;42.92;9.968;5.006;163
21:36;93.02;41.91;12.925;6.536;152
21:42;92.62;42.13;11.891;6.305;160
21:48;94.33;41.28;13.234;7.145;146
21:54;93.24;41.76;14.082;7.730;158
22:00;92.06;42.24;11.813;6.746;163
22:06;91.02;42.78;10.911;5.296;153
22:12;91.72;42.49;10.916;5.100;133
22:18;93.13;41.86;11.049;5.217;156
22:24;90.88;42.87;9.727;4.447;158
22:30;91.54;42.55;11.379;7.728;148
22:36;91.08;42.71;10.854;7.742;165
22:42;92.56;42.01;12.862;8.408;144
22:48;94.37;41.29;9.961;4.481;148
22:54;95.72;40.68;10.618;4.569;154
23:00;93.95;41.41;12.241;4.960;127
23:06;96.08;40.48;11.090;4.816;133
23:12;95.00;40.96;12.105;5.551;125
23:18;96.58;40.35;12.885;6.290;116
23:24;93.89;41.50;13.132;6.241;133
23:30;90.41;43.11;13.362;10.760;127
23:36;91.67;42.55;9.693;4.719;113
23:42;94.60;41.21;12.511;4.980;131
23:48;92.54;42.06;11.028;5.152;134
23:54;96.14;40.60;11.960;4.948;133
