heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;87.62;45.17;14.449;9.547;50
00:06;96.25;41.10;9.505;3.905;6
00:12;101.24;39.20;16.244;6.647;20
00:18;95.93;41.25;16.884;7.419;59
00:24;97.70;40.51;17.094;7.205;82
00:30;97.09;40.78;15.377;6.765;85
00:36;97.47;40.63;16.502;7.232;85
00:42;95.86;41.30;16.254;7.091;91
00:48;96.37;41.09;17.117;7.263;99
00:54;95.96;41.24;17.332;7.529;87
01:00;92.60;42.71;15.069;6.967;86
01:06;92.69;42.67;16.092;7.276;83
01:12;90.17;43.82;16.410;7.710;79
01:18;89.48;44.18;14.321;7.531;79
01:24;89.01;44.43;15.488;9.170;72
01:30;90.44;43.75;16.941;10.081;70
01:36;91.27;43.35;21.284;54.129;60
01:42;90.69;43.60;21.112;55.079;59
01:48;92.87;42.58;21.211;54.605;63
01:54;93.88;42.11;20.358;54.560;59
02:00;92.79;42.69;19.444;53.878;63
02:06;91.86;43.15;17.737;53.670;62
02:12;93.12;42.48;12.895;6.029;62
02:18;94.17;42.08;17.253;7.750;49
02:24;94.78;41.83;16.780;7.624;46
02:30;91.24;43.42;14.559;7.057;46
02:36;93.31;42.51;15.963;7.533;42
02:42;96.10;41.24;14.769;6.638;39
02:48;96.70;40.99;14.862;6.537;39
02:54;94.79;41.82;14.770;6.716;34
03:00;93.66;42.33;15.038;6.891;34
03:06;93.59;42.33;14.411;6.899;32
03:12;92.98;42.55;14.215;6.841;32
03:18;89.58;44.18;13.348;6.587;30
03:24;91.20;43.36;13.391;6.491;30
03:30;92.31;42.86;13.666;6.649;28
03:36;92.48;42.72;14.234;6.970;27
03:42;95.27;41.44;13.769;6.492;30
03:48;94.18;42.01;15.184;7.610;28
03:54;90.85;43.51;16.751;8.885;30
04:00;91.67;43.17;16.741;8.529;33
04:06;91.55;43.24;15.454;8.069;36
04:12;92.91;42.64;16.343;8.254;41
04:18;94.35;41.96;16.460;8.095;50
04:24;93.34;42.46;16.353;8.104;50
04:30;95.78;41.25;14.987;6.894;66
04:36;96.97;40.77;13.241;5.679;80
04:42;97.50;40.56;16.626;6.523;78
04:48;97.76;40.46;16.173;6.555;90
04:54;93.39;42.33;15.264;6.307;94
05:00;93.63;42.23;14.146;6.013;98
05:06;93.00;42.49;12.897;6.121;96
05:12;90.88;43.50;12.786;6.214;109
05:18;90.67;43.59;12.166;5.659;130
05:24;90.66;43.62;12.013;5.829;134
05:30;91.10;43.40;13.379;6.709;130
05:36;89.86;44.00;13.779;7.150;120
05:42;90.04;43.95;10.617;5.586;126
05:48;93.77;42.16;15.050;7.007;111
05:54;90.16;43.87;14.183;8.757;115
06:00;90.66;43.65;14.711;8.431;103
06:06;90.95;43.50;10.920;4.748;135
06:12;91.76;43.14;10.938;4.815;177
06:18;88.30;44.79;9.343;6.081;181
06:24;90.71;43.56;10.643;6.319;221
06:30;90.05;43.86;11.229;6.641;220
06:36;88.75;44.57;8.786;4.450;230
06:42;88.41;44.77;5.945;3.679;318
06:48;86.65;45.61;5.895;3.175;371
06:54;86.06;45.94;5.192;2.812;400
07:00;85.19;46.44;5.710;3.027;382
07:06;84.48;46.86;5.996;3.439;376
07:12;81.84;48.33;4.520;2.763;463
07:18;81.13;48.76;5.606;3.665;544
07:24;80.23;49.26;6.334;3.842;502
07:30;79.60;49.72;5.835;3.823;591
07:36;77.21;51.21;5.254;3.749;601
07:42;74.92;52.82;5.616;4.066;598
07:48;74.63;53.02;4.275;3.249;585
07:54;73.83;53.52;7.177;6.836;559
08:00;73.55;53.76;8.586;8.743;654
08:06;69.49;57.00;14.756;29.793;751
08:12;66.62;59.33;17.726;57.189;778
08:18;65.08;60.75;17.827;69.948;741
08:24;65.08;60.72;18.738;68.882;699
08:30;64.96;60.93;18.822;63.209;731
08:36;61.58;64.29;18.467;64.898;766
08:42;57.96;68.23;20.019;58.662;807
08:48;56.65;69.83;20.897;57.513;794
08:54;59.67;66.27;22.085;65.852;760
09:00;63.71;62.09;21.846;55.260;743
09:06;64.10;61.74;21.436;46.016;757
09:12;67.52;58.59;20.572;46.299;731
09:18;70.84;55.89;17.959;36.598;699
09:24;73.42;53.84;14.573;30.996;637
09:30;77.12;51.30;12.502;31.788;623
09:36;76.81;51.50;11.312;30.638;639
09:42;77.13;51.28;11.249;35.340;620
09:48;76.45;51.73;9.418;22.225;633
09:54;77.31;51.19;9.901;43.628;599
10:00;77.79;50.80;10.275;64.794;670
10:06;78.48;50.39;10.369;42.356;626
10:12;77.12;51.34;10.028;49.041;644
10:18;77.27;51.15;7.797;13.068;646
10:24;76.83;51.52;8.444;14.402;675
10:30;78.68;50.27;7.131;8.769;664
10:36;78.24;50.57;4.256;3.010;664
10:42;78.89;50.14;4.834;3.248;695
10:48;78.87;50.15;4.104;2.684;709
10:54;78.77;50.23;4.069;2.635;727
11:00;77.91;50.82;4.114;2.735;780
11:06;78.78;50.28;4.164;2.715;710
11:12;77.40;51.13;3.750;2.571;665
11:18;77.73;50.93;4.315;2.961;756
11:24;78.70;50.22;3.980;2.610;775
11:30;78.61;50.31;4.510;3.004;738
11:36;78.02;50.69;4.139;2.886;772
11:42;78.04;50.73;4.038;2.779;752
11:48;77.08;51.33;4.333;2.961;785
11:54;77.76;50.87;4.131;2.779;734
12:00;77.16;51.26;3.738;2.605;801
12:06;77.33;51.12;4.090;2.841;783
12:12;77.57;50.97;3.787;2.613;809
12:18;77.21;51.25;4.557;3.211;741
12:24;77.98;50.76;4.913;3.490;729
12:30;77.89;50.79;4.183;2.837;750
12:36;79.41;49.79;4.174;2.573;714
12:42;79.60;49.75;4.896;3.343;684
12:48;80.36;49.18;5.251;3.205;630
12:54;79.90;49.52;6.256;6.142;650
13:00;80.43;49.18;10.162;59.435;592
13:06;80.22;49.32;10.569;108.907;589
13:12;79.33;49.88;10.184;84.528;626
13:18;78.93;50.13;10.974;145.086;600
13:24;79.34;49.85;10.689;115.268;604
13:30;79.61;49.65;10.721;151.689;586
13:36;78.03;50.68;11.207;173.758;563
13:42;76.73;51.58;12.461;161.721;627
13:48;74.65;52.98;14.177;99.386;676
13:54;73.59;53.78;14.217;45.868;678
14:00;74.94;52.83;13.902;40.364;729
14:06;74.94;52.81;14.547;53.102;724
14:12;74.55;53.01;14.625;46.755;744
14:18;74.20;53.31;14.402;43.910;772
14:24;73.11;54.12;14.254;44.250;719
14:30;73.31;53.90;14.432;54.573;750
