heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;100.58;36.09;14.149;5.901;51
00:06;99.87;36.59;4.382;1.700;5
00:12;100.28;36.05;14.667;5.894;18
00:18;100.66;36.06;14.878;5.656;58
00:24;102.14;35.58;16.113;5.521;73
00:30;102.05;35.52;15.052;5.385;81
00:36;103.77;34.99;14.799;5.115;85
00:42;100.06;36.25;15.109;5.270;84
00:48;101.84;35.66;16.269;5.810;85
00:54;102.39;35.48;16.548;5.662;83
01:00;101.05;35.93;15.384;5.501;84
01:06;101.05;35.91;14.060;5.104;78
01:12;98.69;36.78;15.044;5.431;75
01:18;98.43;36.83;13.953;5.299;72
01:24;97.80;37.09;13.461;5.336;69
01:30;96.89;37.46;16.972;9.244;63
01:36;97.79;37.11;16.970;9.282;58
01:42;97.51;37.26;15.628;6.423;52
01:48;99.61;36.47;16.782;8.546;55
01:54;100.19;36.28;14.787;5.466;56
02:00;99.42;36.45;15.182;5.672;58
02:06;100.52;36.05;14.750;5.425;59
02:12;99.45;36.46;15.055;5.779;58
02:18;99.19;36.57;18.141;7.148;48
02:24;100.41;36.15;17.734;6.813;46
02:30;96.75;37.52;14.071;5.990;44
02:36;97.95;37.11;15.540;6.406;43
02:42;101.28;35.81;16.318;6.356;37
02:48;103.77;34.95;16.303;5.917;39
02:54;104.38;34.71;15.077;4.898;39
03:00;103.06;35.16;15.783;5.334;39
03:06;102.27;35.44;16.553;5.574;36
03:12;100.98;35.88;16.371;5.611;34
03:18;98.73;36.80;17.451;5.850;32
03:24;101.78;35.70;17.707;5.976;30
03:30;99.31;36.52;16.068;5.806;28
03:36;100.02;36.29;16.140;5.713;26
03:42;100.52;36.15;11.803;4.543;27
03:48;100.91;36.02;11.316;4.356;25
03:54;97.20;37.40;13.459;5.569;28
04:00;95.40;37.99;16.704;7.196;30
04:06;95.65;37.94;16.011;6.863;35
04:12;95.89;37.82;17.685;7.452;36
04:18;100.52;36.09;14.957;5.764;44
04:24;100.17;36.21;15.124;5.688;44
04:30;102.87;35.21;13.117;4.697;57
04:36;101.41;35.85;10.944;4.259;80
04:42;100.69;36.04;15.240;6.969;80
04:48;102.82;35.31;15.618;5.607;82
04:54;98.76;36.79;14.318;5.282;85
05:00;97.44;37.32;12.784;5.008;90
05:06;97.31;37.38;11.738;4.548;89
05:12;99.31;36.60;11.552;4.370;92
05:18;96.20;37.73;10.706;4.117;102
05:24;96.66;37.59;9.768;3.750;101
05:30;97.22;37.36;10.404;3.862;111
05:36;99.45;36.49;13.575;4.596;106
05:42;99.56;36.44;12.939;4.499;108
05:48;101.64;35.68;14.429;4.946;99
05:54;97.79;37.18;12.270;4.682;113
06:00;98.11;37.01;12.013;4.667;101
06:06;94.19;38.53;11.390;4.244;119
06:12;98.14;36.99;10.410;3.912;161
06:18;96.58;37.61;8.609;3.266;176
06:24;97.06;37.42;8.989;3.556;209
06:30;96.68;37.55;10.660;4.602;207
06:36;93.91;38.70;10.058;4.476;215
06:42;95.78;37.93;5.986;2.351;299
06:48;93.24;38.97;6.857;2.999;356
06:54;93.20;39.01;6.251;2.675;397
07:00;91.83;39.51;5.035;2.187;384
07:06;90.57;40.10;6.015;2.853;359
07:12;87.06;41.71;4.151;2.047;450
07:18;86.41;42.03;5.347;2.806;538
07:24;84.04;43.19;5.921;3.265;511
07:30;84.08;43.14;5.845;3.288;600
07:36;81.78;44.42;7.257;6.303;607
07:42;78.64;46.25;6.183;4.222;611
07:48;78.52;46.21;4.421;2.914;605
07:54;79.11;45.89;5.614;3.582;577
08:00;76.08;47.74;12.170;13.138;651
08:06;74.66;48.70;15.569;31.162;718
08:12;73.49;49.46;14.873;31.546;774
08:18;72.29;50.23;15.062;37.909;725
08:24;73.65;49.29;14.402;27.645;687
08:30;73.89;49.11;12.552;32.271;719
08:36;72.91;49.80;12.397;28.643;734
08:42;71.45;50.90;13.360;29.527;778
08:48;70.98;51.18;12.493;37.042;762
08:54;75.06;48.33;10.126;18.356;738
09:00;77.35;46.93;10.192;10.958;733
09:06;77.27;47.04;13.416;20.101;742
09:12;79.10;45.90;12.295;14.999;697
09:18;80.88;44.96;11.931;20.490;701
09:24;81.16;44.75;11.011;16.203;648
