heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;110.20;66.54;14.402;9.676;28
00:18;108.69;67.42;14.671;9.722;15
00:24;110.17;66.51;14.339;8.845;30
00:30;107.22;68.30;17.853;12.932;39
00:36;107.97;67.87;14.948;9.582;50
00:42;105.13;69.68;14.098;10.189;56
00:48;104.64;70.07;12.810;8.970;62
00:54;103.80;70.59;12.764;8.668;65
01:00;102.27;71.58;12.306;8.527;64
01:06;104.00;70.41;13.837;8.939;58
01:12;103.53;70.74;14.405;9.552;56
01:18;106.07;69.02;15.807;10.160;49
01:24;104.17;70.36;14.648;10.187;52
01:30;106.67;68.78;16.492;11.654;39
01:36;108.23;67.76;15.602;11.363;29
01:42;103.95;70.52;15.671;11.285;33
01:48;106.16;69.08;16.698;11.482;34
01:54;104.39;70.20;15.934;11.427;34
02:00;103.70;70.70;18.699;16.476;28
02:06;100.21;73.16;16.294;15.825;24
02:12;98.63;74.28;14.830;11.632;22
02:18;102.22;71.64;14.097;10.505;19
02:24;100.41;73.08;15.206;11.353;17
02:30;104.13;70.34;13.903;9.320;18
02:36;104.34;70.27;12.859;8.895;24
02:42;103.90;70.63;14.887;11.563;25
02:48;102.00;71.90;14.904;11.436;32
02:54;102.23;71.78;14.518;11.010;37
03:00;102.68;71.39;13.949;10.375;39
03:06;100.37;73.02;11.720;8.895;41
03:12;99.42;73.65;14.510;12.102;39
03:18;99.35;73.73;13.084;9.459;37
03:24;101.53;72.16;14.827;10.403;39
03:30;102.80;71.31;15.090;10.893;37
03:36;103.80;70.60;17.696;12.221;33
03:42;107.08;68.43;18.294;12.023;35
03:48;110.51;66.30;16.906;10.043;29
03:54;109.31;67.05;16.409;9.986;32
04:00;110.73;66.14;17.895;11.178;29
04:06;113.89;64.28;16.318;9.657;30
04:12;109.23;67.04;14.801;9.342;34
04:18;107.80;67.96;20.123;23.088;39
04:24;111.88;65.40;18.944;20.972;52
04:30;111.55;65.64;17.927;19.832;62
04:36;114.23;64.15;17.443;11.226;69
04:42;113.36;64.63;16.990;10.740;82
04:48;115.74;63.37;14.068;8.063;85
04:54;114.61;63.96;13.120;7.488;86
05:00;112.88;64.83;15.298;10.286;84
05:06;107.97;67.82;17.702;12.684;93
05:12;105.99;69.05;15.876;10.751;100
05:18;108.70;67.37;16.901;11.206;97
05:24;108.73;67.38;16.156;10.833;104
05:30;108.06;67.81;13.669;9.633;108
05:36;109.38;66.97;13.396;8.636;108
05:42;107.94;67.84;12.323;7.704;109
05:48;107.90;67.90;12.973;8.735;112
05:54;110.52;66.22;12.539;7.860;109
06:00;110.38;66.33;14.830;10.364;122
06:06;106.53;68.82;12.833;9.404;142
06:12;104.36;70.22;10.928;8.085;174
06:18;102.89;71.24;9.842;7.578;187
06:24;101.50;72.19;7.495;5.266;257
06:30;103.80;70.59;6.509;4.732;330
06:36;98.21;74.64;6.037;4.832;464
06:42;96.80;75.68;5.805;4.765;617
06:48;90.61;80.82;6.776;6.338;676
06:54;82.73;88.60;8.194;9.797;682
07:00;70.25;104.37;11.753;23.637;633
07:06;57.30;127.91;13.598;32.828;539
07:12;51.29;142.86;12.713;34.047;500
07:18;51.34;142.73;13.475;64.586;536
07:24;51.01;143.75;19.541;102.115;546
07:30;42.25;173.36;24.582;117.732;535
07:36;41.57;176.26;23.613;137.093;551
07:42;47.46;154.48;24.506;124.431;520
07:48;53.41;137.14;27.417;119.804;496
07:54;55.08;133.05;31.659;124.812;530
08:00;55.37;132.34;29.667;135.886;528
08:06;56.13;130.54;30.290;122.846;462
08:12;51.80;141.58;29.878;138.771;522
08:18;52.52;139.50;29.017;135.566;544
08:24;55.03;133.08;31.543;131.093;547
08:30;54.45;134.49;30.582;129.672;555
08:36;56.81;129.05;30.125;122.612;548
08:42;60.92;120.25;30.234;135.866;492
08:48;65.97;110.98;32.428;224.993;502
08:54;67.90;107.84;30.934;260.259;507
09:00;71.86;101.97;30.967;195.820;475
09:06;74.97;97.72;29.591;143.434;458
09:12;75.35;97.21;28.412;145.117;439
09:18;81.68;89.78;25.123;117.721;512
09:24;84.50;86.71;22.918;122.264;605
09:30;86.25;84.94;20.359;144.798;587
09:36;87.05;84.09;19.445;219.870;553
09:42;89.86;81.59;19.479;196.432;592
09:48;89.52;81.89;18.848;188.948;551
09:54;90.38;81.02;17.251;187.286;575
10:00;90.80;80.66;15.941;168.966;543
10:06;90.30;81.15;14.334;103.843;529
10:12;93.00;78.81;10.741;16.246;553
10:18;92.72;78.96;8.390;11.534;569
10:24;92.66;79.10;9.914;21.254;579
10:30;93.53;78.34;5.905;5.288;535
10:36;94.94;77.20;6.052;4.993;552
10:42;94.06;77.93;6.464;5.902;521
10:48;95.12;77.00;5.712;4.811;581
10:54;94.65;77.38;5.885;5.015;537
11:00;94.11;77.83;5.336;4.477;526
11:06;95.23;76.93;5.350;4.342;495
11:12;93.93;78.01;4.881;4.117;498
11:18;93.54;78.28;5.179;4.553;503
11:24;94.17;77.79;5.872;4.914;515
11:30;94.12;77.83;5.823;5.028;514
11:36;94.37;77.64;6.669;5.782;479
11:42;93.56;78.29;5.478;4.703;534
11:48;95.88;76.39;6.126;5.072;514
11:54;94.91;77.23;5.892;5.114;511
12:00;95.53;76.64;6.104;5.137;473
12:06;95.61;76.54;5.739;4.984;481
12:12;95.29;76.88;4.503;3.607;493
12:18;96.12;76.24;5.688;4.468;468
12:24;96.08;76.25;5.246;4.257;441
12:30;96.55;75.89;7.285;6.016;451
12:36;97.70;74.98;5.317;4.131;414
12:42;96.45;75.91;6.368;5.430;396
12:48;97.09;75.45;7.056;5.477;415
12:54;97.64;75.03;6.646;5.203;395
13:00;97.70;75.06;5.797;4.694;358
13:06;98.72;74.15;5.933;4.658;375
13:12;98.52;74.39;5.804;4.378;380
13:18;96.10;76.29;5.670;4.471;415
13:24;96.70;75.75;5.919;4.982;449
13:30;95.02;77.03;6.542;5.740;476
13:36;96.32;76.06;6.792;5.339;488
13:42;95.61;76.61;5.543;4.499;500
13:48;95.00;77.13;4.628;3.839;495
13:54;96.93;75.58;5.469;4.361;524
14:00;96.77;75.68;6.473;5.082;441
14:06;96.06;76.30;7.138;5.770;477
14:12;94.32;77.67;5.620;4.955;551
14:18;92.57;79.17;6.220;5.596;506
14:24;94.41;77.65;5.842;4.927;507
14:30;94.53;77.54;5.336;4.509;509
14:36;94.70;77.42;5.525;4.518;479
14:42;93.65;78.20;6.269;5.564;451
14:48;95.38;76.76;5.080;3.931;468
14:54;94.55;77.51;7.466;8.213;467
15:00;94.54;77.53;5.854;4.777;459
15:06;93.76;78.14;6.072;5.372;413
15:12;93.87;78.12;6.890;5.699;441
15:18;92.83;78.89;6.786;7.022;524
15:24;93.19;78.61;4.830;4.195;496
15:30;92.85;78.90;6.165;5.480;436
15:36;93.01;78.84;6.110;4.936;461
15:42;93.15;78.64;6.002;5.663;464
15:48;92.57;79.21;5.800;5.145;457
15:54;93.14;78.65;5.756;5.218;477
16:00;91.44;80.18;5.312;4.724;433
16:06;91.80;79.84;4.508;4.148;451
16:12;91.16;80.36;5.269;4.965;419
16:18;90.44;81.05;4.986;4.509;468
16:24;89.78;81.64;6.641;6.586;434
16:30;93.06;78.75;5.934;5.035;423
16:36;90.42;81.05;7.282;7.191;407
16:42;88.65;82.64;5.533;5.458;441
16:48;88.95;82.40;5.813;5.444;424
16:54;89.46;81.89;6.383;6.010;433
17:00;89.72;81.61;6.781;8.233;391
17:06;89.19;82.11;7.851;11.562;384
17:12;85.54;85.66;9.656;16.432;391
17:18;85.12;86.04;10.559;26.984;359
17:24;85.87;85.33;10.159;26.374;410
17:30;85.49;85.75;9.248;13.301;408
17:36;85.59;85.57;11.653;19.764;396
17:42;85.47;85.72;12.516;25.226;361
17:48;85.25;85.92;13.158;31.834;342
17:54;85.90;85.25;12.984;40.737;319
18:00;85.98;85.23;13.518;41.973;355
18:06;85.55;85.70;13.127;33.547;372
18:12;83.75;87.48;15.259;39.164;374
18:18;81.64;89.74;17.941;68.459;390
18:24;81.25;90.21;19.916;90.326;379
18:30;82.15;89.21;20.490;94.843;385
18:36;82.61;88.73;22.546;110.962;345
18:42;81.49;89.86;23.617;121.310;360
18:48;84.83;86.35;22.763;105.657;352
18:54;86.51;84.73;20.790;110.341;319
19:00;88.58;82.76;16.847;82.335;347
19:06;92.39;79.42;16.523;78.015;319
19:12;90.57;80.93;15.123;73.387;355
19:18;92.19;79.52;13.520;68.701;335
19:24;92.96;78.77;12.820;65.095;328
19:30;93.06;78.75;13.125;63.358;329
19:36;96.22;76.16;12.966;56.928;338
19:42;97.72;74.94;12.959;54.801;297
19:48;96.38;76.06;12.761;23.017;289
19:54;99.91;73.26;8.915;7.343;263
20:00;98.36;74.48;7.437;5.765;266
20:06;100.20;73.19;8.444;6.282;249
20:12;99.70;73.52;9.434;7.331;227
20:18;102.00;71.78;9.854;7.002;215
20:24;105.80;69.25;9.947;6.823;215
20:30;102.61;71.46;9.485;6.677;203
20:36;100.07;73.22;11.296;8.515;204
20:42;103.89;70.51;11.360;7.746;172
20:48;103.40;70.82;10.339;7.463;172
20:54;101.30;72.32;9.968;7.326;163
21:00;103.82;70.54;11.365;8.314;146
21:06;103.69;70.62;12.494;9.250;150
21:12;104.88;69.83;13.003;9.187;127
21:18;105.36;69.54;12.576;8.990;121
21:24;107.84;67.90;15.312;11.632;117
21:30;105.13;69.65;14.399;10.744;120
21:36;103.43;70.84;12.608;9.358;104
21:42;101.72;72.03;12.495;9.593;112
21:48;102.75;71.35;14.119;10.552;104
21:54;102.90;71.22;12.739;9.351;96
22:00;105.95;69.23;12.009;8.224;99
22:06;105.66;69.47;12.712;8.972;90
22:12;100.22;73.17;14.979;14.205;101
22:18;99.35;73.76;12.608;13.166;106
22:24;100.53;72.87;14.656;14.015;105
22:30;103.54;70.85;14.165;11.438;104
22:36;103.50;70.83;13.568;10.843;111
22:42;103.44;70.82;13.300;10.791;111
22:48;104.86;69.83;11.122;7.471;105
22:54;104.92;69.85;10.513;6.748;97
23:00;104.56;70.06;12.002;8.037;89
23:06;104.33;70.24;11.689;8.046;93
23:12;103.87;70.54;12.622;9.053;92
23:18;105.03;69.72;14.760;10.293;86
23:24;104.54;70.12;14.369;10.135;96
23:30;104.40;70.20;14.594;10.187;89
23:36;104.94;69.81;13.633;9.567;84
23:42;106.67;68.71;13.363;8.863;79
23:48;107.26;68.31;11.834;7.435;84
23:54;108.90;67.21;13.316;8.353;75
