heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;98.03;36.88;12.865;4.729;33
00:06;77.85;46.66;7.250;4.000;2
00:12;81.54;44.50;11.783;6.530;5
00:18;105.30;34.39;19.267;6.558;26
00:24;102.94;35.19;17.973;5.802;48
00:30;101.95;35.53;18.351;6.113;59
00:36;103.34;35.09;17.845;6.213;63
00:42;100.83;35.96;15.671;5.485;63
00:48;100.19;36.21;17.210;6.488;70
00:54;98.48;36.81;15.041;5.426;72
01:00;97.96;36.96;14.866;5.432;65
01:06;98.04;36.94;14.094;5.318;64
01:12;99.21;36.47;14.358;5.403;63
01:18;102.20;35.40;17.322;6.135;58
01:24;103.26;35.02;17.465;6.189;57
01:30;104.98;34.46;15.724;5.144;51
01:36;105.89;34.21;16.203;5.185;42
01:42;104.39;34.73;15.691;4.995;37
01:48;105.17;34.46;17.657;5.886;40
01:54;103.91;34.88;16.136;5.469;41
02:00;103.87;34.91;17.250;6.042;35
02:06;99.31;36.52;21.435;14.921;34
02:12;98.90;36.65;19.906;14.746;31
02:18;100.11;36.23;16.251;6.110;30
02:24;98.45;36.78;14.982;5.392;27
02:30;99.84;36.22;16.718;5.949;24
02:36;100.31;36.08;17.436;5.924;29
02:42;99.36;36.40;16.668;5.600;32
02:48;101.64;35.49;18.163;6.137;33
02:54;102.07;35.36;17.168;5.691;39
03:00;102.06;35.45;14.654;4.643;42
03:06;101.98;35.50;14.655;4.688;44
03:12;101.24;35.76;13.880;4.840;43
03:18;100.01;36.17;13.850;4.945;41
03:24;103.75;34.88;15.497;5.293;42
03:30;105.10;34.44;16.965;5.749;39
03:36;107.64;33.63;19.042;6.766;37
03:42;106.65;33.98;20.121;7.462;37
03:48;110.55;32.72;22.256;7.681;35
03:54;110.89;32.64;20.247;7.250;37
04:00;107.13;33.83;20.532;7.159;37
04:06;105.02;34.48;19.179;6.598;36
04:12;102.11;35.51;18.206;6.267;37
04:18;105.47;34.34;19.009;5.631;44
04:24;108.03;33.49;17.971;5.535;51
04:30;110.85;32.63;15.900;4.742;51
