heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;93.84;38.05;19.313;7.712;33
00:06;76.05;46.49;0.750;0.500;3
00:12;86.62;40.77;14.480;6.112;6
00:18;97.41;36.51;15.943;5.818;27
00:24;98.29;36.32;17.406;6.005;49
00:30;98.23;36.27;16.174;5.795;62
00:36;98.32;36.25;14.921;5.782;66
00:42;95.05;37.48;12.327;4.824;63
00:48;93.62;38.09;14.192;5.509;71
00:54;90.69;39.37;15.351;6.604;75
01:00;90.78;39.31;15.154;6.343;67
01:06;91.46;38.99;15.245;6.354;63
01:12;92.70;38.47;15.583;6.452;60
01:18;95.67;37.32;18.732;7.231;56
01:24;97.13;36.75;19.022;7.383;56
01:30;98.58;36.20;15.806;5.987;58
01:36;101.80;35.10;18.131;6.336;45
01:42;100.86;35.35;17.268;5.809;43
01:48;101.52;35.11;18.571;6.274;46
01:54;100.56;35.49;17.385;5.843;45
02:00;98.98;36.00;17.103;5.908;37
02:06;94.46;37.73;18.061;10.840;34
02:12;90.26;39.52;23.180;334.827;32
02:18;89.17;40.04;20.871;346.536;31
02:24;91.54;39.01;21.562;353.083;28
02:30;93.61;38.14;23.850;359.925;26
02:36;93.60;38.11;24.541;340.800;29
02:42;92.76;38.46;23.131;324.407;33
02:48;97.31;36.71;17.096;6.000;34
02:54;97.29;36.76;16.414;5.790;39
03:00;97.34;36.64;15.484;5.714;39
03:06;98.08;36.41;15.562;5.777;42
03:12;98.17;36.34;12.883;5.011;44
03:18;96.61;36.93;13.317;5.288;43
03:24;100.00;35.67;14.062;5.310;45
03:30;101.33;35.21;16.353;5.762;43
03:36;102.70;34.72;19.665;6.907;42
03:42;99.07;35.91;19.299;7.081;38
03:48;101.39;35.10;21.960;10.463;38
03:54;101.84;34.98;22.526;10.677;39
04:00;100.30;35.55;22.675;10.673;37
04:06;98.62;36.15;22.309;10.769;36
04:12;96.94;36.74;20.026;9.852;37
04:18;101.69;35.08;20.569;9.971;43
04:24;104.91;33.93;19.209;6.287;47
04:30;105.96;33.59;18.565;5.969;60
04:36;105.90;33.64;19.047;6.651;65
04:42;110.12;32.35;18.288;6.025;85
04:48;107.21;33.27;17.695;5.936;82
04:54;107.45;33.16;16.641;5.157;89
05:00;110.86;32.07;18.042;5.800;98
05:06;109.41;32.56;18.818;6.067;97
05:12;104.35;34.18;18.309;5.785;98
05:18;103.99;34.27;15.597;5.519;99
05:24;104.14;34.24;13.310;4.545;118
05:30;102.92;34.57;12.691;4.295;124
05:36;101.42;35.16;11.523;3.959;120
05:42;103.54;34.41;13.778;5.231;121
05:48;101.60;35.10;10.597;3.744;155
05:54;101.47;35.15;10.342;3.523;160
06:00;102.19;34.87;11.666;4.047;174
06:06;103.10;34.54;11.178;4.094;197
06:12;96.26;37.03;9.908;3.765;248
06:18;97.45;36.65;7.391;2.797;304
06:24;97.46;36.58;7.076;2.660;352
06:30;95.03;37.52;4.024;1.660;567
06:36;92.23;38.72;4.951;2.186;684
06:42;88.25;40.38;4.712;2.305;900
06:48;84.74;42.13;4.214;2.197;938
06:54;80.93;44.06;4.085;2.304;914
07:00;76.80;46.42;5.952;4.525;752
07:06;69.79;51.07;11.360;24.709;644
07:12;56.83;62.77;15.972;35.243;570
07:18;38.74;91.98;17.446;59.229;571
07:24;30.54;116.66;12.436;61.691;639
07:30;30.50;116.82;11.194;66.709;705
07:36;29.80;119.69;11.086;50.793;748
07:42;29.12;122.54;10.682;56.120;769
07:48;28.47;125.28;8.600;50.541;717
07:54;28.02;127.18;11.214;66.362;749
08:00;28.10;126.89;12.999;64.227;810
08:06;29.03;122.82;14.344;64.716;814
08:12;30.57;116.62;14.608;54.674;779
08:18;28.67;124.30;15.097;84.878;766
08:24;32.06;111.24;17.282;81.553;832
08:30;34.73;102.77;17.975;96.320;870
08:36;37.29;95.74;19.765;104.138;867
08:42;39.81;89.53;20.827;142.260;844
08:48;38.91;91.71;21.353;73.160;833
08:54;39.24;90.80;21.823;72.992;829
09:00;44.13;80.84;22.547;72.046;827
09:06;47.25;75.46;22.573;60.415;786
09:12;53.93;66.06;21.688;54.296;824
09:18;60.23;59.21;24.605;39.375;834
09:24;64.02;55.73;25.134;36.404;939
09:30;68.07;52.33;24.963;36.564;922
09:36;70.39;50.69;22.543;44.089;927
09:42;75.98;47.00;18.802;30.264;928
09:48;77.48;46.03;18.370;25.464;884
09:54;80.10;44.49;16.209;21.649;844
10:00;81.69;43.63;16.059;35.180;810
10:06;83.45;42.75;12.473;13.237;817
10:12;84.42;42.30;9.037;6.625;866
10:18;85.55;41.71;9.090;6.310;858
10:24;86.19;41.40;8.913;5.849;855
10:30;85.55;41.81;8.474;5.306;847
10:36;85.34;41.76;9.807;7.413;814
10:42;85.30;41.76;8.732;8.536;763
10:48;85.25;41.83;7.498;4.954;831
10:54;84.61;42.08;8.196;4.672;815
11:00;85.00;41.95;8.326;5.579;797
11:06;85.74;41.68;8.530;6.439;764
11:12;86.19;41.37;9.707;8.597;699
11:18;85.36;41.81;10.014;11.970;702
11:24;84.68;42.18;11.475;18.135;730
11:30;85.39;41.77;10.058;15.715;699
11:36;86.22;41.36;7.573;5.202;698
11:42;86.75;41.04;7.081;4.861;766
11:48;87.15;40.99;5.848;3.084;775
11:54;87.50;40.76;6.659;4.415;743
12:00;86.49;41.18;9.423;8.615;708
12:06;85.61;41.65;10.433;19.206;672
12:12;85.92;41.51;9.156;13.526;707
12:18;82.50;43.17;11.789;19.717;698
12:24;84.57;42.14;11.267;8.477;673
12:30;88.04;40.49;11.026;11.149;645
12:36;90.52;39.38;8.781;7.898;613
12:42;90.55;39.41;7.295;3.837;585
12:48;91.46;39.02;6.854;4.177;588
12:54;91.10;39.13;7.553;4.358;553
13:00;90.68;39.32;5.605;2.988;522
13:06;92.57;38.57;4.792;2.062;554
13:12;91.18;39.06;4.032;1.848;535
13:18;91.35;39.01;5.769;2.587;619
13:24;90.34;39.46;5.663;2.610;614
13:30;91.40;38.99;4.742;2.022;658
13:36;90.42;39.44;4.299;1.915;729
13:42;90.13;39.53;4.778;2.171;717
13:48;88.11;40.42;4.863;2.340;719
13:54;88.42;40.31;6.458;3.161;776
14:00;89.34;39.97;5.808;2.675;712
14:06;89.15;39.98;7.411;4.321;729
14:12;88.86;40.18;5.610;2.766;755
