heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;86.22;41.77;5.630;2.561;27
00:06;88.10;41.00;0.000;0.000;1
00:12;88.65;40.49;0.550;0.500;2
00:18;85.59;42.10;6.044;2.737;16
00:24;86.40;41.69;6.819;2.999;31
00:30;86.72;41.50;6.330;2.853;39
00:36;86.70;41.52;5.798;2.696;43
00:42;85.70;42.08;5.744;3.254;51
00:48;84.60;42.62;7.566;4.904;53
00:54;85.29;42.22;7.323;4.853;52
01:00;85.80;42.03;7.604;5.096;44
01:06;85.41;42.17;7.694;5.090;43
01:12;85.73;42.03;7.964;5.209;38
01:18;87.50;41.20;6.722;3.648;34
01:24;89.66;40.23;10.589;4.457;31
01:30;88.75;40.64;11.456;5.413;36
01:36;89.50;40.30;10.780;4.624;34
01:42;89.56;40.26;10.747;4.622;33
01:48;89.36;40.34;10.675;4.508;32
01:54;88.29;40.84;11.576;5.271;35
02:00;87.06;41.40;5.261;2.470;30
02:06;84.56;42.65;10.969;11.440;28
02:12;84.52;42.71;10.960;11.606;27
02:18;84.15;42.89;11.049;11.620;26
02:24;83.35;43.35;11.816;11.871;25
02:30;83.28;43.32;11.907;12.701;21
02:36;82.17;43.89;12.763;13.028;21
02:42;83.41;43.15;12.861;12.685;23
02:48;85.12;42.19;9.574;5.678;19
02:54;85.65;41.90;8.601;5.107;24
03:00;85.33;42.09;7.630;4.586;30
03:06;86.63;41.50;6.790;4.036;31
03:12;88.39;40.69;3.532;1.695;33
03:18;89.01;40.42;3.079;1.414;37
03:24;88.06;40.85;3.565;1.663;39
03:30;87.16;41.23;4.204;2.113;37
03:36;87.25;41.23;4.939;2.346;36
03:42;86.41;41.64;5.476;2.663;35
03:48;85.44;42.20;5.434;2.672;34
03:54;85.70;42.07;5.643;2.773;33
04:00;86.48;41.68;8.760;3.741;32
04:06;87.49;41.24;8.237;3.307;31
04:12;87.55;41.21;8.501;3.468;29
04:18;88.10;40.90;9.144;3.988;37
04:24;89.78;40.10;11.819;6.275;40
04:30;87.67;41.08;8.016;5.185;53
04:36;87.83;41.04;7.167;3.584;58
04:42;88.09;40.96;6.945;3.451;75
04:48;87.72;41.13;6.885;3.454;83
04:54;89.02;40.52;8.255;3.380;83
05:00;92.53;38.95;9.386;3.673;90
05:06;92.36;38.97;10.596;4.429;99
05:12;92.03;39.11;9.320;3.597;94
05:18;90.60;39.79;9.138;3.431;86
05:24;89.54;40.25;7.854;3.030;110
05:30;88.23;40.85;6.896;2.810;113
05:36;87.04;41.41;3.564;1.765;120
05:42;87.94;41.08;4.671;2.087;123
05:48;86.85;41.48;5.996;3.140;132
05:54;88.21;40.87;6.447;3.322;139
06:00;88.69;40.66;6.350;3.132;142
06:06;88.21;40.81;4.153;1.940;163
06:12;86.66;41.60;5.059;2.396;156
06:18;86.28;41.79;5.486;2.568;213
06:24;86.45;41.72;4.536;2.301;280
06:30;85.79;41.99;2.987;1.497;444
06:36;85.41;42.22;2.444;1.244;490
06:42;83.00;43.37;3.079;1.719;657
06:48;79.01;45.65;3.348;2.071;789
06:54;75.49;47.81;6.695;8.026;836
07:00;65.02;55.48;12.299;32.366;736
07:06;44.29;81.29;15.272;38.186;626
07:12;27.76;129.84;9.007;54.630;530
07:18;23.73;151.94;7.233;65.335;507
07:24;22.03;163.69;5.994;74.409;496
07:30;18.62;193.65;5.026;60.118;518
07:36;17.61;204.74;4.032;66.045;597
07:42;16.39;219.90;3.827;66.763;595
07:48;16.37;220.34;5.136;101.070;611
07:54;16.20;222.58;5.245;81.628;621
08:00;17.06;211.41;5.966;86.810;614
08:06;16.55;217.69;7.460;92.056;660
08:12;17.00;212.18;5.673;136.223;695
08:18;18.46;195.23;6.500;159.774;663
08:24;19.87;181.48;10.919;184.165;684
08:30;21.99;164.03;13.697;161.896;753
08:36;22.74;158.55;15.483;129.077;794
08:42;24.05;149.93;16.798;133.240;772
08:48;25.31;142.36;19.375;156.996;730
08:54;30.32;118.99;22.491;150.109;709
09:00;35.55;101.30;26.170;121.255;721
09:06;43.86;82.27;24.646;88.877;676
09:12;46.56;77.60;27.218;94.882;699
09:18;50.30;71.58;29.869;109.114;718
09:24;55.14;65.42;28.006;97.643;754
09:30;56.29;64.17;29.508;112.025;724
09:36;63.30;56.91;26.252;91.914;792
09:42;69.29;52.00;22.413;71.525;765
09:48;71.39;50.51;21.024;98.555;725
09:54;76.17;47.30;18.488;58.363;704
10:00;79.59;45.32;12.164;17.677;701
10:06;80.99;44.48;12.947;39.698;643
10:12;80.82;44.57;11.440;27.837;691
10:18;80.58;44.71;12.334;44.157;714
10:24;81.30;44.41;9.964;48.432;726
10:30;82.46;43.76;6.891;7.375;717
10:36;82.20;43.89;8.464;12.299;707
10:42;83.33;43.24;3.470;1.974;645
10:48;83.31;43.33;3.826;2.052;652
10:54;83.95;42.93;3.575;1.963;650
11:00;83.65;43.03;4.488;2.444;612
11:06;83.42;43.16;3.552;1.855;625
11:12;83.65;43.09;3.791;1.996;565
11:18;83.18;43.33;5.178;3.486;549
11:24;83.63;43.08;4.499;2.411;567
11:30;83.50;43.23;4.014;2.207;559
11:36;83.84;42.96;4.402;2.500;592
11:42;83.51;43.15;3.809;2.069;596
11:48;83.53;43.18;3.964;2.188;624
11:54;84.16;42.85;4.601;2.688;587
12:00;82.85;43.46;4.070;2.352;572
12:06;83.65;43.06;5.995;4.386;540
12:12;83.95;42.95;4.044;2.257;536
12:18;82.53;43.60;6.417;4.664;510
12:24;84.16;42.81;5.285;3.230;512
12:30;84.14;42.82;3.594;1.890;515
12:36;84.76;42.44;3.883;2.248;493
12:42;84.93;42.33;4.273;2.414;467
12:48;85.52;42.08;3.628;1.851;516
12:54;84.36;42.76;3.632;1.885;471
13:00;84.78;42.50;4.173;2.337;453
13:06;86.17;41.78;2.727;1.302;482
13:12;85.82;41.99;3.056;1.539;457
13:18;85.12;42.35;3.886;2.153;499
13:24;84.93;42.47;3.686;2.076;517
13:30;85.11;42.36;3.120;1.582;582
13:36;84.52;42.67;3.333;1.750;606
13:42;84.48;42.63;4.253;2.525;595
13:48;84.42;42.71;2.240;1.149;603
13:54;84.73;42.54;2.780;1.518;650
14:00;85.05;42.37;4.069;2.408;580
14:06;84.65;42.66;3.708;1.934;592
14:12;84.73;42.60;3.556;1.941;627
14:18;83.72;43.03;3.011;1.701;658
14:24;83.47;43.15;6.008;5.653;588
14:30;83.26;43.25;8.154;13.842;575
14:36;83.47;43.16;8.426;14.020;596
14:42;83.30;43.32;9.264;26.643;624
14:48;84.42;42.64;5.757;4.853;542
14:54;84.57;42.61;3.170;1.692;553
